sex,year,experience_of_violence,sex_of_perpetrator,relationship_with_perpetrator,police_contact,unit,value,rse,95_moe,lower_ci,upper_ci,data_flag
Females,2021-22,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted,Number,680.3,5.2,n.a.,n.a.,n.a.,
Females,2021-22,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because felt ashamed or embarrassed,Number,212.3,10.2,n.a.,n.a.,n.a.,
Females,2021-22,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because did not want person responsible arrested,Number,108.9,14.2,n.a.,n.a.,n.a.,
Females,2021-22,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because did not regard the incident as a serious offence,Number,223.3,8.8,n.a.,n.a.,n.a.,
Females,2021-22,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because did not know or think the incident was a crime,Number,185.7,10.3,n.a.,n.a.,n.a.,
Females,2021-22,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because did not think there was anything the police could do,Number,194.4,11,n.a.,n.a.,n.a.,
Females,2021-22,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because did not trust the police,Number,96.7,13.5,n.a.,n.a.,n.a.,
Females,2021-22,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because did not think the police would be able to do anything,Number,193.7,11.1,n.a.,n.a.,n.a.,
Females,2021-22,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because felt they would not be believed,Number,175,9.5,n.a.,n.a.,n.a.,
Females,2021-22,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because fear of the person responsible,Number,143,12.8,n.a.,n.a.,n.a.,
Females,2021-22,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because fear of legal processes,Number,89.2,15.7,n.a.,n.a.,n.a.,
Females,2021-22,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because cultural/language reasons,Number,32,20.5,n.a.,n.a.,n.a.,
Females,2021-22,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because workplace/on the job incident,Number,14.1,33.8,n.a.,n.a.,n.a.,*
Females,2021-22,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because did not want to ask for help,Number,73.3,17.2,n.a.,n.a.,n.a.,
Females,2021-22,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because felt they could deal with it themselves,Number,228.1,8.8,n.a.,n.a.,n.a.,
Females,2021-22,Most recent incident of sexual assault in the last 10 years,By a male,Any person - all relationships,Police not contacted because other reason,Number,51.3,21.6,n.a.,n.a.,n.a.,
Males,2016,Any incident of violence by a partner,By a person,Current partner ,Police contacted,Number,6.6,n.p.,n.a.,n.a.,n.a.,**
Males,2016,Any incident of violence by a partner,By a person,Previous partner,Police contacted,Number,99.1,14.3,n.a.,n.a.,n.a.,
Males,2016,Any incident of violence by a partner,By a person,Current partner ,Police contacted by respondent,Number,n.p.,n.p.,n.a.,n.a.,n.a.,
Males,2016,Any incident of violence by a partner,By a person,Previous partner,Police contacted by respondent,Number,84.9,16.0,n.a.,n.a.,n.a.,
Males,2016,Any incident of violence by a partner,By a person,Current partner ,Police contacted by someone else,Number,n.p.,n.p.,n.a.,n.a.,n.a.,
Males,2016,Any incident of violence by a partner,By a person,Previous partner,Police contacted by someone else,Number,8.9,n.p.,n.a.,n.a.,n.a.,**
Males,2016,Any incident of violence by a partner,By a person,Current partner ,Police not contacted,Number,146.1,15.1,n.a.,n.a.,n.a.,
Males,2016,Any incident of violence by a partner,By a person,Previous partner,Police not contacted,Number,299.9,8.4,n.a.,n.a.,n.a.,
Females,2005,Most recent incident of sexual assault in the last 12 months,By a male,Any person - all relationships,Police contacted,Proportion,18.9,n.a.,9.0,9.9,27.9,
Females,2012,Most recent incident of sexual assault in the last 12 months,By a male,Any person - all relationships,Police contacted,Proportion,16.8,n.a.,9.8,7.0,26.6,
Females,2016,Any incident of violence by a partner,By a person,Previous partner,Police contacted,Proportion,35.4,n.a.,2.5,32.9,37.9,
Females,2016,Any incident of violence by a partner,By a person,Current partner ,Police contacted,Proportion,17.4,n.a.,6.5,10.9,23.9,
Females,2016,Any incident of violence by a partner,By a person,Previous partner,Police contacted by respondent,Proportion,32.6,n.a.,2.6,30.0,35.2,
Females,2016,Any incident of violence by a partner,By a person,Current partner ,Police contacted by respondent,Proportion,15.8,n.a.,6.1,9.7,21.9,
Females,2016,Any incident of violence by a partner,By a person,Previous partner,Police contacted by someone else,Proportion,2.7,n.a.,0.9,1.8,3.6,
Females,2016,Any incident of violence by a partner,By a person,Current partner ,Police contacted by someone else,Proportion,2.7,n.a.,1.9,0.8,4.6,
Females,2016,Any incident of violence by a partner,By a person,Previous partner,Police not contacted,Proportion,64.7,n.a.,1.9,62.8,66.6,
Females,2016,Any incident of violence by a partner,By a person,Current partner ,Police not contacted,Proportion,82.1,n.a.,3.7,78.4,85.8,
Females,2016,Most recent incident of physical assault in the last 10 years,By a female,Family and domestic total,Police not contacted because felt ashamed or embarrassed,Proportion,7.3,n.a.,5.1,2.2,12.4,
Females,2016,Most recent incident of physical assault in the last 10 years,By a female,Family and domestic total,Police not contacted because did not want person responsible arrested,Proportion,24.2,n.a.,13.4,10.8,37.6,#
Females,2016,Most recent incident of physical assault in the last 10 years,By a female,Family and domestic total,Police not contacted because did not regard the incident as a serious offence,Proportion,32.2,n.a.,15.2,17.0,47.4,#
Females,2016,Most recent incident of physical assault in the last 10 years,By a female,Family and domestic total,Police not contacted because did not know or think the incident was a crime,Proportion,33.0,n.a.,23.4,9.6,56.4,#
Females,2016,Most recent incident of physical assault in the last 10 years,By a female,Family and domestic total,Police not contacted because did not think there was anything the police could do,Proportion,6.6,n.a.,5.3,1.3,11.9,
Females,2016,Most recent incident of physical assault in the last 10 years,By a female,Family and domestic total,Police not contacted reason not known,Proportion,4.7,n.a.,n.p.,n.a.,n.a.,
Females,2016,Most recent incident of physical assault in the last 10 years,By a female,Family and domestic total,Police not contacted because other reason,Proportion,7.4,n.a.,5.1,2.3,12.5,
Females,2016,Most recent incident of physical assault in the last 10 years,By a female,Family and domestic total,Police not contacted because felt they could deal with it themselves,Proportion,64.5,n.a.,24.1,40.4,88.6,#
Females,2016,Most recent incident of physical assault in the last 10 years,By a female,Family and domestic total,Police not contacted because did not want to ask for help,Proportion,10.4,n.a.,n.p.,n.a.,n.a.,
