concerns,year,unit,value
Suicide Attempt,2013,Proportion,40.8
Suicide Attempt,2014,Proportion,35.5
Suicide Attempt,2015,Proportion,32.5
Suicide Attempt,2016,Proportion,34.2
Suicide Attempt,2017,Proportion,37.3
Suicide Attempt,2018,Proportion,38.2
Suicide Attempt,2019,Proportion,43.3
Suicide Attempt,2020,Proportion,37.4
Suicide Attempt,2021,Proportion,33.1
Suicide Attempt,2022,Proportion,37.2
Suicide Attempt,2023,Proportion,43.8
Suicide Attempt,2024,Proportion,38.9
Total crisis interventions,2012,Proportion,100.0
Total crisis interventions,2013,Proportion,100.0
Total crisis interventions,2014,Proportion,100.0
Total crisis interventions,2015,Proportion,100.0
Total crisis interventions,2016,Proportion,100.0
Total crisis interventions,2017,Proportion,100.0
Total crisis interventions,2018,Proportion,100.0
Total crisis interventions,2019,Proportion,100.0
Total crisis interventions,2020,Proportion,100.0
Total crisis interventions,2021,Proportion,100.0
Total crisis interventions,2022,Proportion,100.0
Total crisis interventions,2023,Proportion,100.0
Total crisis interventions,2024,Proportion,100.0
Wrap–around Care(a),2012,Number,351
Wrap–around Care(a),2013,Number,—
Wrap–around Care(a),2014,Number,612
Wrap–around Care(a),2015,Number,—
Wrap–around Care(a),2016,Number,750
Wrap–around Care(a),2017,Number,—
Wrap–around Care(a),2018,Number,488
Wrap–around Care(a),2019,Number,—
Wrap–around Care(a),2020,Number,546
Wrap–around Care(a),2021,Number,—
Wrap–around Care(a),2022,Number,448
Wrap–around Care(a),2023,Number,—
Wrap–around Care(a),2024,Number,351
