sex,period,type_of_homicide,unit,value,data_flag
Males,2014–15,Domestic,Number,48,
Males,2015–16,Domestic,Number,39,
Males,2016–17,Domestic,Number,45,
Males,2017–18,Domestic,Number,37,
Males,2018–19,Domestic,Number,32,
Males,2019–20,Domestic,Number,32,
Males,2020–21,Domestic,Number,33,
Males,2021–22,Domestic,Number,24,
Males,2022–23,Domestic,Number,39,
Males,2023–24,Domestic,Number,34,
Males,2024–25,Domestic,Number,49,
Males,1989–90,Family,Number,28,
Males,1990–91,Family,Number,29,
Males,1991–92,Family,Number,20,
Males,1992–93,Family,Number,34,
Males,1993–94,Family,Number,39,
Males,1994–95,Family,Number,40,
Males,1995–96,Family,Number,33,
Males,1996–97,Family,Number,40,
Males,1997–98,Family,Number,35,
Males,1998–99,Family,Number,26,
Males,1999–2000,Family,Number,40,
Males,2000–01,Family,Number,21,
Males,2001–02,Family,Number,50,
Males,2002–03,Family,Number,35,
Males,2003–04,Family,Number,30,
Males,2004–05,Family,Number,34,
Males,2005–06,Family,Number,34,
Males,2006–07,Family,Number,33,
Males,2007–08,Family,Number,39,
Males,2008–09,Family,Number,16,
Males,2009–10,Family,Number,28,
Males,2010–11,Family,Number,24,
Males,2011–12,Family,Number,29,
Males,2012–13,Family,Number,30,
Males,2013–14,Family,Number,19,
Males,2014–15,Family,Number,34,
Males,2015–16,Family,Number,30,
Males,2016–17,Family,Number,31,
Males,2017–18,Family,Number,24,
Males,2018–19,Family,Number,19,
Males,2019–20,Family,Number,23,
Males,2020–21,Family,Number,20,
Males,2021–22,Family,Number,14,
Males,2022–23,Family,Number,35,
Males,2023–24,Family,Number,24,
Males,2024–25,Family,Number,35,
Males,1989–90,Intimate partner,Number,22,
Males,1990–91,Intimate partner,Number,12,
Males,1991–92,Intimate partner,Number,17,
Males,1992–93,Intimate partner,Number,17,
Males,1993–94,Intimate partner,Number,25,
Males,1994–95,Intimate partner,Number,24,
Males,1995–96,Intimate partner,Number,19,
Males,1996–97,Intimate partner,Number,10,
Males,1997–98,Intimate partner,Number,22,
Males,1998–99,Intimate partner,Number,16,
Males,1999–2000,Intimate partner,Number,18,
Males,2000–01,Intimate partner,Number,11,
Males,2001–02,Intimate partner,Number,18,
Males,2002–03,Intimate partner,Number,19,
Males,2003–04,Intimate partner,Number,17,
Males,2004–05,Intimate partner,Number,18,
Males,2005–06,Intimate partner,Number,15,
Males,2006–07,Intimate partner,Number,23,
Males,2007–08,Intimate partner,Number,18,
Males,2008–09,Intimate partner,Number,13,
Males,2009–10,Intimate partner,Number,16,
Males,2010–11,Intimate partner,Number,14,
Males,2011–12,Intimate partner,Number,12,
Males,2012–13,Intimate partner,Number,14,
Males,2013–14,Intimate partner,Number,14,
Males,2014–15,Intimate partner,Number,15,
Males,2015–16,Intimate partner,Number,10,
Males,2016–17,Intimate partner,Number,14,
Males,2017–18,Intimate partner,Number,13,
Males,2018–19,Intimate partner,Number,13,
Males,2019–20,Intimate partner,Number,9,
Males,2020–21,Intimate partner,Number,13,
Males,2021–22,Intimate partner,Number,10,
Males,2022–23,Intimate partner,Number,4,
Males,2023–24,Intimate partner,Number,10,
Males,2024–25,Intimate partner,Number,14,
Persons,1989–90,Domestic,Number,127,
Persons,1990–91,Domestic,Number,134,
Persons,1991–92,Domestic,Number,106,
Persons,1992–93,Domestic,Number,135,
Persons,1993–94,Domestic,Number,140,
Persons,1994–95,Domestic,Number,160,
Persons,1995–96,Domestic,Number,131,
Persons,1996–97,Domestic,Number,120,
Persons,1997–98,Domestic,Number,124,
Persons,1998–99,Domestic,Number,116,
Persons,1999–2000,Domestic,Number,140,
Persons,2000–01,Domestic,Number,115,
Persons,2001–02,Domestic,Number,174,
Persons,2002–03,Domestic,Number,140,
Persons,2003–04,Domestic,Number,122,
Persons,2004–05,Domestic,Number,112,
Persons,2005–06,Domestic,Number,136,
Persons,2006–07,Domestic,Number,115,
Persons,2007–08,Domestic,Number,147,
Persons,2008–09,Domestic,Number,88,
Persons,2009–10,Domestic,Number,109,
Persons,2010–11,Domestic,Number,97,
Persons,2011–12,Domestic,Number,104,
Persons,2012–13,Domestic,Number,111,
Persons,2013–14,Domestic,Number,105,
Persons,2014–15,Domestic,Number,111,
Persons,2015–16,Domestic,Number,106,
Persons,2016–17,Domestic,Number,103,
Persons,2017–18,Domestic,Number,83,
Persons,2018–19,Domestic,Number,83,
Persons,2019–20,Domestic,Number,93,
Persons,2020–21,Domestic,Number,81,
Persons,2021–22,Domestic,Number,66,
Persons,2022–23,Domestic,Number,87,
Persons,2023–24,Domestic,Number,94,
