year,offence,location,unit,value
2020,Assault,South Australia,Number,1898
2020,Assault,Northern Territory,Number,4584
2020,Homicide and related offences,New South Wales,Number,0
2020,Homicide and related offences,Queensland,Number,4
2020,Homicide and related offences,South Australia,Number,0
2020,Homicide and related offences,Northern Territory,Number,3
2020,Kidnapping/abduction,New South Wales,Number,10
2020,Kidnapping/abduction,Queensland,Number,0
2020,Kidnapping/abduction,South Australia,Number,0
2020,Kidnapping/abduction,Northern Territory,Number,0
2020,Sexual assault,New South Wales,Number,379
2020,Sexual assault,Queensland,Number,238
2020,Sexual assault,South Australia,Number,43
2020,Sexual assault,Northern Territory,Number,64
2021,Assault,New South Wales,Number,3146
2021,Assault,Queensland,Number,n.p.
2021,Assault,South Australia,Number,1857
2021,Assault,Northern Territory,Number,5053
2021,Homicide and related offences,New South Wales,Number,4
2021,Homicide and related offences,Queensland,Number,3
2021,Homicide and related offences,South Australia,Number,3
2021,Homicide and related offences,Northern Territory,Number,7
2021,Kidnapping/abduction,New South Wales,Number,10
2021,Kidnapping/abduction,Queensland,Number,0
2021,Kidnapping/abduction,South Australia,Number,3
2021,Kidnapping/abduction,Northern Territory,Number,0
2021,Sexual assault,New South Wales,Number,388
2021,Sexual assault,Queensland,Number,300
2021,Sexual assault,South Australia,Number,48
2021,Sexual assault,Northern Territory,Number,59
2022,Assault,New South Wales,Number,5054
2022,Assault,Queensland,Number,n.p.
2022,Assault,South Australia,Number,2271
2022,Assault,Northern Territory,Number,6066
2022,Homicide and related offences,New South Wales,Number,3
2022,Homicide and related offences,Queensland,Number,4
2022,Homicide and related offences,South Australia,Number,3
2022,Homicide and related offences,Northern Territory,Number,8
2022,Kidnapping/abduction,New South Wales,Number,26
2022,Kidnapping/abduction,Queensland,Number,4
2022,Kidnapping/abduction,South Australia,Number,0
2022,Kidnapping/abduction,Northern Territory,Number,0
2022,Sexual assault,New South Wales,Number,465
2022,Sexual assault,Queensland,Number,366
2022,Sexual assault,South Australia,Number,47
2022,Sexual assault,Northern Territory,Number,70
2023,Assault,New South Wales,Number,5631
2023,Assault,Queensland,Number,10946
2023,Assault,South Australia,Number,2513
2023,Assault,Northern Territory,Number,6779
2023,Homicide and related offences,New South Wales,Number,5
2023,Homicide and related offences,Queensland,Number,5
2023,Homicide and related offences,South Australia,Number,0
2023,Homicide and related offences,Northern Territory,Number,7
2023,Kidnapping/abduction,New South Wales,Number,20
2023,Kidnapping/abduction,Queensland,Number,0
2023,Kidnapping/abduction,South Australia,Number,0
2023,Kidnapping/abduction,Northern Territory,Number,0
2023,Sexual assault,New South Wales,Number,776
2023,Sexual assault,Queensland,Number,476
2023,Sexual assault,South Australia,Number,76
2023,Sexual assault,Northern Territory,Number,73
2024,Assault,New South Wales,Number,5640
2024,Assault,Queensland,Number,6971
2024,Assault,South Australia,Number,2951
2024,Assault,Northern Territory,Number,n.p.
2024,Homicide and related offences,New South Wales,Number,0
2024,Homicide and related offences,Queensland,Number,n.p.
2024,Homicide and related offences,South Australia,Number,3
2024,Homicide and related offences,Northern Territory,Number,n.p.
2024,Kidnapping/abduction,New South Wales,Number,17
2024,Kidnapping/abduction,Queensland,Number,n.p.
2024,Kidnapping/abduction,South Australia,Number,3
2024,Kidnapping/abduction,Northern Territory,Number,n.p.
2024,Sexual assault,New South Wales,Number,820
2024,Sexual assault,Queensland,Number,444
2024,Sexual assault,South Australia,Number,66
2024,Sexual assault,Northern Territory,Number,n.p.
2016,Assault,New South Wales,Proportion,64.7
2016,Assault,Queensland,Proportion,n.p.
2016,Assault,South Australia,Proportion,68.8
2016,Assault,Northern Territory,Proportion,75.1
2016,Homicide and related offences,New South Wales,Proportion,n.p.
2016,Homicide and related offences,Queensland,Proportion,n.p.
2016,Homicide and related offences,South Australia,Proportion,n.p.
2016,Homicide and related offences,Northern Territory,Proportion,n.p.
2016,Kidnapping/abduction,New South Wales,Proportion,n.p.
2016,Kidnapping/abduction,Queensland,Proportion,n.p.
2016,Kidnapping/abduction,South Australia,Proportion,n.p.
2016,Kidnapping/abduction,Northern Territory,Proportion,n.p.
2016,Sexual assault,New South Wales,Proportion,42.3
2016,Sexual assault,Queensland,Proportion,37.9
2016,Sexual assault,South Australia,Proportion,48.2
2016,Sexual assault,Northern Territory,Proportion,38.9
2017,Assault,New South Wales,Proportion,64.1
2017,Assault,Queensland,Proportion,n.p.
2017,Assault,South Australia,Proportion,68.4
2017,Assault,Northern Territory,Proportion,73.6
2017,Homicide and related offences,New South Wales,Proportion,n.p.
2017,Homicide and related offences,Queensland,Proportion,n.p.
2017,Homicide and related offences,South Australia,Proportion,n.p.
2017,Homicide and related offences,Northern Territory,Proportion,n.p.
2017,Kidnapping/abduction,New South Wales,Proportion,n.p.
2017,Kidnapping/abduction,Queensland,Proportion,n.p.
2017,Kidnapping/abduction,South Australia,Proportion,n.p.
2017,Kidnapping/abduction,Northern Territory,Proportion,n.p.
2017,Sexual assault,New South Wales,Proportion,39.7
2017,Sexual assault,Queensland,Proportion,35.5
2017,Sexual assault,South Australia,Proportion,41.9
2017,Sexual assault,Northern Territory,Proportion,40.4
2018,Assault,New South Wales,Proportion,63.1
2018,Assault,Queensland,Proportion,n.p.
2018,Assault,South Australia,Proportion,68.1
2018,Assault,Northern Territory,Proportion,75.3
2018,Homicide and related offences,New South Wales,Proportion,n.p.
2018,Homicide and related offences,Queensland,Proportion,n.p.
2018,Homicide and related offences,South Australia,Proportion,n.p.
2018,Homicide and related offences,Northern Territory,Proportion,n.p.
2018,Kidnapping/abduction,New South Wales,Proportion,n.p.
2018,Kidnapping/abduction,Queensland,Proportion,n.p.
2018,Kidnapping/abduction,South Australia,Proportion,n.p.
2018,Kidnapping/abduction,Northern Territory,Proportion,n.p.
2018,Sexual assault,New South Wales,Proportion,43.2
2018,Sexual assault,Queensland,Proportion,43.4
2018,Sexual assault,South Australia,Proportion,43.5
2018,Sexual assault,Northern Territory,Proportion,36.2
2019,Assault,New South Wales,Proportion,66.4
2019,Assault,Queensland,Proportion,n.p.
2019,Assault,South Australia,Proportion,71.5
2019,Assault,Northern Territory,Proportion,76.7
2019,Homicide and related offences,New South Wales,Proportion,n.p.
2019,Homicide and related offences,Queensland,Proportion,n.p.
2019,Homicide and related offences,South Australia,Proportion,n.p.
2019,Homicide and related offences,Northern Territory,Proportion,n.p.
2019,Kidnapping/abduction,New South Wales,Proportion,n.p.
2019,Kidnapping/abduction,Queensland,Proportion,n.p.
2019,Kidnapping/abduction,South Australia,Proportion,n.p.
2019,Kidnapping/abduction,Northern Territory,Proportion,n.p.
