sex,year,characteristic,subcategory,location,unit,value
Females,2024,Age at report,45–54 years at report,Australian Capital Territory,Number,75
Females,2024,Age at report,55–64 years at report,Australian Capital Territory,Number,36
Females,2024,Age at report,65 years and over at report,Australian Capital Territory,Number,28
Females,2024,Relationship of offender to victim,Intimate partner,Australian Capital Territory,Number,432
Females,2024,Relationship of offender to victim,Current partner,Australian Capital Territory,Number,311
Females,2024,Relationship of offender to victim,Ex-partner,Australian Capital Territory,Number,118
Females,2024,Relationship of offender to victim,Parent,Australian Capital Territory,Number,78
Females,2024,Relationship of offender to victim,Other,Australian Capital Territory,Number,173
Females,2024,Setting of offence,Community location,Australian Capital Territory,Number,88
Females,2024,Setting of offence,Residential location,Australian Capital Territory,Number,578
Females,2024,Age at report,0–9 years at report,Northern Territory,Number,44
Females,2024,Age at report,10–17 years at report,Northern Territory,Number,360
Females,2024,Age at report,18–24 years at report,Northern Territory,Number,1247
Females,2024,Age at report,25–34 years at report,Northern Territory,Number,1878
Females,2024,Age at report,35–44 years at report,Northern Territory,Number,1441
Females,2024,Age at report,45–54 years at report,Northern Territory,Number,722
Females,2024,Age at report,55–64 years at report,Northern Territory,Number,236
Females,2024,Age at report,65 years and over at report,Northern Territory,Number,58
Females,2024,Relationship of offender to victim,Intimate partner,Northern Territory,Number,n.a.
Females,2024,Relationship of offender to victim,Current partner,Northern Territory,Number,n.a.
Females,2024,Relationship of offender to victim,Ex-partner,Northern Territory,Number,n.a.
Females,2024,Relationship of offender to victim,Parent,Northern Territory,Number,n.a.
Females,2024,Relationship of offender to victim,Other,Northern Territory,Number,n.a.
Females,2024,Setting of offence,Community location,Northern Territory,Number,2040
Females,2024,Setting of offence,Residential location,Northern Territory,Number,2799
Males,2024,Age at report,0–9 years at report,New South Wales,Number,1023
Males,2024,Age at report,10–17 years at report,New South Wales,Number,1824
Males,2024,Age at report,18–24 years at report,New South Wales,Number,1723
Males,2024,Age at report,25–34 years at report,New South Wales,Number,2546
Males,2024,Age at report,35–44 years at report,New South Wales,Number,2263
Males,2024,Age at report,45–54 years at report,New South Wales,Number,1856
Males,2024,Age at report,55–64 years at report,New South Wales,Number,1155
Males,2024,Age at report,65 years and over at report,New South Wales,Number,853
Males,2024,Relationship of offender to victim,Intimate partner,New South Wales,Number,4879
Males,2024,Relationship of offender to victim,Current partner,New South Wales,Number,3966
Males,2024,Relationship of offender to victim,Ex-partner,New South Wales,Number,910
Males,2024,Relationship of offender to victim,Parent,New South Wales,Number,2590
Males,2024,Relationship of offender to victim,Other,New South Wales,Number,5622
Males,2024,Setting of offence,Community location,New South Wales,Number,1086
Males,2024,Setting of offence,Residential location,New South Wales,Number,11525
Males,2024,Age at report,0–9 years at report,Queensland,Number,500
Males,2024,Age at report,10–17 years at report,Queensland,Number,1411
Males,2024,Age at report,18–24 years at report,Queensland,Number,1733
Males,2024,Age at report,25–34 years at report,Queensland,Number,2458
Males,2024,Age at report,35–44 years at report,Queensland,Number,2289
Males,2024,Age at report,45–54 years at report,Queensland,Number,1832
Males,2024,Age at report,55–64 years at report,Queensland,Number,963
Males,2024,Age at report,65 years and over at report,Queensland,Number,528
Males,2024,Relationship of offender to victim,Intimate partner,Queensland,Number,4956
Males,2024,Relationship of offender to victim,Current partner,Queensland,Number,3935
Males,2024,Relationship of offender to victim,Ex-partner,Queensland,Number,1019
Males,2024,Relationship of offender to victim,Parent,Queensland,Number,1755
Males,2024,Relationship of offender to victim,Other,Queensland,Number,4208
Males,2024,Setting of offence,Community location,Queensland,Number,1320
Males,2024,Setting of offence,Residential location,Queensland,Number,9854
Males,2024,Age at report,0–9 years at report,Western Australia,Number,370
Males,2024,Age at report,10–17 years at report,Western Australia,Number,962
Males,2024,Age at report,18–24 years at report,Western Australia,Number,976
Males,2024,Age at report,25–34 years at report,Western Australia,Number,1702
Males,2024,Age at report,35–44 years at report,Western Australia,Number,1784
Males,2024,Age at report,45–54 years at report,Western Australia,Number,1299
Males,2024,Age at report,55–64 years at report,Western Australia,Number,578
Males,2024,Age at report,65 years and over at report,Western Australia,Number,383
Males,2024,Relationship of offender to victim,Intimate partner,Western Australia,Number,n.a.
Males,2024,Relationship of offender to victim,Current partner,Western Australia,Number,n.a.
Males,2024,Relationship of offender to victim,Ex-partner,Western Australia,Number,n.a.
Males,2024,Relationship of offender to victim,Parent,Western Australia,Number,n.a.
Males,2024,Relationship of offender to victim,Other,Western Australia,Number,n.a.
Males,2024,Setting of offence,Community location,Western Australia,Number,756
Males,2024,Setting of offence,Residential location,Western Australia,Number,7018
Males,2024,Age at report,0–9 years at report,South Australia,Number,122
Males,2024,Age at report,10–17 years at report,South Australia,Number,316
Males,2024,Age at report,18–24 years at report,South Australia,Number,398
Males,2024,Age at report,25–34 years at report,South Australia,Number,654
Males,2024,Age at report,35–44 years at report,South Australia,Number,798
Males,2024,Age at report,45–54 years at report,South Australia,Number,545
Males,2024,Age at report,55–64 years at report,South Australia,Number,400
Males,2024,Age at report,65 years and over at report,South Australia,Number,233
Males,2024,Relationship of offender to victim,Intimate partner,South Australia,Number,1606
Males,2024,Relationship of offender to victim,Current partner,South Australia,Number,1026
Males,2024,Relationship of offender to victim,Ex-partner,South Australia,Number,582
Males,2024,Relationship of offender to victim,Parent,South Australia,Number,748
Males,2024,Relationship of offender to victim,Other,South Australia,Number,1106
Males,2024,Setting of offence,Community location,South Australia,Number,535
Males,2024,Setting of offence,Residential location,South Australia,Number,2842
Males,2024,Age at report,0–9 years at report,Tasmania,Number,23
Males,2024,Age at report,10–17 years at report,Tasmania,Number,46
Males,2024,Age at report,18–24 years at report,Tasmania,Number,73
Males,2024,Age at report,25–34 years at report,Tasmania,Number,130
Males,2024,Age at report,35–44 years at report,Tasmania,Number,108
Males,2024,Age at report,45–54 years at report,Tasmania,Number,80
Males,2024,Age at report,55–64 years at report,Tasmania,Number,42
Males,2024,Age at report,65 years and over at report,Tasmania,Number,25
Males,2024,Relationship of offender to victim,Intimate partner,Tasmania,Number,379
Males,2024,Relationship of offender to victim,Current partner,Tasmania,Number,229
Males,2024,Relationship of offender to victim,Ex-partner,Tasmania,Number,159
Males,2024,Relationship of offender to victim,Parent,Tasmania,Number,56
Males,2024,Relationship of offender to victim,Other,Tasmania,Number,89
Males,2024,Setting of offence,Community location,Tasmania,Number,71
Males,2024,Setting of offence,Residential location,Tasmania,Number,435
Males,2024,Age at report,0–9 years at report,Australian Capital Territory,Number,38
Males,2024,Age at report,10–17 years at report,Australian Capital Territory,Number,40
Males,2024,Age at report,18–24 years at report,Australian Capital Territory,Number,36
Males,2024,Age at report,25–34 years at report,Australian Capital Territory,Number,35
Males,2024,Age at report,35–44 years at report,Australian Capital Territory,Number,55
Males,2024,Age at report,45–54 years at report,Australian Capital Territory,Number,50
Males,2024,Age at report,55–64 years at report,Australian Capital Territory,Number,26
Males,2024,Age at report,65 years and over at report,Australian Capital Territory,Number,12
Males,2024,Relationship of offender to victim,Intimate partner,Australian Capital Territory,Number,111
Males,2024,Relationship of offender to victim,Current partner,Australian Capital Territory,Number,78
Males,2024,Relationship of offender to victim,Ex-partner,Australian Capital Territory,Number,35
Males,2024,Relationship of offender to victim,Parent,Australian Capital Territory,Number,70
Males,2024,Relationship of offender to victim,Other,Australian Capital Territory,Number,118
Males,2024,Setting of offence,Community location,Australian Capital Territory,Number,30
Males,2024,Setting of offence,Residential location,Australian Capital Territory,Number,263
Males,2024,Age at report,0–9 years at report,Northern Territory,Number,42
Males,2024,Age at report,10–17 years at report,Northern Territory,Number,97
Males,2024,Age at report,18–24 years at report,Northern Territory,Number,204
Males,2024,Age at report,25–34 years at report,Northern Territory,Number,399
Males,2024,Age at report,35–44 years at report,Northern Territory,Number,350
Males,2024,Age at report,45–54 years at report,Northern Territory,Number,241
Males,2024,Age at report,55–64 years at report,Northern Territory,Number,108
Males,2024,Age at report,65 years and over at report,Northern Territory,Number,39
Males,2024,Relationship of offender to victim,Intimate partner,Northern Territory,Number,n.a.
Males,2024,Relationship of offender to victim,Current partner,Northern Territory,Number,n.a.
Males,2024,Relationship of offender to victim,Ex-partner,Northern Territory,Number,n.a.
Males,2024,Relationship of offender to victim,Parent,Northern Territory,Number,n.a.
Males,2024,Relationship of offender to victim,Other,Northern Territory,Number,n.a.
Males,2024,Setting of offence,Community location,Northern Territory,Number,465
Males,2024,Setting of offence,Residential location,Northern Territory,Number,724
Persons,2024,Age at report,0–9 years at report,New South Wales,Number,1799
Persons,2024,Age at report,10–17 years at report,New South Wales,Number,4355
Persons,2024,Age at report,18–24 years at report,New South Wales,Number,5577
Persons,2024,Age at report,25–34 years at report,New South Wales,Number,8914
Persons,2024,Age at report,35–44 years at report,New South Wales,Number,7939
Persons,2024,Age at report,45–54 years at report,New South Wales,Number,5360
Persons,2024,Age at report,55–64 years at report,New South Wales,Number,2702
Persons,2024,Age at report,65 years and over at report,New South Wales,Number,2013
Persons,2024,Relationship of offender to victim,Intimate partner,New South Wales,Number,19916
Persons,2024,Relationship of offender to victim,Current partner,New South Wales,Number,16071
Persons,2024,Relationship of offender to victim,Ex-partner,New South Wales,Number,3842
Persons,2024,Relationship of offender to victim,Parent,New South Wales,Number,5676
Persons,2024,Relationship of offender to victim,Other,New South Wales,Number,12841
Persons,2024,Setting of offence,Community location,New South Wales,Number,3224
Persons,2024,Setting of offence,Residential location,New South Wales,Number,33738
Persons,2024,Age at report,0–9 years at report,Queensland,Number,844
Persons,2024,Age at report,10–17 years at report,Queensland,Number,3611
Persons,2024,Age at report,18–24 years at report,Queensland,Number,6219
Persons,2024,Age at report,25–34 years at report,Queensland,Number,9261
Persons,2024,Age at report,35–44 years at report,Queensland,Number,8098
Persons,2024,Age at report,45–54 years at report,Queensland,Number,5402
Persons,2024,Age at report,55–64 years at report,Queensland,Number,2256
Persons,2024,Age at report,65 years and over at report,Queensland,Number,1195
Persons,2024,Relationship of offender to victim,Intimate partner,Queensland,Number,19816
Persons,2024,Relationship of offender to victim,Current partner,Queensland,Number,15665
Persons,2024,Relationship of offender to victim,Ex-partner,Queensland,Number,4151
Persons,2024,Relationship of offender to victim,Parent,Queensland,Number,4055
Persons,2024,Relationship of offender to victim,Other,Queensland,Number,10964
Persons,2024,Setting of offence,Community location,Queensland,Number,4394
Persons,2024,Setting of offence,Residential location,Queensland,Number,30806
Persons,2024,Age at report,0–9 years at report,Western Australia,Number,658
Persons,2024,Age at report,10–17 years at report,Western Australia,Number,2783
Persons,2024,Age at report,18–24 years at report,Western Australia,Number,4791
Persons,2024,Age at report,25–34 years at report,Western Australia,Number,8140
Persons,2024,Age at report,35–44 years at report,Western Australia,Number,7398
Persons,2024,Age at report,45–54 years at report,Western Australia,Number,4223
Persons,2024,Age at report,55–64 years at report,Western Australia,Number,1579
Persons,2024,Age at report,65 years and over at report,Western Australia,Number,874
Persons,2024,Relationship of offender to victim,Intimate partner,Western Australia,Number,n.a.
Persons,2024,Relationship of offender to victim,Current partner,Western Australia,Number,n.a.
Persons,2024,Relationship of offender to victim,Ex-partner,Western Australia,Number,n.a.
Persons,2024,Relationship of offender to victim,Parent,Western Australia,Number,n.a.
Persons,2024,Relationship of offender to victim,Other,Western Australia,Number,n.a.
Persons,2024,Setting of offence,Community location,Western Australia,Number,3182
Persons,2024,Setting of offence,Residential location,Western Australia,Number,26167
Persons,2024,Age at report,0–9 years at report,South Australia,Number,210
Persons,2024,Age at report,10–17 years at report,South Australia,Number,799
Persons,2024,Age at report,18–24 years at report,South Australia,Number,1524
Persons,2024,Age at report,25–34 years at report,South Australia,Number,2918
Persons,2024,Age at report,35–44 years at report,South Australia,Number,3135
Persons,2024,Age at report,45–54 years at report,South Australia,Number,1815
Persons,2024,Age at report,55–64 years at report,South Australia,Number,915
Persons,2024,Age at report,65 years and over at report,South Australia,Number,573
Persons,2024,Relationship of offender to victim,Intimate partner,South Australia,Number,7198
Persons,2024,Relationship of offender to victim,Current partner,South Australia,Number,4601
Persons,2024,Relationship of offender to victim,Ex-partner,South Australia,Number,2595
Persons,2024,Relationship of offender to victim,Parent,South Australia,Number,2014
Persons,2024,Relationship of offender to victim,Other,South Australia,Number,2648
Persons,2024,Setting of offence,Community location,South Australia,Number,1777
Persons,2024,Setting of offence,Residential location,South Australia,Number,9792
Persons,2024,Age at report,0–9 years at report,Tasmania,Number,54
Persons,2024,Age at report,10–17 years at report,Tasmania,Number,136
Persons,2024,Age at report,18–24 years at report,Tasmania,Number,329
Persons,2024,Age at report,25–34 years at report,Tasmania,Number,602
Persons,2024,Age at report,35–44 years at report,Tasmania,Number,459
Persons,2024,Age at report,45–54 years at report,Tasmania,Number,240
Persons,2024,Age at report,55–64 years at report,Tasmania,Number,103
Persons,2024,Age at report,65 years and over at report,Tasmania,Number,61
Persons,2024,Relationship of offender to victim,Intimate partner,Tasmania,Number,1607
Persons,2024,Relationship of offender to victim,Current partner,Tasmania,Number,938
Persons,2024,Relationship of offender to victim,Ex-partner,Tasmania,Number,675
Persons,2024,Relationship of offender to victim,Parent,Tasmania,Number,134
Persons,2024,Relationship of offender to victim,Other,Tasmania,Number,253
Persons,2024,Setting of offence,Community location,Tasmania,Number,231
Persons,2024,Setting of offence,Residential location,Tasmania,Number,1673
Persons,2024,Age at report,0–9 years at report,Australian Capital Territory,Number,54
Persons,2024,Age at report,10–17 years at report,Australian Capital Territory,Number,110
Persons,2024,Age at report,18–24 years at report,Australian Capital Territory,Number,129
Persons,2024,Age at report,25–34 years at report,Australian Capital Territory,Number,224
Persons,2024,Age at report,35–44 years at report,Australian Capital Territory,Number,232
Persons,2024,Age at report,45–54 years at report,Australian Capital Territory,Number,129
Persons,2024,Age at report,55–64 years at report,Australian Capital Territory,Number,67
Persons,2024,Age at report,65 years and over at report,Australian Capital Territory,Number,47
Persons,2024,Relationship of offender to victim,Intimate partner,Australian Capital Territory,Number,544
Persons,2024,Relationship of offender to victim,Current partner,Australian Capital Territory,Number,396
Persons,2024,Relationship of offender to victim,Ex-partner,Australian Capital Territory,Number,145
Persons,2024,Relationship of offender to victim,Parent,Australian Capital Territory,Number,151
Persons,2024,Relationship of offender to victim,Other,Australian Capital Territory,Number,282
Persons,2024,Setting of offence,Community location,Australian Capital Territory,Number,121
Persons,2024,Setting of offence,Residential location,Australian Capital Territory,Number,863
Persons,2024,Age at report,0–9 years at report,Northern Territory,Number,95
Persons,2024,Age at report,10–17 years at report,Northern Territory,Number,460
Persons,2024,Age at report,18–24 years at report,Northern Territory,Number,1453
Persons,2024,Age at report,25–34 years at report,Northern Territory,Number,2288
Persons,2024,Age at report,35–44 years at report,Northern Territory,Number,1795
Persons,2024,Age at report,45–54 years at report,Northern Territory,Number,966
Persons,2024,Age at report,55–64 years at report,Northern Territory,Number,349
Persons,2024,Age at report,65 years and over at report,Northern Territory,Number,97
Persons,2024,Relationship of offender to victim,Intimate partner,Northern Territory,Number,n.a.
Persons,2024,Relationship of offender to victim,Current partner,Northern Territory,Number,n.a.
Persons,2024,Relationship of offender to victim,Ex-partner,Northern Territory,Number,n.a.
Persons,2024,Relationship of offender to victim,Parent,Northern Territory,Number,n.a.
Persons,2024,Relationship of offender to victim,Other,Northern Territory,Number,n.a.
Persons,2024,Setting of offence,Community location,Northern Territory,Number,2513
Persons,2024,Setting of offence,Residential location,Northern Territory,Number,3529
Females,2024,Age at report,0–9 years at report,New South Wales,Proportion (%),3.2
Females,2024,Age at report,10–17 years at report,New South Wales,Proportion (%),10.3
Females,2024,Age at report,18–24 years at report,New South Wales,Proportion (%),15.5
Females,2024,Age at report,25–34 years at report,New South Wales,Proportion (%),25.4
Females,2024,Age at report,35–44 years at report,New South Wales,Proportion (%),22.1
Females,2024,Age at report,45–54 years at report,New South Wales,Proportion (%),13.3
Females,2024,Age at report,55–64 years at report,New South Wales,Proportion (%),5.8
Females,2024,Age at report,65 years and over at report,New South Wales,Proportion (%),4.3
Females,2024,Relationship of offender to victim,Intimate partner,New South Wales,Proportion (%),59.4
Females,2024,Relationship of offender to victim,Current partner,New South Wales,Proportion (%),47.8
Females,2024,Relationship of offender to victim,Ex-partner,New South Wales,Proportion (%),11.6
Females,2024,Relationship of offender to victim,Parent,New South Wales,Proportion (%),12.5
Females,2024,Relationship of offender to victim,Other,New South Wales,Proportion (%),27.7
Females,2024,Setting of offence,Community location,New South Wales,Proportion (%),8.4
Females,2024,Setting of offence,Residential location,New South Wales,Proportion (%),87.2
Females,2024,Age at report,0–9 years at report,Queensland,Proportion (%),1.4
Females,2024,Age at report,10–17 years at report,Queensland,Proportion (%),8.7
Females,2024,Age at report,18–24 years at report,Queensland,Proportion (%),17.8
Females,2024,Age at report,25–34 years at report,Queensland,Proportion (%),27.0
Females,2024,Age at report,35–44 years at report,Queensland,Proportion (%),23.1
Females,2024,Age at report,45–54 years at report,Queensland,Proportion (%),14.2
Females,2024,Age at report,55–64 years at report,Queensland,Proportion (%),5.1
Females,2024,Age at report,65 years and over at report,Queensland,Proportion (%),2.7
Females,2024,Relationship of offender to victim,Intimate partner,Queensland,Proportion (%),59.0
Females,2024,Relationship of offender to victim,Current partner,Queensland,Proportion (%),46.6
Females,2024,Relationship of offender to victim,Ex-partner,Queensland,Proportion (%),12.5
Females,2024,Relationship of offender to victim,Parent,Queensland,Proportion (%),9.1
Females,2024,Relationship of offender to victim,Other,Queensland,Proportion (%),26.8
Females,2024,Setting of offence,Community location,Queensland,Proportion (%),12.2
Females,2024,Setting of offence,Residential location,Queensland,Proportion (%),83.2
Females,2024,Age at report,0–9 years at report,Western Australia,Proportion (%),1.2
Females,2024,Age at report,10–17 years at report,Western Australia,Proportion (%),8.0
Females,2024,Age at report,18–24 years at report,Western Australia,Proportion (%),17.1
Females,2024,Age at report,25–34 years at report,Western Australia,Proportion (%),28.8
Females,2024,Age at report,35–44 years at report,Western Australia,Proportion (%),25.1
Females,2024,Age at report,45–54 years at report,Western Australia,Proportion (%),13.1
Females,2024,Age at report,55–64 years at report,Western Australia,Proportion (%),4.5
Females,2024,Age at report,65 years and over at report,Western Australia,Proportion (%),2.2
Females,2024,Relationship of offender to victim,Intimate partner,Western Australia,Proportion (%),n.a.
Females,2024,Relationship of offender to victim,Current partner,Western Australia,Proportion (%),n.a.
Females,2024,Relationship of offender to victim,Ex-partner,Western Australia,Proportion (%),n.a.
Females,2024,Relationship of offender to victim,Parent,Western Australia,Proportion (%),n.a.
Females,2024,Relationship of offender to victim,Other,Western Australia,Proportion (%),n.a.
Females,2024,Setting of offence,Community location,Western Australia,Proportion (%),10.8
Females,2024,Setting of offence,Residential location,Western Australia,Proportion (%),85.5
Females,2024,Age at report,0–9 years at report,South Australia,Proportion (%),1.0
Females,2024,Age at report,10–17 years at report,South Australia,Proportion (%),5.7
Females,2024,Age at report,18–24 years at report,South Australia,Proportion (%),13.3
Females,2024,Age at report,25–34 years at report,South Australia,Proportion (%),26.9
Females,2024,Age at report,35–44 years at report,South Australia,Proportion (%),27.8
Females,2024,Age at report,45–54 years at report,South Australia,Proportion (%),15.1
Females,2024,Age at report,55–64 years at report,South Australia,Proportion (%),6.1
Females,2024,Age at report,65 years and over at report,South Australia,Proportion (%),4.1
Females,2024,Relationship of offender to victim,Intimate partner,South Australia,Proportion (%),66.4
Females,2024,Relationship of offender to victim,Current partner,South Australia,Proportion (%),42.5
Females,2024,Relationship of offender to victim,Ex-partner,South Australia,Proportion (%),24.0
Females,2024,Relationship of offender to victim,Parent,South Australia,Proportion (%),15.0
Females,2024,Relationship of offender to victim,Other,South Australia,Proportion (%),18.3
Females,2024,Setting of offence,Community location,South Australia,Proportion (%),14.7
Females,2024,Setting of offence,Residential location,South Australia,Proportion (%),82.6
Females,2024,Age at report,0–9 years at report,Tasmania,Proportion (%),1.9
Females,2024,Age at report,10–17 years at report,Tasmania,Proportion (%),6.0
Females,2024,Age at report,18–24 years at report,Tasmania,Proportion (%),17.5
Females,2024,Age at report,25–34 years at report,Tasmania,Proportion (%),32.0
Females,2024,Age at report,35–44 years at report,Tasmania,Proportion (%),24.2
Females,2024,Age at report,45–54 years at report,Tasmania,Proportion (%),11.1
Females,2024,Age at report,55–64 years at report,Tasmania,Proportion (%),4.4
Females,2024,Age at report,65 years and over at report,Tasmania,Proportion (%),2.1
Females,2024,Relationship of offender to victim,Intimate partner,Tasmania,Proportion (%),84.1
Females,2024,Relationship of offender to victim,Current partner,Tasmania,Proportion (%),48.5
Females,2024,Relationship of offender to victim,Ex-partner,Tasmania,Proportion (%),35.5
Females,2024,Relationship of offender to victim,Parent,Tasmania,Proportion (%),5.4
Females,2024,Relationship of offender to victim,Other,Tasmania,Proportion (%),10.9
Females,2024,Setting of offence,Community location,Tasmania,Proportion (%),10.7
Females,2024,Setting of offence,Residential location,Tasmania,Proportion (%),84.8
Females,2024,Age at report,0–9 years at report,Australian Capital Territory,Proportion (%),2.8
Females,2024,Age at report,10–17 years at report,Australian Capital Territory,Proportion (%),10.4
Females,2024,Age at report,18–24 years at report,Australian Capital Territory,Proportion (%),13.2
Females,2024,Age at report,25–34 years at report,Australian Capital Territory,Proportion (%),26.9
Females,2024,Age at report,35–44 years at report,Australian Capital Territory,Proportion (%),25.4
Females,2024,Age at report,45–54 years at report,Australian Capital Territory,Proportion (%),11.0
Females,2024,Age at report,55–64 years at report,Australian Capital Territory,Proportion (%),5.3
Females,2024,Age at report,65 years and over at report,Australian Capital Territory,Proportion (%),4.1
Females,2024,Relationship of offender to victim,Intimate partner,Australian Capital Territory,Proportion (%),63.2
Females,2024,Relationship of offender to victim,Current partner,Australian Capital Territory,Proportion (%),45.5
Females,2024,Relationship of offender to victim,Ex-partner,Australian Capital Territory,Proportion (%),17.3
Females,2024,Relationship of offender to victim,Parent,Australian Capital Territory,Proportion (%),11.4
Females,2024,Relationship of offender to victim,Other,Australian Capital Territory,Proportion (%),25.3
Females,2024,Setting of offence,Community location,Australian Capital Territory,Proportion (%),12.9
Females,2024,Setting of offence,Residential location,Australian Capital Territory,Proportion (%),84.5
Females,2024,Age at report,0–9 years at report,Northern Territory,Proportion (%),0.7
Females,2024,Age at report,10–17 years at report,Northern Territory,Proportion (%),6.0
Females,2024,Age at report,18–24 years at report,Northern Territory,Proportion (%),20.8
Females,2024,Age at report,25–34 years at report,Northern Territory,Proportion (%),31.3
Females,2024,Age at report,35–44 years at report,Northern Territory,Proportion (%),24.0
Females,2024,Age at report,45–54 years at report,Northern Territory,Proportion (%),12.0
Females,2024,Age at report,55–64 years at report,Northern Territory,Proportion (%),3.9
Females,2024,Age at report,65 years and over at report,Northern Territory,Proportion (%),1.0
Females,2024,Relationship of offender to victim,Intimate partner,Northern Territory,Proportion (%),n.a.
Females,2024,Relationship of offender to victim,Current partner,Northern Territory,Proportion (%),n.a.
