sex,year,characteristic,subcategory,unit,value
Persons,2023,Time to report,2 to less than 5 years,Number,2403
Persons,2023,Time to report,5 to less than 10 years,Number,2096
Persons,2023,Time to report,10 to less than 20 years,Number,1632
Persons,2023,Time to report,20 years and over,Number,3238
Persons,2023,Weapon used,Yes,Number,471
Persons,2023,Weapon used,No,Number,34157
Persons,2024,Aggravated sexual assault,Yes,Number,32125
Persons,2024,Aggravated sexual assault,No,Number,7958
Persons,2024,Finalised investigation,Yes,Number,n.p.
Persons,2024,Finalised investigation,No,Number,n.p.
Persons,2024,Setting of offence,Residential,Number,27778
Persons,2024,Setting of offence,Community,Number,7112
Persons,2024,Setting of offence,Other location,Number,4173
Persons,2024,Time to report,Less than 1 year,Number,27015
Persons,2024,Time to report,1 to less than 2 years,Number,2291
Persons,2024,Time to report,2 to less than 5 years,Number,2625
Persons,2024,Time to report,5 to less than 10 years,Number,2183
Persons,2024,Time to report,10 to less than 20 years,Number,1999
Persons,2024,Time to report,20 years and over,Number,3960
Persons,2024,Weapon used,Yes,Number,n.p.
Persons,2024,Weapon used,No,Number,n.p.
Persons,2010,Aggravated sexual assault,Yes,Proportion (%),81.2
Persons,2010,Aggravated sexual assault,No,Proportion (%),18.8
Persons,2010,Finalised investigation,Yes,Proportion (%),44.0
Persons,2010,Finalised investigation,No,Proportion (%),56.0
Persons,2010,Setting of offence,Residential,Proportion (%),66.4
Persons,2010,Setting of offence,Community,Proportion (%),18.9
Persons,2010,Setting of offence,Other location,Proportion (%),9.4
Persons,2010,Weapon used,Yes,Proportion (%),1.7
Persons,2010,Weapon used,No,Proportion (%),97.8
Persons,2011,Aggravated sexual assault,Yes,Proportion (%),81.3
Persons,2011,Aggravated sexual assault,No,Proportion (%),18.7
Persons,2011,Finalised investigation,Yes,Proportion (%),43.2
Persons,2011,Finalised investigation,No,Proportion (%),56.8
Persons,2011,Setting of offence,Residential,Proportion (%),65.2
Persons,2011,Setting of offence,Community,Proportion (%),19.4
Persons,2011,Setting of offence,Other location,Proportion (%),9.4
Persons,2011,Weapon used,Yes,Proportion (%),1.5
Persons,2011,Weapon used,No,Proportion (%),97.8
Persons,2012,Aggravated sexual assault,Yes,Proportion (%),81.1
Persons,2012,Aggravated sexual assault,No,Proportion (%),18.9
Persons,2012,Finalised investigation,Yes,Proportion (%),42.3
Persons,2012,Finalised investigation,No,Proportion (%),57.7
Persons,2012,Setting of offence,Residential,Proportion (%),64.4
Persons,2012,Setting of offence,Community,Proportion (%),19.1
Persons,2012,Setting of offence,Other location,Proportion (%),9.2
Persons,2012,Weapon used,Yes,Proportion (%),1.5
Persons,2012,Weapon used,No,Proportion (%),96.5
Persons,2013,Aggravated sexual assault,Yes,Proportion (%),81.2
Persons,2013,Aggravated sexual assault,No,Proportion (%),18.8
Persons,2013,Finalised investigation,Yes,Proportion (%),42.0
Persons,2013,Finalised investigation,No,Proportion (%),58.0
Persons,2013,Setting of offence,Residential,Proportion (%),66.6
Persons,2013,Setting of offence,Community,Proportion (%),19.3
Persons,2013,Setting of offence,Other location,Proportion (%),8.9
Persons,2013,Weapon used,Yes,Proportion (%),1.4
Persons,2013,Weapon used,No,Proportion (%),96.6
Persons,2014,Aggravated sexual assault,Yes,Proportion (%),80.5
Persons,2014,Aggravated sexual assault,No,Proportion (%),19.5
Persons,2014,Finalised investigation,Yes,Proportion (%),41.1
Persons,2014,Finalised investigation,No,Proportion (%),58.9
Persons,2014,Setting of offence,Residential,Proportion (%),68.2
Persons,2014,Setting of offence,Community,Proportion (%),17.6
Persons,2014,Setting of offence,Other location,Proportion (%),10.5
Persons,2014,Time to report,Less than 1 year,Proportion (%),76.9
Persons,2014,Time to report,1 to less than 2 years,Proportion (%),4.2
Persons,2014,Time to report,2 to less than 5 years,Proportion (%),4.9
Persons,2014,Time to report,5 to less than 10 years,Proportion (%),4.2
Persons,2014,Time to report,10 to less than 20 years,Proportion (%),3.8
Persons,2014,Time to report,20 years and over,Proportion (%),5.8
Persons,2014,Weapon used,Yes,Proportion (%),2.0
Persons,2014,Weapon used,No,Proportion (%),95.0
Persons,2015,Aggravated sexual assault,Yes,Proportion (%),80.6
Persons,2015,Aggravated sexual assault,No,Proportion (%),19.4
Persons,2015,Finalised investigation,Yes,Proportion (%),34.7
Persons,2015,Finalised investigation,No,Proportion (%),65.3
Persons,2015,Setting of offence,Residential,Proportion (%),64.0
Persons,2015,Setting of offence,Community,Proportion (%),17.0
Persons,2015,Setting of offence,Other location,Proportion (%),10.1
Persons,2015,Time to report,Less than 1 year,Proportion (%),74.1
Persons,2015,Time to report,1 to less than 2 years,Proportion (%),4.1
Persons,2015,Time to report,2 to less than 5 years,Proportion (%),4.7
Persons,2015,Time to report,5 to less than 10 years,Proportion (%),4.0
Persons,2015,Time to report,10 to less than 20 years,Proportion (%),4.2
Persons,2015,Time to report,20 years and over,Proportion (%),8.7
Persons,2015,Weapon used,Yes,Proportion (%),4.4
Persons,2015,Weapon used,No,Proportion (%),93.5
Persons,2016,Aggravated sexual assault,Yes,Proportion (%),80.5
Persons,2016,Aggravated sexual assault,No,Proportion (%),19.5
Persons,2016,Finalised investigation,Yes,Proportion (%),36.7
Persons,2016,Finalised investigation,No,Proportion (%),63.3
Persons,2016,Setting of offence,Residential,Proportion (%),66.6
Persons,2016,Setting of offence,Community,Proportion (%),17.8
Persons,2016,Setting of offence,Other location,Proportion (%),10.2
Persons,2016,Time to report,Less than 1 year,Proportion (%),72.3
Persons,2016,Time to report,1 to less than 2 years,Proportion (%),4.4
Persons,2016,Time to report,2 to less than 5 years,Proportion (%),5.6
Persons,2016,Time to report,5 to less than 10 years,Proportion (%),4.4
Persons,2016,Time to report,10 to less than 20 years,Proportion (%),4.3
Persons,2016,Time to report,20 years and over,Proportion (%),8.9
Persons,2016,Weapon used,Yes,Proportion (%),4.4
Persons,2016,Weapon used,No,Proportion (%),93.2
Persons,2017,Aggravated sexual assault,Yes,Proportion (%),79.8
Persons,2017,Aggravated sexual assault,No,Proportion (%),20.2
Persons,2017,Finalised investigation,Yes,Proportion (%),38.7
Persons,2017,Finalised investigation,No,Proportion (%),61.3
Persons,2017,Setting of offence,Residential,Proportion (%),65.9
Persons,2017,Setting of offence,Community,Proportion (%),18.5
Persons,2017,Setting of offence,Other location,Proportion (%),10.5
Persons,2017,Time to report,Less than 1 year,Proportion (%),71.6
Persons,2017,Time to report,1 to less than 2 years,Proportion (%),5.0
Persons,2017,Time to report,2 to less than 5 years,Proportion (%),5.6
Persons,2017,Time to report,5 to less than 10 years,Proportion (%),4.5
Persons,2017,Time to report,10 to less than 20 years,Proportion (%),4.3
Persons,2017,Time to report,20 years and over,Proportion (%),9.1
Persons,2017,Weapon used,Yes,Proportion (%),3.0
Persons,2017,Weapon used,No,Proportion (%),93.8
Persons,2018,Aggravated sexual assault,Yes,Proportion (%),78.9
Persons,2018,Aggravated sexual assault,No,Proportion (%),21.1
Persons,2018,Finalised investigation,Yes,Proportion (%),36.3
Persons,2018,Finalised investigation,No,Proportion (%),63.7
Persons,2018,Setting of offence,Residential,Proportion (%),64.7
Persons,2018,Setting of offence,Community,Proportion (%),16.6
Persons,2018,Setting of offence,Other location,Proportion (%),11.1
Persons,2018,Time to report,Less than 1 year,Proportion (%),73.6
Persons,2018,Time to report,1 to less than 2 years,Proportion (%),5.1
Persons,2018,Time to report,2 to less than 5 years,Proportion (%),5.4
Persons,2018,Time to report,5 to less than 10 years,Proportion (%),4.4
Persons,2018,Time to report,10 to less than 20 years,Proportion (%),3.5
Persons,2018,Time to report,20 years and over,Proportion (%),7.9
Persons,2018,Weapon used,Yes,Proportion (%),2.8
Persons,2018,Weapon used,No,Proportion (%),93.6
Persons,2019,Aggravated sexual assault,Yes,Proportion (%),78.7
Persons,2019,Aggravated sexual assault,No,Proportion (%),21.3
Persons,2019,Finalised investigation,Yes,Proportion (%),33.8
Persons,2019,Finalised investigation,No,Proportion (%),66.2
Persons,2019,Setting of offence,Residential,Proportion (%),64.7
Persons,2019,Setting of offence,Community,Proportion (%),16.0
Persons,2019,Setting of offence,Other location,Proportion (%),10.1
Persons,2019,Time to report,Less than 1 year,Proportion (%),72.9
Persons,2019,Time to report,1 to less than 2 years,Proportion (%),5.8
Persons,2019,Time to report,2 to less than 5 years,Proportion (%),5.7
Persons,2019,Time to report,5 to less than 10 years,Proportion (%),4.3
Persons,2019,Time to report,10 to less than 20 years,Proportion (%),3.7
Persons,2019,Time to report,20 years and over,Proportion (%),7.6
Persons,2019,Weapon used,Yes,Proportion (%),2.8
