date,item,is_cpi_group_level,index_number,annual_pct_change,monthly_pct_change
2018-03,Automotive fuel,False,,,-0.2
2018-04,Automotive fuel,False,,,4.8
2018-05,Automotive fuel,False,,,3
2018-06,Automotive fuel,False,,,-0.3
2018-07,Automotive fuel,False,,,-0.7
2018-08,Automotive fuel,False,,,-2.3
2018-09,Automotive fuel,False,,20.4,8.7
2018-10,Automotive fuel,False,,25.6,4.2
2018-11,Automotive fuel,False,,8.6,-8.3
2018-12,Automotive fuel,False,,-8.4,-13.2
2019-01,Automotive fuel,False,,-5.9,-1.3
2019-02,Automotive fuel,False,,-0.4,7.5
2019-03,Automotive fuel,False,,3,3.2
2019-04,Automotive fuel,False,,3.9,5.8
2019-05,Automotive fuel,False,,4.4,3.5
2019-06,Automotive fuel,False,,-3.5,-7.9
2019-07,Automotive fuel,False,,1.1,4
2019-08,Automotive fuel,False,,0.9,-2.5
2019-09,Automotive fuel,False,,-2.4,5.1
2019-10,Automotive fuel,False,,-6.1,0.2
2019-11,Automotive fuel,False,,1.8,-0.6
2019-12,Automotive fuel,False,,20.9,3.1
2020-01,Automotive fuel,False,,22.2,-0.3
2020-02,Automotive fuel,False,,6.2,-6.6
2020-03,Automotive fuel,False,,-15.1,-17.5
2020-04,Automotive fuel,False,,-26.7,-8.7
2020-05,Automotive fuel,False,,-28,1.7
2020-06,Automotive fuel,False,,-15.6,8.1
2020-07,Automotive fuel,False,,-15.4,4.2
2020-08,Automotive fuel,False,,-14.7,-1.6
2020-09,Automotive fuel,False,,-20.4,-2
2020-10,Automotive fuel,False,,-23.9,-4.1
2020-11,Automotive fuel,False,,-23.5,-0.1
2020-12,Automotive fuel,False,,-22.7,4.2
2021-01,Automotive fuel,False,,-17.3,6.8
2021-02,Automotive fuel,False,,-7.4,4.6
2021-03,Automotive fuel,False,,18.3,5.3
2021-04,Automotive fuel,False,,25.4,-3.2
2021-05,Automotive fuel,False,,26.4,2.5
2021-06,Automotive fuel,False,,16.3,-0.6
2021-07,Automotive fuel,False,,22.1,9.4
2021-08,Automotive fuel,False,,19.5,-3.7
2021-09,Automotive fuel,False,,21.8,-0.1
2021-10,Automotive fuel,False,,38.1,8.7
2021-11,Automotive fuel,False,,44.5,4.5
2021-12,Automotive fuel,False,,30.7,-5.8
2022-01,Automotive fuel,False,,28.6,5.1
2022-02,Automotive fuel,False,,30.5,6.1
2022-03,Automotive fuel,False,,44.1,16.4
2022-04,Automotive fuel,False,,24.6,-16.3
2022-05,Automotive fuel,False,,37,12.7
2022-06,Automotive fuel,False,,49.1,8.2
2022-07,Automotive fuel,False,,26.2,-7.5
2022-08,Automotive fuel,False,,17.9,-10
2022-09,Automotive fuel,False,,15,-2.6
2022-10,Automotive fuel,False,,18.6,12.1
