st_code,st_name,lga_code,lga_name,financial_year,births,deaths,natural_increase,internal_arrivals,internal_departures,net_internal_migration,overseas_arrivals,overseas_departures,net_overseas_migration
1,New South Wales,11400,Cabonne,2023-24,147,148,-1,882,894,-12,47,18,29
1,New South Wales,11400,Cabonne,2024-25,138,121,17,859,900,-41,41,19,22
1,New South Wales,11450,Camden,2021-22,2358,538,1820,13558,7861,5697,668,306,362
1,New South Wales,11450,Camden,2022-23,2223,550,1673,10854,7049,3805,1702,240,1462
1,New South Wales,11450,Camden,2023-24,2222,544,1678,10964,7380,3584,1369,275,1094
1,New South Wales,11450,Camden,2024-25,2255,571,1684,10487,7457,3030,823,312,511
1,New South Wales,11500,Campbelltown (NSW),2021-22,2681,1092,1589,13728,13565,163,2097,959,1138
1,New South Wales,11500,Campbelltown (NSW),2022-23,2710,1096,1614,11094,11205,-111,3586,759,2827
1,New South Wales,11500,Campbelltown (NSW),2023-24,2568,1118,1450,11074,11253,-179,3148,872,2276
1,New South Wales,11500,Campbelltown (NSW),2024-25,2640,1057,1583,10489,10939,-450,2584,977,1607
1,New South Wales,11520,Canada Bay,2021-22,1141,576,565,7216,9078,-1862,2782,1760,1022
1,New South Wales,11520,Canada Bay,2022-23,954,567,387,5757,6987,-1230,4596,1610,2986
1,New South Wales,11520,Canada Bay,2023-24,954,537,417,5821,7565,-1744,3974,1843,2131
1,New South Wales,11520,Canada Bay,2024-25,925,536,389,5494,6575,-1081,3399,2058,1341
1,New South Wales,11570,Canterbury-Bankstown,2021-22,5126,2548,2578,19441,26113,-6672,7655,3497,4158
1,New South Wales,11570,Canterbury-Bankstown,2022-23,4680,2320,2360,15022,19675,-4653,12757,2794,9963
1,New South Wales,11570,Canterbury-Bankstown,2023-24,4782,2196,2586,15499,20295,-4796,10870,3198,7672
1,New South Wales,11570,Canterbury-Bankstown,2024-25,5040,2292,2748,14676,19217,-4541,9417,3592,5825
1,New South Wales,11600,Carrathool,2021-22,43,15,28,193,265,-72,22,11,11
1,New South Wales,11600,Carrathool,2022-23,34,30,4,125,221,-96,31,9,22
1,New South Wales,11600,Carrathool,2023-24,36,25,11,155,182,-27,27,9,18
1,New South Wales,11600,Carrathool,2024-25,41,26,15,152,148,4,23,11,12
1,New South Wales,11650,Central Coast (NSW),2021-22,4206,3470,736,19334,20029,-695,2377,1085,1292
1,New South Wales,11650,Central Coast (NSW),2022-23,3701,3602,99,15118,15569,-451,3899,857,3042
1,New South Wales,11650,Central Coast (NSW),2023-24,3636,3528,108,15369,15107,262,3452,984,2468
1,New South Wales,11650,Central Coast (NSW),2024-25,3774,3373,401,14454,14216,238,2927,1104,1823
1,New South Wales,11700,Central Darling,2021-22,21,13,8,176,184,-8,9,4,5
1,New South Wales,11700,Central Darling,2022-23,23,12,11,173,194,-21,15,4,11
1,New South Wales,11700,Central Darling,2023-24,24,19,5,168,168,0,11,4,7
1,New South Wales,11700,Central Darling,2024-25,21,17,4,118,131,-13,10,4,6
1,New South Wales,11720,Cessnock,2021-22,931,559,372,6364,5004,1360,186,86,100
1,New South Wales,11720,Cessnock,2022-23,898,543,355,5440,4272,1168,251,68,183
1,New South Wales,11720,Cessnock,2023-24,957,494,463,5560,4389,1171,217,77,140
1,New South Wales,11720,Cessnock,2024-25,981,476,505,5643,4238,1405,189,88,101
1,New South Wales,11730,Clarence Valley,2021-22,546,605,-59,3889,3335,554,210,96,114
1,New South Wales,11730,Clarence Valley,2022-23,560,646,-86,3183,2631,552,283,78,205
1,New South Wales,11730,Clarence Valley,2023-24,506,659,-153,3215,2494,721,244,88,156
1,New South Wales,11730,Clarence Valley,2024-25,481,614,-133,3093,2416,677,212,98,114
1,New South Wales,11750,Cobar,2021-22,67,36,31,352,428,-76,20,10,10
1,New South Wales,11750,Cobar,2022-23,74,31,43,298,342,-44,28,8,20
1,New South Wales,11750,Cobar,2023-24,61,35,26,256,365,-109,24,8,16
1,New South Wales,11750,Cobar,2024-25,60,34,26,256,289,-33,20,9,11
1,New South Wales,11800,Coffs Harbour,2021-22,881,758,123,5799,5124,675,805,372,433
1,New South Wales,11800,Coffs Harbour,2022-23,827,754,73,4364,4498,-134,1086,294,792
1,New South Wales,11800,Coffs Harbour,2023-24,832,776,56,4263,4135,128,934,332,602
1,New South Wales,11800,Coffs Harbour,2024-25,877,783,94,3919,3866,53,809,376,433
1,New South Wales,12000,Coolamon,2021-22,64,52,12,353,298,55,11,5,6
1,New South Wales,12000,Coolamon,2022-23,51,46,5,273,199,74,16,5,11
1,New South Wales,12000,Coolamon,2023-24,57,48,9,319,267,52,14,5,9
1,New South Wales,12000,Coolamon,2024-25,61,49,12,338,251,87,12,5,7
1,New South Wales,12150,Coonamble,2021-22,68,42,26,305,338,-33,13,7,6
1,New South Wales,12150,Coonamble,2022-23,81,59,22,277,275,2,12,5,7
1,New South Wales,12150,Coonamble,2023-24,93,55,38,241,270,-29,11,5,6
1,New South Wales,12150,Coonamble,2024-25,64,38,26,215,237,-22,13,6,7
1,New South Wales,12160,Cootamundra-Gundagai,2021-22,130,125,5,788,803,-15,68,31,37
1,New South Wales,12160,Cootamundra-Gundagai,2022-23,119,140,-21,548,563,-15,91,25,66
1,New South Wales,12160,Cootamundra-Gundagai,2023-24,116,142,-26,594,612,-18,78,29,49
1,New South Wales,12160,Cootamundra-Gundagai,2024-25,110,122,-12,550,598,-48,68,31,37
1,New South Wales,12350,Cowra,2021-22,135,185,-50,986,986,0,36,16,20
1,New South Wales,12350,Cowra,2022-23,145,215,-70,741,746,-5,48,14,34
1,New South Wales,12350,Cowra,2023-24,143,167,-24,759,730,29,42,17,25
1,New South Wales,12350,Cowra,2024-25,146,169,-23,621,615,6,37,17,20
1,New South Wales,12380,Cumberland,2021-22,3679,1262,2417,14927,20592,-5665,7462,3412,4050
1,New South Wales,12380,Cumberland,2022-23,3474,1247,2227,11576,15822,-4246,12543,2696,9847
1,New South Wales,12380,Cumberland,2023-24,3427,1171,2256,12941,16006,-3065,11026,3091,7935
1,New South Wales,12380,Cumberland,2024-25,3678,1203,2475,11357,15450,-4093,9160,3475,5685
1,New South Wales,12390,Dubbo,2021-22,854,488,366,3580,3714,-134,418,194,224
1,New South Wales,12390,Dubbo,2022-23,838,479,359,3043,3155,-112,544,154,390
1,New South Wales,12390,Dubbo,2023-24,832,523,309,2968,3152,-184,474,171,303
1,New South Wales,12390,Dubbo,2024-25,833,472,361,2735,2987,-252,420,194,226
1,New South Wales,12700,Dungog,2021-22,102,62,40,888,742,146,20,10,10
1,New South Wales,12700,Dungog,2022-23,77,96,-19,634,593,41,28,8,20
1,New South Wales,12700,Dungog,2023-24,87,86,1,697,573,124,24,8,16
1,New South Wales,12700,Dungog,2024-25,100,79,21,698,540,158,21,9,12
1,New South Wales,12730,Edward River,2021-22,117,101,16,589,562,27,57,27,30
1,New South Wales,12730,Edward River,2022-23,94,111,-17,465,523,-58,76,22,54
1,New South Wales,12730,Edward River,2023-24,98,109,-11,489,520,-31,67,22,45
1,New South Wales,12730,Edward River,2024-25,126,109,17,421,460,-39,57,26,31
1,New South Wales,12750,Eurobodalla,2021-22,352,516,-164,3149,2762,387,191,89,102
1,New South Wales,12750,Eurobodalla,2022-23,343,559,-216,2477,2308,169,238,70,168
1,New South Wales,12750,Eurobodalla,2023-24,323,544,-221,2516,2205,311,202,79,123
1,New South Wales,12750,Eurobodalla,2024-25,312,537,-225,2304,1996,308,193,90,103
1,New South Wales,12850,Fairfield,2021-22,2114,1566,548,9693,14287,-4594,3797,1735,2062
1,New South Wales,12850,Fairfield,2022-23,2008,1464,544,7388,10087,-2699,6431,1371,5060
1,New South Wales,12850,Fairfield,2023-24,1978,1324,654,8145,10305,-2160,5571,1570,4001
1,New South Wales,12850,Fairfield,2024-25,2128,1376,752,7577,10040,-2463,4672,1766,2906
1,New South Wales,12870,Federation,2021-22,121,168,-47,1020,877,143,45,19,26
1,New South Wales,12870,Federation,2022-23,112,168,-56,890,785,105,58,17,41
1,New South Wales,12870,Federation,2023-24,135,166,-31,964,839,125,52,20,32
1,New South Wales,12870,Federation,2024-25,130,160,-30,907,815,92,45,20,25
1,New South Wales,12900,Forbes,2021-22,128,105,23,576,633,-57,25,11,14
1,New South Wales,12900,Forbes,2022-23,134,104,30,477,574,-97,32,9,23
1,New South Wales,12900,Forbes,2023-24,113,126,-13,539,544,-5,28,9,19
1,New South Wales,12900,Forbes,2024-25,102,107,-5,464,492,-28,23,11,12
1,New South Wales,12930,Georges River,2021-22,1635,1050,585,9520,11950,-2430,4659,2145,2514
1,New South Wales,12930,Georges River,2022-23,1434,1069,365,7406,9311,-1905,8002,1703,6299
1,New South Wales,12930,Georges River,2023-24,1476,1024,452,8188,9832,-1644,6660,1954,4706
1,New South Wales,12930,Georges River,2024-25,1545,1005,540,7104,8935,-1831,5663,2195,3468
1,New South Wales,12950,Gilgandra,2021-22,77,56,21,298,343,-45,17,8,9
1,New South Wales,12950,Gilgandra,2022-23,66,61,5,251,265,-14,24,7,17
1,New South Wales,12950,Gilgandra,2023-24,59,50,9,229,257,-28,20,7,13
1,New South Wales,12950,Gilgandra,2024-25,67,47,20,195,226,-31,18,8,10
1,New South Wales,13010,Glen Innes Severn,2021-22,73,100,-27,772,713,59,24,11,13
1,New South Wales,13010,Glen Innes Severn,2022-23,91,106,-15,615,581,34,32,9,23
1,New South Wales,13010,Glen Innes Severn,2023-24,94,107,-13,559,572,-13,28,9,19
1,New South Wales,13010,Glen Innes Severn,2024-25,90,123,-33,620,535,85,23,11,12
1,New South Wales,13310,Goulburn Mulwaree,2021-22,361,306,55,2412,2224,188,250,115,135
1,New South Wales,13310,Goulburn Mulwaree,2022-23,421,366,55,1956,1924,32,337,91,246
1,New South Wales,13310,Goulburn Mulwaree,2023-24,371,316,55,1923,1764,159,334,104,230
1,New South Wales,13310,Goulburn Mulwaree,2024-25,403,298,105,1854,1655,199,253,116,137
1,New South Wales,13340,Greater Hume,2021-22,116,88,28,872,713,159,37,16,21
1,New South Wales,13340,Greater Hume,2022-23,124,116,8,762,610,152,48,14,34
1,New South Wales,13340,Greater Hume,2023-24,131,101,30,755,663,92,42,15,27
1,New South Wales,13340,Greater Hume,2024-25,118,92,26,719,682,37,36,17,19
1,New South Wales,13450,Griffith,2021-22,415,202,213,1212,1738,-526,420,193,227
1,New South Wales,13450,Griffith,2022-23,403,236,167,1028,1499,-471,563,152,411
1,New South Wales,13450,Griffith,2023-24,422,197,225,1048,1401,-353,518,174,344
1,New South Wales,13450,Griffith,2024-25,418,203,215,851,1266,-415,421,195,226
1,New South Wales,13550,Gunnedah,2021-22,199,138,61,1093,1106,-13,57,26,31
1,New South Wales,13550,Gunnedah,2022-23,170,103,67,985,974,11,77,20,57
1,New South Wales,13550,Gunnedah,2023-24,216,118,98,928,956,-28,66,24,42
1,New South Wales,13550,Gunnedah,2024-25,182,115,67,776,787,-11,58,26,32
1,New South Wales,13660,Gwydir,2021-22,52,70,-18,421,387,34,7,3,4
1,New South Wales,13660,Gwydir,2022-23,51,75,-24,372,326,46,9,2,7
1,New South Wales,13660,Gwydir,2023-24,45,90,-45,335,338,-3,8,2,6
1,New South Wales,13660,Gwydir,2024-25,53,69,-16,348,287,61,7,3,4
1,New South Wales,13800,Hawkesbury,2021-22,948,487,461,5129,5450,-321,299,136,163
1,New South Wales,13800,Hawkesbury,2022-23,862,449,413,3912,4479,-567,490,108,382
1,New South Wales,13800,Hawkesbury,2023-24,831,459,372,4155,4333,-178,434,125,309
1,New South Wales,13800,Hawkesbury,2024-25,875,451,424,4043,4035,8,368,140,228
1,New South Wales,13850,Hay,2021-22,31,39,-8,154,206,-52,24,11,13
1,New South Wales,13850,Hay,2022-23,30,31,-1,137,163,-26,32,9,23
1,New South Wales,13850,Hay,2023-24,41,42,-1,198,183,15,28,9,19
1,New South Wales,13850,Hay,2024-25,46,30,16,128,124,4,23,11,12
1,New South Wales,13910,Hilltops,2021-22,214,219,-5,1289,1264,25,80,37,43
1,New South Wales,13910,Hilltops,2022-23,227,226,1,1031,1073,-42,106,28,78
1,New South Wales,13910,Hilltops,2023-24,253,187,66,974,1045,-71,108,33,75
1,New South Wales,13910,Hilltops,2024-25,210,229,-19,942,1010,-68,79,38,41
1,New South Wales,14000,Hornsby,2021-22,1337,1101,236,10550,12457,-1907,3247,1859,1388
1,New South Wales,14000,Hornsby,2022-23,1176,1096,80,8163,9660,-1497,5384,1688,3696
1,New South Wales,14000,Hornsby,2023-24,1117,1064,53,8222,10453,-2231,4718,1933,2785
1,New South Wales,14000,Hornsby,2024-25,1120,1068,52,7806,9056,-1250,3980,2164,1816
1,New South Wales,14100,Hunters Hill,2021-22,102,194,-92,1724,1374,350,226,150,76
1,New South Wales,14100,Hunters Hill,2022-23,79,188,-109,1075,1089,-14,364,138,226
1,New South Wales,14100,Hunters Hill,2023-24,94,170,-76,995,1077,-82,330,158,172
1,New South Wales,14100,Hunters Hill,2024-25,100,178,-78,941,1029,-88,280,178,102
1,New South Wales,14170,Inner West,2021-22,2320,1207,1113,16186,20070,-3884,5668,3203,2465
1,New South Wales,14170,Inner West,2022-23,1827,1180,647,13042,14893,-1851,9456,3072,6384
1,New South Wales,14170,Inner West,2023-24,1938,1061,877,12253,15241,-2988,8095,3524,4571
1,New South Wales,14170,Inner West,2024-25,1890,1058,832,12393,14177,-1784,6864,3960,2904
1,New South Wales,14220,Inverell,2021-22,251,180,71,1234,1268,-34,116,53,63
1,New South Wales,14220,Inverell,2022-23,219,204,15,1086,1125,-39,153,43,110
1,New South Wales,14220,Inverell,2023-24,232,208,24,1007,1093,-86,133,47,86
1,New South Wales,14220,Inverell,2024-25,224,203,21,933,993,-60,115,54,61
1,New South Wales,14300,Junee,2021-22,78,60,18,566,597,-31,77,35,42
1,New South Wales,14300,Junee,2022-23,69,52,17,418,469,-51,104,27,77
1,New South Wales,14300,Junee,2023-24,55,53,2,376,505,-129,89,32,57
1,New South Wales,14300,Junee,2024-25,66,52,14,288,396,-108,77,36,41
1,New South Wales,14350,Kempsey,2021-22,381,398,-17,2493,2135,358,147,66,81
1,New South Wales,14350,Kempsey,2022-23,377,393,-16,1846,1676,170,196,53,143
1,New South Wales,14350,Kempsey,2023-24,318,373,-55,1905,1689,216,171,61,110
1,New South Wales,14350,Kempsey,2024-25,333,393,-60,1778,1665,113,147,68,79
1,New South Wales,14400,Kiama,2021-22,175,200,-25,1798,1852,-54,171,79,92
1,New South Wales,14400,Kiama,2022-23,174,207,-33,1294,1418,-124,230,62,168
1,New South Wales,14400,Kiama,2023-24,157,205,-48,1428,1344,84,200,71,129
1,New South Wales,14400,Kiama,2024-25,166,228,-62,1281,1331,-50,172,80,92
1,New South Wales,14500,Ku-ring-gai,2021-22,824,830,-6,8569,10019,-1450,3609,2441,1168
1,New South Wales,14500,Ku-ring-gai,2022-23,674,813,-139,7267,7959,-692,5895,2282,3613
1,New South Wales,14500,Ku-ring-gai,2023-24,674,850,-176,7303,8531,-1228,5249,2613,2636
1,New South Wales,14500,Ku-ring-gai,2024-25,696,851,-155,6540,7776,-1236,4439,2935,1504
1,New South Wales,14550,Kyogle,2021-22,75,105,-30,932,777,155,34,15,19
1,New South Wales,14550,Kyogle,2022-23,100,103,-3,654,658,-4,45,12,33
1,New South Wales,14550,Kyogle,2023-24,107,116,-9,712,611,101,39,14,25
1,New South Wales,14550,Kyogle,2024-25,90,91,-1,658,601,57,33,15,18
1,New South Wales,14600,Lachlan,2021-22,98,69,29,423,467,-44,22,11,11
1,New South Wales,14600,Lachlan,2022-23,99,81,18,324,358,-34,27,9,18
1,New South Wales,14600,Lachlan,2023-24,77,75,2,347,399,-52,26,9,17
1,New South Wales,14600,Lachlan,2024-25,100,67,33,299,344,-45,22,10,12
1,New South Wales,14650,Lake Macquarie,2021-22,2434,2102,332,15885,14019,1866,1136,522,614
1,New South Wales,14650,Lake Macquarie,2022-23,2267,2050,217,12398,11097,1301,1524,415,1109
1,New South Wales,14650,Lake Macquarie,2023-24,2367,2179,188,12731,11117,1614,1320,471,849
1,New South Wales,14650,Lake Macquarie,2024-25,2377,2131,246,12210,10675,1535,1141,526,615
1,New South Wales,14700,Lane Cove,2021-22,564,193,371,4324,4572,-248,1239,808,431
1,New South Wales,14700,Lane Cove,2022-23,498,136,362,3483,3657,-174,2058,795,1263
1,New South Wales,14700,Lane Cove,2023-24,510,143,367,3483,3798,-315,1851,922,929
1,New South Wales,14700,Lane Cove,2024-25,451,159,292,3216,3543,-327,1579,1044,535
1,New South Wales,14750,Leeton,2021-22,143,93,50,827,897,-70,61,29,32
1,New South Wales,14750,Leeton,2022-23,145,110,35,628,739,-111,84,22,62
1,New South Wales,14750,Leeton,2023-24,130,102,28,681,730,-49,71,26,45
1,New South Wales,14750,Leeton,2024-25,149,105,44,534,638,-104,63,30,33
1,New South Wales,14850,Lismore,2021-22,460,403,57,3971,4264,-293,275,129,146
1,New South Wales,14850,Lismore,2022-23,469,349,120,2821,3582,-761,348,99,249
1,New South Wales,14850,Lismore,2023-24,431,391,40,2837,3196,-359,303,113,190
1,New South Wales,14850,Lismore,2024-25,456,390,66,2553,2876,-323,277,128,149
1,New South Wales,14870,Lithgow,2021-22,220,241,-21,1421,1458,-37,82,38,44
1,New South Wales,14870,Lithgow,2022-23,194,209,-15,1161,1309,-148,110,30,80
1,New South Wales,14870,Lithgow,2023-24,215,221,-6,1143,1169,-26,95,34,61
1,New South Wales,14870,Lithgow,2024-25,190,271,-81,1057,1115,-58,82,37,45
1,New South Wales,14900,Liverpool,2021-22,3460,1198,2262,19670,17928,1742,2948,1351,1597
1,New South Wales,14900,Liverpool,2022-23,3258,1260,1998,16041,14298,1743,5207,1068,4139
1,New South Wales,14900,Liverpool,2023-24,3222,1154,2068,16851,14786,2065,4469,1221,3248
1,New South Wales,14900,Liverpool,2024-25,3444,1115,2329,15884,14707,1177,3730,1372,2358
1,New South Wales,14920,Liverpool Plains,2021-22,85,79,6,652,601,51,14,7,7
1,New South Wales,14920,Liverpool Plains,2022-23,79,70,9,492,514,-22,20,6,14
1,New South Wales,14920,Liverpool Plains,2023-24,90,93,-3,468,471,-3,18,6,12
1,New South Wales,14920,Liverpool Plains,2024-25,94,77,17,444,477,-33,15,7,8
1,New South Wales,14950,Lockhart,2021-22,34,32,2,262,221,41,8,4,4
1,New South Wales,14950,Lockhart,2022-23,33,38,-5,207,179,28,11,3,8
1,New South Wales,14950,Lockhart,2023-24,27,37,-10,233,148,85,10,3,7
1,New South Wales,14950,Lockhart,2024-25,36,41,-5,195,173,22,8,4,4
1,New South Wales,15050,Maitland,2021-22,1302,616,686,8633,6436,2197,412,189,223
1,New South Wales,15050,Maitland,2022-23,1332,608,724,7167,5995,1172,549,150,399
1,New South Wales,15050,Maitland,2023-24,1269,619,650,7110,5845,1265,475,171,304
1,New South Wales,15050,Maitland,2024-25,1289,664,625,7326,5984,1342,430,190,240
1,New South Wales,15240,Mid-Coast,2021-22,828,1386,-558,7323,6043,1280,350,160,190
1,New South Wales,15240,Mid-Coast,2022-23,856,1355,-499,5730,4871,859,456,128,328
1,New South Wales,15240,Mid-Coast,2023-24,855,1344,-489,5545,4642,903,406,145,261
1,New South Wales,15240,Mid-Coast,2024-25,817,1375,-558,5380,4312,1068,350,162,188
1,New South Wales,15270,Mid-Western,2021-22,337,249,88,1782,1817,-35,111,51,60
1,New South Wales,15270,Mid-Western,2022-23,322,255,67,1489,1532,-43,150,40,110
1,New South Wales,15270,Mid-Western,2023-24,297,226,71,1632,1448,184,130,45,85
1,New South Wales,15270,Mid-Western,2024-25,337,253,84,1350,1335,15,125,53,72
1,New South Wales,15300,Moree Plains,2021-22,189,92,97,870,1021,-151,36,16,20
1,New South Wales,15300,Moree Plains,2022-23,218,113,105,772,913,-141,49,13,36
1,New South Wales,15300,Moree Plains,2023-24,198,115,83,766,926,-160,41,15,26
1,New South Wales,15300,Moree Plains,2024-25,194,88,106,692,852,-160,37,17,20
1,New South Wales,15350,Mosman,2021-22,286,177,109,2484,3192,-708,1034,699,335
1,New South Wales,15350,Mosman,2022-23,231,189,42,1966,2086,-120,1672,655,1017
1,New South Wales,15350,Mosman,2023-24,223,169,54,1841,2483,-642,1480,749,731
1,New South Wales,15350,Mosman,2024-25,227,168,59,1772,2171,-399,1271,841,430
1,New South Wales,15520,Murray River,2021-22,121,134,-13,1176,874,302,62,28,34
1,New South Wales,15520,Murray River,2022-23,106,141,-35,912,616,296,84,22,62
1,New South Wales,15520,Murray River,2023-24,126,165,-39,846,609,237,72,26,46
1,New South Wales,15520,Murray River,2024-25,131,149,-18,1068,729,339,63,29,34
1,New South Wales,15560,Murrumbidgee,2021-22,33,37,-4,310,300,10,27,13,14
1,New South Wales,15560,Murrumbidgee,2022-23,60,38,22,244,248,-4,36,10,26
1,New South Wales,15560,Murrumbidgee,2023-24,56,24,32,272,266,6,32,11,21
1,New South Wales,15560,Murrumbidgee,2024-25,54,37,17,203,227,-24,28,13,15
