category,unit,breakdown,value
WA > 2018-19,ratio,Finalised investigations,5.23
WA > 2018-19,ratio,Substantiations,6.03
WA > 2018-19,ratio,Care and protection orders,7.32
WA > 2018-19,ratio,Out-of-home care,7.4
WA > 2017-18,ratio,Notifications,4.61
WA > 2017-18,ratio,Commencing IFSS,4.39
WA > 2017-18,ratio,Finalised investigations,5.58
WA > 2017-18,ratio,Substantiations,6.07
WA > 2017-18,ratio,Care and protection orders,7.28
WA > 2017-18,ratio,Out-of-home care,7.43
SA > 2024-25,ratio,Notifications,4.48
SA > 2024-25,ratio,Commencing IFSS,8.33
SA > 2024-25,ratio,Finalised investigations,4.72
SA > 2024-25,ratio,Substantiations,6.25
SA > 2024-25,ratio,Care and protection orders,6.8
SA > 2024-25,ratio,Out-of-home care,7.16
SA > 2023-24,ratio,Notifications,4.42
SA > 2023-24,ratio,Commencing IFSS,8
SA > 2023-24,ratio,Finalised investigations,4.75
SA > 2023-24,ratio,Substantiations,5.72
SA > 2023-24,ratio,Care and protection orders,6.67
SA > 2023-24,ratio,Out-of-home care,6.95
SA > 2022-23,ratio,Notifications,4.43
SA > 2022-23,ratio,Commencing IFSS,6.53
SA > 2022-23,ratio,Finalised investigations,5.2
SA > 2022-23,ratio,Substantiations,6.3
SA > 2022-23,ratio,Care and protection orders,6.7
SA > 2022-23,ratio,Out-of-home care,6.96
SA > 2021-22,ratio,Notifications,4.26
SA > 2021-22,ratio,Commencing IFSS,6.61
SA > 2021-22,ratio,Finalised investigations,5.73
SA > 2021-22,ratio,Substantiations,6.65
SA > 2021-22,ratio,Care and protection orders,6.66
SA > 2021-22,ratio,Out-of-home care,6.95
SA > 2020-21,ratio,Notifications,4.41
SA > 2020-21,ratio,Commencing IFSS,6.57
SA > 2020-21,ratio,Finalised investigations,5.69
SA > 2020-21,ratio,Substantiations,6.47
SA > 2020-21,ratio,Care and protection orders,6.56
SA > 2020-21,ratio,Out-of-home care,6.78
SA > 2019-20,ratio,Notifications,4.34
SA > 2019-20,ratio,Commencing IFSS,5.51
SA > 2019-20,ratio,Finalised investigations,6.08
SA > 2019-20,ratio,Substantiations,6.41
SA > 2019-20,ratio,Care and protection orders,6.41
SA > 2019-20,ratio,Out-of-home care,6.69
SA > 2018-19,ratio,Notifications,4.42
SA > 2018-19,ratio,Commencing IFSS,7.88
SA > 2018-19,ratio,Finalised investigations,6.56
SA > 2018-19,ratio,Substantiations,6.69
SA > 2018-19,ratio,Care and protection orders,6.18
SA > 2018-19,ratio,Out-of-home care,6.45
SA > 2017-18,ratio,Notifications,4.35
SA > 2017-18,ratio,Commencing IFSS,7.64
SA > 2017-18,ratio,Finalised investigations,6.05
SA > 2017-18,ratio,Substantiations,5.74
SA > 2017-18,ratio,Care and protection orders,5.96
SA > 2017-18,ratio,Out-of-home care,6.07
Tas > 2024-25,ratio,Notifications,2.28
Tas > 2024-25,ratio,Commencing IFSS,na
Tas > 2024-25,ratio,Finalised investigations,3.72
Tas > 2024-25,ratio,Substantiations,3.93
Tas > 2024-25,ratio,Care and protection orders,3.91
Tas > 2024-25,ratio,Out-of-home care,3.93
Tas > 2023-24,ratio,Notifications,2.27
Tas > 2023-24,ratio,Commencing IFSS,na
Tas > 2023-24,ratio,Finalised investigations,3.13
Tas > 2023-24,ratio,Substantiations,3.3
Tas > 2023-24,ratio,Care and protection orders,3.69
Tas > 2023-24,ratio,Out-of-home care,3.68
Tas > 2022-23,ratio,Notifications,2.05
Tas > 2022-23,ratio,Commencing IFSS,na
Tas > 2022-23,ratio,Finalised investigations,2.97
Tas > 2022-23,ratio,Substantiations,3.13
Tas > 2022-23,ratio,Care and protection orders,3.5
Tas > 2022-23,ratio,Out-of-home care,3.56
Tas > 2021-22,ratio,Notifications,1.93
Tas > 2021-22,ratio,Commencing IFSS,na
Tas > 2021-22,ratio,Finalised investigations,2.92
Tas > 2021-22,ratio,Substantiations,3
Tas > 2021-22,ratio,Care and protection orders,3.28
Tas > 2021-22,ratio,Out-of-home care,3.36
Tas > 2020-21,ratio,Notifications,1.99
Tas > 2020-21,ratio,Commencing IFSS,na
Tas > 2020-21,ratio,Finalised investigations,2.58
Tas > 2020-21,ratio,Substantiations,2.84
Tas > 2020-21,ratio,Care and protection orders,3.15
Tas > 2020-21,ratio,Out-of-home care,3.3
Tas > 2019-20,ratio,Notifications,1.43
Tas > 2019-20,ratio,Commencing IFSS,na
Tas > 2019-20,ratio,Finalised investigations,1.62
Tas > 2019-20,ratio,Substantiations,1.59
Tas > 2019-20,ratio,Care and protection orders,2.87
Tas > 2019-20,ratio,Out-of-home care,3.08
Tas > 2018-19,ratio,Notifications,0.98
Tas > 2018-19,ratio,Commencing IFSS,na
Tas > 2018-19,ratio,Finalised investigations,1.72
Tas > 2018-19,ratio,Substantiations,1.84
Tas > 2018-19,ratio,Care and protection orders,2.83
Tas > 2018-19,ratio,Out-of-home care,3.02
Tas > 2017-18,ratio,Notifications,0.85
Tas > 2017-18,ratio,Commencing IFSS,na
Tas > 2017-18,ratio,Finalised investigations,1.5
Tas > 2017-18,ratio,Substantiations,1.64
Tas > 2017-18,ratio,Care and protection orders,2.69
Tas > 2017-18,ratio,Out-of-home care,2.69
ACT > 2024-25,ratio,Notifications,4.27
ACT > 2024-25,ratio,Commencing IFSS,10.91
ACT > 2024-25,ratio,Finalised investigations,9.32
ACT > 2024-25,ratio,Substantiations,10.61
ACT > 2024-25,ratio,Care and protection orders,8.73
ACT > 2024-25,ratio,Out-of-home care,8.6
ACT > 2023-24,ratio,Notifications,3.97
ACT > 2023-24,ratio,Commencing IFSS,8.07
ACT > 2023-24,ratio,Finalised investigations,8.23
ACT > 2023-24,ratio,Substantiations,10.98
ACT > 2023-24,ratio,Care and protection orders,9.26
ACT > 2023-24,ratio,Out-of-home care,8.99
ACT > 2022-23,ratio,Notifications,3.77
ACT > 2022-23,ratio,Commencing IFSS,12
ACT > 2022-23,ratio,Finalised investigations,6.42
ACT > 2022-23,ratio,Substantiations,6.67
ACT > 2022-23,ratio,Care and protection orders,8.58
ACT > 2022-23,ratio,Out-of-home care,7.83
ACT > 2021-22,ratio,Notifications,3.61
ACT > 2021-22,ratio,Commencing IFSS,13.03
ACT > 2021-22,ratio,Finalised investigations,6.74
ACT > 2021-22,ratio,Substantiations,8.18
ACT > 2021-22,ratio,Care and protection orders,8.8
ACT > 2021-22,ratio,Out-of-home care,9.06
ACT > 2020-21,ratio,Notifications,3.66
ACT > 2020-21,ratio,Commencing IFSS,12.12
ACT > 2020-21,ratio,Finalised investigations,6.4
ACT > 2020-21,ratio,Substantiations,8.4
ACT > 2020-21,ratio,Care and protection orders,8.51
ACT > 2020-21,ratio,Out-of-home care,8.41
ACT > 2019-20,ratio,Notifications,3.39
ACT > 2019-20,ratio,Commencing IFSS,11.28
ACT > 2019-20,ratio,Finalised investigations,6.16
ACT > 2019-20,ratio,Substantiations,4.18
ACT > 2019-20,ratio,Care and protection orders,8.81
ACT > 2019-20,ratio,Out-of-home care,8.59
ACT > 2018-19,ratio,Notifications,3.33
ACT > 2018-19,ratio,Commencing IFSS,7.76
ACT > 2018-19,ratio,Finalised investigations,4.61
ACT > 2018-19,ratio,Substantiations,6.28
ACT > 2018-19,ratio,Care and protection orders,8.22
ACT > 2018-19,ratio,Out-of-home care,7.83
ACT > 2017-18,ratio,Notifications,3.26
ACT > 2017-18,ratio,Commencing IFSS,7.25
ACT > 2017-18,ratio,Finalised investigations,5.5
ACT > 2017-18,ratio,Substantiations,5.54
ACT > 2017-18,ratio,Care and protection orders,8.35
ACT > 2017-18,ratio,Out-of-home care,8.55
NT > 2024-25,ratio,Notifications,1.93
NT > 2024-25,ratio,Commencing IFSS,2.1
