measure,forest_type,log_type,state,financial_year,date,units,value
Plantation area,Softwood,,South Australia,1988-89,1988-07-01,’000 ha,95.8
Plantation area,Softwood,,South Australia,1989-90,1989-07-01,’000 ha,98
Plantation area,Softwood,,South Australia,1990-91,1990-07-01,’000 ha,101.1
Plantation area,Softwood,,South Australia,1991-92,1991-07-01,’000 ha,101.9
Plantation area,Softwood,,South Australia,1992-93,1992-07-01,’000 ha,102.4
Plantation area,Softwood,,South Australia,1993-94,1993-07-01,’000 ha,106.9
Plantation area,Softwood,,South Australia,1994-95,1994-07-01,’000 ha,101.9
Plantation area,Softwood,,South Australia,1995-96,1995-07-01,’000 ha,104.1
Plantation area,Softwood,,South Australia,1996-97,1996-07-01,’000 ha,104.7
Plantation area,Softwood,,South Australia,1997-98,1997-07-01,’000 ha,105.4
Plantation area,Softwood,,South Australia,1998-99,1998-07-01,’000 ha,106.2
Plantation area,Softwood,,South Australia,1999-00,1999-07-01,’000 ha,113.9
Plantation area,Softwood,,South Australia,2000-01,2000-07-01,’000 ha,115.1
Plantation area,Softwood,,South Australia,2001-02,2001-07-01,’000 ha,116.8
Plantation area,Softwood,,South Australia,2002-03,2002-07-01,’000 ha,120.5
Plantation area,Softwood,,South Australia,2003-04,2003-07-01,’000 ha,124.3
Plantation area,Softwood,,South Australia,2004-05,2004-07-01,’000 ha,124.2
Plantation area,Softwood,,South Australia,2005-06,2005-07-01,’000 ha,124.2
Plantation area,Softwood,,South Australia,2006-07,2006-07-01,’000 ha,122.9
Plantation area,Softwood,,South Australia,2007-08,2007-07-01,’000 ha,122.9
Plantation area,Softwood,,South Australia,2008-09,2008-07-01,’000 ha,123.4
Plantation area,Softwood,,South Australia,2009-10,2009-07-01,’000 ha,128.4
Plantation area,Softwood,,South Australia,2010-11,2010-07-01,’000 ha,128.5
Plantation area,Softwood,,South Australia,2011-12,2011-07-01,’000 ha,128.5
Plantation area,Softwood,,South Australia,2012-13,2012-07-01,’000 ha,128.5
Plantation area,Softwood,,South Australia,2013-14,2013-07-01,’000 ha,128.5
Plantation area,Softwood,,South Australia,2014-15,2014-07-01,’000 ha,127.2
Plantation area,Softwood,,South Australia,2015-16,2015-07-01,’000 ha,127.2
Plantation area,Softwood,,South Australia,2016-17,2016-07-01,’000 ha,127.2
Plantation area,Softwood,,South Australia,2017-18,2017-07-01,’000 ha,127.2
Plantation area,Softwood,,South Australia,2018-19,2018-07-01,’000 ha,128.1
Plantation area,Softwood,,South Australia,2019-20,2019-07-01,’000 ha,128.33
Plantation area,Softwood,,South Australia,2020-21,2020-07-01,’000 ha,124.163036105858
Plantation area,Softwood,,South Australia,2021-22,2021-07-01,’000 ha,122.854999364869
Plantation area,Softwood,,South Australia,2022-23,2022-07-01,’000 ha,122.854999364869
Plantation area,Softwood,,South Australia,2023-24,2023-07-01,’000 ha,124.776999364869
Plantation area,Softwood,,South Australia,2024-25,2024-07-01,’000 ha,124.820999364869
Plantation area,Hardwood,,South Australia,1938-39,1938-07-01,’000 ha,2
Plantation area,Hardwood,,South Australia,1946-47,1946-07-01,’000 ha,0.9
Plantation area,Hardwood,,South Australia,1950-51,1950-07-01,’000 ha,1.7
Plantation area,Hardwood,,South Australia,1955-56,1955-07-01,’000 ha,1.4
Plantation area,Hardwood,,South Australia,1960-61,1960-07-01,’000 ha,1.4
Plantation area,Hardwood,,South Australia,1961-62,1961-07-01,’000 ha,1.5
Plantation area,Hardwood,,South Australia,1962-63,1962-07-01,’000 ha,1.5
Plantation area,Hardwood,,South Australia,1963-64,1963-07-01,’000 ha,1.5
Plantation area,Hardwood,,South Australia,1964-65,1964-07-01,’000 ha,1.5
Plantation area,Hardwood,,South Australia,1965-66,1965-07-01,’000 ha,1.5
Plantation area,Hardwood,,South Australia,1966-67,1966-07-01,’000 ha,1.5
Plantation area,Hardwood,,South Australia,1968-69,1968-07-01,’000 ha,1.5
Plantation area,Hardwood,,South Australia,1969-70,1969-07-01,’000 ha,1.5
Plantation area,Hardwood,,South Australia,1970-71,1970-07-01,’000 ha,1.5
Plantation area,Hardwood,,South Australia,1973-74,1973-07-01,’000 ha,1.4
Plantation area,Hardwood,,South Australia,1974-75,1974-07-01,’000 ha,1.1
Plantation area,Hardwood,,South Australia,1975-76,1975-07-01,’000 ha,1.1
Plantation area,Hardwood,,South Australia,1976-77,1976-07-01,’000 ha,0.9
Plantation area,Hardwood,,South Australia,1977-78,1977-07-01,’000 ha,0.9
Plantation area,Hardwood,,South Australia,1978-79,1978-07-01,’000 ha,0.9
Plantation area,Hardwood,,South Australia,1979-80,1979-07-01,’000 ha,0.9
Plantation area,Hardwood,,South Australia,1980-81,1980-07-01,’000 ha,0.9
Plantation area,Hardwood,,South Australia,1981-82,1981-07-01,’000 ha,0.9
Plantation area,Hardwood,,South Australia,1982-83,1982-07-01,’000 ha,1.1
Plantation area,Hardwood,,South Australia,1983-84,1983-07-01,’000 ha,1.2
Plantation area,Hardwood,,South Australia,1984-85,1984-07-01,’000 ha,1.2
Plantation area,Hardwood,,South Australia,1985-86,1985-07-01,’000 ha,1.2
Plantation area,Hardwood,,South Australia,1986-87,1986-07-01,’000 ha,1.2
Plantation area,Hardwood,,South Australia,1987-88,1987-07-01,’000 ha,1.2
Plantation area,Hardwood,,South Australia,1988-89,1988-07-01,’000 ha,1.3
Plantation area,Hardwood,,South Australia,1989-90,1989-07-01,’000 ha,1.4
Plantation area,Hardwood,,South Australia,1990-91,1990-07-01,’000 ha,1.1
Plantation area,Hardwood,,South Australia,1991-92,1991-07-01,’000 ha,1.2
Plantation area,Hardwood,,South Australia,1992-93,1992-07-01,’000 ha,1.5
Plantation area,Hardwood,,South Australia,1993-94,1993-07-01,’000 ha,1.6
Plantation area,Hardwood,,South Australia,1994-95,1994-07-01,’000 ha,1
Plantation area,Hardwood,,South Australia,1995-96,1995-07-01,’000 ha,8.7
Plantation area,Hardwood,,South Australia,1996-97,1996-07-01,’000 ha,9.2
Plantation area,Hardwood,,South Australia,1997-98,1997-07-01,’000 ha,10.2
Plantation area,Hardwood,,South Australia,1998-99,1998-07-01,’000 ha,12.2
Plantation area,Hardwood,,South Australia,1999-00,1999-07-01,’000 ha,20.7
Plantation area,Hardwood,,South Australia,2000-01,2000-07-01,’000 ha,27.9
Plantation area,Hardwood,,South Australia,2001-02,2001-07-01,’000 ha,32.4
Plantation area,Hardwood,,South Australia,2002-03,2002-07-01,’000 ha,37.1
Plantation area,Hardwood,,South Australia,2003-04,2003-07-01,’000 ha,39.4
Plantation area,Hardwood,,South Australia,2004-05,2004-07-01,’000 ha,42.3
Plantation area,Hardwood,,South Australia,2005-06,2005-07-01,’000 ha,47.9
Plantation area,Hardwood,,South Australia,2006-07,2006-07-01,’000 ha,55
Plantation area,Hardwood,,South Australia,2007-08,2007-07-01,’000 ha,58.4
Plantation area,Hardwood,,South Australia,2008-09,2008-07-01,’000 ha,58.7
Plantation area,Hardwood,,South Australia,2009-10,2009-07-01,’000 ha,59.7
Plantation area,Hardwood,,South Australia,2010-11,2010-07-01,’000 ha,59.7
Plantation area,Hardwood,,South Australia,2011-12,2011-07-01,’000 ha,59.7
Plantation area,Hardwood,,South Australia,2012-13,2012-07-01,’000 ha,59.7
Plantation area,Hardwood,,South Australia,2013-14,2013-07-01,’000 ha,59.7
Plantation area,Hardwood,,South Australia,2014-15,2014-07-01,’000 ha,51.4
Plantation area,Hardwood,,South Australia,2015-16,2015-07-01,’000 ha,51.4
Plantation area,Hardwood,,South Australia,2016-17,2016-07-01,’000 ha,48.5
Plantation area,Hardwood,,South Australia,2017-18,2017-07-01,’000 ha,44.8
Plantation area,Hardwood,,South Australia,2018-19,2018-07-01,’000 ha,38.5
Plantation area,Hardwood,,South Australia,2019-20,2019-07-01,’000 ha,43.89
Plantation area,Hardwood,,South Australia,2020-21,2020-07-01,’000 ha,43.8306554989529
Plantation area,Hardwood,,South Australia,2021-22,2021-07-01,’000 ha,41.6373449933904
Plantation area,Hardwood,,South Australia,2022-23,2022-07-01,’000 ha,41.6373449933904
Plantation area,Hardwood,,South Australia,2023-24,2023-07-01,’000 ha,40.5177449933904
Plantation area,Hardwood,,South Australia,2024-25,2024-07-01,’000 ha,39.8887449933904
Volume of log production,Hardwood native,Saw and veneer logs,South Australia,1996-97,1996-07-01,’000 m3,0
Volume of log production,Hardwood native,Saw and veneer logs,South Australia,1997-98,1997-07-01,’000 m3,0
Volume of log production,Hardwood native,Saw and veneer logs,South Australia,1998-99,1998-07-01,’000 m3,0
Volume of log production,Hardwood native,Saw and veneer logs,South Australia,1999-00,1999-07-01,’000 m3,0
Volume of log production,Hardwood native,Saw and veneer logs,South Australia,2000-01,2000-07-01,’000 m3,0
Volume of log production,Hardwood native,Saw and veneer logs,South Australia,2001-02,2001-07-01,’000 m3,0
Volume of log production,Hardwood native,Saw and veneer logs,South Australia,2002-03,2002-07-01,’000 m3,0
Volume of log production,Hardwood native,Saw and veneer logs,South Australia,2003-04,2003-07-01,’000 m3,0
Volume of log production,Hardwood native,Saw and veneer logs,South Australia,2004-05,2004-07-01,’000 m3,0
Volume of log production,Hardwood native,Saw and veneer logs,South Australia,2005-06,2005-07-01,’000 m3,0
Volume of log production,Hardwood native,Saw and veneer logs,South Australia,2006-07,2006-07-01,’000 m3,0
Volume of log production,Hardwood native,Saw and veneer logs,South Australia,2007-08,2007-07-01,’000 m3,0
Volume of log production,Hardwood native,Saw and veneer logs,South Australia,2008-09,2008-07-01,’000 m3,0
Volume of log production,Hardwood native,Saw and veneer logs,South Australia,2009-10,2009-07-01,’000 m3,0
Volume of log production,Hardwood native,Saw and veneer logs,South Australia,2010-11,2010-07-01,’000 m3,0
Volume of log production,Hardwood native,Saw and veneer logs,South Australia,2011-12,2011-07-01,’000 m3,0
Volume of log production,Hardwood native,Saw and veneer logs,South Australia,2012-13,2012-07-01,’000 m3,0
Volume of log production,Hardwood native,Saw and veneer logs,South Australia,2013-14,2013-07-01,’000 m3,0
Volume of log production,Hardwood native,Saw and veneer logs,South Australia,2014-15,2014-07-01,’000 m3,0
Volume of log production,Hardwood native,Saw and veneer logs,South Australia,2015-16,2015-07-01,’000 m3,0
Volume of log production,Hardwood native,Saw and veneer logs,South Australia,2016-17,2016-07-01,’000 m3,0
Volume of log production,Hardwood native,Saw and veneer logs,South Australia,2017-18,2017-07-01,’000 m3,0
Volume of log production,Hardwood native,Saw and veneer logs,South Australia,2018-19,2018-07-01,’000 m3,0
Volume of log production,Hardwood native,Saw and veneer logs,South Australia,2019-20,2019-07-01,’000 m3,0
Volume of log production,Hardwood native,Saw and veneer logs,South Australia,2020-21,2020-07-01,’000 m3,0
Volume of log production,Hardwood native,Saw and veneer logs,South Australia,2021-22,2021-07-01,’000 m3,0
Volume of log production,Hardwood native,Saw and veneer logs,South Australia,2022-23,2022-07-01,’000 m3,0
Volume of log production,Hardwood native,Saw and veneer logs,South Australia,2023-24,2023-07-01,’000 m3,0
Volume of log production,Hardwood native,Saw and veneer logs,South Australia,2024-25,2024-07-01,’000 m3,0
Volume of log production,Hardwood native,Pulplogs,South Australia,1996-97,1996-07-01,’000 m3,0
Volume of log production,Hardwood native,Pulplogs,South Australia,1997-98,1997-07-01,’000 m3,0
Volume of log production,Hardwood native,Pulplogs,South Australia,1998-99,1998-07-01,’000 m3,0
Volume of log production,Hardwood native,Pulplogs,South Australia,1999-00,1999-07-01,’000 m3,0
Volume of log production,Hardwood native,Pulplogs,South Australia,2000-01,2000-07-01,’000 m3,0
Volume of log production,Hardwood native,Pulplogs,South Australia,2001-02,2001-07-01,’000 m3,0
Volume of log production,Hardwood native,Pulplogs,South Australia,2002-03,2002-07-01,’000 m3,0
Volume of log production,Hardwood native,Pulplogs,South Australia,2003-04,2003-07-01,’000 m3,0
Volume of log production,Hardwood native,Pulplogs,South Australia,2004-05,2004-07-01,’000 m3,0
Volume of log production,Hardwood native,Pulplogs,South Australia,2005-06,2005-07-01,’000 m3,0
Volume of log production,Hardwood native,Pulplogs,South Australia,2006-07,2006-07-01,’000 m3,0
Volume of log production,Hardwood native,Pulplogs,South Australia,2007-08,2007-07-01,’000 m3,0
Volume of log production,Hardwood native,Pulplogs,South Australia,2008-09,2008-07-01,’000 m3,0
Volume of log production,Hardwood native,Pulplogs,South Australia,2009-10,2009-07-01,’000 m3,0
Volume of log production,Hardwood native,Pulplogs,South Australia,2010-11,2010-07-01,’000 m3,0
Volume of log production,Hardwood native,Pulplogs,South Australia,2011-12,2011-07-01,’000 m3,0
Volume of log production,Hardwood native,Pulplogs,South Australia,2012-13,2012-07-01,’000 m3,0
Volume of log production,Hardwood native,Pulplogs,South Australia,2013-14,2013-07-01,’000 m3,0
Volume of log production,Hardwood native,Pulplogs,South Australia,2014-15,2014-07-01,’000 m3,0
Volume of log production,Hardwood native,Pulplogs,South Australia,2015-16,2015-07-01,’000 m3,0
Volume of log production,Hardwood native,Pulplogs,South Australia,2016-17,2016-07-01,’000 m3,0
Volume of log production,Hardwood native,Pulplogs,South Australia,2017-18,2017-07-01,’000 m3,0
Volume of log production,Hardwood native,Pulplogs,South Australia,2018-19,2018-07-01,’000 m3,0
Volume of log production,Hardwood native,Pulplogs,South Australia,2019-20,2019-07-01,’000 m3,0
Volume of log production,Hardwood native,Pulplogs,South Australia,2020-21,2020-07-01,’000 m3,0
Volume of log production,Hardwood native,Pulplogs,South Australia,2021-22,2021-07-01,’000 m3,0
Volume of log production,Hardwood native,Pulplogs,South Australia,2022-23,2022-07-01,’000 m3,0
Volume of log production,Hardwood native,Pulplogs,South Australia,2023-24,2023-07-01,’000 m3,0
Volume of log production,Hardwood native,Pulplogs,South Australia,2024-25,2024-07-01,’000 m3,0
Volume of log production,Hardwood native,Other,South Australia,1996-97,1996-07-01,’000 m3,0
Volume of log production,Hardwood native,Other,South Australia,1997-98,1997-07-01,’000 m3,0
Volume of log production,Hardwood native,Other,South Australia,1998-99,1998-07-01,’000 m3,0
Volume of log production,Hardwood native,Other,South Australia,1999-00,1999-07-01,’000 m3,0
Volume of log production,Hardwood native,Other,South Australia,2000-01,2000-07-01,’000 m3,0
Volume of log production,Hardwood native,Other,South Australia,2001-02,2001-07-01,’000 m3,0
Volume of log production,Hardwood native,Other,South Australia,2002-03,2002-07-01,’000 m3,0
Volume of log production,Hardwood native,Other,South Australia,2003-04,2003-07-01,’000 m3,0
Volume of log production,Hardwood native,Other,South Australia,2004-05,2004-07-01,’000 m3,0
Volume of log production,Hardwood native,Other,South Australia,2005-06,2005-07-01,’000 m3,0
Volume of log production,Hardwood native,Other,South Australia,2006-07,2006-07-01,’000 m3,0
Volume of log production,Hardwood native,Other,South Australia,2007-08,2007-07-01,’000 m3,0
Volume of log production,Hardwood native,Other,South Australia,2008-09,2008-07-01,’000 m3,0
Volume of log production,Hardwood native,Other,South Australia,2009-10,2009-07-01,’000 m3,0
Volume of log production,Hardwood native,Other,South Australia,2010-11,2010-07-01,’000 m3,0
Volume of log production,Hardwood native,Other,South Australia,2011-12,2011-07-01,’000 m3,0
Volume of log production,Hardwood native,Other,South Australia,2012-13,2012-07-01,’000 m3,0
Volume of log production,Hardwood native,Other,South Australia,2013-14,2013-07-01,’000 m3,0
Volume of log production,Hardwood native,Other,South Australia,2014-15,2014-07-01,’000 m3,0
Volume of log production,Hardwood native,Other,South Australia,2015-16,2015-07-01,’000 m3,0
Volume of log production,Hardwood native,Other,South Australia,2016-17,2016-07-01,’000 m3,0
Volume of log production,Hardwood native,Other,South Australia,2017-18,2017-07-01,’000 m3,0
Volume of log production,Hardwood native,Other,South Australia,2018-19,2018-07-01,’000 m3,0
Volume of log production,Hardwood native,Other,South Australia,2019-20,2019-07-01,’000 m3,0
Volume of log production,Hardwood native,Other,South Australia,2020-21,2020-07-01,’000 m3,0
Volume of log production,Hardwood native,Other,South Australia,2021-22,2021-07-01,’000 m3,0
Volume of log production,Hardwood native,Other,South Australia,2022-23,2022-07-01,’000 m3,0
Volume of log production,Hardwood native,Other,South Australia,2023-24,2023-07-01,’000 m3,0
Volume of log production,Hardwood native,Other,South Australia,2024-25,2024-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Saw and veneer logs,South Australia,1996-97,1996-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Saw and veneer logs,South Australia,1997-98,1997-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Saw and veneer logs,South Australia,1998-99,1998-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Saw and veneer logs,South Australia,1999-00,1999-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Saw and veneer logs,South Australia,2000-01,2000-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Saw and veneer logs,South Australia,2001-02,2001-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Saw and veneer logs,South Australia,2002-03,2002-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Saw and veneer logs,South Australia,2003-04,2003-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Saw and veneer logs,South Australia,2004-05,2004-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Saw and veneer logs,South Australia,2005-06,2005-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Saw and veneer logs,South Australia,2006-07,2006-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Saw and veneer logs,South Australia,2007-08,2007-07-01,’000 m3,1.421
Volume of log production,Hardwood plantation,Saw and veneer logs,South Australia,2008-09,2008-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Saw and veneer logs,South Australia,2009-10,2009-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Saw and veneer logs,South Australia,2010-11,2010-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Saw and veneer logs,South Australia,2011-12,2011-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Saw and veneer logs,South Australia,2012-13,2012-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Saw and veneer logs,South Australia,2013-14,2013-07-01,’000 m3,27.375308
Volume of log production,Hardwood plantation,Saw and veneer logs,South Australia,2014-15,2014-07-01,’000 m3,130.662383333333
Volume of log production,Hardwood plantation,Saw and veneer logs,South Australia,2015-16,2015-07-01,’000 m3,50.334
Volume of log production,Hardwood plantation,Saw and veneer logs,South Australia,2016-17,2016-07-01,’000 m3,19.9508166666667
Volume of log production,Hardwood plantation,Saw and veneer logs,South Australia,2017-18,2017-07-01,’000 m3,85.064
Volume of log production,Hardwood plantation,Saw and veneer logs,South Australia,2018-19,2018-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Saw and veneer logs,South Australia,2019-20,2019-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Saw and veneer logs,South Australia,2020-21,2020-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Saw and veneer logs,South Australia,2021-22,2021-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Saw and veneer logs,South Australia,2022-23,2022-07-01,’000 m3,195.977
Volume of log production,Hardwood plantation,Saw and veneer logs,South Australia,2023-24,2023-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Saw and veneer logs,South Australia,2024-25,2024-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Pulplogs,South Australia,1996-97,1996-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Pulplogs,South Australia,1997-98,1997-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Pulplogs,South Australia,1998-99,1998-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Pulplogs,South Australia,1999-00,1999-07-01,’000 m3,42.633
Volume of log production,Hardwood plantation,Pulplogs,South Australia,2000-01,2000-07-01,’000 m3,38.851
Volume of log production,Hardwood plantation,Pulplogs,South Australia,2001-02,2001-07-01,’000 m3,66.351
Volume of log production,Hardwood plantation,Pulplogs,South Australia,2002-03,2002-07-01,’000 m3,61.33585
Volume of log production,Hardwood plantation,Pulplogs,South Australia,2003-04,2003-07-01,’000 m3,8.367
Volume of log production,Hardwood plantation,Pulplogs,South Australia,2004-05,2004-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Pulplogs,South Australia,2005-06,2005-07-01,’000 m3,80
Volume of log production,Hardwood plantation,Pulplogs,South Australia,2006-07,2006-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Pulplogs,South Australia,2007-08,2007-07-01,’000 m3,5.46
Volume of log production,Hardwood plantation,Pulplogs,South Australia,2008-09,2008-07-01,’000 m3,165.9465
Volume of log production,Hardwood plantation,Pulplogs,South Australia,2009-10,2009-07-01,’000 m3,68.67772
Volume of log production,Hardwood plantation,Pulplogs,South Australia,2010-11,2010-07-01,’000 m3,286.936
Volume of log production,Hardwood plantation,Pulplogs,South Australia,2011-12,2011-07-01,’000 m3,416.27009
Volume of log production,Hardwood plantation,Pulplogs,South Australia,2012-13,2012-07-01,’000 m3,490.92144141078
Volume of log production,Hardwood plantation,Pulplogs,South Australia,2013-14,2013-07-01,’000 m3,678.034567385032
Volume of log production,Hardwood plantation,Pulplogs,South Australia,2014-15,2014-07-01,’000 m3,731.632020803367
Volume of log production,Hardwood plantation,Pulplogs,South Australia,2015-16,2015-07-01,’000 m3,1100.39873
Volume of log production,Hardwood plantation,Pulplogs,South Australia,2016-17,2016-07-01,’000 m3,1002.86602833333
Volume of log production,Hardwood plantation,Pulplogs,South Australia,2017-18,2017-07-01,’000 m3,1004.26984
Volume of log production,Hardwood plantation,Pulplogs,South Australia,2018-19,2018-07-01,’000 m3,1192.8867
Volume of log production,Hardwood plantation,Pulplogs,South Australia,2019-20,2019-07-01,’000 m3,830.7598
Volume of log production,Hardwood plantation,Pulplogs,South Australia,2020-21,2020-07-01,’000 m3,196.73558
Volume of log production,Hardwood plantation,Pulplogs,South Australia,2021-22,2021-07-01,’000 m3,492.632
Volume of log production,Hardwood plantation,Pulplogs,South Australia,2022-23,2022-07-01,’000 m3,419.143
Volume of log production,Hardwood plantation,Pulplogs,South Australia,2023-24,2023-07-01,’000 m3,233.090169999999
Volume of log production,Hardwood plantation,Pulplogs,South Australia,2024-25,2024-07-01,’000 m3,77.5676719478099
Volume of log production,Hardwood plantation,Other,South Australia,1996-97,1996-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Other,South Australia,1997-98,1997-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Other,South Australia,1998-99,1998-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Other,South Australia,1999-00,1999-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Other,South Australia,2000-01,2000-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Other,South Australia,2001-02,2001-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Other,South Australia,2002-03,2002-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Other,South Australia,2003-04,2003-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Other,South Australia,2004-05,2004-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Other,South Australia,2005-06,2005-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Other,South Australia,2006-07,2006-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Other,South Australia,2007-08,2007-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Other,South Australia,2008-09,2008-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Other,South Australia,2009-10,2009-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Other,South Australia,2010-11,2010-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Other,South Australia,2011-12,2011-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Other,South Australia,2012-13,2012-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Other,South Australia,2013-14,2013-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Other,South Australia,2014-15,2014-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Other,South Australia,2015-16,2015-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Other,South Australia,2016-17,2016-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Other,South Australia,2017-18,2017-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Other,South Australia,2018-19,2018-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Other,South Australia,2019-20,2019-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Other,South Australia,2020-21,2020-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Other,South Australia,2021-22,2021-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Other,South Australia,2022-23,2022-07-01,’000 m3,0
Volume of log production,Hardwood plantation,Other,South Australia,2023-24,2023-07-01,’000 m3,129.9325
Volume of log production,Hardwood plantation,Other,South Australia,2024-25,2024-07-01,’000 m3,69.3933084808947
Volume of log production,Softwood,Saw and veneer logs,South Australia,1996-97,1996-07-01,’000 m3,1154.273
Volume of log production,Softwood,Saw and veneer logs,South Australia,1997-98,1997-07-01,’000 m3,1391.595
Volume of log production,Softwood,Saw and veneer logs,South Australia,1998-99,1998-07-01,’000 m3,1242.528
Volume of log production,Softwood,Saw and veneer logs,South Australia,1999-00,1999-07-01,’000 m3,1395.6
