StateAb,DivisionID,DivisionNm,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,AbsentVotes,ProvisionalVotes,PrePollVotes,PostalVotes,TotalVotes,Swing,is_informal_placeholder_row
SA,183,Grey,41022,HARDWICK-FRANCO,Kathryn,6,N,N,GRN,The Greens,5083,384,34,303,519,6323,-0.86,N
SA,183,Grey,41024,VENNING,Tom,7,Y,N,LP,Liberal,29946,702,93,1252,5294,37287,-10.43,N
SA,183,Grey,41044,BAIS,Laury Hendrik,8,N,N,CYA,Trumpet of Patriots,2078,124,8,181,286,2677,1.8,N
SA,183,Grey,999,Informal,Informal,999,N,N,,Informal,7312,242,34,226,380,8194,0.19,Y
SA,185,Hindmarsh,41045,TOWNSEND,Andrew,1,N,N,CYA,Trumpet of Patriots,3717,251,25,189,600,4782,3.66,N
SA,185,Hindmarsh,41063,ALOE,Adrien,2,N,N,SOPA,FUSION | Planet Rescue | Whistleblower Protection | Innovation,582,33,1,26,81,723,0.64,N
SA,185,Hindmarsh,41053,TENNIKOFF,Alex,3,N,N,FFP,Family First,2149,128,10,99,260,2646,2.35,N
SA,185,Hindmarsh,42033,DeANGELIS,Rocco,4,N,N,ON,Pauline Hanson's One Nation,4219,258,28,220,869,5594,1.04,N
SA,185,Hindmarsh,41027,LEHMANN,Chris,5,N,N,LP,Liberal,20114,757,78,850,4185,25984,-9.59,N
SA,185,Hindmarsh,41813,PASTRO,Matt,6,N,N,AJP,Animal Justice Party,1174,80,10,49,252,1565,-0.73,N
SA,185,Hindmarsh,41458,HALL-EVANS,Jake,7,N,N,IND,Independent,1334,83,10,85,274,1786,1.59,N
SA,185,Hindmarsh,41207,BUTLER,Mark,8,Y,Y,ALP,Australian Labor Party,43089,1556,209,1487,7804,54145,5.96,N
SA,185,Hindmarsh,41025,WRIGHT,Matthew,9,N,N,GRN,The Greens,12390,821,94,562,1379,15246,-0.31,N
SA,185,Hindmarsh,999,Informal,Informal,999,N,N,,Informal,6441,387,52,214,530,7624,0.64,Y
SA,186,Kingston,41201,RISHWORTH,Amanda,1,Y,Y,ALP,Australian Labor Party,47894,1648,197,1294,8725,59758,3.83,N
SA,186,Kingston,42042,SKRLJ,Nathan,2,N,N,ON,Pauline Hanson's One Nation,5472,273,29,222,1022,7018,1.37,N
SA,186,Kingston,41026,PHOTAKIS,John,3,N,N,GRN,The Greens,12423,742,81,437,1466,15149,1,N
SA,186,Kingston,41030,RISHWORTH,Jim,4,N,N,LP,Liberal,16369,622,58,619,3326,20994,-7.22,N
SA,186,Kingston,41054,PRICE,Steven,5,N,N,FFP,Family First,2918,155,18,98,371,3560,3.16,N
SA,186,Kingston,41046,JACKSON,Russell Patrick,6,N,N,CYA,Trumpet of Patriots,3327,178,14,119,527,4165,2.71,N
SA,186,Kingston,41797,LIU,Bin,7,N,N,AJP,Animal Justice Party,1526,83,7,72,363,2051,1.82,N
SA,186,Kingston,999,Informal,Informal,999,N,N,,Informal,4268,195,26,98,372,4959,0.4,Y
SA,187,Makin,41802,RUSSELL,Geoff,1,N,N,AJP,Animal Justice Party,1865,176,16,92,375,2524,2.38,N
SA,187,Makin,41028,MOORE,Samuel,2,N,N,GRN,The Greens,10741,751,83,400,1159,13134,0.93,N
SA,187,Makin,41057,NANCARROW,Sue,3,N,N,FFP,Family First,2800,182,14,110,415,3521,3.32,N
SA,187,Makin,41047,ALDRIDGE,Mark,4,N,N,CYA,Trumpet of Patriots,3331,253,23,134,522,4263,2.25,N
SA,187,Makin,42036,DEW-FENNELL,Alison,5,N,N,ON,Pauline Hanson's One Nation,5519,335,26,229,1043,7152,2,N
SA,187,Makin,41071,HANNA,Amelie,6,N,N,SOPA,FUSION | Planet Rescue | Whistleblower Protection | Innovation,724,52,2,34,107,919,0.87,N
SA,187,Makin,41033,ZAGLADOV,Irena,7,N,N,LP,Liberal,18683,741,77,631,3739,23871,-8.95,N
SA,187,Makin,41172,ZAPPIA,Tony,8,Y,Y,ALP,Australian Labor Party,40895,1729,206,1159,6775,50764,1.52,N
SA,187,Makin,999,Informal,Informal,999,N,N,,Informal,5805,428,50,193,509,6985,2.04,Y
SA,188,Mayo,41035,BASIC,Zane,1,N,N,LP,Liberal,23722,842,97,992,3898,29551,-3.42,N
SA,188,Mayo,40653,SHARKIE,Rebekha,2,Y,Y,XEN,Centre Alliance,30675,697,111,938,5032,37453,-1.49,N
SA,188,Mayo,41029,DAWSON-SCOTT,Genevieve,3,N,N,GRN,The Greens,13960,876,100,612,1500,17048,1.83,N
SA,188,Mayo,41058,HACKETT,Ben,4,N,N,FFP,Family First,2758,131,14,136,358,3397,2.71,N
SA,188,Mayo,41186,BELL,Marisa,5,N,N,ALP,Australian Labor Party,21626,1024,119,881,3068,26718,3.23,N
SA,188,Mayo,42045,HEWETT,Rebecca,6,N,N,ON,Pauline Hanson's One Nation,5962,266,42,286,937,7493,1.88,N
SA,188,Mayo,41049,BIDWELL,Simeon Trump,7,N,N,CYA,Trumpet of Patriots,2789,145,24,166,398,3522,1.67,N
SA,188,Mayo,999,Informal,Informal,999,N,N,,Informal,3983,176,26,126,292,4603,-1.5,Y
SA,325,Spence,41031,SKINNER,Luke,1,N,N,GRN,The Greens,13005,937,147,405,1672,16166,3.14,N
SA,325,Spence,41040,WILD,Daniel,2,N,N,LP,Liberal,16519,706,100,545,2982,20852,-6.87,N
SA,325,Spence,41817,SMITH,Miranda Joyce,3,N,N,AJP,Animal Justice Party,1719,132,20,60,412,2343,2.1,N
SA,325,Spence,40652,HANTON,Kym,4,N,N,IND,Independent,2132,121,17,79,400,2749,2.46,N
SA,325,Spence,41198,BURNELL,Matt,5,Y,Y,ALP,Australian Labor Party,39846,1519,353,932,6813,49463,0.47,N
SA,325,Spence,42039,BOTHE,Darryl,6,N,N,ON,Pauline Hanson's One Nation,8188,474,71,266,1655,10654,-1.31,N
SA,325,Spence,41050,MORRELL,Paul Michael,7,N,N,CYA,Trumpet of Patriots,3490,211,21,119,613,4454,2.36,N
SA,325,Spence,41059,BENNETT,John William,8,N,N,FFP,Family First,3862,241,49,128,621,4901,4.39,N
SA,325,Spence,999,Informal,Informal,999,N,N,,Informal,8552,468,100,205,643,9968,3.25,Y
SA,190,Sturt,41209,CLUTTERHAM,Claire,1,Y,N,ALP,Australian Labor Party,31885,1485,194,1251,6518,41333,4.63,N
SA,190,Sturt,41061,MERVIN JOSHUA,,2,N,N,FFP,Family First,1740,155,15,67,303,2280,1.95,N
SA,190,Sturt,41042,STEVENS,James,3,N,Y,LP,Liberal,30581,1109,137,1062,7339,40228,-8.8,N
SA,190,Sturt,40618,COOPER,Verity,4,N,N,IND,Independent,6758,228,53,188,1186,8413,7.18,N
SA,190,Sturt,42052,BOGATEC,Peter,5,N,N,ON,Pauline Hanson's One Nation,2982,194,26,146,687,4035,0.87,N
SA,190,Sturt,41052,DUFFIELD,Nicholas,6,N,N,CYA,Trumpet of Patriots,1911,124,8,85,425,2553,1.51,N
SA,190,Sturt,41034,McCUSKER,Katie,7,N,N,GRN,The Greens,14672,960,110,674,1879,18295,-0.77,N
SA,190,Sturt,999,Informal,Informal,999,N,N,,Informal,3314,241,22,99,373,4049,-2.15,Y
