division_id,division_nm,state_ab,division_ab,demographic_classification,close_of_rolls_enrolment,final_enrolment,turnout,turnout_percentage,turnout_swing,formal_votes,informal_votes,informal_percent,informal_swing,nominations,is_non_classic_division,tpp_alp_votes,tpp_alp_percentage,tpp_coalition_votes,tpp_coalition_percentage,tpp_total_votes,tpp_swing,member_elected_given_name,member_elected_surname,member_elected_party_ab,member_elected_party_nm
138,Page,NSW,PAGE,Rural,129450,129373,118739,91.78,1.33,107594,11145,9.39,2.45,11,N,43806,40.71,63788,59.29,107594,1.36,Kevin,HOGAN,NP,The Nationals
139,Parkes,NSW,PARK,Rural,130913,130841,116742,89.22,0.72,104887,11855,10.15,2.43,10,N,38840,37.03,66047,62.97,104887,5.18,Jamie,CHAFFEY,NP,The Nationals
140,Parramatta,NSW,PARR,Inner Metropolitan,117535,117501,106746,90.85,4.35,97190,9556,8.95,1.2,8,N,60790,62.55,36400,37.45,97190,8.83,Andrew,CHARLTON,ALP,Australian Labor Party
249,Paterson,NSW,PATE,Provincial,128005,127926,118661,92.76,4.39,108704,9957,8.39,3.41,10,N,61841,56.89,46863,43.11,108704,4.29,Meryl,SWANSON,ALP,Australian Labor Party
144,Reid,NSW,REID,Inner Metropolitan,117857,117810,107643,91.37,0.85,101217,6426,5.97,-0.52,7,N,62762,62.01,38455,37.99,101217,6.82,Sally,SITOU,ALP,Australian Labor Party
145,Richmond,NSW,RICH,Rural,126908,126814,113552,89.54,3.24,104952,8600,7.57,0.65,10,N,62975,60,41977,40,104952,1.77,Justine,ELLIOT,ALP,Australian Labor Party
250,Riverina,NSW,RIVE,Rural,128630,128537,119280,92.8,1.11,105837,13443,11.27,4.21,13,N,39561,37.38,66276,62.62,105837,-2.91,Michael,McCORMACK,NP,The Nationals
146,Robertson,NSW,ROBE,Provincial,114983,114922,106339,92.53,1.58,101463,4876,4.59,-1.53,7,N,60235,59.37,41228,40.63,101463,7.14,Gordon,REID,ALP,Australian Labor Party
148,Shortland,NSW,SHOR,Provincial,123058,122971,114839,93.39,2.22,108108,6731,5.86,-0.27,7,N,66494,61.51,41614,38.49,108108,5.51,Pat,CONROY,ALP,Australian Labor Party
149,Sydney,NSW,SYDN,Inner Metropolitan,127495,127445,111410,87.42,-2.46,107249,4161,3.73,0.31,5,Y,83737,78.08,23512,21.92,107249,2.42,Tanya,PLIBERSEK,ALP,Australian Labor Party
151,Warringah,NSW,WARR,Inner Metropolitan,130799,130761,120415,92.09,1.81,114895,5520,4.58,1.15,8,Y,62634,54.51,52261,45.49,114895,5.25,Zali,STEGGALL,IND,Independent
251,Watson,NSW,WATS,Inner Metropolitan,116456,116432,99817,85.73,2.41,82834,16983,17.01,6.38,9,Y,60352,72.86,22482,27.14,82834,7.7,Tony,BURKE,ALP,Australian Labor Party
152,Wentworth,NSW,WENT,Inner Metropolitan,127511,127463,113537,89.07,0.5,110431,3106,2.74,0.12,6,Y,55829,50.56,54602,49.44,110431,1.72,Allegra,SPENDER,IND,Independent
153,Werriwa,NSW,WERR,Outer Metropolitan,117827,117790,105888,89.9,7.39,87614,18274,17.26,7.08,9,N,49742,56.77,37872,43.23,87614,1.43,Anne Maree,STANLEY,ALP,Australian Labor Party
150,Whitlam,NSW,WHIT,Provincial,130155,130093,121225,93.18,4.12,109316,11909,9.82,5.06,10,N,61486,56.25,47830,43.75,109316,-2.06,Carol,BERRY,ALP,Australian Labor Party
306,Lingiari,NT,LING,Rural,76836,76817,47789,62.21,1.79,45632,2157,4.51,-2.95,6,N,26524,58.13,19108,41.87,45632,6.53,Marion,SCRYMGOUR,ALP,Australian Labor Party
307,Solomon,NT,SOLO,Inner Metropolitan,78723,78702,62370,79.25,0.49,60130,2240,3.59,-0.1,7,N,30853,51.31,29277,48.69,60130,-7.09,Luke John,GOSLING,ALP,Australian Labor Party
304,Blair,QLD,BLAI,Provincial,142021,142006,125172,88.15,1.04,116953,8219,6.57,1.27,10,N,65156,55.71,51797,44.29,116953,0.48,Shayne,NEUMANN,ALP,Australian Labor Party
310,Bonner,QLD,BONN,Outer Metropolitan,113535,113498,103703,91.37,0.8,99106,4597,4.43,1.93,8,N,54506,55,44600,45,99106,8.41,Kara,COOK,ALP,Australian Labor Party
155,Bowman,QLD,BOWM,Outer Metropolitan,122978,122940,111973,91.08,0.57,107987,3986,3.56,0.65,7,N,51372,47.57,56615,52.43,107987,3.08,Henry,PIKE,LNP,Liberal National Party of Queensland
156,Brisbane,QLD,BRIS,Inner Metropolitan,127532,127512,114390,89.71,0.97,110745,3645,3.19,1.11,8,N,65295,58.96,45450,41.04,110745,58.96,Madonna,JARRETT,ALP,Australian Labor Party
157,Capricornia,QLD,CAPR,Provincial,115175,115141,102205,88.77,0.17,98658,3547,3.47,-2.67,6,N,43573,44.17,55085,55.83,98658,0.76,Michelle,LANDRY,LNP,Liberal National Party of Queensland
158,Dawson,QLD,DAWS,Rural,117233,117202,103317,88.15,0.66,98468,4849,4.69,0.55,7,N,37587,38.17,60881,61.83,98468,-1.41,Andrew,WILLCOX,LNP,Liberal National Party of Queensland
252,Dickson,QLD,DICK,Outer Metropolitan,119401,119375,110255,92.36,1.01,105579,4676,4.24,0.36,9,N,59115,55.99,46464,44.01,105579,7.69,Ali,FRANCE,ALP,Australian Labor Party
159,Fadden,QLD,FADD,Outer Metropolitan,135790,135733,118191,87.08,0.54,111398,6793,5.75,1.44,9,N,48034,43.12,63364,56.88,111398,3.75,Cameron,CALDWELL,LNP,Liberal National Party of Queensland
160,Fairfax,QLD,FAIR,Rural,130713,130658,117228,89.72,0.73,111048,6180,5.27,-0.26,8,N,51938,46.77,59110,53.23,111048,5.72,Ted,O'BRIEN,LNP,Liberal National Party of Queensland
161,Fisher,QLD,FISH,Rural,139123,139064,125270,90.08,1.01,118472,6798,5.43,2.28,8,N,52087,43.97,66385,56.03,118472,2.64,Andrew,WALLACE,LNP,Liberal National Party of Queensland
311,Flynn,QLD,FLYN,Rural,117940,117901,104513,88.64,0.57,97543,6970,6.67,2.84,9,N,38781,39.76,58762,60.24,97543,-6.42,Colin,BOYCE,LNP,Liberal National Party of Queensland
162,Forde,QLD,FORD,Outer Metropolitan,134066,134005,114968,85.79,0.56,107528,7440,6.47,-0.31,8,N,55662,51.77,51866,48.23,107528,6,Rowan,HOLZBERGER,ALP,Australian Labor Party
163,Griffith,QLD,GRIF,Inner Metropolitan,123939,123916,111666,90.11,0.66,109212,2454,2.2,0.2,7,Y,72015,65.94,37197,34.06,109212,4.87,Renee,COFFEY,ALP,Australian Labor Party
164,Groom,QLD,GROO,Provincial,119054,119008,108495,91.17,0.29,103219,5276,4.86,0.14,8,Y,37829,36.65,65390,63.35,103219,0.82,Garth,HAMILTON,LNP,Liberal National Party of Queensland
165,Herbert,QLD,HERB,Provincial,121315,121280,103662,85.47,-0.46,98362,5300,5.11,-0.66,8,N,35988,36.59,62374,63.41,98362,-1.64,Phillip,THOMPSON,LNP,Liberal National Party of Queensland
166,Hinkler,QLD,HINK,Provincial,127816,127702,114677,89.8,0.31,109370,5307,4.63,1.36,7,N,47836,43.74,61534,56.26,109370,3.81,David,BATT,LNP,Liberal National Party of Queensland
167,Kennedy,QLD,KENN,Rural,123724,123696,103622,83.77,-0.82,97162,6460,6.23,2.95,8,Y,39521,40.68,57641,59.32,97162,0.84,Bob,KATTER,KAP,Katter's Australian Party (KAP)
168,Leichhardt,QLD,LEIC,Rural,122787,122757,101852,82.97,-1,94480,7372,7.24,0.42,10,N,52967,56.06,41513,43.94,94480,9.5,Matt,SMITH,ALP,Australian Labor Party
169,Lilley,QLD,LILL,Inner Metropolitan,118639,118593,107995,91.06,0.45,105440,2555,2.37,-0.33,6,N,68030,64.52,37410,35.48,105440,3.98,Anika,WELLS,ALP,Australian Labor Party
302,Longman,QLD,LONG,Provincial,142810,142744,126927,88.92,0.75,121929,4998,3.94,-1.05,6,N,60830,49.89,61099,50.11,121929,2.97,Terry,YOUNG,LNP,Liberal National Party of Queensland
170,Maranoa,QLD,MARA,Rural,115570,115520,103293,89.42,1.03,97687,5606,5.43,2.07,8,Y,25434,26.04,72253,73.96,97687,-1.84,David,LITTLEPROUD,LNP,Liberal National Party of Queensland
171,McPherson,QLD,MCPH,Provincial,121579,121545,106183,87.36,-0.2,97215,8968,8.45,3.03,12,N,44295,45.56,52920,54.44,97215,4.9,Leon,REBELLO,LNP,Liberal National Party of Queensland
172,Moncrieff,QLD,MONC,Provincial,125771,125713,107688,85.66,0.63,100326,7362,6.84,1.06,9,N,41335,41.2,58991,58.8,100326,2.39,Angie,BELL,LNP,Liberal National Party of Queensland
173,Moreton,QLD,MORE,Inner Metropolitan,109284,109260,98063,89.75,0.89,93831,4232,4.32,1.56,8,N,62014,66.09,31817,33.91,93831,7,Julie-Ann,CAMPBELL,ALP,Australian Labor Party
174,Oxley,QLD,OXLE,Outer Metropolitan,122463,122449,108190,88.36,0.49,104062,4128,3.82,0.2,7,N,72003,69.19,32059,30.81,104062,7.6,Milton,DICK,ALP,Australian Labor Party
175,Petrie,QLD,PETR,Outer Metropolitan,134418,134359,120538,89.71,1.25,116792,3746,3.11,-0.43,6,N,59761,51.17,57031,48.83,116792,5.61,Emma,COMER,ALP,Australian Labor Party
176,Rankin,QLD,RANK,Outer Metropolitan,114981,114950,97973,85.23,0.67,91669,6304,6.43,2.54,8,N,60092,65.55,31577,34.45,91669,6.46,Jim,CHALMERS,ALP,Australian Labor Party
177,Ryan,QLD,RYAN,Outer Metropolitan,114891,114860,106598,92.81,0.77,103462,3136,2.94,-0.12,8,Y,59822,57.82,43640,42.18,103462,5.4,Elizabeth,WATSON-BROWN,GRN,The Greens
178,Wide Bay,QLD,WBAY,Rural,123237,123153,109966,89.29,0.6,105058,4908,4.46,-1.96,7,N,44512,42.37,60546,57.63,105058,3.71,Llew,O'BRIEN,LNP,Liberal National Party of Queensland
316,Wright,QLD,WRIG,Rural,140302,140286,124535,88.77,0.18,116880,7655,6.15,2.75,8,N,49116,42.02,67764,57.98,116880,2.91,Scott,BUCHHOLZ,LNP,Liberal National Party of Queensland
179,Adelaide,SA,ADEL,Inner Metropolitan,131466,131436,118567,90.21,0.03,114089,4478,3.78,-0.01,7,N,78796,69.07,35293,30.93,114089,7.16,Steve,GEORGANAS,ALP,Australian Labor Party
180,Barker,SA,BARK,Rural,127069,127045,117648,92.6,0.4,108714,8934,7.59,0.63,10,N,40249,37.02,68465,62.98,108714,3.64,Tony,PASIN,LP,Liberal
182,Boothby,SA,BOOT,Outer Metropolitan,129585,129524,120452,93,0.46,117339,3113,2.58,-1.86,6,N,71698,61.1,45641,38.9,117339,7.82,Louise,MILLER-FROST,ALP,Australian Labor Party
183,Grey,SA,GREY,Rural,128719,128707,115075,89.41,-0.21,106881,8194,7.12,0.19,8,N,48479,45.36,58402,54.64,106881,5.43,Tom,VENNING,LP,Liberal
185,Hindmarsh,SA,HIND,Inner Metropolitan,131434,131379,120095,91.41,0.43,112471,7624,6.35,0.64,9,N,74623,66.35,37848,33.65,112471,7.4,Mark,BUTLER,ALP,Australian Labor Party
186,Kingston,SA,KING,Outer Metropolitan,127943,127919,117654,91.98,0.61,112695,4959,4.21,0.4,7,N,79721,70.74,32974,29.26,112695,4.39,Amanda,RISHWORTH,ALP,Australian Labor Party
187,Makin,SA,MAKI,Outer Metropolitan,123686,123639,113133,91.5,0.3,106148,6985,6.17,2.04,8,N,68633,64.66,37515,35.34,106148,3.86,Tony,ZAPPIA,ALP,Australian Labor Party
188,Mayo,SA,MAYO,Rural,137756,137818,129785,94.17,0.49,125182,4603,3.55,-1.5,7,Y,68820,54.98,56362,45.02,125182,3.39,Rebekha,SHARKIE,XEN,Centre Alliance
325,Spence,SA,SPEN,Outer Metropolitan,138902,138898,121550,87.51,0.94,111582,9968,8.2,3.25,8,N,72903,65.34,38679,34.66,111582,2.44,Matt,BURNELL,ALP,Australian Labor Party
190,Sturt,SA,STUR,Inner Metropolitan,130340,130300,121186,93.01,0.63,117137,4049,3.34,-2.15,7,N,66326,56.62,50811,43.38,117137,7.07,Claire,CLUTTERHAM,ALP,Australian Labor Party
192,Bass,TAS,BASS,Provincial,80392,80378,74625,92.84,0.89,71594,3031,4.06,-1.87,7,N,41532,58.01,30062,41.99,71594,9.44,Jess,TEESDALE,ALP,Australian Labor Party
193,Braddon,TAS,BRAD,Rural,84278,84244,78393,93.05,0.29,74840,3553,4.53,-3.13,6,N,42809,57.2,32031,42.8,74840,15.23,Anne,URQUHART,ALP,Australian Labor Party
319,Clark,TAS,CLAR,Inner Metropolitan,74315,74304,69208,93.14,1.01,67531,1677,2.42,-1.83,5,Y,47871,70.89,19660,29.11,67531,3.65,Andrew,WILKIE,IND,Independent
195,Franklin,TAS,FRAN,Outer Metropolitan,83734,83693,78802,94.16,0.75,76462,2340,2.97,-1.96,6,Y,53096,69.44,23366,30.56,76462,5.74,Julie,COLLINS,ALP,Australian Labor Party
196,Lyons,TAS,LYON,Rural,88962,88977,82547,92.77,0.87,76832,5715,6.92,0.62,8,N,47316,61.58,29516,38.42,76832,10.66,Rebecca,WHITE,ALP,Australian Labor Party
197,Aston,VIC,ASTO,Outer Metropolitan,122512,122459,115663,94.45,1.9,109849,5814,5.03,1.61,9,N,58690,53.43,51159,46.57,109849,6.04,Mary,DOYLE,ALP,Australian Labor Party
198,Ballarat,VIC,BALL,Provincial,116296,116238,108495,93.34,3.61,104540,3955,3.65,-1.38,7,N,63419,60.66,41121,39.34,104540,-2.32,Catherine,KING,ALP,Australian Labor Party
200,Bendigo,VIC,BEND,Provincial,120140,120088,112845,93.97,2.52,106617,6228,5.52,1.74,10,N,54800,51.4,51817,48.6,106617,51.4,Lisa,CHESTERS,ALP,Australian Labor Party
201,Bruce,VIC,BRUC,Outer Metropolitan,127671,127622,116659,91.41,3.69,109494,7165,6.14,1.75,8,N,70751,64.62,38743,35.38,109494,9.31,Julian,HILL,ALP,Australian Labor Party
203,Calwell,VIC,CALW,Outer Metropolitan,115552,115542,100488,86.97,9.97,89831,10657,10.61,4.32,13,Y,58127,64.71,31704,35.29,89831,2.32,Basem,ABDO,ALP,Australian Labor Party
204,Casey,VIC,CASE,Rural,122417,122351,115652,94.52,2.44,110563,5089,4.4,-1.75,8,N,52084,47.11,58479,52.89,110563,-1.46,Aaron,VIOLI,LP,Liberal
205,Chisholm,VIC,CHIS,Inner Metropolitan,122795,122733,115443,94.06,1.38,112696,2747,2.38,-1.61,7,N,62773,55.7,49923,44.3,112696,2.37,Carina,GARLAND,ALP,Australian Labor Party
320,Cooper,VIC,COOP,Inner Metropolitan,119958,119909,110813,92.41,4.57,107586,3227,2.91,-1.28,6,Y,84489,78.53,23097,21.47,107586,2.82,Ged,KEARNEY,ALP,Australian Labor Party
328,Corangamite,VIC,CORA,Provincial,114177,114123,108043,94.67,6.61,104020,4023,3.72,-0.14,8,N,60381,58.05,43639,41.95,104020,0.21,Libby,COKER,ALP,Australian Labor Party
208,Corio,VIC,CORI,Provincial,122829,122756,113820,92.72,2.59,110227,3593,3.16,-2.04,6,N,69698,63.23,40529,36.77,110227,0.74,Richard,MARLES,ALP,Australian Labor Party
209,Deakin,VIC,DEAK,Outer Metropolitan,126749,126675,120199,94.89,2.43,115507,4692,3.9,-0.08,8,N,61014,52.82,54493,47.18,115507,2.84,Matt,GREGG,ALP,Australian Labor Party
210,Dunkley,VIC,DUNK,Outer Metropolitan,124407,124350,114733,92.27,3.34,109174,5559,4.85,0.2,8,N,62314,57.08,46860,42.92,109174,0.31,Jodie,BELYEA,ALP,Australian Labor Party
211,Flinders,VIC,FLIN,Rural,127620,127540,119169,93.44,1.65,114923,4246,3.56,-1.75,7,Y,51966,45.22,62957,54.78,114923,1.38,Zoe,McKENZIE,LP,Liberal
321,Fraser,VIC,FRAS,Inner Metropolitan,124233,124191,111717,89.96,4.3,107467,4250,3.8,-0.65,6,Y,77401,72.02,30066,27.98,107467,5.46,Daniel,MULINO,ALP,Australian Labor Party
212,Gellibrand,VIC,GELL,Inner Metropolitan,118992,118962,108740,91.41,7.81,105202,3538,3.25,-1.72,5,N,68489,65.1,36713,34.9,105202,3.9,Tim,WATTS,ALP,Australian Labor Party
213,Gippsland,VIC,GIPP,Rural,118115,118075,108662,92.03,3.67,104758,3904,3.59,0.63,5,N,32102,30.64,72656,69.36,104758,1.21,Darren,CHESTER,NP,The Nationals
214,Goldstein,VIC,GOLD,Inner Metropolitan,126189,126139,118871,94.24,2.87,115673,3198,2.69,-0.74,7,Y,53246,46.03,62427,53.97,115673,-0.25,Tim,WILSON,LP,Liberal
309,Gorton,VIC,GORT,Outer Metropolitan,129256,129230,118640,91.81,11.46,113430,5210,4.39,-2.73,7,N,68380,60.28,45050,39.72,113430,0.3,Alice,JORDAN-BAIRD,ALP,Australian Labor Party
326,Hawke,VIC,HAWK,Provincial,118830,118785,108248,91.13,7.84,103817,4431,4.09,-4.05,7,N,59830,57.63,43987,42.37,103817,0.01,Sam,RAE,ALP,Australian Labor Party
216,Holt,VIC,HOLT,Outer Metropolitan,112992,112953,103156,91.33,9.49,99233,3923,3.8,-2.76,6,N,63538,64.03,35695,35.97,99233,6.92,Cassandra,FERNANDO,ALP,Australian Labor Party
217,Hotham,VIC,HOTH,Inner Metropolitan,119047,118993,109903,92.36,2.59,106211,3692,3.36,-0.19,6,N,71012,66.86,35199,33.14,106211,5.27,Clare,O'NEIL,ALP,Australian Labor Party
218,Indi,VIC,INDI,Rural,120854,120774,112040,92.77,3.79,105761,6279,5.6,0.13,9,Y,45836,43.34,59925,56.66,105761,-1.4,Helen,HAINES,IND,Independent
219,Isaacs,VIC,ISAA,Outer Metropolitan,120804,120753,112139,92.87,3.76,108181,3958,3.53,0.05,5,N,69604,64.34,38577,35.66,108181,4.83,Mark,DREYFUS,ALP,Australian Labor Party
220,Jagajaga,VIC,JAGA,Outer Metropolitan,121332,121269,114387,94.33,2.2,111099,3288,2.87,-0.93,7,N,69858,62.88,41241,37.12,111099,0.67,Kate,THWAITES,ALP,Australian Labor Party
221,Kooyong,VIC,KOOY,Inner Metropolitan,124516,124480,117270,94.21,0.85,114868,2402,2.05,-0.78,7,Y,54709,47.63,60159,52.37,114868,1.37,Monique,RYAN,IND,Independent
223,La Trobe,VIC,LTRO,Provincial,115448,115425,107307,92.97,12.23,103618,3689,3.44,-1.29,6,N,49674,47.94,53944,52.06,103618,6.37,Jason,WOOD,LP,Liberal
222,Lalor,VIC,LALO,Outer Metropolitan,114533,114496,103404,90.31,11.87,99284,4120,3.98,-2.13,7,N,62761,63.21,36523,36.79,99284,0.42,Joanne,RYAN,ALP,Australian Labor Party
322,Macnamara,VIC,MACN,Inner Metropolitan,114610,114579,102584,89.53,3.12,100338,2246,2.19,-1.23,6,N,62004,61.8,38334,38.2,100338,-0.37,Josh,BURNS,ALP,Australian Labor Party
224,Mallee,VIC,MALL,Rural,121662,121604,111247,91.48,3.82,103707,7540,6.78,1.14,8,N,32110,30.96,71597,69.04,103707,-0.05,Anne,WEBSTER,NP,The Nationals
225,Maribyrnong,VIC,MARI,Inner Metropolitan,123287,123249,114295,92.74,3.97,111197,3098,2.71,-2.3,4,N,69660,62.65,41537,37.35,111197,-0.38,Jo,BRISKEY,ALP,Australian Labor Party
226,McEwen,VIC,MCEW,Rural,117940,117921,110307,93.54,9.11,104616,5691,5.16,1.18,9,N,57288,54.76,47328,45.24,104616,0.94,Rob,MITCHELL,ALP,Australian Labor Party
228,Melbourne,VIC,MELB,Inner Metropolitan,113403,113369,99875,88.1,0.05,97448,2427,2.43,-0.59,7,Y,72083,73.97,25365,26.03,97448,0.88,Sarah,WITTY,ALP,Australian Labor Party
229,Menzies,VIC,MENZ,Outer Metropolitan,121052,120989,113953,94.18,0.45,109430,4523,3.97,0.54,8,N,55894,51.08,53536,48.92,109430,0.66,Gabriel,NG,ALP,Australian Labor Party
323,Monash,VIC,MONA,Rural,116527,116463,108850,93.46,4.65,102520,6330,5.82,1.14,9,N,47069,45.91,55451,54.09,102520,-1.19,Mary,ALDRED,LP,Liberal
324,Nicholls,VIC,NICH,Rural,121472,121390,111006,91.45,1.49,105450,5556,5.01,-2.63,7,N,37563,35.62,67887,64.38,105450,35.62,Sam,BIRRELL,NP,The Nationals
232,Scullin,VIC,SCUL,Outer Metropolitan,114965,114926,104506,90.93,5.77,96545,7961,7.62,1.86,8,N,62072,64.29,34473,35.71,96545,-1.14,Andrew,GILES,ALP,Australian Labor Party
