table,table_title,row_group_1,row_group_2,row_label,column,value
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2024,Female imprisonment rate (e),25.3
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2024,Total imprisonment rate (e),194
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2025,Total prisoners (d) - Number,13164
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2025,Males,12252
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2025,Females,909
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2025,Aboriginal and Torres Strait Islander,4519
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2025,Non-Indigenous,8607
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2025,Known prior imprisonment - Proportion (%),56.7
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2025,Unsentenced,43.7
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2025,Male imprisonment rate (e),366.9
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2025,Female imprisonment rate (e),26.5
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",New South Wales,,2025,Total imprisonment rate (e),194.3
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2016,Total prisoners (d) - Number,6522
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2016,Males,6091
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2016,Females,429
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2016,Aboriginal and Torres Strait Islander,535
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2016,Non-Indigenous,5979
Table 16,"Table 16 Prisoners, State/territory by selected characteristics, 2016–2025",Victoria,,2016,Known prior imprisonment - Proportion (%),49.8
