table,table_title,row_group_1,row_group_2,row_label,column,value
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Males,Tas.,39.3
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Males,NT,35.7
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Males,ACT,38.3
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Males,Aust.,38.6
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Females,NSW,37.3
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Females,Vic.,38.7
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Females,Qld,35.4
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Females,SA,38
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Females,WA,36.9
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Females,Tas.,37.3
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Females,NT,35.2
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Females,ACT,31.6
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Females,Aust.,36.7
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Aboriginal and Torres Strait Islander,NSW,35.5
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Aboriginal and Torres Strait Islander,Vic.,35.8
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Aboriginal and Torres Strait Islander,Qld,34.2
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Aboriginal and Torres Strait Islander,SA,36.7
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Aboriginal and Torres Strait Islander,WA,35.7
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Aboriginal and Torres Strait Islander,Tas.,34.8
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Aboriginal and Torres Strait Islander,NT,34.9
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Aboriginal and Torres Strait Islander,ACT,34.8
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Aboriginal and Torres Strait Islander,Aust.,35.2
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Non-Indigenous,NSW,41.4
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Non-Indigenous,Vic.,39.8
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Non-Indigenous,Qld,38.8
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Non-Indigenous,SA,42.2
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Non-Indigenous,WA,40.4
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Non-Indigenous,Tas.,41.1
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Non-Indigenous,NT,41.4
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Non-Indigenous,ACT,39.5
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Non-Indigenous,Aust.,40.4
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Persons,NSW,39.3
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Persons,Vic.,39.3
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Persons,Qld,36.9
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Persons,SA,40.7
Table 15,"Table 15 Prisoners, Selected characteristics by state/territory, 2025",Mean age (years),,Persons,WA,38.3
