state,south_australia_related,sa3_code,sa3_name,reporting_year,age_group,num_registered_children,num_fully_immunised,num_not_fully_immunised,percent_fully_immunised,interpret_with_caution
VIC,False,20903,Nillumbik - Kinglake,2016-17,1 year,657,625,32,95.1,
VIC,False,20904,Whittlesea - Wallan,2016-17,1 year,3614,3422,192,94.7,
VIC,False,21001,Keilor,2016-17,1 year,697,671,26,96.3,
VIC,False,21002,Macedon Ranges,2016-17,1 year,337,324,13,96.1,
VIC,False,21003,Moreland - North,2016-17,1 year,1228,1133,95,92.3,
VIC,False,21004,Sunbury,2016-17,1 year,529,504,25,95.3,
VIC,False,21005,Tullamarine - Broadmeadows,2016-17,1 year,2899,2675,224,92.3,
VIC,False,21101,Knox,2016-17,1 year,1836,1741,95,94.8,
VIC,False,21102,Manningham - East,2016-17,1 year,234,217,17,92.7,
VIC,False,21103,Maroondah,2016-17,1 year,1595,1510,85,94.7,
VIC,False,21104,Whitehorse - East,2016-17,1 year,695,662,33,95.3,
VIC,False,21105,Yarra Ranges,2016-17,1 year,1902,1783,119,93.7,
VIC,False,21201,Cardinia,2016-17,1 year,1699,1604,95,94.4,
VIC,False,21202,Casey - North,2016-17,1 year,1857,1727,130,93,
VIC,False,21203,Casey - South,2016-17,1 year,3088,2914,174,94.4,
VIC,False,21204,Dandenong,2016-17,1 year,2831,2636,195,93.1,
VIC,False,21205,Monash,2016-17,1 year,1784,1655,129,92.8,
VIC,False,21301,Brimbank,2016-17,1 year,2841,2640,201,92.9,
VIC,False,21302,Hobsons Bay,2016-17,1 year,1256,1171,85,93.2,
VIC,False,21303,Maribyrnong,2016-17,1 year,1263,1176,87,93.1,
VIC,False,21304,Melton - Bacchus Marsh,2016-17,1 year,2538,2379,159,93.7,
VIC,False,21305,Wyndham,2016-17,1 year,4724,4379,345,92.7,
VIC,False,21401,Frankston,2016-17,1 year,2023,1924,99,95.1,
VIC,False,21402,Mornington Peninsula,2016-17,1 year,1622,1516,106,93.5,
VIC,False,21501,Grampians,2016-17,1 year,644,628,16,97.5,
VIC,False,21502,Mildura,2016-17,1 year,714,651,63,91.2,
VIC,False,21503,Murray River - Swan Hill,2016-17,1 year,467,440,27,94.2,
VIC,False,21601,Campaspe,2016-17,1 year,436,412,24,94.5,
VIC,False,21602,Moira,2016-17,1 year,328,311,17,94.8,
VIC,False,21603,Shepparton,2016-17,1 year,879,824,55,93.7,
VIC,False,21701,Glenelg - Southern Grampians,2016-17,1 year,413,377,36,91.3,
VIC,False,21702,Warrnambool - Otway Ranges,2016-17,1 year,1015,980,35,96.6,
QLD,False,30101,Capalaba,2016-17,1 year,888,848,40,95.5,
QLD,False,30102,Cleveland - Stradbroke,2016-17,1 year,897,853,44,95.1,
QLD,False,30103,Wynnum - Manly,2016-17,1 year,1035,980,55,94.7,
QLD,False,30201,Bald Hills - Everton Park,2016-17,1 year,556,537,19,96.6,
QLD,False,30202,Chermside,2016-17,1 year,994,949,45,95.5,
QLD,False,30203,Nundah,2016-17,1 year,551,526,25,95.5,
QLD,False,30204,Sandgate,2016-17,1 year,787,755,32,95.9,
QLD,False,30301,Carindale,2016-17,1 year,670,638,32,95.2,
QLD,False,30302,Holland Park - Yeronga,2016-17,1 year,913,860,53,94.2,
QLD,False,30303,Mt Gravatt,2016-17,1 year,860,821,39,95.5,
QLD,False,30304,Nathan,2016-17,1 year,514,487,27,94.7,
QLD,False,30305,Rocklea - Acacia Ridge,2016-17,1 year,968,914,54,94.4,
QLD,False,30306,Sunnybank,2016-17,1 year,611,572,39,93.6,
QLD,False,30401,Centenary,2016-17,1 year,415,392,23,94.5,
QLD,False,30402,Kenmore - Brookfield - Moggill,2016-17,1 year,457,425,32,93,
QLD,False,30403,Sherwood - Indooroopilly,2016-17,1 year,476,448,28,94.1,
QLD,False,30404,The Gap - Enoggera,2016-17,1 year,668,646,22,96.7,
QLD,False,30501,Brisbane Inner,2016-17,1 year,553,508,45,91.9,
QLD,False,30502,Brisbane Inner - East,2016-17,1 year,569,538,31,94.6,
QLD,False,30503,Brisbane Inner - North,2016-17,1 year,924,872,52,94.4,
QLD,False,30504,Brisbane Inner - West,2016-17,1 year,658,627,31,95.3,
QLD,False,30601,Cairns - North,2016-17,1 year,668,634,34,94.9,
QLD,False,30602,Cairns - South,2016-17,1 year,1500,1406,94,93.7,
QLD,False,30603,Innisfail - Cassowary Coast,2016-17,1 year,405,374,31,92.3,
QLD,False,30604,Port Douglas - Daintree,2016-17,1 year,131,118,13,90.1,
QLD,False,30605,Tablelands (East) - Kuranda,2016-17,1 year,439,392,47,89.3,
QLD,False,30701,Darling Downs (West) - Maranoa,2016-17,1 year,656,627,29,95.6,
QLD,False,30702,Darling Downs - East,2016-17,1 year,564,537,27,95.2,
QLD,False,30703,Granite Belt,2016-17,1 year,503,465,38,92.4,
QLD,False,30801,Central Highlands (Qld),2016-17,1 year,561,537,24,95.7,
QLD,False,30802,Gladstone - Biloela,2016-17,1 year,1185,1118,67,94.3,
QLD,False,30803,Rockhampton,2016-17,1 year,1530,1451,79,94.8,
QLD,False,30901,Broadbeach - Burleigh,2016-17,1 year,782,721,61,92.2,
QLD,False,30902,Coolangatta,2016-17,1 year,646,583,63,90.2,
QLD,False,30903,Gold Coast - North,2016-17,1 year,666,624,42,93.7,
QLD,False,30904,Gold Coast Hinterland,2016-17,1 year,174,157,17,90.2,
QLD,False,30905,Mudgeeraba - Tallebudgera,2016-17,1 year,403,366,37,90.8,
QLD,False,30906,Nerang,2016-17,1 year,929,872,57,93.9,
QLD,False,30907,Ormeau - Oxenford,2016-17,1 year,1952,1834,118,94,
QLD,False,30908,Robina,2016-17,1 year,584,552,32,94.5,
QLD,False,30909,Southport,2016-17,1 year,627,590,37,94.1,
QLD,False,30910,Surfers Paradise,2016-17,1 year,374,343,31,91.7,
QLD,False,31001,Forest Lake - Oxley,2016-17,1 year,1163,1106,57,95.1,
QLD,False,31002,Ipswich Hinterland,2016-17,1 year,718,684,34,95.3,
QLD,False,31003,Ipswich Inner,2016-17,1 year,1639,1565,74,95.5,
QLD,False,31004,Springfield - Redbank,2016-17,1 year,1660,1573,87,94.8,
QLD,False,31101,Beaudesert,2016-17,1 year,147,137,10,93.2,
QLD,False,31102,Beenleigh,2016-17,1 year,692,642,50,92.8,
QLD,False,31103,Browns Plains,2016-17,1 year,1393,1303,90,93.5,
QLD,False,31104,Jimboomba,2016-17,1 year,552,522,30,94.6,
QLD,False,31105,Loganlea - Carbrook,2016-17,1 year,891,825,66,92.6,
QLD,False,31106,Springwood - Kingston,2016-17,1 year,1409,1315,94,93.3,
QLD,False,31201,Bowen Basin - North,2016-17,1 year,534,517,17,96.8,
QLD,False,31202,Mackay,2016-17,1 year,1617,1550,67,95.9,
QLD,False,31203,Whitsunday,2016-17,1 year,247,233,14,94.3,
QLD,False,31301,Bribie - Beachmere,2016-17,1 year,283,268,15,94.7,
QLD,False,31302,Caboolture,2016-17,1 year,981,937,44,95.5,
QLD,False,31303,Caboolture Hinterland,2016-17,1 year,120,NP,NP,96.7,
QLD,False,31304,Narangba - Burpengary,2016-17,1 year,875,839,36,95.9,
QLD,False,31305,Redcliffe,2016-17,1 year,625,592,33,94.7,
QLD,False,31401,Hills District,2016-17,1 year,1022,972,50,95.1,
QLD,False,31402,North Lakes,2016-17,1 year,1270,1206,64,95,
QLD,False,31403,Strathpine,2016-17,1 year,571,546,25,95.6,
QLD,False,31501,Far North,2016-17,1 year,520,495,25,95.2,
QLD,False,31502,Outback - North,2016-17,1 year,583,554,29,95,
QLD,False,31503,Outback - South,2016-17,1 year,223,217,6,97.3,
QLD,False,31601,Buderim,2016-17,1 year,551,497,54,90.2,
QLD,False,31602,Caloundra,2016-17,1 year,872,824,48,94.5,
QLD,False,31603,Maroochy,2016-17,1 year,681,620,61,91,
QLD,False,31604,Nambour - Pomona,2016-17,1 year,676,588,88,87,
QLD,False,31605,Noosa,2016-17,1 year,358,322,36,89.9,
QLD,False,31606,Sunshine Coast Hinterland,2016-17,1 year,516,459,57,89,
QLD,False,31701,Toowoomba,2016-17,1 year,1915,1828,87,95.5,
QLD,False,31801,Charters Towers - Ayr - Ingham,2016-17,1 year,464,442,22,95.3,
QLD,False,31802,Townsville,2016-17,1 year,2775,2631,144,94.8,
QLD,False,31901,Bundaberg,2016-17,1 year,977,936,41,95.8,
QLD,False,31902,Burnett,2016-17,1 year,567,509,58,89.8,
QLD,False,31903,Gympie - Cooloola,2016-17,1 year,502,465,37,92.6,
QLD,False,31904,Hervey Bay,2016-17,1 year,577,545,32,94.5,
QLD,False,31905,Maryborough,2016-17,1 year,455,422,33,92.7,
SA,True,40101,Adelaide City,2016-17,1 year,125,108,17,86.4,
SA,True,40102,Adelaide Hills,2016-17,1 year,773,721,52,93.3,
SA,True,40103,Burnside,2016-17,1 year,362,336,26,92.8,
SA,True,40104,Campbelltown (SA),2016-17,1 year,546,503,43,92.1,
SA,True,40105,Norwood - Payneham - St Peters,2016-17,1 year,319,293,26,91.8,
SA,True,40106,Prospect - Walkerville,2016-17,1 year,341,320,21,93.8,
SA,True,40107,Unley,2016-17,1 year,350,332,18,94.9,
SA,True,40201,Gawler - Two Wells,2016-17,1 year,386,362,24,93.8,
SA,True,40202,Playford,2016-17,1 year,1611,1497,114,92.9,
SA,True,40203,Port Adelaide - East,2016-17,1 year,1058,1000,58,94.5,
SA,True,40204,Salisbury,2016-17,1 year,1932,1807,125,93.5,
SA,True,40205,Tea Tree Gully,2016-17,1 year,1094,1041,53,95.2,
SA,True,40301,Holdfast Bay,2016-17,1 year,339,318,21,93.8,
SA,True,40302,Marion,2016-17,1 year,1047,994,53,94.9,
SA,True,40303,Mitcham,2016-17,1 year,631,595,36,94.3,
SA,True,40304,Onkaparinga,2016-17,1 year,2176,2056,120,94.5,
SA,True,40401,Charles Sturt,2016-17,1 year,1269,1190,79,93.8,
SA,True,40402,Port Adelaide - West,2016-17,1 year,680,632,48,92.9,
SA,True,40403,West Torrens,2016-17,1 year,704,651,53,92.5,
SA,True,40501,Barossa,2016-17,1 year,363,341,22,93.9,
SA,True,40502,Lower North,2016-17,1 year,224,215,9,96,
SA,True,40503,Mid North,2016-17,1 year,304,289,15,95.1,
SA,True,40504,Yorke Peninsula,2016-17,1 year,241,233,8,96.7,
SA,True,40601,Eyre Peninsula and South West,2016-17,1 year,729,703,26,96.4,
SA,True,40602,Outback - North and East,2016-17,1 year,355,334,21,94.1,
SA,True,40701,Fleurieu - Kangaroo Island,2016-17,1 year,423,388,35,91.7,
SA,True,40702,Limestone Coast,2016-17,1 year,695,670,25,96.4,
SA,True,40703,Murray and Mallee,2016-17,1 year,770,741,29,96.2,
WA,False,50101,Augusta - Margaret River - Busselton,2016-17,1 year,635,562,73,88.5,
WA,False,50102,Bunbury,2016-17,1 year,1437,1343,94,93.5,
WA,False,50103,Manjimup,2016-17,1 year,234,211,23,90.2,
WA,False,50201,Mandurah,2016-17,1 year,1178,1092,86,92.7,
WA,False,50301,Cottesloe - Claremont,2016-17,1 year,540,486,54,90,
WA,False,50302,Perth City,2016-17,1 year,1208,1112,96,92.1,
WA,False,50401,Bayswater - Bassendean,2016-17,1 year,1125,1021,104,90.8,
WA,False,50402,Mundaring,2016-17,1 year,438,395,43,90.2,
WA,False,50403,Swan,2016-17,1 year,2064,1947,117,94.3,
WA,False,50501,Joondalup,2016-17,1 year,1885,1779,106,94.4,
WA,False,50502,Stirling,2016-17,1 year,2812,2598,214,92.4,
WA,False,50503,Wanneroo,2016-17,1 year,3076,2896,180,94.1,
WA,False,50601,Armadale,2016-17,1 year,1583,1475,108,93.2,
WA,False,50602,Belmont - Victoria Park,2016-17,1 year,1040,968,72,93.1,
WA,False,50603,Canning,2016-17,1 year,1219,1133,86,92.9,
WA,False,50604,Gosnells,2016-17,1 year,1867,1733,134,92.8,
WA,False,50605,Kalamunda,2016-17,1 year,698,656,42,94,
WA,False,50606,Serpentine - Jarrahdale,2016-17,1 year,474,448,26,94.5,
WA,False,50607,South Perth,2016-17,1 year,448,414,34,92.4,
WA,False,50701,Cockburn,2016-17,1 year,1558,1463,95,93.9,
WA,False,50702,Fremantle,2016-17,1 year,413,372,41,90.1,
WA,False,50703,Kwinana,2016-17,1 year,749,701,48,93.6,
WA,False,50704,Melville,2016-17,1 year,1121,1033,88,92.1,
WA,False,50705,Rockingham,2016-17,1 year,1917,1786,131,93.2,
WA,False,50801,Esperance,2016-17,1 year,194,185,9,95.4,
WA,False,50802,Gascoyne,2016-17,1 year,119,NP,NP,96.6,
