state,south_australia_related,postcode,associated_residential_areas,reporting_year,age_group,percent_fully_immunised_band,interpret_with_caution
NSW,False,2008,"Chippendale, Darlington",2016-17,1 year,85.0-89.9,#
NSW,False,2009,Pyrmont,2016-17,1 year,90.0-92.4, 
NSW,False,2010,"Surry Hills, Darlinghurst",2016-17,1 year,90.0-92.4, 
NSW,False,2011,"Potts Point, Elizabeth Bay, Woolloomooloo, Rushcutters Bay",2016-17,1 year,85.0-89.9,#
NSW,False,2015,"Alexandria, Beaconsfield, Eveleigh",2016-17,1 year,95.0-100.0, 
NSW,False,2016,Redfern,2016-17,1 year,92.5-94.9, 
NSW,False,2017,"Waterloo, Zetland",2016-17,1 year,92.5-94.9, 
NSW,False,2018,"Rosebery, Eastlakes",2016-17,1 year,92.5-94.9, 
NSW,False,2019,"Botany, Banksmeadow",2016-17,1 year,90.0-92.4, 
NSW,False,2020,Mascot,2016-17,1 year,92.5-94.9, 
NSW,False,2021,"Paddington, Centennial Park, Moore Park",2016-17,1 year,95.0-100.0, 
NSW,False,2022,"Bondi Junction, Queens Park",2016-17,1 year,90.0-92.4, 
NSW,False,2023,Bellevue Hill,2016-17,1 year,90.0-92.4, 
NSW,False,2024,"Bronte, Waverley",2016-17,1 year,92.5-94.9, 
NSW,False,2025,Woollahra,2016-17,1 year,92.5-94.9,#
NSW,False,2026,"Bondi Beach, Bondi, North Bondi, Tamarama",2016-17,1 year,90.0-92.4, 
NSW,False,2027,"Darling Point, Edgecliff, Point Piper",2016-17,1 year,90.0-92.4,#
NSW,False,2028,Double Bay,2016-17,1 year,90.0-92.4,#
NSW,False,2029,Rose Bay,2016-17,1 year,92.5-94.9, 
NSW,False,2030,"Vaucluse, Dover Heights, Watsons Bay, Rose Bay North, Hmas Watson",2016-17,1 year,90.0-92.4, 
NSW,False,2031,"Randwick, Clovelly, Clovelly West, St Pauls",2016-17,1 year,90.0-92.4, 
NSW,False,2032,"Kingsford, Daceyville",2016-17,1 year,92.5-94.9, 
NSW,False,2033,Kensington,2016-17,1 year,90.0-92.4, 
NSW,False,2034,"Coogee, South Coogee",2016-17,1 year,92.5-94.9, 
NSW,False,2035,"Maroubra, Pagewood, Maroubra South",2016-17,1 year,85.0-89.9, 
NSW,False,2036,"Matraville, Hillsdale, Malabar, Chifley, Little Bay and 4 others",2016-17,1 year,90.0-92.4, 
NSW,False,2037,"Glebe, Forest Lodge",2016-17,1 year,92.5-94.9, 
NSW,False,2038,Annandale,2016-17,1 year,92.5-94.9, 
NSW,False,2039,Rozelle,2016-17,1 year,92.5-94.9, 
NSW,False,2040,"Leichhardt, Lilyfield",2016-17,1 year,95.0-100.0, 
NSW,False,2041,"Balmain, Birchgrove, Balmain East",2016-17,1 year,90.0-92.4, 
NSW,False,2042,"Newtown, Enmore",2016-17,1 year,95.0-100.0, 
NSW,False,2043,Erskineville,2016-17,1 year,90.0-92.4,#
NSW,False,2044,"Tempe, St Peters, Sydenham",2016-17,1 year,90.0-92.4,#
NSW,False,2045,Haberfield,2016-17,1 year,95.0-100.0,#
NSW,False,2046,"Five Dock, Abbotsford, Russell Lea, Chiswick, Wareemba and 2 others",2016-17,1 year,95.0-100.0, 
NSW,False,2047,Drummoyne,2016-17,1 year,92.5-94.9, 
NSW,False,2048,"Stanmore, Westgate",2016-17,1 year,90.0-92.4,#
NSW,False,2049,"Petersham, Lewisham, Petersham North",2016-17,1 year,95.0-100.0, 
NSW,False,2050,Camperdown,2016-17,1 year,95.0-100.0,#
NSW,False,2060,"North Sydney, Waverton, McMahons Point, Lavender Bay",2016-17,1 year,92.5-94.9, 
NSW,False,2061,"Kirribilli, Milsons Point",2016-17,1 year,90.0-92.4,#
NSW,False,2062,Cammeray,2016-17,1 year,95.0-100.0, 
NSW,False,2063,Northbridge,2016-17,1 year,95.0-100.0,#
NSW,False,2064,Artarmon,2016-17,1 year,95.0-100.0, 
NSW,False,2065,"Wollstonecraft, Naremburn, Greenwich, St Leonards, Crows Nest",2016-17,1 year,92.5-94.9, 
NSW,False,2066,"Lane Cove, Lane Cove North, Riverview, Lane Cove West, Longueville and 2 others",2016-17,1 year,92.5-94.9, 
NSW,False,2067,"Chatswood, Chatswood West",2016-17,1 year,90.0-92.4, 
NSW,False,2068,"Willoughby, North Willoughby, Castlecrag, Willoughby East, Middle Cove and 1 other",2016-17,1 year,92.5-94.9, 
NSW,False,2069,"Roseville, Castle Cove, Roseville Chase",2016-17,1 year,85.0-89.9, 
NSW,False,2070,"Lindfield, East Lindfield, Lindfield West",2016-17,1 year,90.0-92.4, 
NSW,False,2071,"Killara, East Killara",2016-17,1 year,90.0-92.4, 
NSW,False,2072,Gordon,2016-17,1 year,92.5-94.9,#
NSW,False,2073,"Pymble, West Pymble",2016-17,1 year,92.5-94.9, 
NSW,False,2074,"Turramurra, North Turramurra, South Turramurra, Warrawee",2016-17,1 year,95.0-100.0, 
NSW,False,2075,"St Ives, St Ives Chase",2016-17,1 year,90.0-92.4, 
NSW,False,2076,"Wahroonga, Normanhurst, North Wahroonga",2016-17,1 year,92.5-94.9, 
NSW,False,2077,"Hornsby, Hornsby Heights, Waitara, Asquith",2016-17,1 year,92.5-94.9, 
NSW,False,2079,Mount Colah,2016-17,1 year,95.0-100.0,#
NSW,False,2080,Mount Kuring-Gai,2016-17,1 year,NP, 
NSW,False,2081,"Berowra, Cowan",2016-17,1 year,92.5-94.9,#
NSW,False,2082,"Berowra Heights, Berowra Creek, Berowra Waters",2016-17,1 year,92.5-94.9,#
NSW,False,2083,"Brooklyn, Mooney Mooney, Bar Point, Dangar Island, Milsons Passage and 2 others",2016-17,1 year,NP, 
NSW,False,2084,"Terrey Hills, Duffys Forest, Cottage Point",2016-17,1 year,85.0-89.9,#
NSW,False,2085,"Belrose, Davidson",2016-17,1 year,90.0-92.4,#
NSW,False,2086,"Frenchs Forest, Frenchs Forest East",2016-17,1 year,92.5-94.9, 
NSW,False,2087,"Forestville, Killarney Heights",2016-17,1 year,95.0-100.0, 
NSW,False,2088,"Mosman, Spit Junction",2016-17,1 year,92.5-94.9, 
NSW,False,2089,"Neutral Bay, Kurraba Point, Neutral Bay Junction",2016-17,1 year,92.5-94.9, 
NSW,False,2090,"Cremorne, Cremorne Point",2016-17,1 year,90.0-92.4, 
NSW,False,2092,Seaforth,2016-17,1 year,95.0-100.0,#
NSW,False,2093,"Balgowlah, Manly Vale, North Balgowlah, Balgowlah Heights, Clontarf",2016-17,1 year,92.5-94.9, 
NSW,False,2094,Fairlight,2016-17,1 year,92.5-94.9, 
NSW,False,2095,"Manly, Manly East",2016-17,1 year,90.0-92.4, 
NSW,False,2096,"Freshwater, Queenscliff, Curl Curl",2016-17,1 year,92.5-94.9, 
NSW,False,2097,"Collaroy, Collaroy Beach, Collaroy Plateau, Wheeler Heights",2016-17,1 year,92.5-94.9, 
NSW,False,2099,"Dee Why, Cromer, Narraweena, North Curl Curl",2016-17,1 year,92.5-94.9, 
NSW,False,2100,"Beacon Hill, Allambie Heights, North Manly, Brookvale, Oxford Falls",2016-17,1 year,92.5-94.9, 
NSW,False,2101,"Narrabeen, North Narrabeen, Elanora Heights, Ingleside",2016-17,1 year,92.5-94.9, 
NSW,False,2102,Warriewood,2016-17,1 year,95.0-100.0,#
NSW,False,2103,Mona Vale,2016-17,1 year,90.0-92.4, 
NSW,False,2104,Bayview,2016-17,1 year,95.0-100.0,#
NSW,False,2105,"Church Point, Scotland Island, Elvina Bay, Lovett Bay, McCarrs Creek and 1 other",2016-17,1 year,NP, 
NSW,False,2106,"Newport, Newport Beach",2016-17,1 year,92.5-94.9, 
NSW,False,2107,"Avalon Beach, Bilgola Beach, Bilgola Plateau, Clareville, Whale Beach",2016-17,1 year,80.0-84.9, 
NSW,False,2108,"Palm Beach, Great Mackerel Beach, Coasters Retreat, Currawong Beach",2016-17,1 year,NP, 
NSW,False,2110,"Hunters Hill, Woolwich",2016-17,1 year,95.0-100.0,#
NSW,False,2111,"Gladesville, Tennyson Point, Huntleys Cove, Henley, Huntleys Point and 2 others",2016-17,1 year,92.5-94.9, 
NSW,False,2112,"Ryde, Putney, Denistone East",2016-17,1 year,92.5-94.9, 
NSW,False,2113,"North Ryde, Macquarie Park, East Ryde",2016-17,1 year,95.0-100.0, 
NSW,False,2114,"West Ryde, Meadowbank, Denistone, Melrose Park, Denistone West",2016-17,1 year,92.5-94.9, 
NSW,False,2115,Ermington,2016-17,1 year,95.0-100.0, 
NSW,False,2116,Rydalmere,2016-17,1 year,95.0-100.0,#
NSW,False,2117,"Oatlands, Telopea, Dundas Valley, Dundas",2016-17,1 year,92.5-94.9, 
NSW,False,2118,"Carlingford, Carlingford North, Kingsdene",2016-17,1 year,90.0-92.4, 
NSW,False,2119,"Beecroft, Cheltenham",2016-17,1 year,92.5-94.9,#
NSW,False,2120,"Thornleigh, Pennant Hills, Westleigh",2016-17,1 year,95.0-100.0, 
NSW,False,2121,"Epping, North Epping",2016-17,1 year,90.0-92.4, 
NSW,False,2122,"Eastwood, Marsfield",2016-17,1 year,92.5-94.9, 
NSW,False,2125,West Pennant Hills,2016-17,1 year,92.5-94.9, 
NSW,False,2126,Cherrybrook,2016-17,1 year,92.5-94.9, 
NSW,False,2127,"Newington, Wentworth Point, Sydney Olympic Park",2016-17,1 year,90.0-92.4, 
NSW,False,2128,Silverwater,2016-17,1 year,85.0-89.9,#
NSW,False,2130,Summer Hill,2016-17,1 year,95.0-100.0,#
NSW,False,2131,Ashfield,2016-17,1 year,90.0-92.4, 
NSW,False,2132,Croydon,2016-17,1 year,92.5-94.9, 
NSW,False,2133,"Croydon Park, Enfield South",2016-17,1 year,92.5-94.9, 
NSW,False,2134,"Burwood, Burwood North",2016-17,1 year,85.0-89.9, 
NSW,False,2135,Strathfield,2016-17,1 year,90.0-92.4, 
NSW,False,2136,"Strathfield South, Enfield, Burwood Heights",2016-17,1 year,85.0-89.9,#
NSW,False,2137,"Concord, North Strathfield, Breakfast Point, Cabarita, Mortlake",2016-17,1 year,95.0-100.0, 
NSW,False,2138,"Concord West, Rhodes, Liberty Grove",2016-17,1 year,92.5-94.9, 
NSW,False,2140,"Homebush, Homebush West, Homebush South",2016-17,1 year,85.0-89.9, 
NSW,False,2141,"Lidcombe, Berala, Lidcombe North, Rookwood",2016-17,1 year,92.5-94.9, 
NSW,False,2142,"Granville, South Granville, Rosehill, Holroyd, Clyde and 2 others",2016-17,1 year,85.0-89.9, 
NSW,False,2143,"Regents Park, Birrong, Potts Hill",2016-17,1 year,90.0-92.4, 
NSW,False,2144,Auburn,2016-17,1 year,85.0-89.9, 
NSW,False,2145,"Greystanes, Westmead, Wentworthville, Pendle Hill, South Wentworthville and 4 others",2016-17,1 year,90.0-92.4, 
NSW,False,2146,"Toongabbie, Old Toongabbie, Toongabbie East",2016-17,1 year,92.5-94.9, 
NSW,False,2147,"Seven Hills, Kings Langley, Lalor Park, Seven Hills West",2016-17,1 year,92.5-94.9, 
NSW,False,2148,"Blacktown, Marayong, Prospect, Kings Park, Arndell Park and 1 other",2016-17,1 year,92.5-94.9, 
NSW,False,2150,"Parramatta, Harris Park",2016-17,1 year,85.0-89.9, 
NSW,False,2151,"North Parramatta, North Rocks",2016-17,1 year,92.5-94.9, 
NSW,False,2152,Northmead,2016-17,1 year,95.0-100.0, 
NSW,False,2153,"Baulkham Hills, Winston Hills, Bella Vista",2016-17,1 year,92.5-94.9, 
NSW,False,2154,Castle Hill,2016-17,1 year,90.0-92.4, 
NSW,False,2155,"Kellyville, Kellyville Ridge, Beaumont Hills, Rouse Hill",2016-17,1 year,95.0-100.0, 
NSW,False,2156,"Glenhaven, Kenthurst, Annangrove",2016-17,1 year,95.0-100.0, 
NSW,False,2157,"Glenorie, Canoelands, Forest Glen",2016-17,1 year,92.5-94.9, 
NSW,False,2158,"Dural, Middle Dural, Round Corner",2016-17,1 year,95.0-100.0, 
NSW,False,2159,"Galston, Arcadia, Berrilee, Fiddletown",2016-17,1 year,92.5-94.9,#
NSW,False,2160,"Merrylands, Merrylands West",2016-17,1 year,90.0-92.4, 
NSW,False,2161,"Guildford, Guildford West, Old Guildford, Yennora",2016-17,1 year,90.0-92.4, 
NSW,False,2162,"Chester Hill, Sefton",2016-17,1 year,85.0-89.9, 
NSW,False,2163,"Villawood, Carramar, Lansdowne",2016-17,1 year,90.0-92.4, 
NSW,False,2164,"Smithfield, Wetherill Park, Woodpark, Smithfield West",2016-17,1 year,85.0-89.9, 
NSW,False,2165,"Fairfield, Fairfield West, Fairfield Heights, Fairfield East",2016-17,1 year,90.0-92.4, 
NSW,False,2166,"Cabramatta, Canley Heights, Canley Vale, Cabramatta West, Lansvale",2016-17,1 year,90.0-92.4, 
NSW,False,2167,Glenfield,2016-17,1 year,90.0-92.4, 
NSW,False,2168,"Green Valley, Hinchinbrook, Busby, Ashcroft, Miller and 3 others",2016-17,1 year,92.5-94.9, 
NSW,False,2170,"Liverpool, Casula, Prestons, Mount Pritchard, Chipping Norton and 6 others",2016-17,1 year,90.0-92.4, 
NSW,False,2171,"West Hoxton, Cecil Hills, Hoxton Park, Horningsea Park, Middleton Grange and 3 others",2016-17,1 year,95.0-100.0, 
NSW,False,2172,"Voyager Point, Sandy Point, Pleasure Point",2016-17,1 year,92.5-94.9,#
NSW,False,2173,"Wattle Grove, Holsworthy",2016-17,1 year,95.0-100.0, 
NSW,False,2174,Edmondson Park,2016-17,1 year,95.0-100.0,#
NSW,False,2175,Horsley Park,2016-17,1 year,NP, 
NSW,False,2176,"Bossley Park, Edensor Park, St Johns Park, Greenfield Park, Wakeley and 2 others",2016-17,1 year,90.0-92.4, 
NSW,False,2177,"Bonnyrigg, Bonnyrigg Heights",2016-17,1 year,90.0-92.4, 
NSW,False,2178,"Kemps Creek, Cecil Park, Mount Vernon",2016-17,1 year,85.0-89.9,#
NSW,False,2179,"Austral, Leppington",2016-17,1 year,92.5-94.9,#
NSW,False,2190,"Greenacre, Mount Lewis, Chullora",2016-17,1 year,90.0-92.4, 
NSW,False,2191,Belfield,2016-17,1 year,90.0-92.4,#
NSW,False,2192,Belmore,2016-17,1 year,90.0-92.4, 
NSW,False,2193,"Canterbury, Hurlstone Park, Ashbury",2016-17,1 year,95.0-100.0, 
NSW,False,2194,Campsie,2016-17,1 year,90.0-92.4, 
NSW,False,2195,"Lakemba, Wiley Park",2016-17,1 year,90.0-92.4, 
NSW,False,2196,"Punchbowl, Roselands",2016-17,1 year,90.0-92.4, 
NSW,False,2197,Bass Hill,2016-17,1 year,92.5-94.9, 
NSW,False,2198,Georges Hall,2016-17,1 year,92.5-94.9, 
NSW,False,2199,Yagoona,2016-17,1 year,90.0-92.4, 
NSW,False,2200,"Bankstown, Condell Park, Mount Lewis, Bankstown North, Manahan",2016-17,1 year,90.0-92.4, 
NSW,False,2203,Dulwich Hill,2016-17,1 year,90.0-92.4, 
NSW,False,2204,"Marrickville, Marrickville South",2016-17,1 year,92.5-94.9, 
NSW,False,2205,"Arncliffe, Wolli Creek, Turrella",2016-17,1 year,90.0-92.4, 
NSW,False,2206,"Earlwood, Clemton Park",2016-17,1 year,92.5-94.9, 
NSW,False,2207,"Bexley, Bexley North, Bardwell Park, Bardwell Valley, Bexley South",2016-17,1 year,92.5-94.9, 
NSW,False,2208,"Kingsgrove, Kingsway West",2016-17,1 year,90.0-92.4, 
NSW,False,2209,"Beverly Hills, Narwee",2016-17,1 year,92.5-94.9, 
NSW,False,2210,"Riverwood, Peakhurst, Lugarno, Peakhurst Heights",2016-17,1 year,90.0-92.4, 
NSW,False,2211,"Padstow, Padstow Heights",2016-17,1 year,92.5-94.9, 
NSW,False,2212,"Revesby, Revesby Heights, Revesby North",2016-17,1 year,92.5-94.9, 
NSW,False,2213,"Panania, Picnic Point, East Hills",2016-17,1 year,95.0-100.0, 
NSW,False,2214,Milperra,2016-17,1 year,95.0-100.0,#
NSW,False,2216,"Rockdale, Brighton-Le-Sands, Banksia, Kyeemagh",2016-17,1 year,85.0-89.9, 
NSW,False,2217,"Kogarah, Monterey, Beverley Park, Kogarah Bay, Ramsgate Beach and 1 other",2016-17,1 year,90.0-92.4, 
NSW,False,2218,"Carlton, Allawah",2016-17,1 year,92.5-94.9, 
NSW,False,2219,"Sans Souci, Dolls Point, Sandringham",2016-17,1 year,95.0-100.0, 
NSW,False,2220,"Hurstville, Hurstville Grove",2016-17,1 year,85.0-89.9, 
NSW,False,2221,"Blakehurst, South Hurstville, Connells Point, Carss Park, Kyle Bay",2016-17,1 year,92.5-94.9, 
NSW,False,2222,Penshurst,2016-17,1 year,92.5-94.9, 
NSW,False,2223,"Oatley, Mortdale",2016-17,1 year,95.0-100.0, 
NSW,False,2224,"Sylvania, Sylvania Waters, Kangaroo Point",2016-17,1 year,95.0-100.0, 
NSW,False,2225,Oyster Bay,2016-17,1 year,95.0-100.0,#
NSW,False,2226,"Jannali, Como, Bonnet Bay",2016-17,1 year,95.0-100.0, 
NSW,False,2227,"Gymea, Gymea Bay",2016-17,1 year,95.0-100.0, 
NSW,False,2228,"Miranda, Yowie Bay",2016-17,1 year,92.5-94.9, 
NSW,False,2229,"Caringbah South, Caringbah, Taren Point, Lilli Pilli, Port Hacking and 1 other",2016-17,1 year,95.0-100.0, 
NSW,False,2230,"Cronulla, Woolooware, Burraneer, Bundeena, Maianbar and 1 other",2016-17,1 year,92.5-94.9, 
NSW,False,2231,Kurnell,2016-17,1 year,95.0-100.0,#
NSW,False,2232,"Sutherland, Kirrawee, Loftus, Kareela, Grays Point and 1 other",2016-17,1 year,95.0-100.0, 
NSW,False,2233,"Engadine, Heathcote, Woronora Heights, Yarrawarrah, Waterfall",2016-17,1 year,95.0-100.0, 
NSW,False,2234,"Menai, Illawong, Bangor, Barden Ridge, Alfords Point and 1 other",2016-17,1 year,95.0-100.0, 
NSW,False,2250,"Gosford, Wyoming, Narara, Kariong, Lisarow and 28 others",2016-17,1 year,92.5-94.9, 
NSW,False,2251,"Kincumber, Green Point, Avoca Beach, Saratoga, Copacabana and 7 others",2016-17,1 year,95.0-100.0, 
NSW,False,2256,"Woy Woy, Blackwall, Koolewong, Horsfield Bay, Pearl Beach and 5 others",2016-17,1 year,95.0-100.0, 
NSW,False,2257,"Umina Beach, Ettalong Beach, Empire Bay, Booker Bay, St Huberts Island and 7 others",2016-17,1 year,95.0-100.0, 
NSW,False,2258,"Ourimbah, Fountaindale, Kangy Angy, Palm Grove, Palmdale",2016-17,1 year,90.0-92.4,#
NSW,False,2259,"Hamlyn Terrace, Lake Munmorah, Woongarrah, Kanwal, Watanobbi and 37 others",2016-17,1 year,95.0-100.0, 
NSW,False,2260,"Terrigal, Wamberal, Forresters Beach, North Avoca, Erina Heights",2016-17,1 year,92.5-94.9, 
NSW,False,2261,"Bateau Bay, Berkeley Vale, Killarney Vale, Long Jetty, Tumbi Umbi and 10 others",2016-17,1 year,95.0-100.0, 
NSW,False,2262,"Blue Haven, San Remo, Buff Point, Budgewoi, Halekulani and 4 others",2016-17,1 year,95.0-100.0, 
NSW,False,2263,"Gorokan, Toukley, Lake Haven, Noraville, Charmhaven and 2 others",2016-17,1 year,95.0-100.0, 
NSW,False,2264,"Bonnells Bay, Morisset, Dora Creek, Brightwaters, Balcolyn and 9 others",2016-17,1 year,90.0-92.4, 
NSW,False,2265,"Cooranbong, Martinsville",2016-17,1 year,85.0-89.9,#
NSW,False,2267,Wangi Wangi,2016-17,1 year,NP, 
NSW,False,2278,"Barnsley, Killingworth, Wakefield",2016-17,1 year,95.0-100.0,#
NSW,False,2280,"Belmont North, Belmont, Valentine, Jewells, Marks Point and 3 others",2016-17,1 year,95.0-100.0, 
NSW,False,2281,"Swansea, Caves Beach, Blacksmiths, Pelican, Nords Wharf and 6 others",2016-17,1 year,95.0-100.0, 
NSW,False,2282,"Warners Bay, Eleebana, Lakelands",2016-17,1 year,95.0-100.0, 
NSW,False,2283,"Toronto, Blackalls Park, Bolton Point, Rathmines, Coal Point and 10 others",2016-17,1 year,92.5-94.9, 
NSW,False,2284,"Speers Point, Teralba, Booragul, Argenton, Woodrising and 2 others",2016-17,1 year,95.0-100.0, 
NSW,False,2285,"Edgeworth, Cardiff, Cameron Park, Glendale, Macquarie Hills and 2 others",2016-17,1 year,95.0-100.0, 
NSW,False,2286,"West Wallsend, Holmesville, Seahampton",2016-17,1 year,95.0-100.0,#
NSW,False,2287,"Wallsend, Maryland, Elermore Vale, Fletcher, Rankin Park and 3 others",2016-17,1 year,95.0-100.0, 
NSW,False,2289,"Adamstown, Adamstown Heights, Kotara, Garden Suburb, Kotara South and 2 others",2016-17,1 year,95.0-100.0, 
NSW,False,2290,"Charlestown, Gateshead, Redhead, Mount Hutton, Whitebridge and 5 others",2016-17,1 year,95.0-100.0, 
NSW,False,2291,"Merewether, The Junction, Merewether Heights",2016-17,1 year,95.0-100.0, 
NSW,False,2292,"Broadmeadow, Hamilton North",2016-17,1 year,NP, 
NSW,False,2293,"Maryville, Wickham",2016-17,1 year,NP, 
NSW,False,2294,Carrington,2016-17,1 year,NP, 
NSW,False,2295,"Stockton, Fern Bay",2016-17,1 year,92.5-94.9,#
NSW,False,2296,Islington,2016-17,1 year,NP, 
NSW,False,2297,Tighes Hill,2016-17,1 year,NP, 
NSW,False,2298,"Waratah, Waratah West, Georgetown",2016-17,1 year,95.0-100.0, 
NSW,False,2299,"Lambton, North Lambton, Jesmond",2016-17,1 year,90.0-92.4, 
NSW,False,2300,"Cooks Hill, Newcastle, The Hill, Bar Beach, Newcastle East",2016-17,1 year,92.5-94.9,#
NSW,False,2302,Newcastle West,2016-17,1 year,NP, 
NSW,False,2303,"Hamilton, Hamilton South, Hamilton East",2016-17,1 year,95.0-100.0,#
NSW,False,2304,"Mayfield, Warabrook, Mayfield West, Mayfield East, Sandgate and 2 others",2016-17,1 year,92.5-94.9, 
NSW,False,2305,"New Lambton, New Lambton Heights, Kotara East",2016-17,1 year,95.0-100.0, 
NSW,False,2306,Windale,2016-17,1 year,95.0-100.0,#
NSW,False,2307,Shortland,2016-17,1 year,95.0-100.0,#
NSW,False,2309,Dangar,2016-17,1 year,NP, 
NSW,False,2311,"East Gresford, Gresford, Allynbrook, Bingleburra, Carrabolla and 6 others",2016-17,1 year,NP, 
NSW,False,2312,"Nabiac, Minimbah",2016-17,1 year,NP, 
NSW,False,2315,"Nelson Bay, Corlette, Shoal Bay, Fingal Bay",2016-17,1 year,90.0-92.4, 
NSW,False,2316,"Anna Bay, Boat Harbour, Bobs Farm, One Mile, Taylors Beach and 1 other",2016-17,1 year,92.5-94.9,#
NSW,False,2317,"Salamander Bay, Soldiers Point",2016-17,1 year,90.0-92.4,#
NSW,False,2318,"Medowie, Salt Ash, Williamtown, Fullerton Cove, Campvale and 2 others",2016-17,1 year,92.5-94.9, 
NSW,False,2319,"Tanilba Bay, Lemon Tree Passage, Mallabula, Tilligerry Creek",2016-17,1 year,95.0-100.0,#
NSW,False,2320,"Rutherford, Aberglasslyn, Bolwarra Heights, Telarah, Maitland and 25 others",2016-17,1 year,95.0-100.0, 
NSW,False,2321,"Heddon Greta, Clarence Town, Gillieston Heights, Morpeth, Raworth and 15 others",2016-17,1 year,95.0-100.0, 
NSW,False,2322,"Thornton, Woodberry, Beresfield, Tarro, Black Hill and 5 others",2016-17,1 year,92.5-94.9, 
NSW,False,2323,"East Maitland, Metford, Ashtonfield, Tenambit, Mulbring and 8 others",2016-17,1 year,95.0-100.0, 
NSW,False,2324,"Raymond Terrace, Tea Gardens, Karuah, Hawks Nest, Seaham and 18 others",2016-17,1 year,95.0-100.0, 
NSW,False,2325,"Cessnock, Aberdare, Bellbird, Paxton, Bellbird Heights and 29 others",2016-17,1 year,95.0-100.0, 
NSW,False,2326,"Weston, Abermain, Sawyers Gully, Neath, Bishops Bridge and 1 other",2016-17,1 year,95.0-100.0, 
NSW,False,2327,"Kurri Kurri, Pelaw Main, Stanford Merthyr",2016-17,1 year,92.5-94.9,#
NSW,False,2328,"Denman, Martindale, Giants Creek, Bureen, Dalswinton and 5 others",2016-17,1 year,95.0-100.0,#
NSW,False,2329,"Merriwa, Cassilis, Uarbry",2016-17,1 year,NP, 
NSW,False,2330,"Singleton, Singleton Heights, Hunterview, Wattle Ponds, Jerrys Plains and 58 others",2016-17,1 year,95.0-100.0, 
NSW,False,2333,"Muswellbrook, Muscle Creek, Sandy Hollow, Castle Rock, Baerami and 9 others",2016-17,1 year,95.0-100.0, 
NSW,False,2334,Greta,2016-17,1 year,92.5-94.9,#
NSW,False,2335,"Branxton, East Branxton, North Rothbury, Lambs Valley, Lower Belford and 5 others",2016-17,1 year,95.0-100.0,#
NSW,False,2336,"Aberdeen, Rouchel, Dartbrook, Davis Creek, Rossgole and 3 others",2016-17,1 year,95.0-100.0,#
