year,sex,indigenous_status,10,11,12,13,10_13,14,15,16,17,14_17,10_17,18plus,total
2022-23,Total,First Nations,0.7,2.9,7.8,45.3,56.8,89.9,131.5,156.3,153.1,530.8,587.5,192.9,780.4
2022-23,Total,Non-Indigenous,—,0.6,1.1,10,11.7,30.7,61.3,91.6,102.5,286.2,297.8,206.4,504.3
2022-23,Total,Not stated,—,—,—,—,—,0.1,0.2,0.4,1,1.7,1.7,1.2,2.9
2022-23,Total,Total,0.7,3.5,9,55.3,68.4,120.7,193,248.4,256.6,818.6,887,400.5,1287.6
2023-24,Male,First Nations,0.1,2.8,8.5,28.3,39.7,51.3,91.2,123.3,119.4,385.1,424.8,140.9,565.7
2023-24,Male,Non-Indigenous,—,0.1,1.7,8.1,9.9,20.3,45.6,58.3,84.4,208.7,218.5,175.2,393.7
2023-24,Male,Not stated,—,—,—,—,—,—,—,0.6,0.6,1.2,1.2,0.9,2.1
2023-24,Male,Total,0.1,2.9,10.2,36.4,49.5,71.6,136.8,182.2,204.4,595,644.5,317,961.5
2023-24,Female,First Nations,—,1.1,2,13.2,16.3,29.8,43.5,49.9,42.8,166,182.3,41.2,223.5
2023-24,Female,Non-Indigenous,—,—,0.5,3.7,4.2,6.8,17.6,21.1,18.8,64.4,68.6,27.9,96.5
2023-24,Female,Not stated,—,—,—,—,—,—,—,—,0.2,0.2,0.2,0.2,0.4
2023-24,Female,Total,—,1.1,2.5,16.9,20.5,36.7,61.1,71,61.8,230.6,251.1,69.3,320.4
2023-24,Total,First Nations,0.1,3.9,10.5,41.5,56,81.1,134.7,173.6,162.2,551.6,607.5,182.2,789.7
2023-24,Total,Non-Indigenous,—,0.1,2.2,11.8,14.1,27.1,63.2,79.4,103.3,273,287.1,203.1,490.2
2023-24,Total,Not stated,—,—,—,—,—,—,—,0.6,0.8,1.4,1.4,1.1,2.5
2023-24,Total,Total,0.1,4,12.7,53.3,70,108.3,197.9,253.5,266.3,826,896,386.4,1282.4
2024-25,Male,First Nations,—,2,9.2,24.8,36,54.9,87.7,109.9,117.3,369.8,405.9,151.1,557
2024-25,Male,Non-Indigenous,—,—,1,9.4,10.4,19.5,39.8,63.8,69.3,192.3,202.8,174.9,377.6
2024-25,Male,Not stated,—,—,—,—,—,—,0.3,0.9,2.4,3.6,3.6,0.6,4.1
2024-25,Male,Total,—,2,10.2,34.2,46.5,74.3,127.8,174.6,189,565.8,612.2,326.5,938.7
2024-25,Female,First Nations,—,—,3.5,11.1,14.6,25.2,49.2,51.6,41.1,167.1,181.7,47,228.6
2024-25,Female,Non-Indigenous,0.1,0.3,0.6,2.8,3.8,5.7,16,20,19.6,61.3,65.1,30,95.1
2024-25,Female,Not stated,—,—,—,—,—,0.2,—,—,—,0.2,0.2,—,0.2
2024-25,Female,Total,0.1,0.3,4.1,13.9,18.4,31.1,65.2,71.6,60.7,228.5,246.9,77,323.9
2024-25,Total,First Nations,—,2,12.7,35.9,50.6,80.1,136.9,161.6,158.5,537,587.7,198.1,785.7
2024-25,Total,Non-Indigenous,0.1,0.3,1.6,12.2,14.2,25.2,55.8,84.2,89.2,254.4,268.6,205.2,473.8
2024-25,Total,Not stated,—,—,—,—,—,0.2,0.3,0.9,2.4,3.7,3.7,0.6,4.3
2024-25,Total,Total,0.1,2.3,14.3,48.1,64.9,105.4,193,246.7,250.1,795.1,860,403.8,1263.8
