indigenous_status,legal_status,year,nsw,vic,qld,wa,sa,tas,act,nt,australia
Total,Unsentenced,2021-22,136.6,73.1,259,73.8,29.3,6.9,8.2,42.9,629.7
Total,Unsentenced,2022-23,142.3,72.7,285.2,61.3,30,11.7,9.8,49.1,662
Total,Unsentenced,2023-24,164.2,59.6,287.1,52.1,30.5,13.1,12.7,45.7,665.1
Total,Unsentenced,2024-25,168.1,77.4,275.6,51,38.1,13.4,18,46.5,688.1
Total,Sentenced,2020-21,74.4,70.4,27.8,44,4.6,4.3,5.7,16.6,247.9
Total,Sentenced,2021-22,54.1,46.2,38.7,44.7,5.7,2.6,4.9,24,220.9
Total,Sentenced,2022-23,58,32.1,37.5,37.7,4,3.4,8.5,31.7,212.7
Total,Sentenced,2023-24,53.3,29.8,42.7,35.4,3.8,3.9,3,30.1,202.1
Total,Sentenced,2024-25,63.8,43.8,32.6,24.7,4.5,2.7,1.2,28.1,201.3
Total,Total,2020-21,205.9,163.4,237.7,105.8,28.2,9.4,9.4,32.3,792.1
Total,Total,2021-22,190.1,120.5,289.3,118,34.5,9.1,11.6,52.4,825.5
Total,Total,2022-23,199.8,107.7,311.3,98.6,33.5,13.6,17.8,52.9,835.2
Total,Total,2023-24,217,93.1,319.6,87.2,33.8,16.3,15.8,46.2,828.9
Total,Total,2024-25,231.3,128.6,300.7,75.5,42,15.8,19.1,46.5,859.5
