year,sex,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia_excl_nt,australia
2021-22,Female,Not stated,7.3,—,—,—,0.1,—,—,0.7,7.4,8.1
2021-22,Female,Total,167.2,53,261.5,79.6,29.9,19.9,15,17.1,626.1,643.2
2021-22,Not stated,First Nations,0.6,0.5,0.9,—,—,—,—,—,2,2
2021-22,Not stated,Non-Indigenous,0.8,—,—,—,—,—,—,—,0.8,0.8
2021-22,Not stated,Not stated,—,—,—,—,—,—,—,—,—,—
2021-22,Not stated,Total,1.4,0.5,0.9,—,—,—,—,—,2.8,2.8
2021-22,Total,First Nations,369.4,50.4,599.6,236.4,70.2,20.6,4.8,93.5,1351.5,1445
2021-22,Total,Non-Indigenous,418.4,238,315.4,149.3,80,36.9,34.2,5.6,1272.3,1277.8
2021-22,Total,Not stated,29.3,—,1.5,—,0.4,0.2,—,2.5,31.4,33.9
2021-22,Total,Total,817.2,288.4,916.5,385.7,150.6,57.7,39,101.6,2655.2,2756.8
2022-23,Male,First Nations,305,32,415.3,218.9,59.7,15.8,6,129.5,1052.8,1182.2
2022-23,Male,Non-Indigenous,259.1,168.5,229.8,129.6,75.8,28.8,20.3,4.2,911.9,916.1
2022-23,Male,Not stated,22.2,—,1.6,—,1.6,0.1,0.4,2.7,25.9,28.6
2022-23,Male,Total,586.4,200.6,646.6,348.5,137.1,44.7,26.7,136.3,1990.6,2126.9
2022-23,Female,First Nations,76.1,5.2,171.3,67.7,27.6,4.8,1.4,29.6,354.1,383.7
2022-23,Female,Non-Indigenous,66.9,29.4,68,34.4,20.2,16.7,13.3,0.8,249,249.8
2022-23,Female,Not stated,6,—,0.1,—,—,0.6,—,0.6,6.6,7.2
2022-23,Female,Total,149,34.6,239.4,102.1,47.8,22.1,14.7,30.9,609.8,640.7
2022-23,Not stated,First Nations,—,0.2,1,—,—,—,—,—,1.2,1.2
2022-23,Not stated,Non-Indigenous,0.8,—,—,—,0.2,—,—,—,0.9,0.9
2022-23,Not stated,Not stated,—,—,—,—,—,—,—,0.3,—,0.3
2022-23,Not stated,Total,0.8,0.2,1,—,0.2,—,—,0.3,2.2,2.5
2022-23,Total,First Nations,381.1,37.4,587.5,286.7,87.3,20.6,7.4,159.1,1408.1,1567.2
2022-23,Total,Non-Indigenous,326.9,198,297.8,163.9,96.2,45.5,33.6,4.9,1161.9,1166.8
2022-23,Total,Not stated,28.2,—,1.7,—,1.6,0.6,0.4,3.6,32.5,36
2022-23,Total,Total,736.1,235.4,887,450.6,185.1,66.8,41.4,167.6,2602.5,2770.1
2023-24,Male,First Nations,299.4,34,424.8,196.9,79,19.5,9,n.a.,1062.7,n.a.
2023-24,Male,Non-Indigenous,243.7,150.3,218.5,129.5,71,34.7,24.7,n.a.,872.6,n.a.
2023-24,Male,Not stated,19.4,—,1.2,—,0.6,0.4,—,n.a.,21.6,n.a.
2023-24,Male,Total,562.6,184.3,644.5,326.4,150.6,54.6,33.8,n.a.,1956.9,n.a.
2023-24,Female,First Nations,87,4.1,182.3,62.6,39.1,9.2,4.3,n.a.,388.6,n.a.
2023-24,Female,Non-Indigenous,67.4,28.2,68.6,40.5,25.3,14.6,16.1,n.a.,260.6,n.a.
2023-24,Female,Not stated,5.9,—,0.2,—,—,—,0.1,n.a.,6.2,n.a.
2023-24,Female,Total,160.4,32.3,251.1,103,64.4,23.8,20.5,n.a.,655.4,n.a.
2023-24,Not stated,First Nations,0.2,—,0.5,—,—,—,—,n.a.,0.7,n.a.
2023-24,Not stated,Non-Indigenous,0.3,—,—,—,—,0.2,—,n.a.,0.5,n.a.
2023-24,Not stated,Not stated,—,—,—,—,—,—,—,n.a.,—,n.a.
2023-24,Not stated,Total,0.5,—,0.5,—,—,0.2,—,n.a.,1.2,n.a.
2023-24,Total,First Nations,386.6,38.1,607.5,259.5,118.1,28.7,13.3,n.a.,1451.9,n.a.
2023-24,Total,Non-Indigenous,311.5,178.5,287.1,170,96.3,49.5,40.8,n.a.,1133.8,n.a.
2023-24,Total,Not stated,25.3,—,1.4,—,0.6,0.4,0.1,n.a.,27.8,n.a.
2023-24,Total,Total,723.5,216.6,896,429.5,215,78.6,54.2,n.a.,2613.4,n.a.
2024-25,Male,First Nations,297.7,36,405.9,167.5,68.8,23.5,10.2,n.a.,1009.5,n.a.
2024-25,Male,Non-Indigenous,254.7,164.1,202.8,120.1,53.5,41.9,22.8,n.a.,859.9,n.a.
2024-25,Male,Not stated,19.9,0.4,3.6,—,1.8,0.2,—,n.a.,25.9,n.a.
2024-25,Male,Total,572.2,200.4,612.2,287.7,124.2,65.6,33,n.a.,1895.2,n.a.
2024-25,Female,First Nations,98.6,6.2,181.7,48.5,28.3,14.7,5.6,n.a.,383.5,n.a.
2024-25,Female,Non-Indigenous,62.3,22.1,65.1,31.7,16.1,15.2,8.8,n.a.,221.3,n.a.
2024-25,Female,Not stated,5.3,—,0.2,—,—,0.1,—,n.a.,5.6,n.a.
2024-25,Female,Total,166.2,28.3,246.9,80.1,44.4,30,14.4,n.a.,610.3,n.a.
2024-25,Not stated,First Nations,0.3,—,0.1,—,—,—,—,n.a.,0.4,n.a.
2024-25,Not stated,Non-Indigenous,0.7,—,0.8,—,—,0.7,—,n.a.,2.3,n.a.
2024-25,Not stated,Not stated,—,—,—,—,0.5,0.1,—,n.a.,0.6,n.a.
2024-25,Not stated,Total,1,—,0.9,—,0.5,0.8,—,n.a.,3.3,n.a.
2024-25,Total,First Nations,396.6,42.1,587.7,216,97.1,38.1,15.8,n.a.,1393.3,n.a.
2024-25,Total,Non-Indigenous,317.7,186.2,268.6,151.8,69.6,57.9,31.6,n.a.,1083.4,n.a.
2024-25,Total,Not stated,25.2,0.4,3.7,—,2.3,0.4,—,n.a.,32.1,n.a.
2024-25,Total,Total,739.5,228.7,860,367.8,169.1,96.4,47.4,n.a.,2508.8,n.a.
