"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Law_Enforced","Court_Type","Year_Dollars","Description1","Description2","Description3","Description4","Description5","Description6","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Aust cts","Aust"
"7A.1","2023-24","Lodgments","All ages","All people","All people","All areas","Criminal","Supreme","","Lodgments; criminal","","Supreme courts","","Appeal","","State and territory court authorities and departments (unpublished)","no.","312","301","303","211","194","20","68","22","","1431"
"7A.1","2023-24","Lodgments","All ages","All people","All people","All areas","Criminal","Supreme","","Lodgments; criminal","","Supreme courts","","Non-appeal","","State and territory court authorities and departments (unpublished)","no.","57","115","1604","42","47","742","369","665","","3641"
"7A.1","2023-24","Lodgments","All ages","All people","All people","All areas","Criminal","Supreme","","Lodgments; criminal","","Supreme courts","","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","369","416","1907","253","241","762","437","687","","5072"
"7A.1","2023-24","Lodgments","All ages","All people","All people","All areas","Criminal","District/county","","Lodgments; criminal","","District/county courts","","Appeal","","State and territory court authorities and departments (unpublished)","no.","6695","1612","265","..","..","..","..","..","","8572"
"7A.1","2023-24","Lodgments","All ages","All people","All people","All areas","Criminal","District/county","","Lodgments; criminal","","District/county courts","","Non-appeal","","State and territory court authorities and departments (unpublished)","no.","3231","2081","6659","2763","1540","..","..","..","","16274"
"7A.1","2023-24","Lodgments","All ages","All people","All people","All areas","Criminal","District/county","","Lodgments; criminal","","District/county courts","","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","9926","3693","6924","2763","1540","..","..","..","","24846"
"7A.1","2023-24","Lodgments","All ages","All people","All people","All areas","Criminal","Magistrates' (excl. children's)","","Lodgments; criminal","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","191662","132848","163197","85321","34485","15109","6430","10718","","639770"
"7A.1","2023-24","Lodgments","All ages","All people","All people","All areas","Criminal","Children's","","Lodgments; criminal","","Magistrates' courts","Children's courts","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","8480","11510","16822","6644","3179","1832","574","1616","","50657"
"7A.1","2023-24","Lodgments","All ages","All people","All people","All areas","Criminal","Magistrates' (total)","","Lodgments; criminal","","Magistrates' courts","Total magistrates' courts (incl. children's courts)","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","200142","144358","180019","91965","37664","16941","7004","12334","","690427"
"7A.1","2022-23","Lodgments","All ages","All people","All people","All areas","Criminal","All criminal courts","","Lodgments; criminal","","All criminal courts","","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","211717","154401","194326","87779","40854","16614","7580","13048","","726319"
"7A.1","2022-23","Lodgments","All ages","All people","All people","All areas","Criminal","Supreme","","Lodgments; criminal","","Supreme courts","","Appeal","","State and territory court authorities and departments (unpublished)","no.","339","275","274","239","162","19","66","13","","1387"
"7A.1","2022-23","Lodgments","All ages","All people","All people","All areas","Criminal","Supreme","","Lodgments; criminal","","Supreme courts","","Non-appeal","","State and territory court authorities and departments (unpublished)","no.","70","84","1903","55","77","612","348","720","","3869"
"7A.1","2022-23","Lodgments","All ages","All people","All people","All areas","Criminal","Supreme","","Lodgments; criminal","","Supreme courts","","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","409","359","2177","294","239","631","414","733","","5256"
"7A.1","2022-23","Lodgments","All ages","All people","All people","All areas","Criminal","District/county","","Lodgments; criminal","","District/county courts","","Appeal","","State and territory court authorities and departments (unpublished)","no.","7109","1550","291","..","..","..","..","..","","8950"
"7A.1","2022-23","Lodgments","All ages","All people","All people","All areas","Criminal","District/county","","Lodgments; criminal","","District/county courts","","Non-appeal","","State and territory court authorities and departments (unpublished)","no.","3170","2356","6811","2558","1494","..","..","..","","16389"
"7A.1","2022-23","Lodgments","All ages","All people","All people","All areas","Criminal","District/county","","Lodgments; criminal","","District/county courts","","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","10279","3906","7102","2558","1494","..","..","..","","25339"
"7A.1","2022-23","Lodgments","All ages","All people","All people","All areas","Criminal","Magistrates' (excl. children's)","","Lodgments; criminal","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","192635","139306","167701","77811","36043","14436","6626","10489","","645047"
"7A.1","2022-23","Lodgments","All ages","All people","All people","All areas","Criminal","Children's","","Lodgments; criminal","","Magistrates' courts","Children's courts","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","8394","10830","17346","7116","3078","1547","540","1826","","50677"
"7A.1","2022-23","Lodgments","All ages","All people","All people","All areas","Criminal","Magistrates' (total)","","Lodgments; criminal","","Magistrates' courts","Total magistrates' courts (incl. children's courts)","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","201029","150136","185047","84927","39121","15983","7166","12315","","695724"
"7A.1","2021-22","Lodgments","All ages","All people","All people","All areas","Criminal","All criminal courts","","Lodgments; criminal","","All criminal courts","","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","201595","135542","182000","75649","40753","15904","9035","12072","","672550"
"7A.1","2021-22","Lodgments","All ages","All people","All people","All areas","Criminal","Supreme","","Lodgments; criminal","","Supreme courts","","Appeal","","State and territory court authorities and departments (unpublished)","no.","375","241","312","265","208","23","62","13","","1499"
"7A.1","2021-22","Lodgments","All ages","All people","All people","All areas","Criminal","Supreme","","Lodgments; criminal","","Supreme courts","","Non-appeal","","State and territory court authorities and departments (unpublished)","no.","77","110","2201","53","68","449","308","643","","3909"
"7A.1","2021-22","Lodgments","All ages","All people","All people","All areas","Criminal","Supreme","","Lodgments; criminal","","Supreme courts","","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","452","351","2513","318","276","472","370","656","","5408"
"7A.1","2021-22","Lodgments","All ages","All people","All people","All areas","Criminal","District/county","","Lodgments; criminal","","District/county courts","","Appeal","","State and territory court authorities and departments (unpublished)","no.","5419","1358","299","..","..","..","..","..","","7076"
"7A.1","2021-22","Lodgments","All ages","All people","All people","All areas","Criminal","District/county","","Lodgments; criminal","","District/county courts","","Non-appeal","","State and territory court authorities and departments (unpublished)","no.","3293","2375","7349","2513","1702","..","..","..","","17232"
"7A.1","2021-22","Lodgments","All ages","All people","All people","All areas","Criminal","District/county","","Lodgments; criminal","","District/county courts","","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","8712","3733","7648","2513","1702","..","..","..","","24308"
"7A.1","2021-22","Lodgments","All ages","All people","All people","All areas","Criminal","Magistrates' (excl. children's)","","Lodgments; criminal","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","184452","122470","155078","66505","35674","14146","8292","9416","","596033"
"7A.1","2021-22","Lodgments","All ages","All people","All people","All areas","Criminal","Children's","","Lodgments; criminal","","Magistrates' courts","Children's courts","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","7979","8988","16761","6313","3101","1286","373","2000","","46801"
"7A.1","2021-22","Lodgments","All ages","All people","All people","All areas","Criminal","Magistrates' (total)","","Lodgments; criminal","","Magistrates' courts","Total magistrates' courts (incl. children's courts)","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","192431","131458","171839","72818","38775","15432","8665","11416","","642834"
"7A.1","2020-21","Lodgments","All ages","All people","All people","All areas","Criminal","All criminal courts","","Lodgments; criminal","","All criminal courts","","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","209136","145667","193809","79808","43462","16671","7636","12828","","709017"
"7A.1","2020-21","Lodgments","All ages","All people","All people","All areas","Criminal","Supreme","","Lodgments; criminal","","Supreme courts","","Appeal","","State and territory court authorities and departments (unpublished)","no.","421","273","329","288","210","21","67","23","","1632"
"7A.1","2020-21","Lodgments","All ages","All people","All people","All areas","Criminal","Supreme","","Lodgments; criminal","","Supreme courts","","Non-appeal","","State and territory court authorities and departments (unpublished)","no.","113","122","2219","51","61","585","297","531","","3979"
"7A.1","2020-21","Lodgments","All ages","All people","All people","All areas","Criminal","Supreme","","Lodgments; criminal","","Supreme courts","","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","534","395","2548","339","271","606","364","554","","5611"
"7A.1","2020-21","Lodgments","All ages","All people","All people","All areas","Criminal","District/county","","Lodgments; criminal","","District/county courts","","Appeal","","State and territory court authorities and departments (unpublished)","no.","6485","1212","323","..","..","..","..","..","","8020"
"7A.1","2020-21","Lodgments","All ages","All people","All people","All areas","Criminal","District/county","","Lodgments; criminal","","District/county courts","","Non-appeal","","State and territory court authorities and departments (unpublished)","no.","3718","2390","6290","2677","1770","..","..","..","","16845"
"7A.1","2020-21","Lodgments","All ages","All people","All people","All areas","Criminal","District/county","","Lodgments; criminal","","District/county courts","","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","10203","3602","6613","2677","1770","..","..","..","","24865"
"7A.1","2020-21","Lodgments","All ages","All people","All people","All areas","Criminal","Magistrates' (excl. children's)","","Lodgments; criminal","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","188582","133367","167739","72185","38842","14953","6899","10628","","633195"
"7A.1","2020-21","Lodgments","All ages","All people","All people","All areas","Criminal","Children's","","Lodgments; criminal","","Magistrates' courts","Children's courts","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","9817","8303","16909","4607","2579","1112","373","1646","","45346"
"7A.1","2020-21","Lodgments","All ages","All people","All people","All areas","Criminal","Magistrates' (total)","","Lodgments; criminal","","Magistrates' courts","Total magistrates' courts (incl. children's courts)","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","198399","141670","184648","76792","41421","16065","7272","12274","","678541"
"7A.1","2019-20","Lodgments","All ages","All people","All people","All areas","Criminal","All criminal courts","","Lodgments; criminal","","All criminal courts","","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","212871","161507","214169","91202","48545","17991","7914","12585","","766784"
"7A.1","2019-20","Lodgments","All ages","All people","All people","All areas","Criminal","Supreme","","Lodgments; criminal","","Supreme courts","","Appeal","","State and territory court authorities and departments (unpublished)","no.","431","261","305","317","221","28","55","17","","1635"
"7A.1","2019-20","Lodgments","All ages","All people","All people","All areas","Criminal","Supreme","","Lodgments; criminal","","Supreme courts","","Non-appeal","","State and territory court authorities and departments (unpublished)","no.","87","91","2425","74","77","647","313","549","","4263"
"7A.1","2019-20","Lodgments","All ages","All people","All people","All areas","Criminal","Supreme","","Lodgments; criminal","","Supreme courts","","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","518","352","2730","391","298","675","368","566","","5898"
"7A.1","2019-20","Lodgments","All ages","All people","All people","All areas","Criminal","District/county","","Lodgments; criminal","","District/county courts","","Appeal","","State and territory court authorities and departments (unpublished)","no.","6316","2068","296","..","..","..","..","..","","8680"
"7A.1","2019-20","Lodgments","All ages","All people","All people","All areas","Criminal","District/county","","Lodgments; criminal","","District/county courts","","Non-appeal","","State and territory court authorities and departments (unpublished)","no.","3467","1994","7580","2907","1419","..","..","..","","17367"
"7A.1","2019-20","Lodgments","All ages","All people","All people","All areas","Criminal","District/county","","Lodgments; criminal","","District/county courts","","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","9783","4062","7876","2907","1419","..","..","..","","26047"
"7A.1","2019-20","Lodgments","All ages","All people","All people","All areas","Criminal","Magistrates' (excl. children's)","","Lodgments; criminal","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","193324","144314","185755","82241","43622","16253","7096","10541","","683146"
"7A.1","2019-20","Lodgments","All ages","All people","All people","All areas","Criminal","Children's","","Lodgments; criminal","","Magistrates' courts","Children's courts","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","9246","12779","17808","5663","3206","1063","450","1478","","51693"
"7A.1","2019-20","Lodgments","All ages","All people","All people","All areas","Criminal","Magistrates' (total)","","Lodgments; criminal","","Magistrates' courts","Total magistrates' courts (incl. children's courts)","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","202570","157093","203563","87904","46828","17316","7546","12019","","734839"
"7A.1","2018-19","Lodgments","All ages","All people","All people","All areas","Criminal","All criminal courts","","Lodgments; criminal","","All criminal courts","","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","218119","168046","219250","97108","43129","18480","7697","13256","","785085"
"7A.1","2018-19","Lodgments","All ages","All people","All people","All areas","Criminal","Supreme","","Lodgments; criminal","","Supreme courts","","Appeal","","State and territory court authorities and departments (unpublished)","no.","366","326","363","358","210","32","77","32","","1764"
"7A.1","2018-19","Lodgments","All ages","All people","All people","All areas","Criminal","Supreme","","Lodgments; criminal","","Supreme courts","","Non-appeal","","State and territory court authorities and departments (unpublished)","no.","85","100","2418","190","54","667","301","499","","4314"
"7A.1","2018-19","Lodgments","All ages","All people","All people","All areas","Criminal","Supreme","","Lodgments; criminal","","Supreme courts","","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","451","426","2781","548","264","699","378","531","","6078"
"7A.1","2018-19","Lodgments","All ages","All people","All people","All areas","Criminal","District/county","","Lodgments; criminal","","District/county courts","","Appeal","","State and territory court authorities and departments (unpublished)","no.","7095","2645","365","..","..","..","..","..","","10105"
"7A.1","2018-19","Lodgments","All ages","All people","All people","All areas","Criminal","District/county","","Lodgments; criminal","","District/county courts","","Non-appeal","","State and territory court authorities and departments (unpublished)","no.","4109","2467","7838","2826","1237","..","..","..","","18477"
"7A.1","2018-19","Lodgments","All ages","All people","All people","All areas","Criminal","District/county","","Lodgments; criminal","","District/county courts","","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","11204","5112","8203","2826","1237","..","..","..","","28582"
"7A.1","2018-19","Lodgments","All ages","All people","All people","All areas","Criminal","Magistrates' (excl. children's)","","Lodgments; criminal","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","196027","150282","188706","87659","38564","16641","6947","11256","","696082"
"7A.1","2018-19","Lodgments","All ages","All people","All people","All areas","Criminal","Children's","","Lodgments; criminal","","Magistrates' courts","Children's courts","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","10437","12226","19560","6075","3064","1140","372","1469","","54343"
"7A.1","2018-19","Lodgments","All ages","All people","All people","All areas","Criminal","Magistrates' (total)","","Lodgments; criminal","","Magistrates' courts","Total magistrates' courts (incl. children's courts)","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","206464","162508","208266","93734","41628","17781","7319","12725","","750425"
"7A.1","2017-18","Lodgments","All ages","All people","All people","All areas","Criminal","All criminal courts","","Lodgments; criminal","","All criminal courts","","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","213436","177766","215720","103996","46801","20167","7193","13666","","798745"
"7A.1","2017-18","Lodgments","All ages","All people","All people","All areas","Criminal","Supreme","","Lodgments; criminal","","Supreme courts","","Appeal","","State and territory court authorities and departments (unpublished)","no.","392","290","350","355","245","35","83","36","","1786"
"7A.1","2017-18","Lodgments","All ages","All people","All people","All areas","Criminal","Supreme","","Lodgments; criminal","","Supreme courts","","Non-appeal","","State and territory court authorities and departments (unpublished)","no.","114","120","2424","285","65","575","307","578","","4468"
"7A.1","2017-18","Lodgments","All ages","All people","All people","All areas","Criminal","Supreme","","Lodgments; criminal","","Supreme courts","","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","506","410","2774","640","310","610","390","614","","6254"
"7A.1","2017-18","Lodgments","All ages","All people","All people","All areas","Criminal","District/county","","Lodgments; criminal","","District/county courts","","Appeal","","State and territory court authorities and departments (unpublished)","no.","7339","2992","369","..","..","..","..","..","","10700"
"7A.1","2017-18","Lodgments","All ages","All people","All people","All areas","Criminal","District/county","","Lodgments; criminal","","District/county courts","","Non-appeal","","State and territory court authorities and departments (unpublished)","no.","4606","2565","7691","2587","1766","..","..","..","","19215"
"7A.1","2017-18","Lodgments","All ages","All people","All people","All areas","Criminal","District/county","","Lodgments; criminal","","District/county courts","","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","11945","5557","8060","2587","1766","..","..","..","","29915"
"7A.1","2017-18","Lodgments","All ages","All people","All people","All areas","Criminal","Magistrates' (excl. children's)","","Lodgments; criminal","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","190120","158926","186852","94017","41578","18187","6441","11751","","707872"
"7A.1","2017-18","Lodgments","All ages","All people","All people","All areas","Criminal","Children's","","Lodgments; criminal","","Magistrates' courts","Children's courts","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","10865","12873","18034","6752","3147","1370","362","1301","","54704"
"7A.1","2017-18","Lodgments","All ages","All people","All people","All areas","Criminal","Magistrates' (total)","","Lodgments; criminal","","Magistrates' courts","Total magistrates' courts (incl. children's courts)","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","200985","171799","204886","100769","44725","19557","6803","13052","","762576"
"7A.1","2016-17","Lodgments","All ages","All people","All people","All areas","Criminal","All criminal courts","","Lodgments; criminal","","All criminal courts","","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","210298","190967","232992","103105","50803","19879","8837","13866","","830747"
"7A.1","2016-17","Lodgments","All ages","All people","All people","All areas","Criminal","Supreme","","Lodgments; criminal","","Supreme courts","","Appeal","","State and territory court authorities and departments (unpublished)","no.","364","330","378","338","238","23","101","19","","1791"
"7A.1","2016-17","Lodgments","All ages","All people","All people","All areas","Criminal","Supreme","","Lodgments; criminal","","Supreme courts","","Non-appeal","","State and territory court authorities and departments (unpublished)","no.","100","108","2446","347","53","512","254","521","","4341"
"7A.1","2016-17","Lodgments","All ages","All people","All people","All areas","Criminal","Supreme","","Lodgments; criminal","","Supreme courts","","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","464","438","2824","685","291","535","355","540","","6132"
"7A.1","2016-17","Lodgments","All ages","All people","All people","All areas","Criminal","District/county","","Lodgments; criminal","","District/county courts","","Appeal","","State and territory court authorities and departments (unpublished)","no.","7194","2975","406","..","..","..","..","..","","10575"
"7A.1","2016-17","Lodgments","All ages","All people","All people","All areas","Criminal","District/county","","Lodgments; criminal","","District/county courts","","Non-appeal","","State and territory court authorities and departments (unpublished)","no.","4950","2397","6800","2532","2161","..","..","..","","18840"
"7A.1","2016-17","Lodgments","All ages","All people","All people","All areas","Criminal","District/county","","Lodgments; criminal","","District/county courts","","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","12144","5372","7206","2532","2161","..","..","..","","29415"
"7A.1","2016-17","Lodgments","All ages","All people","All people","All areas","Criminal","Magistrates' (excl. children's)","","Lodgments; criminal","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","187500","166499","208894","93261","45163","18061","8202","11750","","739330"
"7A.1","2016-17","Lodgments","All ages","All people","All people","All areas","Criminal","Children's","","Lodgments; criminal","","Magistrates' courts","Children's courts","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","10190","18658","14068","6627","3188","1283","280","1576","","55870"
"7A.1","2016-17","Lodgments","All ages","All people","All people","All areas","Criminal","Magistrates' (total)","","Lodgments; criminal","","Magistrates' courts","Total magistrates' courts (incl. children's courts)","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","197690","185157","222962","99888","48351","19344","8482","13326","","795200"
"7A.1","2015-16","Lodgments","All ages","All people","All people","All areas","Criminal","All criminal courts","","Lodgments; criminal","","All criminal courts","","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","210385","190283","248303","101686","58651","19254","6056","15279","","849897"
"7A.1","2015-16","Lodgments","All ages","All people","All people","All areas","Criminal","Supreme","","Lodgments; criminal","","Supreme courts","","Appeal","","State and territory court authorities and departments (unpublished)","no.","360","276","410","310","263","32","98","15","","1764"
"7A.1","2015-16","Lodgments","All ages","All people","All people","All areas","Criminal","Supreme","","Lodgments; criminal","","Supreme courts","","Non-appeal","","State and territory court authorities and departments (unpublished)","no.","109","86","1765","328","60","449","181","680","","3658"
"7A.1","2015-16","Lodgments","All ages","All people","All people","All areas","Criminal","Supreme","","Lodgments; criminal","","Supreme courts","","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","469","362","2175","638","323","481","279","695","","5422"
"7A.1","2015-16","Lodgments","All ages","All people","All people","All areas","Criminal","District/county","","Lodgments; criminal","","District/county courts","","Appeal","","State and territory court authorities and departments (unpublished)","no.","7622","3059","434","..","..","..","..","..","","11115"
"7A.1","2015-16","Lodgments","All ages","All people","All people","All areas","Criminal","District/county","","Lodgments; criminal","","District/county courts","","Non-appeal","","State and territory court authorities and departments (unpublished)","no.","4870","2232","6155","2448","2172","..","..","..","","17877"
"7A.1","2015-16","Lodgments","All ages","All people","All people","All areas","Criminal","District/county","","Lodgments; criminal","","District/county courts","","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","12492","5291","6589","2448","2172","..","..","..","","28992"
"7A.1","2015-16","Lodgments","All ages","All people","All people","All areas","Criminal","Magistrates' (excl. children's)","","Lodgments; criminal","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","186913","160942","226736","92251","51997","17664","5504","12878","","754885"
"7A.1","2015-16","Lodgments","All ages","All people","All people","All areas","Criminal","Children's","","Lodgments; criminal","","Magistrates' courts","Children's courts","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","10511","23688","12803","6349","4159","1109","273","1706","","60598"
"7A.1","2015-16","Lodgments","All ages","All people","All people","All areas","Criminal","Magistrates' (total)","","Lodgments; criminal","","Magistrates' courts","Total magistrates' courts (incl. children's courts)","Appeal and non-appeal","","Derived from State and territory court authorities and departments (unpublished)","no.","197424","184630","239539","98600","56156","18773","5777","14584","","815483"
"7A.2","2024-25","Lodgments","All ages","All people","All people","All areas","Civil","All civil courts (excl. the Federal Court of Australia; the FCFCOA (Division 1); the FCFCOA (Division 2); the WA Family court and the coroners' courts)","","Lodgments; civil","","All civil courts (excl. the Federal Court of Australia; the FCFCOA (Division 1); the FCFCOA (Division 2); the WA Family court and the coroners' courts)","","Appeal and non-appeal","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","149755","106673","62310","48048","19704","7534","4489","6139","..","404652"
"7A.2","2024-25","Lodgments","All ages","All people","All people","All areas","Civil","Supreme (excl. probate)","","Lodgments; civil","","Supreme courts (excl. probate)","","Appeal","","Australian state and territory court authorities and departments (unpublished)","no.","476","364","153","94","108","69","36","53","..","1353"
"7A.2","2024-25","Lodgments","All ages","All people","All people","All areas","Civil","Supreme (excl. probate)","","Lodgments; civil","","Supreme courts (excl. probate)","","Non-appeal","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","8685","7314","3720","1814","979","681","458","197","..","23848"
"7A.2","2024-25","Lodgments","All ages","All people","All people","All areas","Civil","Supreme (excl. probate)","","Lodgments; civil","","Supreme courts (excl. probate)","","Appeal and non-appeal","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","9161","7678","3873","1908","1087","750","494","250","..","25201"
"7A.2","2024-25","Lodgments","All ages","All people","All people","All areas","Civil","District/county","","Lodgments; civil","","District/county courts","","Appeal","","Australian state and territory court authorities and departments (unpublished)","no.","47","1","60","78","34","..","..","..","..","220"
"7A.2","2024-25","Lodgments","All ages","All people","All people","All areas","Civil","District/county","","Lodgments; civil","","District/county courts","","Non-appeal","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","7210","7956","3928","3290","1102","..","..","..","..","23486"
"7A.2","2024-25","Lodgments","All ages","All people","All people","All areas","Civil","District/county","","Lodgments; civil","","District/county courts","","Appeal and non-appeal","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","7257","7957","3988","3368","1136","..","..","..","..","23706"
"7A.2","2024-25","Lodgments","All ages","All people","All people","All areas","Civil","Magistrates' (excl. children's)","","Lodgments; civil","","Magistrates' courts","Magistrates' courts only (excl. children's courts)","Appeal and non-appeal","","Derived from Australian state and territory court authorities and departments (unpublished)","no.","123977","82935","46326","40445","16040","6625","3757","5516","..","325621"
