table,row_order,line_item,is_total_row,year,value_million_aud
cash_flow_statement,2,Cash payments from operating activities,False,2020-21,-20521
cash_flow_statement,2,Cash payments from operating activities,False,2021-22,-22823
cash_flow_statement,2,Cash payments from operating activities,False,2022-23,-22178
cash_flow_statement,2,Cash payments from operating activities,False,2023-24,-24125
cash_flow_statement,2,Cash payments from operating activities,False,2024-25,-26878
cash_flow_statement,3,Total net cash flows from operating activities,True,2015-16,1145
cash_flow_statement,3,Total net cash flows from operating activities,True,2016-17,1260
cash_flow_statement,3,Total net cash flows from operating activities,True,2017-18,946
cash_flow_statement,3,Total net cash flows from operating activities,True,2018-19,1326
cash_flow_statement,3,Total net cash flows from operating activities,True,2019-20,-890
cash_flow_statement,3,Total net cash flows from operating activities,True,2020-21,-911
cash_flow_statement,3,Total net cash flows from operating activities,True,2021-22,94
cash_flow_statement,3,Total net cash flows from operating activities,True,2022-23,1843
cash_flow_statement,3,Total net cash flows from operating activities,True,2023-24,2025
cash_flow_statement,3,Total net cash flows from operating activities,True,2024-25,1883
cash_flow_statement,4,Total net cash flows from transactions in non-financial assets,True,2015-16,-1078
cash_flow_statement,4,Total net cash flows from transactions in non-financial assets,True,2016-17,-923
cash_flow_statement,4,Total net cash flows from transactions in non-financial assets,True,2017-18,-1703
cash_flow_statement,4,Total net cash flows from transactions in non-financial assets,True,2018-19,-1672
cash_flow_statement,4,Total net cash flows from transactions in non-financial assets,True,2019-20,-2026
cash_flow_statement,4,Total net cash flows from transactions in non-financial assets,True,2020-21,-2191
cash_flow_statement,4,Total net cash flows from transactions in non-financial assets,True,2021-22,-2578
cash_flow_statement,4,Total net cash flows from transactions in non-financial assets,True,2022-23,-2733
cash_flow_statement,4,Total net cash flows from transactions in non-financial assets,True,2023-24,-3019
cash_flow_statement,4,Total net cash flows from transactions in non-financial assets,True,2024-25,-3595
cash_flow_statement,5,GFS CASH SURPLUS (+) / DEFICIT (-),True,2015-16,66
cash_flow_statement,5,GFS CASH SURPLUS (+) / DEFICIT (-),True,2016-17,337
cash_flow_statement,5,GFS CASH SURPLUS (+) / DEFICIT (-),True,2017-18,-757
cash_flow_statement,5,GFS CASH SURPLUS (+) / DEFICIT (-),True,2018-19,-346
cash_flow_statement,5,GFS CASH SURPLUS (+) / DEFICIT (-),True,2019-20,-2916
cash_flow_statement,5,GFS CASH SURPLUS (+) / DEFICIT (-),True,2020-21,-3102
cash_flow_statement,5,GFS CASH SURPLUS (+) / DEFICIT (-),True,2021-22,-2485
cash_flow_statement,5,GFS CASH SURPLUS (+) / DEFICIT (-),True,2022-23,-890
cash_flow_statement,5,GFS CASH SURPLUS (+) / DEFICIT (-),True,2023-24,-994
cash_flow_statement,5,GFS CASH SURPLUS (+) / DEFICIT (-),True,2024-25,-1713
cash_flow_statement,6,Total net cash flows from investments in financial assets for policy purposes,True,2015-16,-108
cash_flow_statement,6,Total net cash flows from investments in financial assets for policy purposes,True,2016-17,592
cash_flow_statement,6,Total net cash flows from investments in financial assets for policy purposes,True,2017-18,1440
cash_flow_statement,6,Total net cash flows from investments in financial assets for policy purposes,True,2018-19,-196
cash_flow_statement,6,Total net cash flows from investments in financial assets for policy purposes,True,2019-20,-410
cash_flow_statement,6,Total net cash flows from investments in financial assets for policy purposes,True,2020-21,-211
cash_flow_statement,6,Total net cash flows from investments in financial assets for policy purposes,True,2021-22,-235
cash_flow_statement,6,Total net cash flows from investments in financial assets for policy purposes,True,2022-23,-214
cash_flow_statement,6,Total net cash flows from investments in financial assets for policy purposes,True,2023-24,-428
cash_flow_statement,6,Total net cash flows from investments in financial assets for policy purposes,True,2024-25,-313
cash_flow_statement,7,Total net cash flows from investments in financial assets for liquidity purposes,True,2015-16,-34
cash_flow_statement,7,Total net cash flows from investments in financial assets for liquidity purposes,True,2016-17,-46
cash_flow_statement,7,Total net cash flows from investments in financial assets for liquidity purposes,True,2017-18,-16
cash_flow_statement,7,Total net cash flows from investments in financial assets for liquidity purposes,True,2018-19,-17
cash_flow_statement,7,Total net cash flows from investments in financial assets for liquidity purposes,True,2019-20,-4
cash_flow_statement,7,Total net cash flows from investments in financial assets for liquidity purposes,True,2020-21,0
cash_flow_statement,7,Total net cash flows from investments in financial assets for liquidity purposes,True,2021-22,-5
cash_flow_statement,7,Total net cash flows from investments in financial assets for liquidity purposes,True,2022-23,-41
cash_flow_statement,7,Total net cash flows from investments in financial assets for liquidity purposes,True,2023-24,-19
cash_flow_statement,7,Total net cash flows from investments in financial assets for liquidity purposes,True,2024-25,-382
cash_flow_statement,8,Total net cash flows from financing activities,True,2015-16,54
cash_flow_statement,8,Total net cash flows from financing activities,True,2016-17,-703
cash_flow_statement,8,Total net cash flows from financing activities,True,2017-18,-428
cash_flow_statement,8,Total net cash flows from financing activities,True,2018-19,1167
cash_flow_statement,8,Total net cash flows from financing activities,True,2019-20,2755
cash_flow_statement,8,Total net cash flows from financing activities,True,2020-21,3250
cash_flow_statement,8,Total net cash flows from financing activities,True,2021-22,2473
cash_flow_statement,8,Total net cash flows from financing activities,True,2022-23,1594
cash_flow_statement,8,Total net cash flows from financing activities,True,2023-24,1470
cash_flow_statement,8,Total net cash flows from financing activities,True,2024-25,2227
cash_flow_statement,9,NET CHANGE IN THE STOCK OF CASH,True,2015-16,-22
cash_flow_statement,9,NET CHANGE IN THE STOCK OF CASH,True,2016-17,180
cash_flow_statement,9,NET CHANGE IN THE STOCK OF CASH,True,2017-18,240
cash_flow_statement,9,NET CHANGE IN THE STOCK OF CASH,True,2018-19,608
cash_flow_statement,9,NET CHANGE IN THE STOCK OF CASH,True,2019-20,-575
cash_flow_statement,9,NET CHANGE IN THE STOCK OF CASH,True,2020-21,-62
cash_flow_statement,9,NET CHANGE IN THE STOCK OF CASH,True,2021-22,-251
cash_flow_statement,9,NET CHANGE IN THE STOCK OF CASH,True,2022-23,449
cash_flow_statement,9,NET CHANGE IN THE STOCK OF CASH,True,2023-24,29
cash_flow_statement,9,NET CHANGE IN THE STOCK OF CASH,True,2024-25,-181
cash_flow_statement,10,GFS Cash Surplus (+) / Deficit (-),True,2015-16,66
cash_flow_statement,10,GFS Cash Surplus (+) / Deficit (-),True,2016-17,337
cash_flow_statement,10,GFS Cash Surplus (+) / Deficit (-),True,2017-18,-757
cash_flow_statement,10,GFS Cash Surplus (+) / Deficit (-),True,2018-19,-346
cash_flow_statement,10,GFS Cash Surplus (+) / Deficit (-),True,2019-20,-2916
cash_flow_statement,10,GFS Cash Surplus (+) / Deficit (-),True,2020-21,-3102
cash_flow_statement,10,GFS Cash Surplus (+) / Deficit (-),True,2021-22,-2485
cash_flow_statement,10,GFS Cash Surplus (+) / Deficit (-),True,2022-23,-890
cash_flow_statement,10,GFS Cash Surplus (+) / Deficit (-),True,2023-24,-994
cash_flow_statement,10,GFS Cash Surplus (+) / Deficit (-),True,2024-25,-1713
cash_flow_statement,11,Acquisitions of non-financial assets under new finance leases,False,2015-16,26
cash_flow_statement,11,Acquisitions of non-financial assets under new finance leases,False,2016-17,-2722
cash_flow_statement,11,Acquisitions of non-financial assets under new finance leases,False,2017-18,0
cash_flow_statement,11,Acquisitions of non-financial assets under new finance leases,False,2018-19,-1
cash_flow_statement,11,Acquisitions of non-financial assets under new finance leases,False,2019-20,0
cash_flow_statement,11,Acquisitions of non-financial assets under new finance leases,False,2020-21,0
cash_flow_statement,11,Acquisitions of non-financial assets under new finance leases,False,2021-22,0
cash_flow_statement,11,Acquisitions of non-financial assets under new finance leases,False,2022-23,0
cash_flow_statement,11,Acquisitions of non-financial assets under new finance leases,False,2023-24,0
cash_flow_statement,11,Acquisitions of non-financial assets under new finance leases,False,2024-25,0
cash_flow_statement,12,GFS CASH SURPLUS (+) / DEFICIT (-) (alternative),True,2015-16,93
cash_flow_statement,12,GFS CASH SURPLUS (+) / DEFICIT (-) (alternative),True,2016-17,-2385
cash_flow_statement,12,GFS CASH SURPLUS (+) / DEFICIT (-) (alternative),True,2017-18,-757
cash_flow_statement,12,GFS CASH SURPLUS (+) / DEFICIT (-) (alternative),True,2018-19,-347
cash_flow_statement,12,GFS CASH SURPLUS (+) / DEFICIT (-) (alternative),True,2019-20,-2916
cash_flow_statement,12,GFS CASH SURPLUS (+) / DEFICIT (-) (alternative),True,2020-21,-3102
cash_flow_statement,12,GFS CASH SURPLUS (+) / DEFICIT (-) (alternative),True,2021-22,-2485
cash_flow_statement,12,GFS CASH SURPLUS (+) / DEFICIT (-) (alternative),True,2022-23,-890
cash_flow_statement,12,GFS CASH SURPLUS (+) / DEFICIT (-) (alternative),True,2023-24,-994
cash_flow_statement,12,GFS CASH SURPLUS (+) / DEFICIT (-) (alternative),True,2024-25,-1713
balance_sheet,1,Buildings and structures,False,2015-16,30626
balance_sheet,1,Buildings and structures,False,2016-17,33871
balance_sheet,1,Buildings and structures,False,2017-18,35166
balance_sheet,1,Buildings and structures,False,2018-19,36044
balance_sheet,1,Buildings and structures,False,2019-20,40303
balance_sheet,1,Buildings and structures,False,2020-21,45117
balance_sheet,1,Buildings and structures,False,2021-22,51638
