General nature of complaints and reports received under the ICAC Act 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2020-21 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Complaints ,%,Reports ,%,Total ,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bribery/inducements,,,,7,1.2,19,3,26,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coercion/extortion,,,,2,0.3,3,0.5,5,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Conduct in private capacity, failure to disclose/declare to employer",,,,9,1.5,32,5,41,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental and health ,,,,2,0.3,2,0.3,4,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excessive force/assault/intimidation/threats,,,,17,2.9,22,3.4,39,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Failure of duty, inaction or inadequate exercise of power",,,,164,27.5,37,5.8,201,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Improper budgeting, procurement, contract management, accounts payable",,,,28,4.7,45,7.0,73,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improper or unauthorised use of employment entitlements,,,,12,2.0,45,7.0,57,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improper recruitment/deception in employment,,,,13,2.2,57,8.9,70,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Improper use, damage or theft of resources",,,,10,1.7,27,4.2,37,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improper use/access of information and improper record keeping,,,,46,7.7,76,11.8,122,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improper votes/decision making,,,,52,8.7,27,4.2,79,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Improper, unauthorised or mismanaged exercise of power",,,,91,15.3,40,6.2,131,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negligence in management/oversight,,,,12,2.0,42,6.5,54,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not otherwise categorised,,,,6,1.0,0,0,6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other criminal conduct while acting in capacity as a public officer,,,,5,0.8,30,4.7,35,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sexual harassment/sexual impropriety,,,,13,2.2,34,5.2,47,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theft and fraud – monetary,,,,7,1.2,21,3.3,28,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unprofessional conduct,,,,93,15.6,79,12.3,172,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victimisation/reprisals for reporting,,,,7,1.2,4,0.6,11,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total  ,,,,596,100,642,99.9,"1,238",100.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 On 1 July 2020 the OPI introduced a new ‘general nature’ classification scheme replacing the previous categories which were devised prior to the commencement of ICAC/OPI in September 2013, and had been in use since that date. The reformed scheme was devised and implemented in response to several reviews of the use, accuracy and reliability of internal complaints and reports data, which found the previous scheme was no longer fit for purpose. The efficacy of these categories is relied upon for internal research, trend and risk analysis, strategic planning, and corruption prevention. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rounding has been used in respect of statistical results. Accordingly not all tables and figures total 100%. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General nature of complaints and reports received under the ICAC Act 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,2019-20,,,,,,2018-19,,,,,,2017-18 2,,2016-17,,2015-16,,2014-15,,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Complaints,,Reports ,,Total ,,Complaints,,Reports ,,Total ,,Complaints,Reports ,Complaints,Reports ,Complaints,Reports ,Complaints,Reports ,Complaints,Reports ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number,%,Number,%,Number,%,Number,%,Number,%,Number,%,%,%,%,%,%,%,%,%,%,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alleged offence while not acting in capacity as public officer,,,,1,0.2,20,2.6,21,1.7,1,0.2,6,0.8,7,0.6,0.2,2.4,< 1,2,< 1,2,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conduct (other than criminal conduct) of a public officer while not acting in capacity as a public officer,,,,2,0.4,5,0.7,7,0.6,1,0.2,4,0.5,5,0.4,0.2,1.1,0,< 1,< 1,< 1,1 4,3 4,1 4,8 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conflict of interest - tender assessment / procurement / contract / vote / decision making,,,,35,7.1,92,12.1,127,10.1,37,7.6,56,7.5,93,7.6,5.8,7.2,8,7,8,8,6 5,7 5,8 5,9 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Could not be ascertained,,,,1,0.2,0,0,1,0.1,3,0.6,1,0.1,4,0.3,0.5,0.3,3,< 1,1,< 1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deception associated with employment / appointment to public office / coercion,,,,5,1.0,36,4.7,41,3.3,5,1.0,21,2.8,26,2.1,1.5,2.1,< 1,2,< 1,4,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Environmental and Health ,,,,1,0.2,0,0,1,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Excessive force,,,,1,0.2,6,0.8,7,0.6,4,0.8,21,2.8,25,2.1,1.2,2.4,2.0,6,4,2,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Failure to exercise power / make decision / carry out a function or inadequate exercise of power / inappropriate exercise of power / function,,,,169,34.1,68,8.9,237,18.9,145,29.8,62,8.4,207,16.8,26.0,6.0,24,5,25,7,33 6,12 6,46 6,14 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Improper use of confidential information,,,,18,3.6,64,8.4,82,6.5,26,5.3,84,11.3,110.0,9.0,5.3,9.9,2,9,3,13,3,11,1 9,17 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inappropriate conduct / workplace bullying / harassment / failure to comply with policy / procedure,,,,185,37.4,293,38.5,478,38.0,178,36.6,305,41.1,483,39.3,38.1,38.0,48,45,48 3,35 3,46 3,33 3,33 10,22 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mismanagement in relation to the performance of official duties,,,,37,7.5,51,6.7,88,7.0,56,11.5,62,8.4,118,9.6,15.2,7.2,8,3,3,3,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misuse of public money / theft from the workplace,,,,20,4.0,67,8.8,87,6.9,20,4.1,66,8.9,86,7.0,3.6,11.1,3,10,5,12,7 7,18 7,4 7,11 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other criminal conduct while acting in capacity,,,,20,4.0,60,7.9,80,6.4,11,2.3,54,7.3,65,5.3,2.4,12.3,1,10,2,13,2 8,13 8,5 8,13 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deception associated with employment or appointment as public officer ,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,495,99.9,762,100.1,"1,257",100.2,487,100,742,100,"1,229",100,100,100,100,100,100,100,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 The Police Complaints and Discipline Act 2016 commenced on 4 September 2017. From 2017-18, complaints or reports about SA Police are reported separately. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Includes matters about SA Police received prior to 4 September 2017.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Classified as Inappropriate conduct / workplace bullying and harassment / coercion / failure to comply with policy / procedure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 Classified as Conduct occurring outside public officer's capacity as public officer. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 Classified as Conflict of interest.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 Classified as Failure to exercise / inadequate exercise or inappropriate exercise of power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 Classified as Theft / misuse of public money.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 Classified as Other criminal conduct occurring while the public officer was acting in his or her capacity as a public officer.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 Classified as Improper disclosure and / or use of confidential information. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10 Classified in 2013-14 as two categories - Bullying / harassment / coercion in the workplace, and Failure to comply with policy / mismanagement or inappropriate conduct towards member of the public.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rounding has been used in respect to statistical results. Accordingly not all tables and figures total 100%. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recontacts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020-21,,2019-20,,2018-19,,2017-18,,2016-17,,2015-16,,2014-15,,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number ,,180 recontacts in relation to 154 complaints and reports,,187 recontacts in relation to 157 complaints and reports,,198 recontacts in relation to 161 matters ,,167 recontacts in relation to 145 matters,,197 recontacts in relation to 170 complaints and reports,,180 recontacts in relation to 141 complaints and reports,,62 recontacts ,,Not reported ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For further information on recontacts please refer to relevant ICAC / OPI Annual Reports ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assessments under the ICAC Act,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2019-20,,,2019-20,,,2018-19,,,2017-18,,,2016-17,,,2015-16,,,2014-15,,,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number ,,,"1,199 complaints and reports (1,108 received in the financial year and 91 received in a previous year) comprising 1,821 separate issues (589 (49.1%) complaints and 610 (50.9%) reports). ",,,"1,159 complaints and reports (1,094 received in the financial year and 65 received in a previous year) comprising 1,896 separate issues (467 (40.3%) complaints and 692 (59.7%) reports). ",,,"1,177 complaints and reports (1,125 received in the financial year and 52 received in a previous year) comprising 1,661 separate issues (477  (40.5%) complaints and 700 (59.5%) reports). ",,,"1,088 complaints and reports (1,017 received in the financial year and 71 received in a previous year) comprising 1,725 separate issues (430 (40%) complaints and 658 (60%) reports). ",,,"1,210 complaints and reports (1,109 received in the financial year and 101 received in a previous year). 1,797 separate issues were identified.",,,"1,063 complaints and reports. (Note: 85 matters from previous reporting period carried over). 1,693 separate issues were identified and assessed. ",,,"927 complaints and reports received in the reporting period. 1,525 separate issues were identified and assessed.",,,"923 complaints and reports. 2,276 issues were identified and assessed. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of matters awaiting assessment (as at 30 June) ,,,84 matters (32 complaints and 52 reports),,,71 matters (31 complaints and 40 reports),,,47 matters (18 complaints and 29 reports),,,49 matters (12 complaints and 37 reports),,,62 complaints and reports,,,92 complaints and reports ,,,60 matters ,,,73 complaints and 73 reports were awaiting assessment or a determination from the Commissioner in relation to the action to be taken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of matters assessed by the OPI during the reporting period awaiting a determination by the Commissioner or the Commissioner's delegate as to the action to be taken,,, - ,,,Two complaints and four reports,,,One complaint and 11 reports,,,One report ,,,Four complaints and reports,,,Three complaints and reports,,,25 matters ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of times the OPI decided the action to be taken on a complaint or report ,,,851 occasions (71.0% of all assessment decisions). All other complaints and reports were assessed by the OPI and referred to the Commissioner or the Commissioners delegate for determination.,,,544 occasions (46.9% of all assessment decisions). All other complaints and reports were assessed by the OPI and referred to the Commissioner or the Commissioners delegate for determination.,,,476 occasions (40.4% of all assessment decisions). All other complaints and reports were assessed by the OPI and referred to the ICAC or his delegate for determination.,,,467 occasions (42.9% of all assessment decisions). All other complaints and reports were assessed by the OPI and referred to the Commissioner or his delegate for determination.,,,"Pursuant to changes made to the ICAC Act empowering the OPI to determine the action to be taken in respect of certain complaints and reports, the OPI made a determination as to the outcome of a complaint or report on 57 occasions",,,Not reported 1,,,Not reported 1,,,Not reported 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 ICAC Act amendments empowering the OPI to determine the action to be taken in respect of certain complaints and reports, were not in effect. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timeframe for assessment of all complaints and reports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15 1,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of days ,,18.5 (working days) ,17.4 (working days) ,14.1 (work days) ,15.3 (work days),18.3 (work days),25.6 (work days),,18 (work days) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 No number was reported in the 2014-15 reporting period but a 20% improvement in the average time a matter spends in the assessment stage compared to the previous reporting period was noted. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICAC's own initiative ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of own initiative matters that progressed to a corruption investigation,,,,,,8,10,6,1,-,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of own initiative matters that were referred to a public authority as a potential issue of misconduct or maladministration ,,,,,,2,3,2¹,-,-,1,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of own initiative matters that were referred to a public authority as raising some other issue,,,,,,3,1,1,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of own initiative matters resulting in no further action,,,,,,9,1,1,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,22,15,10,1,5,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¹ Number of own initiative matters that were referred to a public authority as a potential issue of maladministration ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No further action ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020-21,,2019-20,,2018-19,,2017-18,,2016-17,,2015-16 2,,2014-15,,2013-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Number ,%,Number ,%,Number ,%,Number,%,Number,%,Number,%,Number,%,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reports ,,350,42.0,324,45.4,288,41.8,244,42,310,47,201,38,186,35,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complaints ,,474,56.9,388,54.4,400,58.1,335,58,350,53,326,62,342,65,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Own initiative ,,9,1.1,1,0.1,1,<0.1,-,-,1,<1,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total ,,833,100,713,99.9,689 1,100,579,100,661,100,527,100,528,100,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 This includes 18 matters which were initially assessed as raising a potential issue of misconduct or maladministration and were reassessed as requiring no further action following comments from the public authority or inquiry agency about the proposed referral.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Only including matters received in the financial year. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rounding has been used in respect to statistical results. Accordingly not all tables and figures total 100%. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
