service,region_code,region_name,volunteer_category,as_at_date,volunteer_count
CFS,DEWNR,"Department of Environment, Water and Natural Resources (National Parks and Wildlife Service volunteer fire fighters)",Fire Fighters,2015-06-01,343
CFS,DEWNR,"Department of Environment, Water and Natural Resources (National Parks and Wildlife Service volunteer fire fighters)",Operational Support,2015-06-01,160
CFS,DEWNR,"Department of Environment, Water and Natural Resources (National Parks and Wildlife Service volunteer fire fighters)",Total,2015-06-01,503
CFS,S/OPS,State/Specialist Operations (headquarters-based specialist volunteer units),Cadets,2015-06-01,0
CFS,S/OPS,State/Specialist Operations (headquarters-based specialist volunteer units),Fire Fighters,2015-06-01,16
CFS,S/OPS,State/Specialist Operations (headquarters-based specialist volunteer units),Operational Support,2015-06-01,2
CFS,S/OPS,State/Specialist Operations (headquarters-based specialist volunteer units),Total,2015-06-01,18
CFS,Total,Statewide total,Cadets,2015-06-01,830
CFS,Total,Statewide total,Fire Fighters,2015-06-01,10848
CFS,Total,Statewide total,Operational Support,2015-06-01,2326
CFS,Total,Statewide total,Total,2015-06-01,14004
CFS,1,Region 1,Cadets,2016-06-01,236
CFS,1,Region 1,Fire Fighters,2016-06-01,2403
CFS,1,Region 1,Operational Support,2016-06-01,738
CFS,1,Region 1,Total,2016-06-01,3377
CFS,2,Region 2,Cadets,2016-06-01,234
CFS,2,Region 2,Fire Fighters,2016-06-01,2217
CFS,2,Region 2,Operational Support,2016-06-01,431
CFS,2,Region 2,Total,2016-06-01,2882
CFS,3,Region 3,Cadets,2016-06-01,66
CFS,3,Region 3,Fire Fighters,2016-06-01,1155
CFS,3,Region 3,Operational Support,2016-06-01,191
CFS,3,Region 3,Total,2016-06-01,1412
CFS,4,Region 4,Cadets,2016-06-01,152
CFS,4,Region 4,Fire Fighters,2016-06-01,1575
CFS,4,Region 4,Operational Support,2016-06-01,261
CFS,4,Region 4,Total,2016-06-01,1988
CFS,5,Region 5,Cadets,2016-06-01,45
CFS,5,Region 5,Fire Fighters,2016-06-01,1695
CFS,5,Region 5,Operational Support,2016-06-01,288
CFS,5,Region 5,Total,2016-06-01,2028
CFS,6,Region 6,Cadets,2016-06-01,49
CFS,6,Region 6,Fire Fighters,2016-06-01,1370
CFS,6,Region 6,Operational Support,2016-06-01,296
CFS,6,Region 6,Total,2016-06-01,1715
CFS,DEWNR,"Department of Environment, Water and Natural Resources (National Parks and Wildlife Service volunteer fire fighters)",Cadets,2016-06-01,0
CFS,DEWNR,"Department of Environment, Water and Natural Resources (National Parks and Wildlife Service volunteer fire fighters)",Fire Fighters,2016-06-01,361
CFS,DEWNR,"Department of Environment, Water and Natural Resources (National Parks and Wildlife Service volunteer fire fighters)",Operational Support,2016-06-01,142
CFS,DEWNR,"Department of Environment, Water and Natural Resources (National Parks and Wildlife Service volunteer fire fighters)",Total,2016-06-01,503
CFS,S/OPS,State/Specialist Operations (headquarters-based specialist volunteer units),Cadets,2016-06-01,0
CFS,S/OPS,State/Specialist Operations (headquarters-based specialist volunteer units),Fire Fighters,2016-06-01,21
CFS,S/OPS,State/Specialist Operations (headquarters-based specialist volunteer units),Operational Support,2016-06-01,2
CFS,S/OPS,State/Specialist Operations (headquarters-based specialist volunteer units),Total,2016-06-01,23
CFS,Total,Statewide total,Cadets,2016-06-01,782
CFS,Total,Statewide total,Fire Fighters,2016-06-01,10797
