financial_year,housing_type,local_government_area,is_total_row,total_households,number_of_household_members,aboriginal_households,households_with_person_with_disability,average_market_rent_of_occupied_dwellings_30_june,average_rent_changed_30_june,paying_less_than_market_rent,single_person,single_parent_with_dependent_children,couple_only,couple_with_dependent_children,group_or_mixed_composition,has_child_under_15_years,has_child_under_5_years,has_adult_65_years_or_more,younger_person_main_tenant_under_25_years,overcrowded_households,underutilised_households,under_3_years,3_to_9_years,10_or_more_years,aged_pension,disability_support_pension,job_seeker,other_government_payment,employee_cash_income_or_wages,other_cash_income,income_not_stated
2019-20,Public Housing,District Council of Ceduna,False,55,130,40,20,243.88679245283018,143.58113207547174,50,20,20,5,5,5,25,10,10,0,0,25,20,25,5,10,10,10,20,5,0,5
2019-20,Public Housing,District Council of Cleve,False,5,10,0,5,177.71428571428572,127.12857142857142,5,5,0,0,0,0,0,0,5,0,0,5,0,0,5,0,5,0,0,0,0,0
2019-20,Public Housing,District Council of Coober Pedy,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2019-20,Public Housing,District Council of Elliston,False,5,5,0,5,120.4,94.7,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0
2019-20,Public Housing,District Council of Franklin Harbour,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2019-20,Public Housing,District Council of Loxton Waikerie,False,145,230,10,60,168.65734265734267,124.78321678321676,115,95,15,15,5,15,15,5,65,5,0,45,45,35,60,40,45,20,5,0,0,25
2019-20,Public Housing,District Council of Mount Remarkable,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2019-20,Public Housing,District Council of Orroroo Carrieton,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2019-20,Public Housing,District Council of Peterborough,False,25,35,0,20,132.75,110.30416666666667,15,20,0,0,0,0,5,0,5,0,0,15,5,5,15,0,10,5,0,0,0,10
2019-20,Public Housing,District Council of Streaky Bay,False,20,25,0,5,173.11111111111111,150.7333333333333,10,10,0,5,0,0,0,0,15,0,0,5,5,5,10,10,0,0,0,0,0,5
2019-20,Public Housing,District Council of Tumby Bay,False,5,5,0,0,224.33333333333334,123.63333333333333,5,5,0,0,0,0,0,0,5,0,0,5,0,0,5,5,0,0,0,0,0,0
2019-20,Public Housing,District Council of Yankalilla,False,5,5,0,5,168.66666666666666,102.89999999999999,5,5,0,0,0,0,0,0,5,0,0,0,5,5,0,0,5,0,0,0,0,0
2019-20,Public Housing,Kangaroo Island Council,False,45,70,0,20,208.09302325581396,125.45813953488376,40,30,5,5,0,5,5,0,10,0,0,15,10,15,15,10,10,10,5,5,0,5
2019-20,Public Housing,Light Regional Council,False,35,60,0,10,196.6060606060606,145.1121212121212,20,20,5,5,0,5,5,0,15,0,0,10,5,5,25,10,5,0,0,0,0,10
2019-20,Public Housing,Mid Murray Council,False,55,80,5,35,176.71698113207546,130.53962264150948,35,35,5,10,0,5,5,0,30,0,0,35,10,25,20,15,15,5,0,0,0,20
2019-20,Public Housing,Mount Barker District Council,False,360,635,15,275,271.98337950138506,146.10138504155145,325,200,30,50,10,75,40,10,120,10,10,135,70,90,200,80,150,30,35,25,5,40
