financial_year,housing_type,local_government_area,is_total_row,number_of_dwellings,rate_per_10_000_of_all_residential_dwellings,tenantable_dwellings,untenantable_dwellings_or_undergoing_major_redevelopment,number_of_occupied_dwellings,pct_of_tenantable_dwellings_that_are_occupied,average_market_rent_of_dwelling_30_june,1_or_2_bedrooms,3_bedrooms,4_or_more_bedrooms,separate_houses,semi_detached,flat_unit_or_apartment
2019-20,Public Housing,Renmark Paringa Council,False,165,362.45703254601364,165,0,160,0.9696969696969697,183.3212121212121,60,100,10,100,35,30
2019-20,Public Housing,Southern Mallee District Council,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2019-20,Public Housing,Tatiara District Council,False,5,13.021678362920785,5,0,5,1,126,5,0,0,0,0,5
2019-20,Public Housing,The Barossa Council,False,115,108.13793706810884,115,0,110,0.9565217391304348,240.95652173913044,30,80,5,60,45,10
2019-20,Public Housing,The Flinders Ranges Council,False,25,260.9710591758944,25,0,25,1,142.88,15,10,0,10,5,10
2019-20,Public Housing,The Rural City of Murray Bridge,False,565,561.1358383024816,560,5,540,0.9642857142857143,197.3368794326241,185,355,25,215,320,30
2019-20,Public Housing,Town of Gawler,False,470,410.81627015724087,470,5,460,0.9787234042553191,211.29237288135593,225,235,15,130,255,85
2019-20,Public Housing,Wakefield Regional Council,False,15,42.867393582639174,15,0,15,1,138,10,5,0,5,0,10
2019-20,Public Housing,Wudinna District Council,False,15,197.7174509944369,15,0,10,0.6666666666666666,126.76923076923077,10,0,0,0,5,5
2019-20,Public Housing,Yorke Peninsula Council,False,75,78.53664744573427,75,0,75,1,139.7922077922078,50,25,0,30,5,45
2019-20,Public Housing,Total - dwellings,True,32147,406.05027156751294,31630,517,30501,0.964306038570977,247.6185025041217,16948,13933,1266,10807,15015,6325
2019-20,Public Housing,% Total - dwellings,True,1,,0.9839176283945624,0.01608237160543752,0.9487977105173111,,,0.5272031604815379,0.4334152487012785,0.039381590817183565,0.33617444862662144,0.46707313279621737,0.19675241857716116
2020-21,Public Housing,Adelaide Hills Council,False,20,12.295212355082258,20,0,20,1,294.10526315789474,0,20,0,20,0,0
2020-21,Public Housing,Adelaide Plains Council,False,5,18.330080427694043,5,0,5,1,150,5,0,0,0,0,5
2020-21,Public Housing,Alexandrina Council,False,35,20.632583306517628,35,0,35,1,161.11764705882354,35,0,0,0,0,35
2020-21,Public Housing,Barunga West Council,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2020-21,Public Housing,Berri Barmera Council,False,275,538.7123313926832,275,0,270,0.9818181818181818,179.8181818181818,125,140,10,135,100,40
2020-21,Public Housing,Campbelltown City Council,False,660,293.65308765581733,655,5,635,0.9694656488549618,325.6267071320182,430,205,25,275,290,95
2020-21,Public Housing,City of Adelaide,False,365,268.2344019087862,360,0,320,0.8888888888888888,271.4600550964187,330,35,0,0,115,245
2020-21,Public Housing,City of Burnside,False,180,92.33948799371318,175,5,155,0.8857142857142857,276.44444444444446,180,0,0,0,55,125
2020-21,Public Housing,City of Charles Sturt,False,2880,534.1843582117986,2790,90,2655,0.9516129032258065,282.95970823202504,1770,1025,85,500,1835,540
2020-21,Public Housing,City of Holdfast Bay,False,255,139.26179718424743,250,10,240,0.96,328.328125,210,45,0,55,130,75
2020-21,Public Housing,City of Marion,False,2140,509.37665336367166,2130,15,2005,0.9413145539906104,293.21484593837533,1515,570,60,690,935,515
2020-21,Public Housing,City of Mitcham,False,225,83.61270356263007,205,20,185,0.9024390243902439,296.3955555555556,200,20,5,65,65,95
2020-21,Public Housing,City of Mount Gambier,False,1040,824.6492162844011,1035,5,995,0.961352657004831,191.32756964457252,280,725,35,325,635,85
2020-21,Public Housing,City of Norwood Payneham and St Peters,False,600,335.4920180392405,595,5,560,0.9411764705882353,299.135225375626,505,90,0,45,280,270
2020-21,Public Housing,City of Onkaparinga,False,3070,414.4680515285637,3055,15,2965,0.9705400981996727,255.875936177141,1385,1550,135,1535,965,570
2020-21,Public Housing,City of Playford,False,2915,724.924871688892,2850,65,2715,0.9526315789473684,214.23765432098764,1290,1430,195,975,1420,525
2020-21,Public Housing,City of Port Adelaide Enfield,False,4085,726.0301695422438,4010,75,3875,0.9663341645885287,286.8103743577196,2530,1360,200,1480,1965,645
2020-21,Public Housing,City of Port Lincoln,False,545,801.0104700578291,540,0,525,0.9722222222222222,207.69117647058823,250,285,10,260,190,95
2020-21,Public Housing,City of Prospect,False,245,270.7276755767914,245,0,235,0.9591836734693877,324.0487804878049,205,35,5,55,135,55
2020-21,Public Housing,City of Salisbury,False,3105,545.2302456432303,3095,10,3010,0.9725363489499192,253.79439252336448,1410,1515,180,1495,1045,565
2020-21,Public Housing,City of Tea Tree Gully,False,1250,305.0055904714591,1245,0,1220,0.9799196787148594,294.18895116092875,670,535,40,780,345,125
2020-21,Public Housing,City of Unley,False,460,269.4697353345089,425,35,390,0.9176470588235294,272.9847494553377,405,50,0,20,175,265
2020-21,Public Housing,City of West Torrens,False,1270,461.6163741286314,1230,45,1190,0.967479674796748,280.1927616050354,980,270,20,300,495,475
2020-21,Public Housing,City of Whyalla,False,2095,1901.7709178562648,2085,15,1975,0.947242206235012,193.08726752503577,385,1620,95,115,1905,75
2020-21,Public Housing,Clare and Gilbert Valleys Council,False,110,242.1381606314335,110,0,105,0.9545454545454546,190.65454545454546,45,65,5,75,10,25
2020-21,Public Housing,Coorong District Council,False,10,26.28646111804194,5,0,5,1,162,5,0,0,5,0,5
2020-21,Public Housing,Copper Coast Council,False,240,263.1632871470727,240,0,235,0.9791666666666666,202.5206611570248,130,105,10,120,60,65
2020-21,Public Housing,Corporation of the Town of Walkerville,False,195,548.3252306221385,195,0,160,0.8205128205128205,234.40609137055839,195,0,0,0,5,190
2020-21,Public Housing,District Council Lower Eyre Peninsula,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2020-21,Public Housing,District Council of Ceduna,False,55,278.20679949550765,55,0,55,1,245.67857142857142,5,40,10,55,0,0
2020-21,Public Housing,District Council of Cleve,False,10,75.82255606538811,10,0,10,1,181.25,0,5,0,10,0,0
2020-21,Public Housing,District Council of Coober Pedy,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2020-21,Public Housing,District Council of Elliston,False,10,101.07848391676775,10,0,5,0.5,108,10,0,0,0,0,10
2020-21,Public Housing,District Council of Franklin Harbour,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2020-21,Public Housing,District Council of Loxton Waikerie,False,145,257.54886203755206,145,0,145,1,176.87671232876713,70,65,10,80,30,35
2020-21,Public Housing,District Council of Mount Remarkable,False,5,36.005627271231255,5,0,5,1,132.33333333333334,5,0,0,0,0,5
2020-21,Public Housing,District Council of Orroroo Carrieton,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2020-21,Public Housing,District Council of Peterborough,False,25,223.52787570178876,25,0,25,1,135.16666666666666,5,15,0,10,10,5
2020-21,Public Housing,District Council of Streaky Bay,False,20,139.0397520849088,20,0,20,1,176.11111111111111,10,5,0,5,10,5
2020-21,Public Housing,District Council of Tumby Bay,False,5,39.031503371701135,5,0,5,1,224.33333333333334,0,5,0,5,0,0
2020-21,Public Housing,District Council of Yankalilla,False,5,14.432239318076462,5,0,5,1,175,5,0,0,0,0,5
2020-21,Public Housing,Kangaroo Island Council,False,45,132.39776823297288,45,0,45,1,207.5909090909091,20,25,0,25,15,5
2020-21,Public Housing,Light Regional Council,False,35,58.655129963728044,35,0,30,0.8571428571428571,199.25714285714287,15,15,0,20,5,10
2020-21,Public Housing,Mid Murray Council,False,50,74.46652307328685,50,0,50,1,183.26923076923077,10,40,0,45,0,10
2020-21,Public Housing,Mount Barker District Council,False,365,248.23423048941697,365,0,360,0.9863013698630136,278.2295081967213,135,205,25,275,70,20
2020-21,Public Housing,Naracoorte Lucindale Council,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2020-21,Public Housing,Northern Areas Council,False,35,140.90976334229626,35,0,30,0.8571428571428571,128.9090909090909,25,5,0,5,0,25
2020-21,Public Housing,Out of Council Boundary,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2020-21,Public Housing,Port Augusta City Council,False,650,973.0469320793316,640,10,585,0.9140625,197.7723076923077,215,405,30,225,350,75
2020-21,Public Housing,Port Pirie Regional Council,False,735,866.0067428709614,730,5,690,0.9452054794520548,172.37602179836512,345,360,25,215,365,155
2020-21,Public Housing,Regional Council of Goyder,False,15,59.201536815328204,15,0,15,1,143.84615384615384,10,5,0,5,10,0
2020-21,Public Housing,Renmark Paringa Council,False,165,359.30796522442273,165,0,160,0.9696969696969697,187.5121951219512,60,95,10,100,35,30
2020-21,Public Housing,Southern Mallee District Council,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2020-21,Public Housing,Tatiara District Council,False,5,12.993337507516864,5,0,5,1,134,5,0,0,0,0,5
2020-21,Public Housing,The Barossa Council,False,110,104.35148325197217,110,0,105,0.9545454545454546,249.60714285714286,30,80,5,60,40,10
