financial_year,housing_type,local_government_area,is_total_row,number_of_household_members,male,female,not_stated,birth_to_4_years,5_to_14_years,15_to_24_years,25_to_34_years,35_to_44_years,45_to_54_years,55_to_64_years,65_to_74_years,75_years_or_more
2020-21,Public Housing,City of Mitcham,False,245,125,120,5,5,15,20,20,30,40,40,50,35
2020-21,Public Housing,City of Mount Gambier,False,1825,775,1020,30,95,305,225,200,220,215,240,175,145
2020-21,Public Housing,City of Norwood Payneham and St Peters,False,680,330,350,5,10,35,30,60,75,105,155,135,75
2020-21,Public Housing,City of Onkaparinga,False,4930,2175,2640,120,110,480,575,390,460,795,885,715,520
2020-21,Public Housing,City of Playford,False,4915,2270,2585,60,145,615,590,375,495,680,880,645,490
2020-21,Public Housing,City of Port Adelaide Enfield,False,6370,2920,3365,85,175,620,655,475,550,890,1185,1065,760
2020-21,Public Housing,City of Port Lincoln,False,875,400,465,10,35,120,90,85,70,100,145,110,115
2020-21,Public Housing,City of Prospect,False,305,155,150,0,5,15,15,25,20,55,75,60,40
2020-21,Public Housing,City of Salisbury,False,5255,2245,2925,85,135,515,580,385,440,705,1060,810,625
2020-21,Public Housing,City of Tea Tree Gully,False,1915,755,1095,65,35,160,150,130,160,290,395,310,275
2020-21,Public Housing,City of Unley,False,470,210,255,5,5,25,35,20,55,95,90,70,70
2020-21,Public Housing,City of West Torrens,False,1675,840,810,20,40,100,135,150,145,275,335,265,225
2020-21,Public Housing,City of Whyalla,False,3320,1550,1705,65,175,515,370,345,340,455,465,340,315
2020-21,Public Housing,Clare and Gilbert Valleys Council,False,165,70,95,0,5,15,20,15,15,25,30,25,20
2020-21,Public Housing,Coorong District Council,False,5,5,5,0,0,0,0,0,0,0,5,0,0
2020-21,Public Housing,Copper Coast Council,False,360,170,180,5,5,40,25,15,30,55,75,60,55
2020-21,Public Housing,Corporation of the Town of Walkerville,False,170,125,45,0,0,0,5,15,35,40,30,15,20
2020-21,Public Housing,District Council Lower Eyre Peninsula,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2020-21,Public Housing,District Council of Ceduna,False,150,60,90,0,20,50,20,15,20,10,10,5,5
2020-21,Public Housing,District Council of Cleve,False,15,5,5,0,0,0,0,0,0,5,0,5,0
2020-21,Public Housing,District Council of Coober Pedy,False,10,5,5,0,0,5,5,0,0,0,0,0,0
2020-21,Public Housing,District Council of Elliston,False,5,5,0,0,0,0,0,0,0,0,0,0,0
2020-21,Public Housing,District Council of Franklin Harbour,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2020-21,Public Housing,District Council of Loxton Waikerie,False,240,125,105,5,10,25,40,10,20,35,30,45,25
2020-21,Public Housing,District Council of Mount Remarkable,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2020-21,Public Housing,District Council of Orroroo Carrieton,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2020-21,Public Housing,District Council of Peterborough,False,35,20,15,0,0,5,5,0,5,5,10,5,5
2020-21,Public Housing,District Council of Streaky Bay,False,25,10,10,5,0,0,0,0,0,0,5,10,10
2020-21,Public Housing,District Council of Tumby Bay,False,5,5,5,0,0,0,0,0,0,0,0,0,5
2020-21,Public Housing,District Council of Yankalilla,False,5,5,5,0,0,0,0,0,0,0,0,5,0
2020-21,Public Housing,Kangaroo Island Council,False,70,30,40,0,0,10,10,5,5,15,10,5,5
2020-21,Public Housing,Light Regional Council,False,55,25,30,0,0,5,5,5,5,5,15,10,10
2020-21,Public Housing,Mid Murray Council,False,75,35,35,5,0,5,0,5,5,5,15,25,15
2020-21,Public Housing,Mount Barker District Council,False,615,255,350,10,15,55,95,45,50,80,120,90,60
2020-21,Public Housing,Naracoorte Lucindale Council,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2020-21,Public Housing,Northern Areas Council,False,40,25,15,0,0,0,0,0,5,5,5,10,15
2020-21,Public Housing,Out of Council Boundary,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2020-21,Public Housing,Port Augusta City Council,False,1135,465,650,25,60,225,150,90,105,125,150,125,110
2020-21,Public Housing,Port Pirie Regional Council,False,1085,490,585,10,45,105,120,75,85,130,165,180,180
2020-21,Public Housing,Regional Council of Goyder,False,15,10,5,0,0,0,0,0,0,0,0,5,5
2020-21,Public Housing,Renmark Paringa Council,False,300,130,165,5,10,45,30,30,35,45,40,30,25
2020-21,Public Housing,Southern Mallee District Council,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2020-21,Public Housing,Tatiara District Council,False,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.,n.p.
2020-21,Public Housing,The Barossa Council,False,185,90,95,0,5,15,15,10,15,15,35,50,25
2020-21,Public Housing,The Flinders Ranges Council,False,25,10,10,0,0,0,0,0,0,0,5,5,10
2020-21,Public Housing,The Rural City of Murray Bridge,False,900,390,495,10,35,105,100,55,70,125,160,145,95
2020-21,Public Housing,Town of Gawler,False,705,305,385,15,10,60,60,40,45,95,160,125,110
2020-21,Public Housing,Wakefield Regional Council,False,20,10,10,0,0,5,0,0,0,5,5,5,5
2020-21,Public Housing,Wudinna District Council,False,10,5,5,0,0,0,0,0,0,0,0,5,5
2020-21,Public Housing,Yorke Peninsula Council,False,105,50,50,0,5,10,5,5,5,10,20,25,25
2020-21,Public Housing,Total - household members,True,48902,22106,26021,775,1450,5202,5049,3821,4554,6953,8844,7378,5650
2020-21,Public Housing,% Total - household members,True,1,0.452046951044947,0.5321050263792891,0.015848022575763773,0.029651139012719315,0.10637601734080405,0.10324731094842747,0.07813586356386241,0.09312502556132674,0.14218232383133614,0.18085149891619975,0.1508731749212711,0.11553719684266492
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Adelaide Hills Council,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Adelaide Plains Council,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Alexandrina Council,False,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-20,State Owned and Managed Indigenous Housing (SOMIH),Barunga West Council,False,0,0,0,0,0,0,0,0,0,0,0,0,0
