agency,period,executive_classification,headcount,is_total_row,source_file
Public Trustee,2016-17,SAES2,1,False,pulic-trustee-executives.csv
Public Trustee,2017-18,SAES1,2,False,pulic-trustee-executives.csv
Public Trustee,2017-18,SAES2,1,False,pulic-trustee-executives.csv
Public Trustee,2018-19,SAES1,2,False,pulic-trustee-executives.csv
Public Trustee,2018-19,SAES2,1,False,pulic-trustee-executives.csv
Public Trustee,2019-20,SAES1,2,False,pulic-trustee-executives.csv
Public Trustee,2019-20,SAES2,1,False,pulic-trustee-executives.csv
Public Trustee,2020-21,SAES1,2,False,pulic-trustee-executives.csv
Public Trustee,2020-21,SAES2,1,False,pulic-trustee-executives.csv
Public Trustee,2021-22,SAES1,2,False,pulic-trustee-executives.csv
Public Trustee,2021-22,SAES2,1,False,pulic-trustee-executives.csv
Public Trustee,2022-23,SAES1,2,False,pulic-trustee-executives.csv
Public Trustee,2022-23,SAES2,1,False,pulic-trustee-executives.csv
Public Trustee,2023-24,SAES1,2,False,pulic-trustee-executives.csv
Public Trustee,2023-24,SAES2,1,False,pulic-trustee-executives.csv
Public Trustee,2024-25,SAES1,2,False,pulic-trustee-executives.csv
Public Trustee,2024-25,SAES2,1,False,pulic-trustee-executives.csv
Renewal SA,2018/19,Total,4,True,renewal-sa-executive-employment-2018_19.csv
Renewal SA,2019/20,Total,19,True,renewal-sa-executive-employment-2019_20.csv
Renewal SA,2020/21,Total,22,True,renewal-sa-executive-employment-2020_21.csv
Renewal SA,2021/22,Total,21,True,renewal-sa-executive-employment-2021_22.csv
Renewal SA,2022/23,Total,21,True,executive-employment-2022_23.csv
Renewal SA,2023/24,Total,24,True,renewal-sa-executive-employment-2023_24.csv
Riverbank Authority,2014-15,Executive,0,False,cuserslazzl01desktopriverbank-authority-executive-employment-2017-18.xlsx
Riverbank Authority,2015-16,Executive,0,False,cuserslazzl01desktopriverbank-authority-executive-employment-2017-18.xlsx
Riverbank Authority,2016-17,Executive,0,False,cuserslazzl01desktopriverbank-authority-executive-employment-2017-18.xlsx
Riverbank Authority,2017-18,Executive,0,False,cuserslazzl01desktopriverbank-authority-executive-employment-2017-18.xlsx
SA Ambulance Service,As at 30 June 2023,SAES Level 1 (noting three staff in interim roles),1,False,2022-2023-sa-ambulance-service-executive-employment.csv
SA Ambulance Service,As at 30 June 2023,SAES Level 2,3,False,2022-2023-sa-ambulance-service-executive-employment.csv
SA Metropolitan Advisory Council,As at 30 June 2023,Nil to report,0,False,data.sa-executive-employment-2023-24.xlsx
SA Tourism Commission,Number of Executives 2012-13,EXEC0A,1,False,satcexecutiveemploymentfinal.csv
SA Tourism Commission,Number of Executives 2012-13,EXEC0B,3,False,satcexecutiveemploymentfinal.csv
SA Tourism Commission,Number of Executives 2012-13,EXEC0C,0,False,satcexecutiveemploymentfinal.csv
SA Tourism Commission,Number of Executives 2012-13,EXEC0D,1,False,satcexecutiveemploymentfinal.csv
SA Tourism Commission,Number of Executives 2012-13,EXEC0E,0,False,satcexecutiveemploymentfinal.csv
SA Tourism Commission,Number of Executives 2012-13,EXEC0F,0,False,satcexecutiveemploymentfinal.csv
SA Tourism Commission,Number of Executives 2012-13,TOTAL,5,True,satcexecutiveemploymentfinal.csv
SA Tourism Commission,Number of Executives 2013-14,EXEC0A,3,False,satcexecutiveemploymentfinal.csv
SA Tourism Commission,Number of Executives 2013-14,EXEC0B,2,False,satcexecutiveemploymentfinal.csv
SA Tourism Commission,Number of Executives 2013-14,EXEC0C,0,False,satcexecutiveemploymentfinal.csv
SA Tourism Commission,Number of Executives 2013-14,EXEC0D,1,False,satcexecutiveemploymentfinal.csv
SA Tourism Commission,Number of Executives 2013-14,EXEC0E,0,False,satcexecutiveemploymentfinal.csv
SA Tourism Commission,Number of Executives 2013-14,EXEC0F,0,False,satcexecutiveemploymentfinal.csv
SA Tourism Commission,Number of Executives 2013-14,TOTAL,6,True,satcexecutiveemploymentfinal.csv
SA Tourism Commission,Number of Executives 2014-15,EXEC0A,2,False,satcexecutiveemploymentfinal.csv
SA Tourism Commission,Number of Executives 2014-15,EXEC0B,2,False,satcexecutiveemploymentfinal.csv
SA Tourism Commission,Number of Executives 2014-15,EXEC0C,0,False,satcexecutiveemploymentfinal.csv
SA Tourism Commission,Number of Executives 2014-15,EXEC0D,1,False,satcexecutiveemploymentfinal.csv
SA Tourism Commission,Number of Executives 2014-15,EXEC0E,0,False,satcexecutiveemploymentfinal.csv
SA Tourism Commission,Number of Executives 2014-15,EXEC0F,0,False,satcexecutiveemploymentfinal.csv
SA Tourism Commission,Number of Executives 2014-15,TOTAL,5,True,satcexecutiveemploymentfinal.csv
SA Tourism Commission,Number of Executives 2015-16,EXEC0A,2,False,satcexecutiveemploymentfinal.csv
SA Tourism Commission,Number of Executives 2015-16,EXEC0B,2,False,satcexecutiveemploymentfinal.csv
SA Tourism Commission,Number of Executives 2015-16,EXEC0C,1,False,satcexecutiveemploymentfinal.csv
SA Tourism Commission,Number of Executives 2015-16,EXEC0D,1,False,satcexecutiveemploymentfinal.csv
SA Tourism Commission,Number of Executives 2015-16,EXEC0E,0,False,satcexecutiveemploymentfinal.csv
SA Tourism Commission,Number of Executives 2015-16,EXEC0F,0,False,satcexecutiveemploymentfinal.csv
SA Tourism Commission,Number of Executives 2015-16,TOTAL,6,True,satcexecutiveemploymentfinal.csv
SA Tourism Commission,Number of Executives 2018-19,EXEC0A,1,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2018-19,EXEC0B,3,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2018-19,EXEC0C,1,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2018-19,EXEC0D,0,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2018-19,EXEC0E,1,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2018-19,EXEC0F,0,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2018-19,TOTAL,6,True,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2019-20,EXEC0A,1,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2019-20,EXEC0B,2,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2019-20,EXEC0C,1,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2019-20,EXEC0D,0,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2019-20,EXEC0E,1,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2019-20,EXEC0F,0,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2019-20,TOTAL,5,True,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2020-21,EXEC0A,1,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2020-21,EXEC0B,2,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2020-21,EXEC0C,1,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2020-21,EXEC0D,0,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2020-21,EXEC0E,1,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2020-21,EXEC0F,0,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2020-21,TOTAL,5,True,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2021-22,EXEC0A,1,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2021-22,EXEC0B,3,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2021-22,EXEC0C,0,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2021-22,EXEC0D,1,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2021-22,EXEC0E,0,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2021-22,EXEC0F,0,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2021-22,TOTAL,5,True,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2022-23,EXEC0A,1,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2022-23,EXEC0B,2,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2022-23,EXEC0C,1,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2022-23,EXEC0D,0,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2022-23,EXEC0E,1,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2022-23,EXEC0F,0,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2022-23,TOTAL,5,True,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2023-24,EXEC0A,1,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2023-24,EXEC0B,3,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2023-24,EXEC0C,1,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2023-24,EXEC0D,0,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2023-24,EXEC0E,1,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2023-24,EXEC0F,0,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2023-24,TOTAL,6,True,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2024-25,EXEC0A,1,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2024-25,EXEC0B,3,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2024-25,EXEC0C,1,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2024-25,EXEC0D,0,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2024-25,EXEC0E,1,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2024-25,EXEC0F,0,False,satc_executiveemployment.csv
SA Tourism Commission,Number of Executives 2024-25,TOTAL,6,True,satc_executiveemployment.csv
SA Tourism Commission,Number of executives 2016-17,EXEC0A,0,False,satcexecutiveemploymentfinal.csv
SA Tourism Commission,Number of executives 2016-17,EXEC0B,3,False,satcexecutiveemploymentfinal.csv
SA Tourism Commission,Number of executives 2016-17,EXEC0C,3,False,satcexecutiveemploymentfinal.csv
SA Tourism Commission,Number of executives 2016-17,EXEC0D,0,False,satcexecutiveemploymentfinal.csv
SA Tourism Commission,Number of executives 2016-17,EXEC0E,0,False,satcexecutiveemploymentfinal.csv
SA Tourism Commission,Number of executives 2016-17,EXEC0F,1,False,satcexecutiveemploymentfinal.csv
SA Tourism Commission,Number of executives 2016-17,TOTAL,7,True,satcexecutiveemploymentfinal.csv
SA Tourism Commission,Number of executives 2017-18,EXEC0A,0,False,satc_executiveemployment.csv
SA Tourism Commission,Number of executives 2017-18,EXEC0B,2,False,satc_executiveemployment.csv
SA Tourism Commission,Number of executives 2017-18,EXEC0C,3,False,satc_executiveemployment.csv
SA Tourism Commission,Number of executives 2017-18,EXEC0D,0,False,satc_executiveemployment.csv
SA Tourism Commission,Number of executives 2017-18,EXEC0E,0,False,satc_executiveemployment.csv
SA Tourism Commission,Number of executives 2017-18,EXEC0F,1,False,satc_executiveemployment.csv
SA Tourism Commission,Number of executives 2017-18,TOTAL,6,True,satc_executiveemployment.csv
South Australian Housing Trust,2018-19,ECEC00,1,False,798d22f6-south-australian-housing-trust-annual-report-data-executive-employment.csv
South Australian Housing Trust,2018-19,EXEC00,1,False,south-australian-housing-trust-annual-report-data-executive-employment.csv
South Australian Housing Trust,2018-19,SAES1,5,False,south-australian-housing-trust-annual-report-data-executive-employment.csv
South Australian Housing Trust,2018-19,SAES2,1,False,south-australian-housing-trust-annual-report-data-executive-employment.csv
South Australian Housing Trust,2019-20,ECEC00,1,False,798d22f6-south-australian-housing-trust-annual-report-data-executive-employment.csv
South Australian Housing Trust,2019-20,EXEC00,1,False,south-australian-housing-trust-annual-report-data-executive-employment.csv
South Australian Housing Trust,2019-20,SAES1,8,False,south-australian-housing-trust-annual-report-data-executive-employment.csv
South Australian Housing Trust,2019-20,SAES2,2,False,south-australian-housing-trust-annual-report-data-executive-employment.csv
South Australian Housing Trust,2020-21,EXEC00,1,False,south-australian-housing-trust-annual-report-data-executive-employment.csv
South Australian Housing Trust,2020-21,SAES1,10,False,south-australian-housing-trust-annual-report-data-executive-employment.csv
South Australian Housing Trust,2020-21,SAES2,3,False,south-australian-housing-trust-annual-report-data-executive-employment.csv
South Australian Housing Trust,2021-22,EXEC00,1,False,south-australian-housing-trust-annual-report-data-executive-employment.csv
South Australian Housing Trust,2021-22,SAES1,11,False,south-australian-housing-trust-annual-report-data-executive-employment.csv
South Australian Housing Trust,2021-22,SAES2,1,False,south-australian-housing-trust-annual-report-data-executive-employment.csv
South Australian Mental Health Commission,2015-16,SAES 1,1,False,samhc-executive-employment.csv
South Australian Mental Health Commission,2015-16,SAES 2,1,False,samhc-executive-employment.csv
South Australian Mental Health Commission,2016-17,SAES 1,1,False,samhc-executive-employment.csv
South Australian Mental Health Commission,2016-17,SAES 2,1,False,samhc-executive-employment.csv
South Australian Mental Health Commission,2017-18,SAES 1,1,False,samhc-executive-employment.csv
South Australian Mental Health Commission,2017-18,SAES 2,1,False,samhc-executive-employment.csv
South Australian Mental Health Commission,As at 30 June 2019,SAES 1 - Executive Director,1,False,executive-employment-2018-19.csv
South Australian Mental Health Commission,As at 30 June 2019,SAES 2 - Commissioner,1,False,executive-employment-2018-19.csv
South Australian Metropolitan Fire Service,2012-13,EXEC0B,1,False,2017-09-29-mfs-annual-report-data-executive-employment.csv
South Australian Metropolitan Fire Service,2012-13,EXEC0C,1,False,2017-09-29-mfs-annual-report-data-executive-employment.csv
South Australian Metropolitan Fire Service,2012-13,Total,2,True,2017-09-29-mfs-annual-report-data-executive-employment.csv
South Australian Metropolitan Fire Service,2013-14,EXEC0B,1,False,2018-08-24-mfs-annual-report-data-executive-employment.csv
South Australian Metropolitan Fire Service,2013-14,EXEC0C,1,False,2018-08-24-mfs-annual-report-data-executive-employment.csv
South Australian Metropolitan Fire Service,2013-14,Total,2,True,2018-08-24-mfs-annual-report-data-executive-employment.csv
South Australian Metropolitan Fire Service,2014-15,EXEC0B,1,False,2023-08-23-mfs-annual-report-data-executive-employment.csv
South Australian Metropolitan Fire Service,2014-15,EXEC0C,1,False,2023-08-23-mfs-annual-report-data-executive-employment.csv
South Australian Metropolitan Fire Service,2014-15,EXEC0D,0,False,2023-08-23-mfs-annual-report-data-executive-employment.csv
South Australian Metropolitan Fire Service,2014-15,Total,2,True,2023-08-23-mfs-annual-report-data-executive-employment.csv
South Australian Metropolitan Fire Service,2015-16,EXEC0B,1,False,2023-08-23-mfs-annual-report-data-executive-employment.csv
South Australian Metropolitan Fire Service,2015-16,EXEC0C,1,False,2023-08-23-mfs-annual-report-data-executive-employment.csv
South Australian Metropolitan Fire Service,2015-16,EXEC0D,0,False,2023-08-23-mfs-annual-report-data-executive-employment.csv
South Australian Metropolitan Fire Service,2015-16,Total,2,True,2023-08-23-mfs-annual-report-data-executive-employment.csv
South Australian Metropolitan Fire Service,2016-17,EXEC0B,1,False,2023-08-23-mfs-annual-report-data-executive-employment.csv
South Australian Metropolitan Fire Service,2016-17,EXEC0C,1,False,2023-08-23-mfs-annual-report-data-executive-employment.csv
South Australian Metropolitan Fire Service,2016-17,EXEC0D,0,False,2023-08-23-mfs-annual-report-data-executive-employment.csv
South Australian Metropolitan Fire Service,2016-17,Total,2,True,2023-08-23-mfs-annual-report-data-executive-employment.csv
South Australian Metropolitan Fire Service,2017-18,EXEC0B,1,False,2023-08-23-mfs-annual-report-data-executive-employment.csv
South Australian Metropolitan Fire Service,2017-18,EXEC0C,1,False,2023-08-23-mfs-annual-report-data-executive-employment.csv
South Australian Metropolitan Fire Service,2017-18,EXEC0D,0,False,2023-08-23-mfs-annual-report-data-executive-employment.csv
South Australian Metropolitan Fire Service,2017-18,Total,2,True,2023-08-23-mfs-annual-report-data-executive-employment.csv
South Australian Metropolitan Fire Service,2018-19,EXEC0B,1,False,2023-08-23-mfs-annual-report-data-executive-employment.csv
South Australian Metropolitan Fire Service,2018-19,EXEC0C,1,False,2023-08-23-mfs-annual-report-data-executive-employment.csv
South Australian Metropolitan Fire Service,2018-19,EXEC0D,0,False,2023-08-23-mfs-annual-report-data-executive-employment.csv
South Australian Metropolitan Fire Service,2018-19,Total,2,True,2023-08-23-mfs-annual-report-data-executive-employment.csv
South Australian Metropolitan Fire Service,2019-20,EXEC0B,1,False,2023-08-23-mfs-annual-report-data-executive-employment.csv
South Australian Metropolitan Fire Service,2019-20,EXEC0C,1,False,2023-08-23-mfs-annual-report-data-executive-employment.csv
South Australian Metropolitan Fire Service,2019-20,EXEC0D,0,False,2023-08-23-mfs-annual-report-data-executive-employment.csv
South Australian Metropolitan Fire Service,2019-20,Total,2,True,2023-08-23-mfs-annual-report-data-executive-employment.csv
South Australian Metropolitan Fire Service,2020-21,EXEC0B,1,False,2023-08-23-mfs-annual-report-data-executive-employment.csv
South Australian Metropolitan Fire Service,2020-21,EXEC0C,1,False,2023-08-23-mfs-annual-report-data-executive-employment.csv
South Australian Metropolitan Fire Service,2020-21,EXEC0D,0,False,2023-08-23-mfs-annual-report-data-executive-employment.csv
South Australian Metropolitan Fire Service,2020-21,Total,2,True,2023-08-23-mfs-annual-report-data-executive-employment.csv
South Australian Metropolitan Fire Service,2021-22,EXEC0B,1,False,2023-08-23-mfs-annual-report-data-executive-employment.csv
South Australian Metropolitan Fire Service,2021-22,EXEC0C,1,False,2023-08-23-mfs-annual-report-data-executive-employment.csv
South Australian Metropolitan Fire Service,2021-22,EXEC0D,0,False,2023-08-23-mfs-annual-report-data-executive-employment.csv
South Australian Metropolitan Fire Service,2021-22,Total,2,True,2023-08-23-mfs-annual-report-data-executive-employment.csv
South Australian Metropolitan Fire Service,2022-23,EXEC0B,1,False,2023-08-23-mfs-annual-report-data-executive-employment.csv
South Australian Metropolitan Fire Service,2022-23,EXEC0C,0,False,2023-08-23-mfs-annual-report-data-executive-employment.csv
South Australian Metropolitan Fire Service,2022-23,EXEC0D,1,False,2023-08-23-mfs-annual-report-data-executive-employment.csv
South Australian Metropolitan Fire Service,2022-23,Total,2,True,2023-08-23-mfs-annual-report-data-executive-employment.csv
South Australian Museum,2013-14,SAES1,2,False,2013-14-executives.csv
South Australian Museum,2013-14,Total,2,True,2013-14-executives.csv
South Australian Museum,2014-15,SAES1,1,False,2014-15-executives.csv
South Australian Museum,2014-15,Total,1,True,2014-15-executives.csv
South Australian Museum,2016-17,SAES1,2,False,2015-16-executives.csv
South Australian Museum,2016-17,Total,2,True,2015-16-executives.csv
South Australian Museum,2017-18,SAES1,2,False,south-australian-museum_executive-employment-in-the-agency_2017-18.csv
South Australian Museum,2018-19,SAES1,2,False,2018-19-executives.csv
South Australian Museum,2018-19,Total,2,True,2018-19-executives.csv
South Australian Museum,2019-20,SAES1,2,False,2019-20-executives.csv
South Australian Museum,2019-20,Total,2,True,2019-20-executives.csv
South Australian Museum,2020-21,SAES1,2,False,2020-21-executives.csv
South Australian Museum,2020-21,Total,2,True,2020-21-executives.csv
South Australian Museum,2021-22,SAES1,3,False,2021-22-executives.csv
South Australian Museum,2021-22,Total,3,True,2021-22-executives.csv
South Australian Museum,2022-23,SAES1,3,False,2022-23-executives.csv
South Australian Museum,2022-23,Total,3,True,2022-23-executives.csv
South Australian Museum,2023-24,SAES1,3.2,False,2023-24-executives.csv
South Australian Museum,2023-24,Total,3.2,True,2023-24-executives.csv
State Opera of South Australia,2013,Total,3,True,state-opera-south-australia-executives-2023-24.csv
State Opera of South Australia,2014,Total,3,True,state-opera-south-australia-executives-2023-24.csv
State Opera of South Australia,2015,Total,3,True,state-opera-south-australia-executives-2023-24.csv
State Opera of South Australia,2016,Total,3,True,state-opera-south-australia-executives-2023-24.csv
State Opera of South Australia,2017,Total,3,True,state-opera-south-australia-executives-2023-24.csv
State Opera of South Australia,2018,Total,3,True,state-opera-south-australia-executives-2023-24.csv
State Opera of South Australia,2019,Total,2,True,state-opera-south-australia-executives-2023-24.csv
State Opera of South Australia,2020,Total,2,True,state-opera-south-australia-executives-2023-24.csv
State Opera of South Australia,2021,Total,2,True,state-opera-south-australia-executives-2023-24.csv
State Opera of South Australia,2022,Total,2,True,state-opera-south-australia-executives-2023-24.csv
State Opera of South Australia,2023,Total,2,True,state-opera-south-australia-executives-2023-24.csv
State Opera of South Australia,2024,Total,2,True,state-opera-south-australia-executives-2023-24.csv
State Theatre Company South Australia,2013-14,1,1,False,exec-remuneration-2013-2024.csv
State Theatre Company South Australia,2013-14,2,1,False,exec-remuneration-2013-2024.csv
State Theatre Company South Australia,2013-14,3,0,False,exec-remuneration-2013-2024.csv
State Theatre Company South Australia,2014-15,1,1,False,exec-remuneration-2013-2024.csv
State Theatre Company South Australia,2014-15,2,1,False,exec-remuneration-2013-2024.csv
State Theatre Company South Australia,2014-15,3,0,False,exec-remuneration-2013-2024.csv
State Theatre Company South Australia,2015-16,1,1,False,exec-remuneration-2013-2024.csv
State Theatre Company South Australia,2015-16,2,1,False,exec-remuneration-2013-2024.csv
State Theatre Company South Australia,2015-16,3,0,False,exec-remuneration-2013-2024.csv
State Theatre Company South Australia,2016-17,1,1,False,exec-remuneration-2013-2024.csv
State Theatre Company South Australia,2016-17,2,1,False,exec-remuneration-2013-2024.csv
State Theatre Company South Australia,2016-17,3,0,False,exec-remuneration-2013-2024.csv
State Theatre Company South Australia,2017-18,1,1,False,exec-remuneration-2013-2024.csv
State Theatre Company South Australia,2017-18,2,1,False,exec-remuneration-2013-2024.csv
State Theatre Company South Australia,2017-18,3,0,False,exec-remuneration-2013-2024.csv
State Theatre Company South Australia,2018-19,1,1,False,exec-remuneration-2013-2024.csv
State Theatre Company South Australia,2018-19,2,1,False,exec-remuneration-2013-2024.csv
State Theatre Company South Australia,2018-19,3,0,False,exec-remuneration-2013-2024.csv
State Theatre Company South Australia,2019-20,1,1,False,exec-remuneration-2013-2024.csv
State Theatre Company South Australia,2019-20,2,1,False,exec-remuneration-2013-2024.csv
State Theatre Company South Australia,2019-20,3,0,False,exec-remuneration-2013-2024.csv
State Theatre Company South Australia,2020-21,1,1,False,exec-remuneration-2013-2024.csv
State Theatre Company South Australia,2020-21,2,1,False,exec-remuneration-2013-2024.csv
State Theatre Company South Australia,2020-21,3,0,False,exec-remuneration-2013-2024.csv
State Theatre Company South Australia,2021-22,1,1,False,exec-remuneration-2013-2024.csv
State Theatre Company South Australia,2021-22,2,1,False,exec-remuneration-2013-2024.csv
State Theatre Company South Australia,2021-22,3,0,False,exec-remuneration-2013-2024.csv
State Theatre Company South Australia,2022-23,1,1,False,exec-remuneration-2013-2024.csv
State Theatre Company South Australia,2022-23,2,1,False,exec-remuneration-2013-2024.csv
State Theatre Company South Australia,2022-23,3,0,False,exec-remuneration-2013-2024.csv
State Theatre Company South Australia,2023-24,1,1,False,exec-remuneration-2013-2024.csv
State Theatre Company South Australia,2023-24,2,1,False,exec-remuneration-2013-2024.csv
State Theatre Company South Australia,2023-24,3,0,False,exec-remuneration-2013-2024.csv
TAFE SA,2012-13,EXEC ULE,1,False,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2012-13,SAES-1,7,False,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2012-13,SAES-2,5,False,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2012-13,Total,13,True,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2013-14,EXEC ULE,1,False,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2013-14,SAES-1,9,False,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2013-14,SAES-2,4,False,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2013-14,Total,14,True,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2014-15,EXEC ULE,1,False,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2014-15,SAES-1,12,False,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2014-15,SAES-2,3,False,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2014-15,Total,16,True,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2015-16,EXEC ULE,1,False,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2015-16,SAES-1,13,False,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2015-16,SAES-2,3,False,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2015-16,Total,17,True,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2016-17,EXEC ULE,1,False,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2016-17,SAES-1,10,False,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2016-17,SAES-2,3,False,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2016-17,Total,14,True,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2017-18,SAES-1,16,False,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2017-18,SAES-2,5,False,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2017-18,Total,21,True,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2018-19,EXEC ULE,1,False,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2018-19,SAES-1,15,False,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2018-19,SAES-2,4,False,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2018-19,Total,20,True,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2019-20,EXEC ULE,1,False,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2019-20,SAES-1,14,False,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2019-20,SAES-2,6,False,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2019-20,Total,21,True,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2020-21,EXEC ULE,1,False,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2020-21,SAES-1,16,False,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2020-21,Total,23,True,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2021-22,EXEC ULE,1,False,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2021-22,Total,29,True,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2022-23,EXEC ULE,1,False,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2022-23,SAES-1,22,False,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2022-23,SAES-2,6,False,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2022-23,Total,29,True,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2023-24,EXEC ULE,1,False,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2023-24,SAES-1,24,False,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2023-24,SAES-2,5,False,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2023-24,Total,30,True,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2024-25,EXEC ULE,1,False,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2024-25,SAES-1,26,False,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2024-25,SAES-2,5,False,tafe-sa-executive-employment-historical-trend-.csv
TAFE SA,2024-25,Total,32,True,tafe-sa-executive-employment-historical-trend-.csv
Teachers Registration Board of South Australia,2015-16,Classification (tenured),0,False,executive-employment-in-trbsa-2016-2020.csv
Teachers Registration Board of South Australia,2015-16,Classification (untenured),1,False,executive-employment-in-trbsa-2016-2020.csv
Teachers Registration Board of South Australia,2015-16,Common Law Contract (not SAES),0,False,executive-employment-in-trbsa-2016-2020.csv
Teachers Registration Board of South Australia,2015-16,Executives (total),1,False,executive-employment-in-trbsa-2016-2020.csv
Teachers Registration Board of South Australia,2016-17,Classification (tenured),0,False,executive-employment-in-trbsa-2016-2020.csv
