service_name,physical_address,physical_suburb,physical_state,physical_postcode,acpr_2018,care_type,residential_places,home_care_places,restorative_care_places,provider_name,organisation_type,abs_remoteness_category,mmm_2019_code,mmm_2019_category,sa2_2016_code,sa2_2016_name,sa3_2016_code,sa3_2016_name,lga_2023_name,lga_2023_code,phn_2017_code,phn_2017_name,latitude,longitude,funding_2024_25_aud
My Care Solution,4 / 511 Lower North East Road,CAMPBELLTOWN,SA,5074,Metropolitan East,Home Care,0,,,My Care Solution Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41015,Paradise - Newton,40104,Campbelltown (SA),Campbelltown (SA),40910,PHN401,Adelaide,-34.8878169999999,138.657108999999,22806279.4
Flinders and Upper North Home Care Packages,"Port Augusta Hospital, 71 Hospital Road",PORT AUGUSTA,SA,5700,Flinders & Far North,Home Care,0,,,Flinders and Upper North Local Health Network Incorporated,State Government,Outer Regional Australia,4,MM4 - Medium Rural Towns,41142,Port Augusta,40602,Outback - North and East,Port Augusta,46090,PHN402,Country SA,-32.510032,137.775905999999,3145276.01
Ardrossan Community Home Care,37 Fifth Street,ARDROSSAN,SA,5571,"Yorke, Lower North & Barossa",Home Care,0,,,Ardrossan Community Hospital Inc,Community Based,Outer Regional Australia,5,MM5 - Small Rural Towns,41127,Yorke Peninsula - North,40504,Yorke Peninsula,Yorke Peninsula,48830,PHN402,Country SA,-34.426453,137.917598999999,0
Premium Home Care Service,361 GOODWOOD ROAD,WESTBOURNE PARK,SA,5041,Metropolitan South,Home Care,0,,,JACNY Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41068,Colonel Light Gardens,40303,Mitcham,Mitcham,44340,PHN401,Adelaide,-34.9679429999999,138.591216,772888.21
Community Support Home Care,64 GREENHILL ROAD,WAYVILLE,SA,5034,Metropolitan East,Home Care,0,,,Community Support Incorporated,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41023,Goodwood - Millswood,40107,Unley,Unley,47980,PHN401,Adelaide,-34.941996,138.594578,8171465.84
CCH Home Care Packages,156 Main North Road,PROSPECT,SA,5082,Metropolitan East,Home Care,0,,,Clayton Church Homes Inc,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41021,Prospect,40106,Prospect - Walkerville,Prospect,46510,PHN401,Adelaide,-34.8854499999999,138.602351999999,1361147.78
RetireAustralia Care and Services - Adelaide,79 King William Street,KENT TOWN S,SA,5067,Metropolitan East,Home Care,0,,,Retire Australia Care and Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41017,Norwood (SA),40105,Norwood - Payneham - St Peters,Norwood Payneham and St Peters,45290,PHN401,Adelaide,-34.917897,138.620207999999,7175974.46
Resthaven Northern Community Services,16 Gillingham Road,ELIZABETH,SA,5112,Metropolitan North,Short-Term Restorative Care (STRC),0,,12,Resthaven Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41030,Elizabeth,40202,Playford,Playford,45680,PHN401,Adelaide,-34.714716,138.668152999999,993812.98
Prompt Care STRC - Adelaide,215 The Parade Road,NORWOOD,SA,5067,Metropolitan East,Short-Term Restorative Care (STRC),0,,9,The Carers' Phone Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41017,Norwood (SA),40105,Norwood - Payneham - St Peters,Norwood Payneham and St Peters,45290,PHN401,Adelaide,-34.920726,138.638933,511253.82
Western Home Services,358 Findon Road,KIDMAN PARK,SA,5025,Metropolitan West,Short-Term Restorative Care (STRC),0,,8,ECH Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41091,Flinders Park,40401,Charles Sturt,Charles Sturt,41060,PHN401,Adelaide,-34.910404,138.532386,716727.3
Gratis Home Care Pty Ltd,365 VICTORIA ROAD,TAPEROO,SA,5017,Metropolitan West,Home Care,0,,,Gratis Home Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41100,North Haven,40402,Port Adelaide - West,Port Adelaide Enfield,45890,PHN401,Adelaide,-34.810965,138.500878,9358055.49
Romani,40 Tumbella Drive,MURRAY BRIDGE,SA,5253,"Hills, Mallee & Southern",Residential,72,,,RSL Care South Australia Incorporated,Community Based,Inner Regional Australia,3,MM3 - Large Rural Towns,41165,Murray Bridge,40703,Murray and Mallee,Murray Bridge,45040,PHN402,Country SA,-35.1343079999999,139.295029999999,7763604.53
Southern Cross Care Short Term Restorative Care,18 Cross Road,MYRTLE BANK,SA,5064,Metropolitan East,Short-Term Restorative Care (STRC),0,,18,Southern Cross Care (SA NT & VIC) Incorporated,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41024,Unley - Parkside,40107,Unley,Unley,47980,PHN401,Adelaide,-34.962735,138.639524999999,1170889.02
"Resthaven Murray Bridge, Hills and Fleurieu Community Services",88 Adelaide Road,MURRAY BRIDGE,SA,5253,"Hills, Mallee & Southern",Short-Term Restorative Care (STRC),0,,20,Resthaven Inc,Charitable,Inner Regional Australia,3,MM3 - Large Rural Towns,41165,Murray Bridge,40703,Murray and Mallee,Murray Bridge,45040,PHN402,Country SA,-35.1236869999999,139.266221999999,969411.04
Pop-Up Health,229 Greenhill Road,DULWICH,SA,5065,Metropolitan East,Home Care,0,,,Desjan Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41013,Toorak Gardens,40103,Burnside,Burnside,40700,PHN401,Adelaide,-34.939756,138.625575999999,11681161.26
North Eastern Community Home Care,580 Lower North East Road,CAMPBELLTOWN,SA,5074,Metropolitan East,Home Care,0,,,North Eastern Community Hospital Incorporated,Community Based,Major Cities of Australia,1,MM1 - Metropolitan Areas,41015,Paradise - Newton,40104,Campbelltown (SA),Campbelltown (SA),40910,PHN401,Adelaide,-34.8829989999999,138.662126999999,0
Flinders and Far North Home Care,67 Henley Beach Road,MILE END,SA,5031,Metropolitan West,National Aboriginal and Torres Strait Islander Aged Care Program,0,60,,Aboriginal Elders & Community Care Services Inc,Community Based,Major Cities of Australia,1,MM1 - Metropolitan Areas,41108,Richmond (SA),40403,West Torrens,West Torrens,48410,PHN401,Adelaide,-34.9239749999999,138.572476999999,2612510.5700000003
SA Disability Care Pty Ltd,33-B Ann Street,SALISBURY,SA,5108,Metropolitan North,Home Care,0,,,SA Disability Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41046,Salisbury,40204,Salisbury,Salisbury,47140,PHN401,Adelaide,-34.765427,138.647983,5058862.74
Tanunda Lutheran Home,27 Bridge Street,TANUNDA,SA,5352,"Yorke, Lower North & Barossa",Home Care,0,,,Tanunda Lutheran Home Inc,Religious,Inner Regional Australia,4,MM4 - Medium Rural Towns,41115,Tanunda,40501,Barossa,Barossa,40310,PHN402,Country SA,-34.51861,138.960849999999,0
Just Better Care Adelaide East and Adelaide Central,"UNIT 1, 203-205 HENLEY BEACH ROAD",TORRENSVILLE,SA,5031,Metropolitan West,Home Care,0,,,Just Better Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41108,Richmond (SA),40403,West Torrens,West Torrens,48410,PHN401,Adelaide,-34.924599,138.558353,1910797.83
Dovida Adelaide,"SHOP 3, 13 BRIGHTON ROAD",GLENELG,SA,5045,Metropolitan South,Home Care,0,,,Sawinaro Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41057,Glenelg (SA),40301,Holdfast Bay,Holdfast Bay,42600,PHN401,Adelaide,-34.9777619999999,138.519647999999,1793592.49
HammondCare Daw Park,"Repat Health Precinct, 216 Daws Road",DAW PARK,SA,5041,Metropolitan South,Residential,70,,,HammondCare,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41068,Colonel Light Gardens,40303,Mitcham,Mitcham,44340,PHN401,Adelaide,-34.9905869999999,138.58973,5906252.78
Pearl Home Care Adelaide North,"Unit 2, 191 melbourne Street",NORTH ADELAIDE,SA,5006,Metropolitan East,Home Care,0,,,Pearl Home Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41002,North Adelaide,40101,Adelaide City,Adelaide,40070,PHN401,Adelaide,-34.908642,138.604949,0
Pearl Home Care Adelaide South,56 Portrush Road,PAYNEHAM,SA,5070,Metropolitan East,Home Care,0,,,Pearl Home Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41018,Payneham - Felixstow,40105,Norwood - Payneham - St Peters,Norwood Payneham and St Peters,45290,PHN401,Adelaide,-34.901122,138.641066999999,0
Salvos Home Care,138-140 RESERVOIR ROAD,MODBURY,SA,5092,Metropolitan North,Home Care,0,,,The Salvation Army (South Australia) Property Trust,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41052,Hope Valley - Modbury,40205,Tea Tree Gully,Tea Tree Gully,47700,PHN401,Adelaide,-34.8285419999999,138.687029999999,217388.19
Alpha Support At Home Pty Ltd,246 GLEN OSMOND ROAD,FULLARTON,SA,5063,Metropolitan East,Home Care,0,,,Alpha Support at Home Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41024,Unley - Parkside,40107,Unley,Unley,47980,PHN401,Adelaide,-34.951163,138.632991,7479973.3
Lifestyle Plus Services Pty Ltd,"LEVEL 1, 27 CARRINGTON STREET",ADELAIDE,SA,5000,Metropolitan East,Home Care,0,,,Lifestyle Plus Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41001,Adelaide,40101,Adelaide City,Adelaide,40070,PHN401,Adelaide,-34.9316869999999,138.601319999999,927247.25
Australian Community Aged Care,101 PORTRUSH ROAD,EVANDALE,SA,5069,Metropolitan East,Home Care,0,,,My Nursing Agency Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41019,St Peters - Marden,40105,Norwood - Payneham - St Peters,Norwood Payneham and St Peters,45290,PHN401,Adelaide,-34.904975,138.639395,1434840.59
VIVA Aged Care,16 20 HINDMARSH AVENUE,WELLAND,SA,5007,Metropolitan West,Home Care,0,,,Viva Mutual Foundation Limited,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41093,Hindmarsh - Brompton,40401,Charles Sturt,Charles Sturt,41060,PHN401,Adelaide,-34.90925,138.560621999999,397787.19
Nurse Next Door Gawler Barossa,89-91 MURRAY STREET,BAROSSA GOLDFIELDS,SA,5351,"Yorke, Lower North & Barossa",Home Care,0,,,Australian Home Healthcare Services Pty Ltd,Private Incorporated Body,Inner Regional Australia,2,MM2 - Regional Centres,41112,Lyndoch,40501,Barossa,Barossa,40310,PHN402,Country SA,-34.6570129999999,138.81853,106841.55
Nurse Next Door Adelaide South West,"Mitcham Library, 154 BELAIR ROAD",HAWTHORN,SA,5062,Metropolitan South,Home Care,0,,,Australian Home Healthcare Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41069,Mitcham (SA),40303,Mitcham,Mitcham,44340,PHN401,Adelaide,-34.973163,138.608361,75693.68
Home Care Packages,33 RAGLAN AVENUE,EDWARDSTOWN,SA,5039,Metropolitan South,Home Care,0,,,Adelaide Senior Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41058,Edwardstown,40302,Marion,Marion,44060,PHN401,Adelaide,-34.980003,138.570785999999,133512.84
Infinite@Home,2 LEIGHTON AVENUE,KLEMZIG,SA,5087,Metropolitan North,Home Care,0,,,Hahndorf Holdings Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41038,Windsor Gardens,40203,Port Adelaide - East,Port Adelaide Enfield,45890,PHN401,Adelaide,-34.8735149999999,138.635307,0
Pleasant Valley Aged Care Service,28 HOSPITAL ROAD,MOUNT PLEASANT,SA,5235,"Yorke, Lower North & Barossa",Residential,22,,,Barossa Hills Fleurieu Local Health Network Incorporated,State Government,Inner Regional Australia,5,MM5 - Small Rural Towns,41110,Barossa - Angaston,40501,Barossa,Barossa,40310,PHN402,Country SA,-34.773777,139.054508999999,236520.97
Orroroo Hospital Aged Care,68 PRICE MAURICE ROAD,ORROROO,SA,5431,Mid North,Residential,10,,,Yorke and Northern Local Health Network Incorporated,State Government,Outer Regional Australia,5,MM5 - Small Rural Towns,41121,Peterborough - Mount Remarkable,40503,Mid North,Orroroo Carrieton,45400,PHN402,Country SA,-32.738571,138.608103999999,138059.85
Community Care APY Lands,21-25 TJILPI PAMPA STREET,PUKATJA,SA,872,Flinders & Far North,Home Care,0,,,Australian Regional and Remote Community Services Limited,Community Based,Very Remote Australia,7,MM7 - Very Remote Communities,41138,APY Lands,40602,Outback - North and East,Anangu Pitjantjatjara Yankunytja,40250,PHN402,Country SA,-26.4662989999999,132.041759,0
