service_name,physical_address,physical_suburb,physical_state,physical_postcode,acpr_2018,care_type,residential_places,home_care_places,restorative_care_places,provider_name,organisation_type,abs_remoteness_category,mmm_2019_code,mmm_2019_category,sa2_2016_code,sa2_2016_name,sa3_2016_code,sa3_2016_name,lga_2023_name,lga_2023_code,phn_2017_code,phn_2017_name,latitude,longitude,funding_2024_25_aud
Alwyndor Care Packages,52 Dunrobin Road,HOVE,SA,5048,Metropolitan South,Home Care,0,,,City of Holdfast Bay,Local Government,Major Cities of Australia,1,MM1 - Metropolitan Areas,41056,Brighton (SA),40301,Holdfast Bay,Holdfast Bay,42600,PHN401,Adelaide,-35.0090709999999,138.528987999999,25972128.58
Anglicare SA Central & Eastern Care At Home CACP,159 Port Road,HINDMARSH,SA,5007,Metropolitan West,Home Care,0,,,Anglicare SA Ltd,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41093,Hindmarsh - Brompton,40401,Charles Sturt,Charles Sturt,41060,PHN401,Adelaide,-34.9051729999999,138.572948999999,4179271.23
Barossa Valley Community Aged Care Packages,1 Gawler Street,NURIOOTPA,SA,5355,"Yorke, Lower North & Barossa",Home Care,0,,,Barossa Village Inc,Community Based,Inner Regional Australia,4,MM4 - Medium Rural Towns,41114,Nuriootpa,40501,Barossa,Barossa,40310,PHN402,Country SA,-34.473063,138.994706,7262362.77
Barunga Home Care,11 Edmund Street,PORT BROUGHTON,SA,5522,"Yorke, Lower North & Barossa",Home Care,0,,,Barunga Village Incorporated,Community Based,Outer Regional Australia,5,MM5 - Small Rural Towns,41119,Wakefield - Barunga West,40502,Lower North,Barunga West,40430,PHN402,Country SA,-33.601818,137.932561999999,3379648.67
Living Well with Boandik - Home Care Packages,101 Lake Terrace East,MOUNT GAMBIER,SA,5290,South East,Home Care,0,,,Boandik Lodge Inc,Community Based,Inner Regional Australia,3,MM3 - Large Rural Towns,41173,Mount Gambier - East,40702,Limestone Coast,Mount Gambier,44620,PHN402,Country SA,-37.8426479999999,140.789830999999,3870833.44
Calvary Community Care - Adelaide Southern Fleurieu,10 Dawson Street,GOOLWA,SA,5214,"Hills, Mallee & Southern",Home Care,0,,,Calvary Community Care,Religious,Inner Regional Australia,3,MM3 - Large Rural Towns,41144,Goolwa - Port Elliot,40701,Fleurieu - Kangaroo Island,Alexandrina,40220,PHN402,Country SA,-35.50148,138.783305,8855161.02
Calvary Community Care - Flinders Far North,"Shop 3, 5 Young Street",PORT AUGUSTA,SA,5700,Flinders & Far North,Home Care,0,,,Calvary Community Care,Religious,Outer Regional Australia,4,MM4 - Medium Rural Towns,41142,Port Augusta,40602,Outback - North and East,Port Augusta,46090,PHN402,Country SA,-32.490884,137.76598,6122886.87
Central Western Care at Home,"Suite 1, 455-457 Morphett Road",OAKLANDS PARK,SA,5046,Metropolitan South,Home Care,0,,,Anglicare SA Ltd,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41064,Warradale,40302,Marion,Marion,44060,PHN401,Adelaide,-35.0139399999999,138.540995,6387506.96
CHAP Community Care Program,6 SECOND STREET,NURIOOTPA,SA,5355,"Yorke, Lower North & Barossa",Home Care,0,,,Country Home Advocacy Project Inc,Charitable,Inner Regional Australia,4,MM4 - Medium Rural Towns,41114,Nuriootpa,40501,Barossa,Barossa,40310,PHN402,Country SA,-34.471746,138.995004999999,6559437.79
ECH Inc - Western Home Services,358 Findon Road,KIDMAN PARK,SA,5025,Metropolitan West,Home Care,0,,,ECH Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41091,Flinders Park,40401,Charles Sturt,Charles Sturt,41060,PHN401,Adelaide,-34.910404,138.532386,22722817.37
ECH Inc - Southern Home Services,433 Goodwood Road,WESTBOURNE PARK,SA,5041,Metropolitan South,Home Care,0,,,ECH Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41068,Colonel Light Gardens,40303,Mitcham,Mitcham,44340,PHN401,Adelaide,-34.9751949999999,138.591837999999,23665499.52
Clincare Pty Ltd Home Care Packages,"Unit 1, 115 Sherriff Street",UNDERDALE,SA,5032,Metropolitan West,Home Care,0,,,Clincare Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,MM1 - Metropolitan Areas,41106,Lockleys,40403,West Torrens,West Torrens,48410,PHN401,Adelaide,-34.916164,138.551216,3207518.4
Community Aged Care Program - Inner North Western,77 Gibson Street,BOWDEN,SA,5007,Metropolitan West,Home Care,0,,,UnitingCare Wesley Bowden Incorporated,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41093,Hindmarsh - Brompton,40401,Charles Sturt,Charles Sturt,41060,PHN401,Adelaide,-34.902652,138.580819999999,11148647.08
SSH Connect,7 Kelly Avenue,SEATON,SA,5023,Metropolitan West,Home Care,0,,,The Society of St Hilarion Inc,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41095,Seaton - Grange,40401,Charles Sturt,Charles Sturt,41060,PHN401,Adelaide,-34.8845809999999,138.514678,4983699.48
Dutch Aged Care - NAASA Community Services,1 Madras Street,OAKLANDS PARK,SA,5046,Metropolitan South,Home Care,0,,,Rembrandt Living Incorporated,Community Based,Major Cities of Australia,1,MM1 - Metropolitan Areas,41064,Warradale,40302,Marion,Marion,44060,PHN401,Adelaide,-35.002178,138.542698999999,16060284.47
ECH Inc - Northern Home Services,18 North East Road,WALKERVILLE,SA,5081,Metropolitan East,Home Care,0,,,ECH Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41022,Walkerville,40106,Prospect - Walkerville,Walkerville,48260,PHN401,Adelaide,-34.891868,138.611366,16506072.43
ECH Inc Hills Fleurieu Home Services,174 Greenhill Road,PARKSIDE,SA,5063,Metropolitan East,Home Care,0,,,ECH Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41024,Unley - Parkside,40107,Unley,Unley,47980,PHN401,Adelaide,-34.941375,138.612094,9495972.02
Eyre Community Care Packages,39 OXFORD Terrace,PORT LINCOLN,SA,5606,Eyre Peninsula,Home Care,0,,,Eyre and Far North Local Health Network Incorporated,State Government,Remote Australia,6,MM6 - Remote Communities,41133,Port Lincoln,40601,Eyre Peninsula and South West,Port Lincoln,46300,PHN402,Country SA,-34.724018,135.850295999999,5855169.84
Greek Community Care Packages,"Level 1, 262 Franklin Street",ADELAIDE,SA,5000,Metropolitan East,Home Care,0,,,Greek Orthodox Community of SA Inc,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41001,Adelaide,40101,Adelaide City,Adelaide,40070,PHN401,Adelaide,-34.9272739999999,138.589136999999,4357286.2
Home Based Services EACHP (Dementia Specific),1538 Main North Road,SALISBURY SOUTH,SA,5106,Metropolitan North,Home Care,0,,,Helping Hand Aged Care Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41046,Salisbury,40204,Salisbury,Salisbury,47140,PHN401,Adelaide,-34.78361,138.650599,117348.51
Home Support Services,"Level 5, 43 Franklin Street",ADELAIDE,SA,5000,Metropolitan East,Home Care,0,,,Uniting Communities Incorporated,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41001,Adelaide,40101,Adelaide City,Adelaide,40070,PHN401,Adelaide,-34.927667,138.597411999999,17943826.18
ACH Group Home Care Metro East,163 Montacute Road,NEWTON,SA,5074,Metropolitan East,Home Care,0,,,Aged Care & Housing Group Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41015,Paradise - Newton,40104,Campbelltown (SA),Campbelltown (SA),40910,PHN401,Adelaide,-34.888105,138.677436,9320648.74
ACH Group Home Care Metro North,163 Montacute Road,NEWTON,SA,5074,Metropolitan East,Home Care,0,,,Aged Care & Housing Group Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41015,Paradise - Newton,40104,Campbelltown (SA),Campbelltown (SA),40910,PHN401,Adelaide,-34.888105,138.677436,16775349.13
ACH Group Home Care Metro South,17 Elizabeth Road,CHRISTIE DOWNS,SA,5164,Metropolitan South,Home Care,0,,,Aged Care & Housing Group Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41073,Christie Downs,40304,Onkaparinga,Onkaparinga,45340,PHN401,Adelaide,-35.1314849999999,138.491023,25642678.48
Bene Casa - Home Care Packages,"Level 1, 480 Torrens Road",WOODVILLE NORTH,SA,5012,Metropolitan West,Home Care,0,,,Italian Benevolent Foundation SA Inc,Community Based,Major Cities of Australia,1,MM1 - Metropolitan Areas,41097,Woodville - Cheltenham,40401,Charles Sturt,Charles Sturt,41060,PHN401,Adelaide,-34.8744289999999,138.547715,8817976.18
James Brown Memorial Trust Kalyra Community Services,2 Kalyra Road,BELAIR,SA,5062,Metropolitan South,Home Care,0,,,James Brown Memorial Trust,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41065,Belair,40303,Mitcham,Mitcham,44340,PHN401,Adelaide,-35.0017539999999,138.612188,23216713.41
Lutheran Homes Care Packages,"LEVEL 2, 100 PIRIE STREET",ADELAIDE,SA,5000,Metropolitan East,Home Care,0,,,Lutheran Homes Group Incorporated,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41001,Adelaide,40101,Adelaide City,Adelaide,40070,PHN401,Adelaide,-34.9253369999999,138.603468999999,6926945.27
Resthaven Onkaparinga Community Services,3 JAMES CLARK ROAD,NOARLUNGA CENTRE,SA,5168,Metropolitan South,Home Care,0,,,Resthaven Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41073,Christie Downs,40304,Onkaparinga,Onkaparinga,45340,PHN401,Adelaide,-35.1412649999999,138.488588999999,16084463.42
Resthaven Marion Community Services,43 Finniss Street,MARION,SA,5043,Metropolitan South,Home Care,0,,,Resthaven Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41061,Mitchell Park,40302,Marion,Marion,44060,PHN401,Adelaide,-35.011417,138.554132,15038740.14
Matthew Flinders Home Inc. Home Care Packages Program,61 Oxford Terrace,PORT LINCOLN,SA,5606,Eyre Peninsula,Home Care,0,,,Matthew Flinders Home Inc,Community Based,Remote Australia,6,MM6 - Remote Communities,41133,Port Lincoln,40601,Eyre Peninsula and South West,Port Lincoln,46300,PHN402,Country SA,-34.722002,135.84997,1825031.81
Mid North Community Care EACHP (Dementia Specific),6/182 Ellen Street,PORT PIRIE,SA,5540,Mid North,Home Care,0,,,Helping Hand Aged Care Inc,Charitable,Outer Regional Australia,4,MM4 - Medium Rural Towns,41122,Port Pirie,40503,Mid North,Port Pirie,46450,PHN402,Country SA,-33.1764289999999,138.010116,62787.39
