"Table_Number","Year","Measure","Age","Sex","Indigenous_Status","Remoteness","Year_Dollars","Description1","Description2","Description3","Description4","Uncertainty","Data_Source","Unit","NSW","Vic","Qld","WA","SA","Tas","ACT","NT","Other","Aust"
"11A.1","2019-20","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Total revenue","Per person in the population","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","162.37","213.19","208.62","143.47","211.87","231.38","190.69","185.18","","188.42"
"11A.1","2018-19","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Government grants","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1000.4","999.9","808.5","181.3","198.2","91.4","63.6","39.2","","3382.5"
"11A.1","2018-19","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Transport fees","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","275.3","257.0","146.4","146.9","132.9","11.6","8.2","3.7","","982.0"
"11A.1","2018-19","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Subscriptions and other income","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","26.3","120.1","20.7","37.5","47.5","2.6","0","1.0","","255.7"
"11A.1","2018-19","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Total revenue","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1302.0","1377.0","975.6","365.7","378.7","105.6","71.8","43.9","","4620.3"
"11A.1","2018-19","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Total revenue","Per person in the population","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","162.68","212.51","193.32","138.71","215.68","194.56","166.69","178.65","","183.74"
"11A.1","2017-18","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Government grants","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","992.7","928.6","765.8","171.9","203.8","79.5","54.5","37.2","","3233.9"
"11A.1","2017-18","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Transport fees","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","264.3","248.4","146.3","145.9","125.5","12.2","8.1","4.2","","955.0"
"11A.1","2017-18","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Subscriptions and other income","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","5.8","117.6","20.0","39.6","47.8","1.8","0","1.2","","233.7"
"11A.1","2017-18","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Total revenue","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1262.8","1294.6","932.0","357.4","377.1","93.5","62.7","42.6","","4422.7"
"11A.1","2017-18","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Total revenue","Per person in the population","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","159.83","203.62","187.88","137.47","217.25","175.96","149.09","172.37","","178.63"
"11A.1","2016-17","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Government grants","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","905.8","847.6","686.3","170.9","187.3","67.1","47.8","35.7","","2948.5"
"11A.1","2016-17","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Transport fees","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","260.6","231.8","149.8","136.3","127.0","10.7","8.2","4.2","","928.6"
"11A.1","2016-17","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Subscriptions and other income","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","6.6","117.3","19.9","34.1","42.4","2.7","0.2","1.1","","224.3"
"11A.1","2016-17","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Total revenue","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1173.0","1196.7","856.0","341.3","356.7","80.5","56.3","41.0","","4101.3"
"11A.1","2016-17","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Total revenue","Per person in the population","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","150.47","191.90","175.30","132.83","207.41","154.15","137.61","166.66","","168.19"
"11A.1","2015-16","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Government grants","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","837.1","703.7","651.9","161.3","161.8","58.5","47.4","31.7","","2653.3"
"11A.1","2015-16","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Transport fees","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","269.1","217.1","149.8","133.1","121.6","11.8","7.5","3.6","","913.5"
"11A.1","2015-16","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Subscriptions and other income","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","9.8","104.3","19.5","35.9","47.3","2.4","0","0.9","","220.1"
"11A.1","2015-16","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Total revenue","","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product","$m","1116.0","1025.2","821.3","330.3","330.7","72.6","54.8","36.2","","3786.9"
"11A.1","2015-16","Revenue sources","All ages","All people","All people","All areas","2024-25 dollars","Ambulance service organisations","Revenue sources","Total revenue","Per person in the population","","Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December","$","145.47","168.25","170.92","129.63","193.82","140.82","137.45","148.10","","157.89"
"11A.2","2024-25","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Patient transport officers","","","CAA (unpublished)","no.","0","64","231","347","88","15","18","20","","784"
"11A.2","2024-25","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Students and base level ambulance officers","","","CAA (unpublished)","no.","906","267","55","76","168","33","30","37","","1572"
"11A.2","2024-25","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Qualified ambulance officers","","","CAA (unpublished)","no.","4352","4352","4389","1066","1238","428","219","123","","16168"
"11A.2","2024-25","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Clinical other","","","CAA (unpublished)","no.","112","30","17","49","62","20","0","0","","291"
"11A.2","2024-25","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Communications operatives","","","CAA (unpublished)","no.","567","277","577","192","172","65","38","46","","1933"
"11A.2","2024-25","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Total","","","Derived from CAA (unpublished)","no.","5937","4989","5269","1731","1728","561","306","226","","20748"
"11A.2","2024-25","Human resources","All ages","All people","All people","All areas","","Salaried personnel (FTE)","Ambulance operatives","Proportion of total salaried personnel","","","Derived from CAA (unpublished)","%","83.8","81.7","87.5","62.2","79.1","81.7","78.0","73.8","","81.1"
