Cybercrime type,Individual / business,Variable,2024 (%),2025 (%),Impacts,Statistically significant difference (2024 vs 2025)
Fraud and scams only,Business,Loss of information,0.0,12.3,"Loss of information includes:
•	The business had to notify affected parties of a data breach
•	Theft of my information or other staff information (eg contact details, financial data)
•	Theft of customer or supplier information (eg contact details, financial data)
•	Theft of intellectual property or corporate information",
All cybercrime ,Business,Loss of information,12.8,15.9,"Loss of information includes:
•	The business had to notify affected parties of a data breach
•	Theft of my information or other staff information (eg contact details, financial data)
•	Theft of customer or supplier information (eg contact details, financial data)
•	Theft of intellectual property or corporate information",No
Online abuse and harassment only,Business,Impacts on staff,3.9,0.0,"Impacts on staff includes:
•	Employees/owners of the business had to take time off work
•	Employees/owners of the business resigned or lost their job",
Malware only,Business,Impacts on staff,5.2,2.5,"Impacts on staff includes:
•	Employees/owners of the business had to take time off work
•	Employees/owners of the business resigned or lost their job",
Identity crime and misuse only,Business,Impacts on staff,0.7,3.0,"Impacts on staff includes:
•	Employees/owners of the business had to take time off work
•	Employees/owners of the business resigned or lost their job",
Fraud and scams only,Business,Impacts on staff,3.8,0.0,"Impacts on staff includes:
•	Employees/owners of the business had to take time off work
•	Employees/owners of the business resigned or lost their job",
All cybercrime ,Business,Impacts on staff,5.9,10.0,"Impacts on staff includes:
•	Employees/owners of the business had to take time off work
•	Employees/owners of the business resigned or lost their job",p<.01
Online abuse and harassment only,Business,Legal or regulatory sanctions,0.6,1.1,"Legal or regulatory sanctions includes:
•	The business was hit with fines and regulatory sanctions
•	There was litigation or legal action against the business",
Malware only,Business,Legal or regulatory sanctions,4.2,3.5,"Legal or regulatory sanctions includes:
•	The business was hit with fines and regulatory sanctions
•	There was litigation or legal action against the business",
Identity crime and misuse only,Business,Legal or regulatory sanctions,0.0,3.9,"Legal or regulatory sanctions includes:
•	The business was hit with fines and regulatory sanctions
•	There was litigation or legal action against the business",
Fraud and scams only,Business,Legal or regulatory sanctions,3.8,0.0,"Legal or regulatory sanctions includes:
•	The business was hit with fines and regulatory sanctions
•	There was litigation or legal action against the business",
All cybercrime ,Business,Legal or regulatory sanctions,5.1,7.9,"Legal or regulatory sanctions includes:
•	The business was hit with fines and regulatory sanctions
•	There was litigation or legal action against the business",p<.05
Online abuse and harassment only,Business,Any harm,19.8,12.9,,
Malware only,Business,Any harm,20.6,22.6,,
Identity crime and misuse only,Business,Any harm,15.8,16.6,,
Fraud and scams only,Business,Any harm,19.2,22.0,,
All cybercrime ,Business,Any harm,41.5,46.9,,No
