Tab,Main cybercrime type,Cybercrime subcategory,Cybercrime incident type,Gender,Age,Small-to-medium business owner status,2025 prevalence (%),2024 adjusted estimates (%),2025 adjusted estimates (%),Statistically significant difference (2024 vs 2025)
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Male,18 – 34,SME owner,51.3,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Male,35 – 64,SME owner,29.6,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Male,65+,SME owner,27.0,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Male,All ages,SME owner,37.0,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Male,18 – 34,Not an SME owner,32.0,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Male,35 – 64,Not an SME owner,21.6,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Male,65+,Not an SME owner,20.4,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Male,All ages,Not an SME owner,24.4,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Male,18 – 34,All,35.5,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Male,35 – 64,All,23.3,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Male,65+,All,21.1,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Male,All ages,All,26.6,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Female,18 – 34,SME owner,51.7,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Female,35 – 64,SME owner,28.0,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Female,65+,SME owner,10.4,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Female,All ages,SME owner,37.4,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Female,18 – 34,Not an SME owner,31.3,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Female,35 – 64,Not an SME owner,19.0,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Female,65+,Not an SME owner,15.4,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Female,All ages,Not an SME owner,21.6,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Female,18 – 34,All,33.9,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Female,35 – 64,All,20.0,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Female,65+,All,15.7,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,Female,All ages,All,23.2,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,All persons,18 – 34,SME owner,51.5,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,All persons,35 – 64,SME owner,29.0,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,All persons,65+,SME owner,27.2,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,All persons,All ages,SME owner,37.1,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,All persons,18 – 34,Not an SME owner,32.0,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,All persons,35 – 64,Not an SME owner,20.2,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,All persons,65+,Not an SME owner,17.7,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,All persons,All ages,Not an SME owner,23.0,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,All persons,18 – 34,All,35.0,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,All persons,35 – 64,All,21.7,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,All persons,65+,All,18.3,,,
Tab 1 - Current year prevalence ,Online abuse and harassment,,,All persons,All ages,All,24.9,,,
Tab 1 - Current year prevalence ,Malware,,,Male,18 – 34,SME owner,50.7,,,
Tab 1 - Current year prevalence ,Malware,,,Male,35 – 64,SME owner,24.3,,,
Tab 1 - Current year prevalence ,Malware,,,Male,65+,SME owner,27.4,,,
Tab 1 - Current year prevalence ,Malware,,,Male,All ages,SME owner,34.0,,,
Tab 1 - Current year prevalence ,Malware,,,Male,18 – 34,Not an SME owner,28.4,,,
Tab 1 - Current year prevalence ,Malware,,,Male,35 – 64,Not an SME owner,16.0,,,
Tab 1 - Current year prevalence ,Malware,,,Male,65+,Not an SME owner,20.1,,,
Tab 1 - Current year prevalence ,Malware,,,Male,All ages,Not an SME owner,20.7,,,
Tab 1 - Current year prevalence ,Malware,,,Male,18 – 34,All,32.8,,,
Tab 1 - Current year prevalence ,Malware,,,Male,35 – 64,All,17.8,,,
Tab 1 - Current year prevalence ,Malware,,,Male,65+,All,20.9,,,
Tab 1 - Current year prevalence ,Malware,,,Male,All ages,All,23.1,,,
Tab 1 - Current year prevalence ,Malware,,,Female,18 – 34,SME owner,48.6,,,
Tab 1 - Current year prevalence ,Malware,,,Female,35 – 64,SME owner,24.1,,,
Tab 1 - Current year prevalence ,Malware,,,Female,65+,SME owner,20.7,,,
Tab 1 - Current year prevalence ,Malware,,,Female,All ages,SME owner,33.7,,,
Tab 1 - Current year prevalence ,Malware,,,Female,18 – 34,Not an SME owner,25.0,,,
Tab 1 - Current year prevalence ,Malware,,,Female,35 – 64,Not an SME owner,16.4,,,
Tab 1 - Current year prevalence ,Malware,,,Female,65+,Not an SME owner,16.1,,,
Tab 1 - Current year prevalence ,Malware,,,Female,All ages,Not an SME owner,18.7,,,
Tab 1 - Current year prevalence ,Malware,,,Female,18 – 34,All,28.2,,,
Tab 1 - Current year prevalence ,Malware,,,Female,35 – 64,All,17.4,,,
Tab 1 - Current year prevalence ,Malware,,,Female,65+,All,16.2,,,
Tab 1 - Current year prevalence ,Malware,,,Female,All ages,All,20.3,,,
Tab 1 - Current year prevalence ,Malware,,,All persons,18 – 34,SME owner,49.8,,,
Tab 1 - Current year prevalence ,Malware,,,All persons,35 – 64,SME owner,24.3,,,
Tab 1 - Current year prevalence ,Malware,,,All persons,65+,SME owner,26.14,,,
Tab 1 - Current year prevalence ,Malware,,,All persons,All ages,SME owner,33.9,,,
Tab 1 - Current year prevalence ,Malware,,,All persons,18 – 34,Not an SME owner,26.3,,,
Tab 1 - Current year prevalence ,Malware,,,All persons,35 – 64,Not an SME owner,16.2,,,
Tab 1 - Current year prevalence ,Malware,,,All persons,65+,Not an SME owner,17.9,,,
Tab 1 - Current year prevalence ,Malware,,,All persons,All ages,Not an SME owner,19.5,,,
Tab 1 - Current year prevalence ,Malware,,,All persons,18 – 34,All,30.2,,,
Tab 1 - Current year prevalence ,Malware,,,All persons,35 – 64,All,17.5,,,
Tab 1 - Current year prevalence ,Malware,,,All persons,65+,All,18.4,,,
Tab 1 - Current year prevalence ,Malware,,,All persons,All ages,All,21.6,,,
Tab 1 - Current year prevalence ,Identity crime and misuse,,,Male,18 – 34,SME owner,44.6,,,
Tab 1 - Current year prevalence ,Identity crime and misuse,,,Male,35 – 64,SME owner,24.0,,,
Tab 1 - Current year prevalence ,Identity crime and misuse,,,Male,65+,SME owner,24.6,,,
Tab 1 - Current year prevalence ,Identity crime and misuse,,,Male,All ages,SME owner,31.3,,,
Tab 1 - Current year prevalence ,Identity crime and misuse,,,Male,18 – 34,Not an SME owner,24.0,,,
Tab 1 - Current year prevalence ,Identity crime and misuse,,,Male,35 – 64,Not an SME owner,16.8,,,
Tab 1 - Current year prevalence ,Identity crime and misuse,,,Male,65+,Not an SME owner,16.5,,,
Tab 1 - Current year prevalence ,Identity crime and misuse,,,Male,All ages,Not an SME owner,18.8,,,
Tab 1 - Current year prevalence ,Identity crime and misuse,,,Male,18 – 34,All,27.8,,,
Tab 1 - Current year prevalence ,Identity crime and misuse,,,Male,35 – 64,All,18.5,,,
Tab 1 - Current year prevalence ,Identity crime and misuse,,,Male,65+,All,17.1,,,
Tab 1 - Current year prevalence ,Identity crime and misuse,,,Male,All ages,All,21.0,,,
Tab 1 - Current year prevalence ,Identity crime and misuse,,,Female,18 – 34,SME owner,41.0,,,
Tab 1 - Current year prevalence ,Identity crime and misuse,,,Female,35 – 64,SME owner,26.7,,,
Tab 1 - Current year prevalence ,Identity crime and misuse,,,Female,65+,SME owner,17.2,,,
Tab 1 - Current year prevalence ,Identity crime and misuse,,,Female,All ages,SME owner,31.8,,,
Tab 1 - Current year prevalence ,Identity crime and misuse,,,Female,18 – 34,Not an SME owner,23.2,,,
Tab 1 - Current year prevalence ,Identity crime and misuse,,,Female,35 – 64,Not an SME owner,18.0,,,
Tab 1 - Current year prevalence ,Identity crime and misuse,,,Female,65+,Not an SME owner,16.3,,,
Tab 1 - Current year prevalence ,Identity crime and misuse,,,Female,All ages,Not an SME owner,19.0,,,
Tab 1 - Current year prevalence ,Identity crime and misuse,,,Female,18 – 34,All,25.5,,,
Tab 1 - Current year prevalence ,Identity crime and misuse,,,Female,35 – 64,All,19.0,,,
Tab 1 - Current year prevalence ,Identity crime and misuse,,,Female,65+,All,16.3,,,
Tab 1 - Current year prevalence ,Identity crime and misuse,,,Female,All ages,All,20.3,,,
Tab 1 - Current year prevalence ,Identity crime and misuse,,,All persons,18 – 34,SME owner,43.1,,,
Tab 1 - Current year prevalence ,Identity crime and misuse,,,All persons,35 – 64,SME owner,25.1,,,
Tab 1 - Current year prevalence ,Identity crime and misuse,,,All persons,65+,SME owner,22.4,,,
Tab 1 - Current year prevalence ,Identity crime and misuse,,,All persons,All ages,SME owner,31.5,,,
Tab 1 - Current year prevalence ,Identity crime and misuse,,,All persons,18 – 34,Not an SME owner,23.4,,,
Tab 1 - Current year prevalence ,Identity crime and misuse,,,All persons,35 – 64,Not an SME owner,17.5,,,
Tab 1 - Current year prevalence ,Identity crime and misuse,,,All persons,65+,Not an SME owner,16.4,,,
Tab 1 - Current year prevalence ,Identity crime and misuse,,,All persons,All ages,Not an SME owner,18.9,,,
Tab 1 - Current year prevalence ,Identity crime and misuse,,,All persons,18 – 34,All,26.5,,,
Tab 1 - Current year prevalence ,Identity crime and misuse,,,All persons,35 – 64,All,18.8,,,
Tab 1 - Current year prevalence ,Identity crime and misuse,,,All persons,65+,All,16.7,,,
Tab 1 - Current year prevalence ,Identity crime and misuse,,,All persons,All ages,All,20.6,,,
Tab 1 - Current year prevalence ,Fraud and scams,,,Male,18 – 34,SME owner,35.4,,,
Tab 1 - Current year prevalence ,Fraud and scams,,,Male,35 – 64,SME owner,13.0,,,
Tab 1 - Current year prevalence ,Fraud and scams,,,Male,65+,SME owner,8.9,,,
Tab 1 - Current year prevalence ,Fraud and scams,,,Male,All ages,SME owner,20.4,,,
Tab 1 - Current year prevalence ,Fraud and scams,,,Male,18 – 34,Not an SME owner,15.6,,,
Tab 1 - Current year prevalence ,Fraud and scams,,,Male,35 – 64,Not an SME owner,7.9,,,
Tab 1 - Current year prevalence ,Fraud and scams,,,Male,65+,Not an SME owner,8.6,,,
Tab 1 - Current year prevalence ,Fraud and scams,,,Male,All ages,Not an SME owner,10.3,,,
Tab 1 - Current year prevalence ,Fraud and scams,,,Male,18 – 34,All,19.4,,,
Tab 1 - Current year prevalence ,Fraud and scams,,,Male,35 – 64,All,8.9,,,
Tab 1 - Current year prevalence ,Fraud and scams,,,Male,65+,All,8.6,,,
Tab 1 - Current year prevalence ,Fraud and scams,,,Male,All ages,All,12.0,,,
Tab 1 - Current year prevalence ,Fraud and scams,,,Female,18 – 34,SME owner,34.0,,,
Tab 1 - Current year prevalence ,Fraud and scams,,,Female,35 – 64,SME owner,16.0,,,
Tab 1 - Current year prevalence ,Fraud and scams,,,Female,65+,SME owner,10.8,,,
Tab 1 - Current year prevalence ,Fraud and scams,,,Female,All ages,SME owner,22.9,,,
Tab 1 - Current year prevalence ,Fraud and scams,,,Female,18 – 34,Not an SME owner,11.9,,,
Tab 1 - Current year prevalence ,Fraud and scams,,,Female,35 – 64,Not an SME owner,8.5,,,
Tab 1 - Current year prevalence ,Fraud and scams,,,Female,65+,Not an SME owner,8.2,,,
Tab 1 - Current year prevalence ,Fraud and scams,,,Female,All ages,Not an SME owner,9.4,,,
Tab 1 - Current year prevalence ,Fraud and scams,,,Female,18 – 34,All,14.9,,,
Tab 1 - Current year prevalence ,Fraud and scams,,,Female,35 – 64,All,9.4,,,
Tab 1 - Current year prevalence ,Fraud and scams,,,Female,65+,All,8.3,,,
Tab 1 - Current year prevalence ,Fraud and scams,,,Female,All ages,All,10.8,,,
Tab 1 - Current year prevalence ,Fraud and scams,,,All persons,18 – 34,SME owner,34.8,,,
Tab 1 - Current year prevalence ,Fraud and scams,,,All persons,35 – 64,SME owner,14.3,,,
Tab 1 - Current year prevalence ,Fraud and scams,,,All persons,65+,SME owner,9.4,,,
Tab 1 - Current year prevalence ,Fraud and scams,,,All persons,All ages,SME owner,21.4,,,
Tab 1 - Current year prevalence ,Fraud and scams,,,All persons,18 – 34,Not an SME owner,13.7,,,
Tab 1 - Current year prevalence ,Fraud and scams,,,All persons,35 – 64,Not an SME owner,8.2,,,
Tab 1 - Current year prevalence ,Fraud and scams,,,All persons,65+,Not an SME owner,8.4,,,
Tab 1 - Current year prevalence ,Fraud and scams,,,All persons,All ages,Not an SME owner,9.8,,,
Tab 1 - Current year prevalence ,Fraud and scams,,,All persons,18 – 34,All,17.1,,,
Tab 1 - Current year prevalence ,Fraud and scams,,,All persons,35 – 64,All,9.2,,,
Tab 1 - Current year prevalence ,Fraud and scams,,,All persons,65+,All,8.4,,,
Tab 1 - Current year prevalence ,Fraud and scams,,,All persons,All ages,All,11.4,,,
Tab 1 - Current year prevalence ,Any cybercrime (all),,,Male,18 – 34,SME owner,70.0,,,
Tab 1 - Current year prevalence ,Any cybercrime (all),,,Male,35 – 64,SME owner,47.7,,,
Tab 1 - Current year prevalence ,Any cybercrime (all),,,Male,65+,SME owner,49.0,,,
Tab 1 - Current year prevalence ,Any cybercrime (all),,,Male,All ages,SME owner,55.6,,,
Tab 1 - Current year prevalence ,Any cybercrime (all),,,Male,18 – 34,Not an SME owner,51.1,,,
Tab 1 - Current year prevalence ,Any cybercrime (all),,,Male,35 – 64,Not an SME owner,40.3,,,
Tab 1 - Current year prevalence ,Any cybercrime (all),,,Male,65+,Not an SME owner,43.8,,,
Tab 1 - Current year prevalence ,Any cybercrime (all),,,Male,All ages,Not an SME owner,44.4,,,
Tab 1 - Current year prevalence ,Any cybercrime (all),,,Male,18 – 34,All,54.6,,,
Tab 1 - Current year prevalence ,Any cybercrime (all),,,Male,35 – 64,All,42.0,,,
Tab 1 - Current year prevalence ,Any cybercrime (all),,,Male,65+,All,44.3,,,
Tab 1 - Current year prevalence ,Any cybercrime (all),,,Male,All ages,All,46.4,,,
Tab 1 - Current year prevalence ,Any cybercrime (all),,,Female,18 – 34,SME owner,70.5,,,
Tab 1 - Current year prevalence ,Any cybercrime (all),,,Female,35 – 64,SME owner,53.0,,,
Tab 1 - Current year prevalence ,Any cybercrime (all),,,Female,65+,SME owner,46.0,,,
Tab 1 - Current year prevalence ,Any cybercrime (all),,,Female,All ages,SME owner,59.5,,,
Tab 1 - Current year prevalence ,Any cybercrime (all),,,Female,18 – 34,Not an SME owner,49.9,,,
Tab 1 - Current year prevalence ,Any cybercrime (all),,,Female,35 – 64,Not an SME owner,39.7,,,
Tab 1 - Current year prevalence ,Any cybercrime (all),,,Female,65+,Not an SME owner,40.4,,,
Tab 1 - Current year prevalence ,Any cybercrime (all),,,Female,All ages,Not an SME owner,42.7,,,
Tab 1 - Current year prevalence ,Any cybercrime (all),,,Female,18 – 34,All,52.8,,,
Tab 1 - Current year prevalence ,Any cybercrime (all),,,Female,35 – 64,All,41.4,,,
Tab 1 - Current year prevalence ,Any cybercrime (all),,,Female,65+,All,40.5,,,
Tab 1 - Current year prevalence ,Any cybercrime (all),,,Female,All ages,All,44.6,,,
Tab 1 - Current year prevalence ,Any cybercrime (all),,,All persons,18 – 34,SME owner,70.2,,,
Tab 1 - Current year prevalence ,Any cybercrime (all),,,All persons,35 – 64,SME owner,49.8,,,
Tab 1 - Current year prevalence ,Any cybercrime (all),,,All persons,65+,SME owner,48.1,,,
Tab 1 - Current year prevalence ,Any cybercrime (all),,,All persons,All ages,SME owner,57.2,,,
Tab 1 - Current year prevalence ,Any cybercrime (all),,,All persons,18 – 34,Not an SME owner,50.6,,,
Tab 1 - Current year prevalence ,Any cybercrime (all),,,All persons,35 – 64,Not an SME owner,40.1,,,
Tab 1 - Current year prevalence ,Any cybercrime (all),,,All persons,65+,Not an SME owner,42.0,,,
Tab 1 - Current year prevalence ,Any cybercrime (all),,,All persons,All ages,Not an SME owner,43.6,,,
Tab 1 - Current year prevalence ,Any cybercrime (all),,,All persons,18 – 34,All,53.8,,,
Tab 1 - Current year prevalence ,Any cybercrime (all),,,All persons,35 – 64,All,41.8,,,
Tab 1 - Current year prevalence ,Any cybercrime (all),,,All persons,65+,All,42.3,,,
Tab 1 - Current year prevalence ,Any cybercrime (all),,,All persons,All ages,All,45.5,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Extortion or harassment involving images or videos,,Male,All ages,All,7.3,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Extortion or harassment involving images or videos,,Female,All ages,All,5.0,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Extortion or harassment involving images or videos,,All persons,18 – 34,All,9.5,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Extortion or harassment involving images or videos,,All persons,35 – 64,All,5.6,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Extortion or harassment involving images or videos,,All persons,65+,All,2.5,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Extortion or harassment involving images or videos,,All persons,All ages,SME owner,10.7,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Extortion or harassment involving images or videos,,All persons,All ages,Not an SME owner,5.4,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Extortion or harassment involving images or videos,,All persons,All ages,All,6.1,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Impersonation,,Male,All ages,All,6.8,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Impersonation,,Female,All ages,All,7.3,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Impersonation,,All persons,18 – 34,All,9.3,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Impersonation,,All persons,35 – 64,All,5.6,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Impersonation,,All persons,65+,All,7.1,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Impersonation,,All persons,All ages,SME owner,10.9,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Impersonation,,All persons,All ages,Not an SME owner,6.4,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Impersonation,,All persons,All ages,All,7.1,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Sharing without consent,,Male,All ages,All,3.3,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Sharing without consent,,Female,All ages,All,2.6,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Sharing without consent,,All persons,18 – 34,All,4.6,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Sharing without consent,,All persons,35 – 64,All,2.6,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Sharing without consent,,All persons,65+,All,1.2,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Sharing without consent,,All persons,All ages,SME owner,5.6,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Sharing without consent,,All persons,All ages,Not an SME owner,2.5,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Sharing without consent,,All persons,All ages,All,2.9,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Stalking and harassing,,Male,All ages,All,2.3,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Stalking and harassing,,Female,All ages,All,2.8,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Stalking and harassing,,All persons,18 – 34,All,4.7,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Stalking and harassing,,All persons,35 – 64,All,2.1,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Stalking and harassing,,All persons,65+,All,0.6,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Stalking and harassing,,All persons,All ages,SME owner,4.6,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Stalking and harassing,,All persons,All ages,Not an SME owner,2.2,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Stalking and harassing,,All persons,All ages,All,2.5,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Controlling and restricting,,Male,All ages,All,4.3,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Controlling and restricting,,Female,All ages,All,3.8,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Controlling and restricting,,All persons,18 – 34,All,6.5,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Controlling and restricting,,All persons,35 – 64,All,3.5,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Controlling and restricting,,All persons,65+,All,1.8,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Controlling and restricting,,All persons,All ages,SME owner,7.6,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Controlling and restricting,,All persons,All ages,Not an SME owner,3.4,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Controlling and restricting,,All persons,All ages,All,4.0,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Hate speech,,Male,All ages,All,3.3,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Hate speech,,Female,All ages,All,2.7,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Hate speech,,All persons,18 – 34,All,5.3,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Hate speech,,All persons,35 – 64,All,2.6,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Hate speech,,All persons,65+,All,1.2,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Hate speech,,All persons,All ages,SME owner,4.9,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Hate speech,,All persons,All ages,Not an SME owner,2.8,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Hate speech,,All persons,All ages,All,3.1,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Cyberbullying,,Male,All ages,All,5.9,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Cyberbullying,,Female,All ages,All,5.8,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Cyberbullying,,All persons,18 – 34,All,10.0,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Cyberbullying,,All persons,35 – 64,All,4.9,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Cyberbullying,,All persons,65+,All,2.4,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Cyberbullying,,All persons,All ages,SME owner,9.3,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Cyberbullying,,All persons,All ages,Not an SME owner,5.3,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Cyberbullying,,All persons,All ages,All,5.9,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Unsolicited sexual content,,Male,All ages,All,6.9,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Unsolicited sexual content,,Female,All ages,All,5.6,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Unsolicited sexual content,,All persons,18 – 34,All,7.5,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Unsolicited sexual content,,All persons,35 – 64,All,5.3,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Unsolicited sexual content,,All persons,65+,All,6.9,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Unsolicited sexual content,,All persons,All ages,SME owner,6.6,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Unsolicited sexual content,,All persons,All ages,Not an SME owner,6.3,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Unsolicited sexual content,,All persons,All ages,All,6.3,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Other online abuse and harassment,,Male,All ages,All,0.3,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Other online abuse and harassment,,Female,All ages,All,0.3,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Other online abuse and harassment,,All persons,18 – 34,All,0.1,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Other online abuse and harassment,,All persons,35 – 64,All,0.3,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Other online abuse and harassment,,All persons,65+,All,0.5,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Other online abuse and harassment,,All persons,All ages,SME owner,0.6,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Other online abuse and harassment,,All persons,All ages,Not an SME owner,0.3,,,
Tab 1 - Current year prevalence (sub),Online abuse and harassment,Other online abuse and harassment,,All persons,All ages,All,0.3,,,
Tab 1 - Current year prevalence (sub),Malware,Suspected malware,,Male,All ages,All,18.4,,,
Tab 1 - Current year prevalence (sub),Malware,Suspected malware,,Female,All ages,All,17.0,,,
Tab 1 - Current year prevalence (sub),Malware,Suspected malware,,All persons,18 – 34,All,24.5,,,
Tab 1 - Current year prevalence (sub),Malware,Suspected malware,,All persons,35 – 64,All,14.4,,,
Tab 1 - Current year prevalence (sub),Malware,Suspected malware,,All persons,65+,All,15.3,,,
Tab 1 - Current year prevalence (sub),Malware,Suspected malware,,All persons,All ages,SME owner,26.7,,,
Tab 1 - Current year prevalence (sub),Malware,Suspected malware,,All persons,All ages,Not an SME owner,16.1,,,
Tab 1 - Current year prevalence (sub),Malware,Suspected malware,,All persons,All ages,All,17.7,,,
Tab 1 - Current year prevalence (sub),Malware,Pure ransomware,,Male,All ages,All,3.8,,,
Tab 1 - Current year prevalence (sub),Malware,Pure ransomware,,Female,All ages,All,2.6,,,
Tab 1 - Current year prevalence (sub),Malware,Pure ransomware,,All persons,18 – 34,All,6.0,,,
Tab 1 - Current year prevalence (sub),Malware,Pure ransomware,,All persons,35 – 64,All,2.1,,,
Tab 1 - Current year prevalence (sub),Malware,Pure ransomware,,All persons,65+,All,1.5,,,
Tab 1 - Current year prevalence (sub),Malware,Pure ransomware,,All persons,All ages,SME owner,7.8,,,
Tab 1 - Current year prevalence (sub),Malware,Pure ransomware,,All persons,All ages,Not an SME owner,2.5,,,
Tab 1 - Current year prevalence (sub),Malware,Pure ransomware,,All persons,All ages,All,3.2,,,
Tab 1 - Current year prevalence (sub),Malware,Ransomware-related data theft and extortion,,Male,All ages,All,3.7,,,
Tab 1 - Current year prevalence (sub),Malware,Ransomware-related data theft and extortion,,Female,All ages,All,2.5,,,
Tab 1 - Current year prevalence (sub),Malware,Ransomware-related data theft and extortion,,All persons,18 – 34,All,4.1,,,
Tab 1 - Current year prevalence (sub),Malware,Ransomware-related data theft and extortion,,All persons,35 – 64,All,2.8,,,
Tab 1 - Current year prevalence (sub),Malware,Ransomware-related data theft and extortion,,All persons,65+,All,2.2,,,
Tab 1 - Current year prevalence (sub),Malware,Ransomware-related data theft and extortion,,All persons,All ages,SME owner,4.3,,,
Tab 1 - Current year prevalence (sub),Malware,Ransomware-related data theft and extortion,,All persons,All ages,Not an SME owner,2.9,,,
Tab 1 - Current year prevalence (sub),Malware,Ransomware-related data theft and extortion,,All persons,All ages,All,3.1,,,
Tab 1 - Current year prevalence (sub),Malware,Other malware,,Male,All ages,All,0.3,,,
Tab 1 - Current year prevalence (sub),Malware,Other malware,,Female,All ages,All,0.5,,,
Tab 1 - Current year prevalence (sub),Malware,Other malware,,All persons,18 – 34,All,0.1,,,
Tab 1 - Current year prevalence (sub),Malware,Other malware,,All persons,35 – 64,All,0.4,,,
Tab 1 - Current year prevalence (sub),Malware,Other malware,,All persons,65+,All,0.7,,,
