Tab,Type of online behaviour,Type of help-seeking ,Gender,Age,Small-to-medium business owner status,Prevalence in 2025,Prevalence in 2025 (comparable to 2024),Prevalence in 2024,Statistically significant difference (2024 vs 2025)
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Any help-seeking,All persons,All ages,SME owner,93.7,,,
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Any help-seeking,All persons,All ages,Not an SME owner,87.1,,,
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Any help-seeking,All persons,All ages,All,88.3,,,
L1 - Help-seeking following most recent incident (%),Fraud and scams,Any help-seeking,Male,All ages,All,85.5,,,
L1 - Help-seeking following most recent incident (%),Fraud and scams,Any help-seeking,Female,All ages,All,85.3,,,
L1 - Help-seeking following most recent incident (%),Fraud and scams,Any help-seeking,All persons,18 – 34,All,90.9,,,
L1 - Help-seeking following most recent incident (%),Fraud and scams,Any help-seeking,All persons,35 – 64,All,81.0,,,
L1 - Help-seeking following most recent incident (%),Fraud and scams,Any help-seeking,All persons,65+,All,79.9,,,
L1 - Help-seeking following most recent incident (%),Fraud and scams,Any help-seeking,All persons,All ages,SME owner,91.0,,,
L1 - Help-seeking following most recent incident (%),Fraud and scams,Any help-seeking,All persons,All ages,Not an SME owner,83.4,,,
L1 - Help-seeking following most recent incident (%),Fraud and scams,Any help-seeking,All persons,All ages,All,85.3,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment ,Help-seeking from formal source,Male,All ages,All,51.5,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment ,Help-seeking from formal source,Female,All ages,All,52.4,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment ,Help-seeking from formal source,All persons,18 – 34,All,56.4,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment ,Help-seeking from formal source,All persons,35 – 64,All,51.5,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment ,Help-seeking from formal source,All persons,65+,All,41.0,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment ,Help-seeking from formal source,All persons,All ages,SME owner,62.0,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment ,Help-seeking from formal source,All persons,All ages,Not an SME owner,49.5,,,
L1 - Help-seeking following most recent incident (%),Online abuse and harassment ,Help-seeking from formal source,All persons,All ages,All,51.9,,,
L1 - Help-seeking following most recent incident (%),Malware,Help-seeking from formal source,Male,All ages,All,45.3,,,
L1 - Help-seeking following most recent incident (%),Malware,Help-seeking from formal source,Female,All ages,All,40.1,,,
L1 - Help-seeking following most recent incident (%),Malware,Help-seeking from formal source,All persons,18 – 34,All,50.4,,,
L1 - Help-seeking following most recent incident (%),Malware,Help-seeking from formal source,All persons,35 – 64,All,38.0,,,
L1 - Help-seeking following most recent incident (%),Malware,Help-seeking from formal source,All persons,65+,All,35.7,,,
L1 - Help-seeking following most recent incident (%),Malware,Help-seeking from formal source,All persons,All ages,SME owner,61.7,,,
L1 - Help-seeking following most recent incident (%),Malware,Help-seeking from formal source,All persons,All ages,Not an SME owner,37.9,,,
L1 - Help-seeking following most recent incident (%),Malware,Help-seeking from formal source,All persons,All ages,All,42.8,,,
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Help-seeking from formal source,Male,All ages,All,74.5,,,
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Help-seeking from formal source,Female,All ages,All,74.9,,,
L1 - Help-seeking following most recent incident (%),Identity crime and misuse,Help-seeking from formal source,All persons,18 – 34,All,70.7,,,
