tenement_category,tenement_type_code,tenement_type_desc,tenement_number,tenement_label,tenement_status,holders,operators,location,legal_area,area_unit,grant_date,surrender_date,expiry_date,renewal_received_date,transfer_received_date,surrender_received_date,commodities,commodity_categories,court_action_pending,mpl_purpose,operation_name,operation_status,operation_method,reports_and_related_records,prior_tenement,subsequent_tenement,longitude,latitude
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6475,EL 6475,Active,Alliance (Eyre) Pty Ltd,,Peterlumbo area approximately 140km west of Port Augusta,408,Square Kilometres,2020-01-21T01:30:00Z,,2031-01-20T01:30:00Z,,,,"Base Metals, Gold, Graphite, Iron",,,,,,,,,,136.209704,-32.773540499999996
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6183,EL 6183,Active,Altair Minerals Limited,,Chinaman Swamp area approximately 30km north-northeast of Woomera,118,Square Kilometres,2017-10-22T01:30:00Z,,2028-10-21T01:30:00Z,,,,"Copper, Gold",,,,,,,,,,137.00133399999999,-30.956857
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6635,EL 6635,Active,Ore Detect Pty Ltd,,Lake Everard area approximately 160km southwest of Woomera,79,Square Kilometres,2021-08-20T02:30:00Z,,2027-08-19T02:30:00Z,,,,"Copper, Gold",,,,,,,,,,135.23469849999998,-31.7652135
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6546,EL 6546,Active,Havilah Resources Limited,Heavy Rare Earths Limited,Quinyambie area approximately 100km north of Olary,94,Square Kilometres,2020-03-10T01:30:00Z,,2025-03-09T01:30:00Z,2025-02-25T01:30:00Z,,,Base Metals; Copper; Gold,,,,,,,,,,140.26797299999998,-31.3401515
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,5920,EL 5920,Active,Pirie Resources Pty Ltd,,Carappee Hill area approximately 60km northwest of Cowell,54,Square Kilometres,2017-02-20T01:30:00Z,,2028-02-19T01:30:00Z,,,,Graphite(),,,,,,,,,,136.368044,-33.4485435
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6451,EL 6451,Active,Astra Resources Pty Ltd,,Bulloo Creek area approximately 30km northeast of Olary,116,Square Kilometres,2019-12-10T01:30:00Z,,2030-12-09T01:30:00Z,,,,"Cobalt, Copper, Gold",,,,,,,,,,140.634641,-32.1068145
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,5848,EL 5848,Active,Iron Genesis Pty Ltd,Heavy Rare Earths Limited,Mingary area approximately 40km northeast of Olary,354,Square Kilometres,2016-07-06T02:30:00Z,,2027-07-05T02:30:00Z,,,,Copper; Gold; Iron; Uranium,,,,,,,,,,140.8429505,-32.131824
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6915,EL 6915,Active,Trachre Pty Ltd,,Clayton Station area approximately 60km northeast of Marree,978,Square Kilometres,2023-06-09T02:30:00Z,,2029-06-08T02:30:00Z,,,,Uranium,,,,,,,,,,138.676297,-29.2151675
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,5964,EL 5964,Active,Havilah Resources Limited,Koba Resources Limited,Yalkalpo East area approximately 180km northeast of Olary,77,Square Kilometres,2017-05-11T02:30:00Z,,2028-05-10T02:30:00Z,,,,Uranium,,,,,,,,,,140.65129000000002,-30.856821
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6552,EL 6552,Active,Black Lake Pty Ltd,,Orroroo area approximately 40km northwest of Peterborough,280,Square Kilometres,2020-12-04T01:30:00Z,,2025-12-03T01:30:00Z,2025-11-26T01:30:00Z,,,Uranium,,,,,,,,,,138.676336,-32.623515
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,7118,EL 7118,Active,Mac Minerals Pty Ltd,,"Eringa area, approximately 170 km northeast of Mintabie",985.32,Square Kilometres,2026-04-14T02:30:00Z,,2032-04-13T02:30:00Z,,,,Uranium(),,,,,,,,,,134.917968,-26.806862000000002
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6412,EL 6412,Active,Menninnie Metals Pty Ltd,,Mount Ive area approximately 110km northwest of Kimba,394,Square Kilometres,2019-06-20T02:30:00Z,,2030-06-19T02:30:00Z,,,,"Copper, Gold, Lead, Silver, Tin, Tungsten, Zinc",,,,,,,,,,136.04303249999998,-32.4902075
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6324,EL 6324,Active,Tigers Dominion Group Pty Ltd,,McDouall Peak area approximately 95km southeast of Coober Pedy,137,Square Kilometres,2019-03-12T01:30:00Z,,2030-03-11T01:30:00Z,,,,"Base Metals, Copper, Gold",,,,,,,,,,135.659665,-29.481864
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6333,EL 6333,Active,PTR Minerals Ltd,,Mount Barry area approximately 50km northeast of Coober Pedy,641,Square Kilometres,2019-03-29T01:30:00Z,,2030-03-28T01:30:00Z,,,,Copper(); Gold(),,,,,,,,,,135.1763275,-28.706867000000003
mineral_and_or_opal_exploration_licence,EL,Exploration Licence,6167,EL 6167,Active,Tarcoola 2 Pty Ltd,,Cooladding area approximately 10km north of Tarcoola,12,Square Kilometres,2018-05-28T02:30:00Z,,2029-05-27T02:30:00Z,,,,"Copper, Gold, Silver",,,,,,,,,,134.57635449999998,-30.598546499999998
