application_category,application_type_code,application_type_desc,file_reference,project_name,applicants,location,application_received_date,legal_area,area_unit,commodities,mineral_type,mpl_purpose,prior_tenement,related_tenements,related_applications,native_title,outcome_or_status,outcome_date,resulting_tenement,longitude,latitude
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2023/00016,,Wanbanna Pty. Ltd.,Yalata area approximately 10km north-northeast of Nullarbor,2023-05-05T02:30:00Z,317,Square Kilometres,Base & Precious Metals,Unspecified,,,,,,,,,131.01806299999998,-31.290256499999998
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2016/00175,,Typhon Minerals Pty Ltd,Hanging Knoll area - approx 325 km NW of Marla,2016-12-12T01:30:00Z,583,Square Kilometres,"Copper,Silver,Vanadium,Zinc,Platinum,Cobalt,Gold,Lead,Nickel",Unspecified,,,,,,,,,130.4680055,-26.356899
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2017/00234,,Typhon Minerals Pty Ltd,Anangu Pitjantjatjara Yankunytjatjara area - approx 430 km WNW of Marla,2017-11-23T01:30:00Z,971,Square Kilometres,"Palladium,Vanadium,Cobalt,Nickel,Zinc,Platinum,Gold,Lead,Silver,Copper",Unspecified,,,,,,,,,129.393014,-26.348575
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2015/00191,,NiCul Minerals Limited,Krewinkel Hill area - approx 400 km WNW of Marla,2015-10-22T01:30:00Z,1256,Square Kilometres,"Precious Metals,Nickel,Copper,Base Metals",Unspecified,,,,,,,,,129.668015,-26.648572
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,ELA-01223,,Lagoon Creek Resources Pty Ltd,Quinyambie area approximately 380km northeast of Port Augusta,2026-06-19T02:30:00Z,918,Square Kilometres,Uranium,Unspecified,,,,,,,,,140.7590305,-30.0734815
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2013/00211,,Rifle Resources Pty Ltd,Ammaroodinna area - approx 50km SW of Marla,2013-12-10T01:30:00Z,999,Square Kilometres,"Base Metals,Gold",Unspecified,,,,,,,,,133.334625,-27.7152955
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2010/00121,,Spencer Metals Pty Ltd,Cowell area - approx 100km SW of Whyalla,2010-05-14T02:30:00Z,929,Square Kilometres,"Zinc,Lead,Copper,Uranium,Silver,Gold",Unspecified,,,,,,,,,137.10970600000002,-33.840203
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2010/00049,,Spencer Metals Pty Ltd,Mitchellville area - approx 30 km South of Whyalla,2010-02-28T01:30:00Z,964,Square Kilometres,"Silver,Lead,Zinc,Gold,Copper,Uranium",Unspecified,,,,,,,,,137.5537995,-33.4318635
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2010/00117,,Spencer Metals Pty Ltd,Port Pirie area - approx 15km SE of Whyalla,2010-05-15T02:30:00Z,941,Square Kilometres,"Uranium,Gold,Zinc,Copper,Lead,Silver",Unspecified,,,,,,,,,137.74717900000002,-33.045336500000005
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2017/00233,,Typhon Minerals Pty Ltd,Anangu Pitjantjatjara Yankunytjatjara area - approx 400 km WNW of Marla,2017-11-23T01:30:00Z,646,Square Kilometres,"Lead,Nickel,Palladium,Zinc,Gold,Platinum,Vanadium,Cobalt,Copper,Silver",Unspecified,,,,,,,,,129.7513395,-26.106905
