table,table_title,year,measure,age,sex,indigenous_status,remoteness,year_dollars,description1,description2,description3,description4,uncertainty,data_source,unit,jurisdiction,value
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,<50 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,Derived from CAA (unpublished),%,Qld,77.5
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,<50 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,Derived from CAA (unpublished),%,WA,77.5
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,<50 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,Derived from CAA (unpublished),%,SA,76.4
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,<50 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,Derived from CAA (unpublished),%,Tas,82.6
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,<50 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,Derived from CAA (unpublished),%,ACT,80.4
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,<50 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,Derived from CAA (unpublished),%,NT,85.4
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,<50 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,Derived from CAA (unpublished),%,Aust,79.5
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,All ages,All people,All people,All areas,,Ambulance service organisations,Operational workforce,Total full-time equivalent (FTE),,,CAA (unpublished),no.,NSW,5983
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,All ages,All people,All people,All areas,,Ambulance service organisations,Operational workforce,Total full-time equivalent (FTE),,,CAA (unpublished),no.,Vic,5252
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,All ages,All people,All people,All areas,,Ambulance service organisations,Operational workforce,Total full-time equivalent (FTE),,,CAA (unpublished),no.,Qld,4850
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,All ages,All people,All people,All areas,,Ambulance service organisations,Operational workforce,Total full-time equivalent (FTE),,,CAA (unpublished),no.,WA,1665
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,All ages,All people,All people,All areas,,Ambulance service organisations,Operational workforce,Total full-time equivalent (FTE),,,CAA (unpublished),no.,SA,1727
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,All ages,All people,All people,All areas,,Ambulance service organisations,Operational workforce,Total full-time equivalent (FTE),,,CAA (unpublished),no.,Tas,577
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,All ages,All people,All people,All areas,,Ambulance service organisations,Operational workforce,Total full-time equivalent (FTE),,,CAA (unpublished),no.,ACT,311
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,All ages,All people,All people,All areas,,Ambulance service organisations,Operational workforce,Total full-time equivalent (FTE),,,CAA (unpublished),no.,NT,211
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,All ages,All people,All people,All areas,,Ambulance service organisations,Operational workforce,Total full-time equivalent (FTE),,,CAA (unpublished),no.,Aust,20576
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,All ages,All people,All people,All areas,,Ambulance service organisations,Operational workforce,Exited the organisation during the year (FTE),,,CAA (unpublished),no.,NSW,260
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,All ages,All people,All people,All areas,,Ambulance service organisations,Operational workforce,Exited the organisation during the year (FTE),,,CAA (unpublished),no.,Vic,248
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,All ages,All people,All people,All areas,,Ambulance service organisations,Operational workforce,Exited the organisation during the year (FTE),,,CAA (unpublished),no.,Qld,126
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,All ages,All people,All people,All areas,,Ambulance service organisations,Operational workforce,Exited the organisation during the year (FTE),,,CAA (unpublished),no.,WA,70
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,All ages,All people,All people,All areas,,Ambulance service organisations,Operational workforce,Exited the organisation during the year (FTE),,,CAA (unpublished),no.,SA,56
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,All ages,All people,All people,All areas,,Ambulance service organisations,Operational workforce,Exited the organisation during the year (FTE),,,CAA (unpublished),no.,Tas,13
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,All ages,All people,All people,All areas,,Ambulance service organisations,Operational workforce,Exited the organisation during the year (FTE),,,CAA (unpublished),no.,ACT,16
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,All ages,All people,All people,All areas,,Ambulance service organisations,Operational workforce,Exited the organisation during the year (FTE),,,CAA (unpublished),no.,NT,49
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,All ages,All people,All people,All areas,,Ambulance service organisations,Operational workforce,Exited the organisation during the year (FTE),,,CAA (unpublished),no.,Aust,837
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,All ages,All people,All people,All areas,,Ambulance service organisations,Operational workforce,Attrition rate,,,Derived from CAA (unpublished),%,NSW,4.3
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,All ages,All people,All people,All areas,,Ambulance service organisations,Operational workforce,Attrition rate,,,Derived from CAA (unpublished),%,Vic,4.7
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,All ages,All people,All people,All areas,,Ambulance service organisations,Operational workforce,Attrition rate,,,Derived from CAA (unpublished),%,Qld,2.6
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,All ages,All people,All people,All areas,,Ambulance service organisations,Operational workforce,Attrition rate,,,Derived from CAA (unpublished),%,WA,4.2
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,All ages,All people,All people,All areas,,Ambulance service organisations,Operational workforce,Attrition rate,,,Derived from CAA (unpublished),%,SA,3.2
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,All ages,All people,All people,All areas,,Ambulance service organisations,Operational workforce,Attrition rate,,,Derived from CAA (unpublished),%,Tas,2.3
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,All ages,All people,All people,All areas,,Ambulance service organisations,Operational workforce,Attrition rate,,,Derived from CAA (unpublished),%,ACT,5.3
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,All ages,All people,All people,All areas,,Ambulance service organisations,Operational workforce,Attrition rate,,,Derived from CAA (unpublished),%,NT,23.3
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2024-25,Operational workforce; by age group and attrition,All ages,All people,All people,All areas,,Ambulance service organisations,Operational workforce,Attrition rate,,,Derived from CAA (unpublished),%,Aust,4.1
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2023-24,Operational workforce; by age group and attrition,<30 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,NSW,1991
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2023-24,Operational workforce; by age group and attrition,<30 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,Vic,1429
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2023-24,Operational workforce; by age group and attrition,<30 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,Qld,1569
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2023-24,Operational workforce; by age group and attrition,<30 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,WA,408
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2023-24,Operational workforce; by age group and attrition,<30 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,SA,534
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2023-24,Operational workforce; by age group and attrition,<30 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,Tas,144
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2023-24,Operational workforce; by age group and attrition,<30 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,ACT,97
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2023-24,Operational workforce; by age group and attrition,<30 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,NT,82
11A.9,"Ambulance service organisations' operational workforce, by age group and attrition",2023-24,Operational workforce; by age group and attrition,<30 years old,All people,All people,All areas,,Ambulance service organisations,Operational workforce,,,,CAA (unpublished),no.,Aust,6254
