table,table_title,year,measure,age,sex,indigenous_status,remoteness,year_dollars,description1,description2,description3,description4,uncertainty,data_source,unit,jurisdiction,value
11A.12,Adult cardiac arrest survival rate,2024-25,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Non-paramedic witnessed,Total adult VF/VT cardiac arrests,,,CAA (unpublished),no.,Tas,87
11A.12,Adult cardiac arrest survival rate,2024-25,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Non-paramedic witnessed,Total adult VF/VT cardiac arrests,,,CAA (unpublished),no.,ACT,14
11A.12,Adult cardiac arrest survival rate,2024-25,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Non-paramedic witnessed,Total adult VF/VT cardiac arrests,,,CAA (unpublished),no.,NT,13
11A.12,Adult cardiac arrest survival rate,2024-25,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Non-paramedic witnessed,Total adult VF/VT cardiac arrests,,,CAA (unpublished),no.,Aust,2120
11A.12,Adult cardiac arrest survival rate,2023-24,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Paramedic witnessed,Adult cardiac arrest survival rate,,,Derived from CAA (unpublished),%,NSW,44.5
11A.12,Adult cardiac arrest survival rate,2023-24,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Paramedic witnessed,Adult cardiac arrest survival rate,,,Derived from CAA (unpublished),%,Vic,54.7
11A.12,Adult cardiac arrest survival rate,2023-24,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Paramedic witnessed,Adult cardiac arrest survival rate,,,Derived from CAA (unpublished),%,Qld,61.9
11A.12,Adult cardiac arrest survival rate,2023-24,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Paramedic witnessed,Adult cardiac arrest survival rate,,,Derived from CAA (unpublished),%,WA,38.6
11A.12,Adult cardiac arrest survival rate,2023-24,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Paramedic witnessed,Adult cardiac arrest survival rate,,,Derived from CAA (unpublished),%,SA,29.5
11A.12,Adult cardiac arrest survival rate,2023-24,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Paramedic witnessed,Adult cardiac arrest survival rate,,,Derived from CAA (unpublished),%,Tas,46.2
11A.12,Adult cardiac arrest survival rate,2023-24,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Paramedic witnessed,Adult cardiac arrest survival rate,,,Derived from CAA (unpublished),%,ACT,58.8
11A.12,Adult cardiac arrest survival rate,2023-24,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Paramedic witnessed,Adult cardiac arrest survival rate,,,Derived from CAA (unpublished),%,NT,70.0
11A.12,Adult cardiac arrest survival rate,2023-24,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Paramedic witnessed,Adult cardiac arrest survival rate,,,Derived from CAA (unpublished),%,Aust,49.0
11A.12,Adult cardiac arrest survival rate,2023-24,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Paramedic witnessed,Total adult cardiac arrests,,,CAA (unpublished),no.,NSW,506
11A.12,Adult cardiac arrest survival rate,2023-24,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Paramedic witnessed,Total adult cardiac arrests,,,CAA (unpublished),no.,Vic,327
11A.12,Adult cardiac arrest survival rate,2023-24,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Paramedic witnessed,Total adult cardiac arrests,,,CAA (unpublished),no.,Qld,226
11A.12,Adult cardiac arrest survival rate,2023-24,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Paramedic witnessed,Total adult cardiac arrests,,,CAA (unpublished),no.,WA,127
11A.12,Adult cardiac arrest survival rate,2023-24,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Paramedic witnessed,Total adult cardiac arrests,,,CAA (unpublished),no.,SA,78
11A.12,Adult cardiac arrest survival rate,2023-24,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Paramedic witnessed,Total adult cardiac arrests,,,CAA (unpublished),no.,Tas,26
11A.12,Adult cardiac arrest survival rate,2023-24,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Paramedic witnessed,Total adult cardiac arrests,,,CAA (unpublished),no.,ACT,17
11A.12,Adult cardiac arrest survival rate,2023-24,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Paramedic witnessed,Total adult cardiac arrests,,,CAA (unpublished),no.,NT,10
11A.12,Adult cardiac arrest survival rate,2023-24,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Paramedic witnessed,Total adult cardiac arrests,,,CAA (unpublished),no.,Aust,1317
11A.12,Adult cardiac arrest survival rate,2023-24,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Non-paramedic witnessed,Adult cardiac arrest survival rate where resuscitation attempted,,,Derived from CAA (unpublished),%,NSW,21.7
11A.12,Adult cardiac arrest survival rate,2023-24,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Non-paramedic witnessed,Adult cardiac arrest survival rate where resuscitation attempted,,,Derived from CAA (unpublished),%,Vic,31.0
11A.12,Adult cardiac arrest survival rate,2023-24,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Non-paramedic witnessed,Adult cardiac arrest survival rate where resuscitation attempted,,,Derived from CAA (unpublished),%,Qld,27.9
11A.12,Adult cardiac arrest survival rate,2023-24,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Non-paramedic witnessed,Adult cardiac arrest survival rate where resuscitation attempted,,,Derived from CAA (unpublished),%,WA,21.5
11A.12,Adult cardiac arrest survival rate,2023-24,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Non-paramedic witnessed,Adult cardiac arrest survival rate where resuscitation attempted,,,Derived from CAA (unpublished),%,SA,27.3
11A.12,Adult cardiac arrest survival rate,2023-24,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Non-paramedic witnessed,Adult cardiac arrest survival rate where resuscitation attempted,,,Derived from CAA (unpublished),%,Tas,33.0
11A.12,Adult cardiac arrest survival rate,2023-24,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Non-paramedic witnessed,Adult cardiac arrest survival rate where resuscitation attempted,,,Derived from CAA (unpublished),%,ACT,34.0
11A.12,Adult cardiac arrest survival rate,2023-24,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Non-paramedic witnessed,Adult cardiac arrest survival rate where resuscitation attempted,,,Derived from CAA (unpublished),%,NT,16.7
11A.12,Adult cardiac arrest survival rate,2023-24,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Non-paramedic witnessed,Adult cardiac arrest survival rate where resuscitation attempted,,,Derived from CAA (unpublished),%,Aust,25.9
11A.12,Adult cardiac arrest survival rate,2023-24,Cardiac arrest survival rate,Adults,All people,All people,All areas,,Cardiac arrests,Non-paramedic witnessed,Total adult cardiac arrests where resuscitation attempted,,,CAA (unpublished),no.,NSW,2470
