table,table_title,year,measure,age,sex,indigenous_status,remoteness,year_dollars,description1,description2,description3,description4,uncertainty,data_source,unit,jurisdiction,value
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2018-19,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Transport fees,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,SA,132.9
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2018-19,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Subscriptions and other income,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,SA,47.5
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2018-19,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,SA,378.7
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2018-19,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,Per person in the population,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December,$,SA,215.68
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2017-18,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Government grants,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,SA,203.8
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2017-18,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Transport fees,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,SA,125.5
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2017-18,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Subscriptions and other income,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,SA,47.8
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2017-18,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,SA,377.1
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2017-18,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,Per person in the population,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December,$,SA,217.25
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2016-17,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Government grants,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,SA,187.3
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2016-17,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Transport fees,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,SA,127.0
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2016-17,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Subscriptions and other income,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,SA,42.4
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2016-17,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,SA,356.7
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2016-17,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Total revenue,Per person in the population,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product; ABS National state and territory population - December,$,SA,207.41
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2015-16,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Government grants,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,SA,161.8
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2015-16,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Transport fees,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,SA,121.6
11A.1,"Ambulance service organisations' revenue, 2024-25 dollars",2015-16,Revenue sources,All ages,All people,All people,All areas,2024-25 dollars,Ambulance service organisations,Revenue sources,Subscriptions and other income,,,Derived from CAA (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$m,SA,47.3
