ReportDt,StateCd,RsdsInSrvcDstrctNm,LGANm2020,PrtcpntCnt
31MAR2025,VIC,Inner Gippsland,Baw Baw (S),1944
31MAR2025,VIC,Inner Gippsland,Latrobe (C) (Vic.),3304
31MAR2025,VIC,Inner Gippsland,South Gippsland (S),820
31MAR2025,VIC,Loddon,Campaspe (S),1299
31MAR2025,VIC,Loddon,Central Goldfields (S),550
31MAR2025,VIC,Loddon,Greater Bendigo (C),5741
31MAR2025,VIC,Loddon,Loddon (S),186
31MAR2025,VIC,Loddon,Macedon Ranges (S),1658
31MAR2025,VIC,Loddon,Mount Alexander (S),684
31MAR2025,VIC,Mallee,Buloke (S),149
31MAR2025,VIC,Mallee,Gannawarra (S),258
31MAR2025,VIC,Mallee,Mildura (RC),2238
31MAR2025,VIC,Mallee,Swan Hill (RC),690
31MAR2025,VIC,North East Melbourne,Banyule (C),3658
31MAR2025,VIC,North East Melbourne,Darebin (C),4221
31MAR2025,VIC,North East Melbourne,Nillumbik (S),1679
31MAR2025,VIC,North East Melbourne,Whittlesea (C),7003
31MAR2025,VIC,North East Melbourne,Yarra (C),1723
31MAR2025,VIC,Other,Other,<11
31MAR2025,VIC,Other,Unincorporated Vic,<11
31MAR2025,VIC,Outer East Melbourne,Knox (C),4406
31MAR2025,VIC,Outer East Melbourne,Maroondah (C),4022
31MAR2025,VIC,Outer East Melbourne,Yarra Ranges (S),4982
31MAR2025,VIC,Outer Gippsland,East Gippsland (S),1606
31MAR2025,VIC,Outer Gippsland,Wellington (S),1481
31MAR2025,VIC,Ovens Murray,Alpine (S),258
31MAR2025,VIC,Ovens Murray,Benalla (RC),497
31MAR2025,VIC,Ovens Murray,Indigo (S),491
31MAR2025,VIC,Ovens Murray,Mansfield (S),202
31MAR2025,VIC,Ovens Murray,Towong (S),167
31MAR2025,VIC,Ovens Murray,Wangaratta (RC),1087
31MAR2025,VIC,Ovens Murray,Wodonga (C),2066
31MAR2025,VIC,Southern Melbourne,Cardinia (S),3830
31MAR2025,VIC,Southern Melbourne,Casey (C),10836
31MAR2025,VIC,Southern Melbourne,Greater Dandenong (C),4102
31MAR2025,VIC,Western District,Corangamite (S),494
31MAR2025,VIC,Western District,Glenelg (S),632
31MAR2025,VIC,Western District,Hindmarsh (S),137
31MAR2025,VIC,Western District,Horsham (RC),733
31MAR2025,VIC,Western District,Moyne (S),424
31MAR2025,VIC,Western District,Northern Grampians (S),353
31MAR2025,VIC,Western District,Southern Grampians (S),508
31MAR2025,VIC,Western District,Warrnambool (C),1454
31MAR2025,VIC,Western District,West Wimmera (S),72
31MAR2025,VIC,Western District,Yarriambiack (S),211
31MAR2025,VIC,Western Melbourne,Hobsons Bay (C),2645
31MAR2025,VIC,Western Melbourne,Maribyrnong (C),2393
31MAR2025,VIC,Western Melbourne,Melbourne (C),1794
31MAR2025,VIC,Western Melbourne,Moonee Valley (C),2924
31MAR2025,VIC,Western Melbourne,Wyndham (C),9588
31MAR2025,WA,Barkly,Barkly (R),<11
31MAR2025,WA,Central North Metro,Cambridge (T),434
31MAR2025,WA,Central North Metro,Claremont (T),197
31MAR2025,WA,Central North Metro,Cottesloe (T),78
31MAR2025,WA,Central North Metro,Mosman Park (T),141
31MAR2025,WA,Central North Metro,Nedlands (C),411
31MAR2025,WA,Central North Metro,Peppermint Grove (S),12
31MAR2025,WA,Central North Metro,Perth (C),353
31MAR2025,WA,Central North Metro,Stirling (C),4456
31MAR2025,WA,Central North Metro,Subiaco (C),280
31MAR2025,WA,Central North Metro,Vincent (C),630
31MAR2025,WA,Central South Metro,Cockburn (C),2921
31MAR2025,WA,Central South Metro,East Fremantle (T),101
31MAR2025,WA,Central South Metro,Fremantle (C),682
31MAR2025,WA,Central South Metro,Kwinana (C),1530
31MAR2025,WA,Central South Metro,Melville (C),1929
31MAR2025,WA,Central South Metro,South Perth (C),714
31MAR2025,WA,Goldfields-Esperance,Coolgardie (S),68
31MAR2025,WA,Goldfields-Esperance,Dundas (S),14
31MAR2025,WA,Goldfields-Esperance,Esperance (S),320
31MAR2025,WA,Goldfields-Esperance,Kalgoorlie/Boulder (C),563
31MAR2025,WA,Goldfields-Esperance,Laverton (S),<11
31MAR2025,WA,Goldfields-Esperance,Leonora (S),13
31MAR2025,WA,Goldfields-Esperance,Menzies (S),<11
31MAR2025,WA,Goldfields-Esperance,Ngaanyatjarraku (S),39
31MAR2025,WA,Goldfields-Esperance,Ravensthorpe (S),26
31MAR2025,WA,Great Southern,Albany (C),1048
31MAR2025,WA,Great Southern,Broomehill-Tambellup (S),30
31MAR2025,WA,Great Southern,Cranbrook (S),28
31MAR2025,WA,Great Southern,Denmark (S),113
31MAR2025,WA,Great Southern,Gnowangerup (S),20
31MAR2025,WA,Great Southern,Jerramungup (S),15
31MAR2025,WA,Great Southern,Katanning (S),75
31MAR2025,WA,Great Southern,Kent (S),<11
31MAR2025,WA,Great Southern,Kojonup (S),25
31MAR2025,WA,Great Southern,Plantagenet (S),109
31MAR2025,WA,Great Southern,Woodanilling (S),<11
31MAR2025,WA,Kimberley-Pilbara,Ashburton (S),95
31MAR2025,WA,Kimberley-Pilbara,Broome (S),496
31MAR2025,WA,Kimberley-Pilbara,Derby-West Kimberley (S),221
31MAR2025,WA,Kimberley-Pilbara,East Pilbara (S),98
31MAR2025,WA,Kimberley-Pilbara,Halls Creek (S),96
31MAR2025,WA,Kimberley-Pilbara,Karratha (C),459
31MAR2025,WA,Kimberley-Pilbara,Port Hedland (T),270
31MAR2025,WA,Kimberley-Pilbara,Wyndham-East Kimberley (S),181
31MAR2025,WA,Midwest-Gascoyne,Carnamah (S),14
31MAR2025,WA,Midwest-Gascoyne,Carnarvon (S),89
31MAR2025,WA,Midwest-Gascoyne,Chapman Valley (S),34
31MAR2025,WA,Midwest-Gascoyne,Coorow (S),12
31MAR2025,WA,Midwest-Gascoyne,Cue (S),<11
31MAR2025,WA,Midwest-Gascoyne,Exmouth (S),31
31MAR2025,WA,Midwest-Gascoyne,Greater Geraldton (C),1203
31MAR2025,WA,Midwest-Gascoyne,Irwin (S),67
31MAR2025,WA,Midwest-Gascoyne,Meekatharra (S),<11
31MAR2025,WA,Midwest-Gascoyne,Mingenew (S),<11
31MAR2025,WA,Midwest-Gascoyne,Morawa (S),14
31MAR2025,WA,Midwest-Gascoyne,Mount Magnet (S),20
31MAR2025,WA,Midwest-Gascoyne,Murchison (S),<11
31MAR2025,WA,Midwest-Gascoyne,Northampton (S),68
31MAR2025,WA,Midwest-Gascoyne,Perenjori (S),<11
31MAR2025,WA,Midwest-Gascoyne,Shark Bay (S),<11
31MAR2025,WA,Midwest-Gascoyne,Three Springs (S),<11
31MAR2025,WA,Midwest-Gascoyne,Wiluna (S),<11
31MAR2025,WA,Midwest-Gascoyne,Yalgoo (S),<11
31MAR2025,WA,North East Metro,Bassendean (T),554
31MAR2025,WA,North East Metro,Bayswater (C),1468
31MAR2025,WA,North East Metro,Kalamunda (C),1419
31MAR2025,WA,North East Metro,Mundaring (S),1024
31MAR2025,WA,North East Metro,Swan (C),4817
31MAR2025,WA,North Metro,Joondalup (C),3235
31MAR2025,WA,North Metro,Wanneroo (C),5522
31MAR2025,WA,Other,Anangu Pitjantjatjara (AC),23
31MAR2025,WA,Other,Central Desert (R),<11
31MAR2025,WA,Other,MacDonnell (R),35
31MAR2025,WA,Other,Other,<11
31MAR2025,WA,Other,Unincorp. Other Territories,<11
31MAR2025,WA,Other,Unincorporated NT,<11
31MAR2025,WA,South East Metro,Belmont (C),907
31MAR2025,WA,South East Metro,Canning (C),2053
31MAR2025,WA,South East Metro,Gosnells (C),3356
31MAR2025,WA,South East Metro,Victoria Park (T),782
31MAR2025,WA,South Metro,Armadale (C),2738
31MAR2025,WA,South Metro,Mandurah (C),2399
31MAR2025,WA,South Metro,Murray (S),480
31MAR2025,WA,South Metro,Rockingham (C),3943
31MAR2025,WA,South Metro,Serpentine-Jarrahdale (S),817
31MAR2025,WA,South West,Augusta-Margaret River (S),381
31MAR2025,WA,South West,Boyup Brook (S),31
31MAR2025,WA,South West,Bridgetown-Greenbushes (S),175
31MAR2025,WA,South West,Bunbury (C),1067
31MAR2025,WA,South West,Busselton (C),1037
31MAR2025,WA,South West,Capel (S),485
31MAR2025,WA,South West,Collie (S),251
31MAR2025,WA,South West,Dardanup (S),367
31MAR2025,WA,South West,Donnybrook-Balingup (S),163
31MAR2025,WA,South West,Harvey (S),674
31MAR2025,WA,South West,Manjimup (S),244
31MAR2025,WA,South West,Nannup (S),20
31MAR2025,WA,South West,Waroona (S),74
31MAR2025,WA,Wheat Belt,Beverley (S),31
31MAR2025,WA,Wheat Belt,Boddington (S),28
31MAR2025,WA,Wheat Belt,Brookton (S),22
31MAR2025,WA,Wheat Belt,Bruce Rock (S),17
31MAR2025,WA,Wheat Belt,Chittering (S),133
31MAR2025,WA,Wheat Belt,Corrigin (S),13
31MAR2025,WA,Wheat Belt,Cuballing (S),19
31MAR2025,WA,Wheat Belt,Cunderdin (S),29
31MAR2025,WA,Wheat Belt,Dalwallinu (S),15
31MAR2025,WA,Wheat Belt,Dandaragan (S),47
31MAR2025,WA,Wheat Belt,Dowerin (S),15
31MAR2025,WA,Wheat Belt,Dumbleyung (S),<11
31MAR2025,WA,Wheat Belt,Gingin (S),104
31MAR2025,WA,Wheat Belt,Goomalling (S),15
31MAR2025,WA,Wheat Belt,Kellerberrin (S),20
31MAR2025,WA,Wheat Belt,Kondinin (S),11
31MAR2025,WA,Wheat Belt,Koorda (S),<11
31MAR2025,WA,Wheat Belt,Kulin (S),<11
31MAR2025,WA,Wheat Belt,Lake Grace (S),15
31MAR2025,WA,Wheat Belt,Merredin (S),60
31MAR2025,WA,Wheat Belt,Moora (S),45
31MAR2025,WA,Wheat Belt,Mount Marshall (S),<11
31MAR2025,WA,Wheat Belt,Mukinbudin (S),<11
31MAR2025,WA,Wheat Belt,Narembeen (S),<11
31MAR2025,WA,Wheat Belt,Narrogin (S),95
31MAR2025,WA,Wheat Belt,Northam (S),328
31MAR2025,WA,Wheat Belt,Nungarin (S),<11
31MAR2025,WA,Wheat Belt,Pingelly (S),35
31MAR2025,WA,Wheat Belt,Quairading (S),18
31MAR2025,WA,Wheat Belt,Tammin (S),<11
31MAR2025,WA,Wheat Belt,Toodyay (S),88
31MAR2025,WA,Wheat Belt,Trayning (S),<11
31MAR2025,WA,Wheat Belt,Victoria Plains (S),12
31MAR2025,WA,Wheat Belt,Wagin (S),20
31MAR2025,WA,Wheat Belt,Wandering (S),<11
31MAR2025,WA,Wheat Belt,West Arthur (S),<11
31MAR2025,WA,Wheat Belt,Westonia (S),<11
31MAR2025,WA,Wheat Belt,Wickepin (S),13
31MAR2025,WA,Wheat Belt,Williams (S),14
31MAR2025,WA,Wheat Belt,Wongan-Ballidu (S),21
31MAR2025,WA,Wheat Belt,Wyalkatchem (S),12
31MAR2025,WA,Wheat Belt,Yilgarn (S),19
31MAR2025,WA,Wheat Belt,York (S),84
31DEC2024,ACT,ACT,Unincorporated ACT,11299
31DEC2024,ACT,Other,Other,<11
31DEC2024,MIS,Other,Other,16
31DEC2024,NSW,ACT,Unincorporated ACT,<11
31DEC2024,NSW,Central Coast,Central Coast (C) (NSW),11758
31DEC2024,NSW,Far West,Balranald (A),65
31DEC2024,NSW,Far West,Broken Hill (C),661
31DEC2024,NSW,Far West,Central Darling (A),36
31DEC2024,NSW,Far West,Wentworth (A),198
31DEC2024,NSW,Hunter New England,Armidale Regional (A),838
31DEC2024,NSW,Hunter New England,Cessnock (C),2705
31DEC2024,NSW,Hunter New England,Dungog (A),290
31DEC2024,NSW,Hunter New England,Glen Innes Severn (A),218
31DEC2024,NSW,Hunter New England,Gunnedah (A),367
31DEC2024,NSW,Hunter New England,Gwydir (A),89
31DEC2024,NSW,Hunter New England,Inverell (A),556
31DEC2024,NSW,Hunter New England,Lake Macquarie (C),7952
31DEC2024,NSW,Hunter New England,Liverpool Plains (A),199
31DEC2024,NSW,Hunter New England,Maitland (C),4450
31DEC2024,NSW,Hunter New England,Mid-Coast (A),2997
31DEC2024,NSW,Hunter New England,Moree Plains (A),295
31DEC2024,NSW,Hunter New England,Muswellbrook (A),606
31DEC2024,NSW,Hunter New England,Narrabri (A),298
31DEC2024,NSW,Hunter New England,Newcastle (C),5921
31DEC2024,NSW,Hunter New England,Port Stephens (A),2603
31DEC2024,NSW,Hunter New England,Singleton (A),780
31DEC2024,NSW,Hunter New England,Tamworth Regional (A),2140
31DEC2024,NSW,Hunter New England,Tenterfield (A),138
31DEC2024,NSW,Hunter New England,Upper Hunter Shire (A),313
31DEC2024,NSW,Hunter New England,Uralla (A),161
31DEC2024,NSW,Hunter New England,Walcha (A),39
31DEC2024,NSW,Illawarra Shoalhaven,Kiama (A),363
31DEC2024,NSW,Illawarra Shoalhaven,Shellharbour (C),2406
31DEC2024,NSW,Illawarra Shoalhaven,Shoalhaven (C),3225
31DEC2024,NSW,Illawarra Shoalhaven,Wollongong (C),5878
31DEC2024,NSW,Mid North Coast,Bellingen (A),378
31DEC2024,NSW,Mid North Coast,Coffs Harbour (C),2515
31DEC2024,NSW,Mid North Coast,Kempsey (A),1454
31DEC2024,NSW,Mid North Coast,Nambucca Valley (A),736
31DEC2024,NSW,Mid North Coast,Port Macquarie-Hastings (A),3482
31DEC2024,NSW,Murrumbidgee,Albury (C),2275
31DEC2024,NSW,Murrumbidgee,Berrigan (A),209
31DEC2024,NSW,Murrumbidgee,Bland (A),96
31DEC2024,NSW,Murrumbidgee,Carrathool (A),43
31DEC2024,NSW,Murrumbidgee,Coolamon (A),112
31DEC2024,NSW,Murrumbidgee,Cootamundra-Gundagai Regional (A),322
31DEC2024,NSW,Murrumbidgee,Edward River (A),276
31DEC2024,NSW,Murrumbidgee,Federation (A),361
31DEC2024,NSW,Murrumbidgee,Greater Hume Shire (A),375
31DEC2024,NSW,Murrumbidgee,Griffith (C),555
31DEC2024,NSW,Murrumbidgee,Hay (A),70
31DEC2024,NSW,Murrumbidgee,Hilltops (A),562
31DEC2024,NSW,Murrumbidgee,Junee (A),188
31DEC2024,NSW,Murrumbidgee,Leeton (A),286
31DEC2024,NSW,Murrumbidgee,Lockhart (A),98
31DEC2024,NSW,Murrumbidgee,Murray River (A),244
31DEC2024,NSW,Murrumbidgee,Murrumbidgee (A),68
31DEC2024,NSW,Murrumbidgee,Narrandera (A),188
31DEC2024,NSW,Murrumbidgee,Snowy Valleys (A),366
31DEC2024,NSW,Murrumbidgee,Temora (A),146
31DEC2024,NSW,Murrumbidgee,Wagga Wagga (C),2222
31DEC2024,NSW,Nepean Blue Mountains,Blue Mountains (C),2458
31DEC2024,NSW,Nepean Blue Mountains,Hawkesbury (C),1753
31DEC2024,NSW,Nepean Blue Mountains,Lithgow (C),659
31DEC2024,NSW,Nepean Blue Mountains,Penrith (C),7333
31DEC2024,NSW,North Sydney,Hornsby (A),2824
31DEC2024,NSW,North Sydney,Hunters Hill (A),194
31DEC2024,NSW,North Sydney,Ku-ring-gai (A),1750
31DEC2024,NSW,North Sydney,Lane Cove (A),547
31DEC2024,NSW,North Sydney,Mosman (A),256
31DEC2024,NSW,North Sydney,North Sydney (A),680
31DEC2024,NSW,North Sydney,Northern Beaches (A),4066
31DEC2024,NSW,North Sydney,Ryde (C),2446
31DEC2024,NSW,North Sydney,Willoughby (C),993
31DEC2024,NSW,Northern NSW,Ballina (A),1527
31DEC2024,NSW,Northern NSW,Byron (A),739
31DEC2024,NSW,Northern NSW,Clarence Valley (A),1777
31DEC2024,NSW,Northern NSW,Kyogle (A),274
31DEC2024,NSW,Northern NSW,Lismore (C),1846
31DEC2024,NSW,Northern NSW,Richmond Valley (A),909
31DEC2024,NSW,Northern NSW,Tweed (A),2859
31DEC2024,NSW,Other,Other,<11
31DEC2024,NSW,Other,Unincorp. Other Territories,11
31DEC2024,NSW,Other,Unincorporated NSW,13
31DEC2024,NSW,South Eastern Sydney,Bayside (A),3014
31DEC2024,NSW,South Eastern Sydney,Georges River (A),2639
31DEC2024,NSW,South Eastern Sydney,Randwick (C),2435
31DEC2024,NSW,South Eastern Sydney,Sutherland Shire (A),4647
31DEC2024,NSW,South Eastern Sydney,Waverley (A),777
31DEC2024,NSW,South Eastern Sydney,Woollahra (A),491
31DEC2024,NSW,South Western Sydney,Camden (A),3673
31DEC2024,NSW,South Western Sydney,Campbelltown (C) (NSW),6249
31DEC2024,NSW,South Western Sydney,Canterbury-Bankstown (A),8557
31DEC2024,NSW,South Western Sydney,Fairfield (C),4790
31DEC2024,NSW,South Western Sydney,Liverpool (C),6286
31DEC2024,NSW,South Western Sydney,Wingecarribee (A),1152
31DEC2024,NSW,South Western Sydney,Wollondilly (A),1536
31DEC2024,NSW,Southern NSW,Bega Valley (A),970
31DEC2024,NSW,Southern NSW,Eurobodalla (A),1079
31DEC2024,NSW,Southern NSW,Goulburn Mulwaree (A),1168
31DEC2024,NSW,Southern NSW,Queanbeyan-Palerang Regional (A),1444
31DEC2024,NSW,Southern NSW,Snowy Monaro Regional (A),399
31DEC2024,NSW,Southern NSW,Upper Lachlan Shire (A),189
31DEC2024,NSW,Southern NSW,Yass Valley (A),420
31DEC2024,NSW,Sydney,Burwood (A),566
31DEC2024,NSW,Sydney,Canada Bay (A),1247
31DEC2024,NSW,Sydney,Inner West (A),3115
31DEC2024,NSW,Sydney,Strathfield (A),624
31DEC2024,NSW,Sydney,Sydney (C),2431
31DEC2024,NSW,Western NSW,Bathurst Regional (A),1361
31DEC2024,NSW,Western NSW,Blayney (A),162
31DEC2024,NSW,Western NSW,Bogan (A),79
31DEC2024,NSW,Western NSW,Bourke (A),90
31DEC2024,NSW,Western NSW,Brewarrina (A),29
31DEC2024,NSW,Western NSW,Cabonne (A),283
31DEC2024,NSW,Western NSW,Cobar (A),92
31DEC2024,NSW,Western NSW,Coonamble (A),168
31DEC2024,NSW,Western NSW,Cowra (A),388
31DEC2024,NSW,Western NSW,Dubbo Regional (A),1724
31DEC2024,NSW,Western NSW,Forbes (A),251
31DEC2024,NSW,Western NSW,Gilgandra (A),131
31DEC2024,NSW,Western NSW,Lachlan (A),143
31DEC2024,NSW,Western NSW,Mid-Western Regional (A),670
31DEC2024,NSW,Western NSW,Narromine (A),194
31DEC2024,NSW,Western NSW,Oberon (A),105
31DEC2024,NSW,Western NSW,Orange (C),1643
31DEC2024,NSW,Western NSW,Parkes (A),382
31DEC2024,NSW,Western NSW,Walgett (A),147
31DEC2024,NSW,Western NSW,Warren (A),59
31DEC2024,NSW,Western NSW,Warrumbungle Shire (A),246
31DEC2024,NSW,Western NSW,Weddin (A),76
31DEC2024,NSW,Western Sydney,Blacktown (C),11357
31DEC2024,NSW,Western Sydney,Cumberland (A),5510
31DEC2024,NSW,Western Sydney,Parramatta (C),4722
31DEC2024,NSW,Western Sydney,The Hills Shire (A),3592
31DEC2024,NT,Barkly,Barkly (R),150
31DEC2024,NT,Central Australia,Alice Springs (T),860
31DEC2024,NT,Central Australia,Central Desert (R),78
31DEC2024,NT,Central Australia,MacDonnell (R),122
31DEC2024,NT,Darwin Remote,Roper Gulf (R),157
31DEC2024,NT,Darwin Remote,Tiwi Islands (R),105
31DEC2024,NT,Darwin Remote,Victoria Daly (R),61
31DEC2024,NT,Darwin Remote,West Arnhem (R),172
31DEC2024,NT,Darwin Remote,West Daly (R),70
31DEC2024,NT,Darwin Urban,Belyuen (S),<11
31DEC2024,NT,Darwin Urban,Coomalie (S),24
31DEC2024,NT,Darwin Urban,Darwin (C),1849
31DEC2024,NT,Darwin Urban,Litchfield (M),456
31DEC2024,NT,Darwin Urban,Palmerston (C),1252
31DEC2024,NT,Darwin Urban,Wagait (S),<11
31DEC2024,NT,East Arnhem,East Arnhem (R),256
31DEC2024,NT,Katherine,Katherine (T),385
31DEC2024,NT,Other,Anangu Pitjantjatjara (AC),51
31DEC2024,NT,Other,East Pilbara (S),<11
31DEC2024,NT,Other,Ngaanyatjarraku (S),<11
31DEC2024,NT,Other,Other,<11
31DEC2024,NT,Other,Unincorporated NT,191
31DEC2024,NT,Townsville,Boulia (S),<11
31DEC2024,NT,Townsville,Cloncurry (S),<11
31DEC2024,OT,Other,Unincorp. Other Territories,75
31DEC2024,QLD,Beenleigh,Logan (C),12529
31DEC2024,QLD,Beenleigh,Redland (C),4953
31DEC2024,QLD,Brisbane,Brisbane (C),27393
31DEC2024,QLD,Bundaberg,Bundaberg (R),3937
31DEC2024,QLD,Caboolture/Strathpine,Moreton Bay (R),16946
31DEC2024,QLD,Cairns,Aurukun (S),70
31DEC2024,QLD,Cairns,Cairns (R),4565
31DEC2024,QLD,Cairns,Cassowary Coast (R),680
31DEC2024,QLD,Cairns,Cook (S),65
31DEC2024,QLD,Cairns,Croydon (S),<11
31DEC2024,QLD,Cairns,Douglas (S),234
31DEC2024,QLD,Cairns,Etheridge (S),<11
31DEC2024,QLD,Cairns,Hope Vale (S),26
31DEC2024,QLD,Cairns,Kowanyama (S),34
31DEC2024,QLD,Cairns,Lockhart River (S),14
31DEC2024,QLD,Cairns,Mapoon (S),12
31DEC2024,QLD,Cairns,Mareeba (S),543
31DEC2024,QLD,Cairns,Napranum (S),24
31DEC2024,QLD,Cairns,Northern Peninsula Area (R),64
31DEC2024,QLD,Cairns,Pormpuraaw (S),28
31DEC2024,QLD,Cairns,Tablelands (R),683
31DEC2024,QLD,Cairns,Torres (S),66
31DEC2024,QLD,Cairns,Torres Strait Island (R),65
31DEC2024,QLD,Cairns,Weipa (T),61
31DEC2024,QLD,Cairns,Wujal Wujal (S),<11
31DEC2024,QLD,Cairns,Yarrabah (S),72
31DEC2024,QLD,Ipswich,Ipswich (C),8891
31DEC2024,QLD,Ipswich,Lockyer Valley (R),1200
31DEC2024,QLD,Ipswich,Scenic Rim (R),1235
31DEC2024,QLD,Ipswich,Somerset (R),832
31DEC2024,QLD,Mackay,Isaac (R),315
31DEC2024,QLD,Mackay,Mackay (R),3443
31DEC2024,QLD,Mackay,Whitsunday (R),758
31DEC2024,QLD,Maroochydore,Gympie (R),2197
31DEC2024,QLD,Maroochydore,Noosa (S),1158
31DEC2024,QLD,Maroochydore,Sunshine Coast (R),9698
31DEC2024,QLD,Maryborough,Cherbourg (S),68
31DEC2024,QLD,Maryborough,Fraser Coast (R),4276
31DEC2024,QLD,Maryborough,North Burnett (R),242
31DEC2024,QLD,Maryborough,South Burnett (R),1232
31DEC2024,QLD,Other,Barkly (R),<11
31DEC2024,QLD,Other,Other,<11
31DEC2024,QLD,Robina,Gold Coast (C),15166
31DEC2024,QLD,Rockhampton,Banana (S),336
31DEC2024,QLD,Rockhampton,Barcaldine (R),50
31DEC2024,QLD,Rockhampton,Barcoo (S),<11
31DEC2024,QLD,Rockhampton,Blackall-Tambo (R),27
31DEC2024,QLD,Rockhampton,Central Highlands (R) (Qld),664
31DEC2024,QLD,Rockhampton,Diamantina (S),<11
31DEC2024,QLD,Rockhampton,Gladstone (R),2206
31DEC2024,QLD,Rockhampton,Livingstone (S),1086
31DEC2024,QLD,Rockhampton,Longreach (R),83
31DEC2024,QLD,Rockhampton,Rockhampton (R),3596
31DEC2024,QLD,Rockhampton,Winton (S),20
31DEC2024,QLD,Rockhampton,Woorabinda (S),34
31DEC2024,QLD,Toowoomba,Balonne (S),88
31DEC2024,QLD,Toowoomba,Bulloo (S),<11
31DEC2024,QLD,Toowoomba,Goondiwindi (R),231
31DEC2024,QLD,Toowoomba,Maranoa (R),300
31DEC2024,QLD,Toowoomba,Murweh (S),145
31DEC2024,QLD,Toowoomba,Paroo (S),34
31DEC2024,QLD,Toowoomba,Quilpie (S),25
31DEC2024,QLD,Toowoomba,Southern Downs (R),1235
31DEC2024,QLD,Toowoomba,Toowoomba (R),5768
31DEC2024,QLD,Toowoomba,Western Downs (R),990
31DEC2024,QLD,Townsville,Boulia (S),<11
31DEC2024,QLD,Townsville,Burdekin (S),433
31DEC2024,QLD,Townsville,Burke (S),<11
31DEC2024,QLD,Townsville,Carpentaria (S),48
31DEC2024,QLD,Townsville,Charters Towers (R),296
31DEC2024,QLD,Townsville,Cloncurry (S),53
31DEC2024,QLD,Townsville,Doomadgee (S),47
31DEC2024,QLD,Townsville,Flinders (S) (Qld),27
31DEC2024,QLD,Townsville,Hinchinbrook (S),306
31DEC2024,QLD,Townsville,McKinlay (S),11
31DEC2024,QLD,Townsville,Mornington (S),30
31DEC2024,QLD,Townsville,Mount Isa (C),445
31DEC2024,QLD,Townsville,Palm Island (S),110
31DEC2024,QLD,Townsville,Richmond (S),12
31DEC2024,QLD,Townsville,Townsville (C),6588
31DEC2024,SA,Adelaide Hills,Adelaide Hills (DC),918
31DEC2024,SA,Adelaide Hills,Mount Barker (DC),1491
31DEC2024,SA,"Barossa, Light and Lower North",Adelaide Plains (DC),393
31DEC2024,SA,"Barossa, Light and Lower North",Barossa (DC),805
31DEC2024,SA,"Barossa, Light and Lower North",Gawler (T),1258
31DEC2024,SA,"Barossa, Light and Lower North",Light (RegC),596
31DEC2024,SA,Eastern Adelaide,Adelaide (C),530
31DEC2024,SA,Eastern Adelaide,Burnside (C),869
31DEC2024,SA,Eastern Adelaide,Campbelltown (C) (SA),1390
31DEC2024,SA,Eastern Adelaide,Norwood Payneham St Peters (C),734
31DEC2024,SA,Eastern Adelaide,Prospect (C),505
31DEC2024,SA,Eastern Adelaide,Unley (C),777
31DEC2024,SA,Eastern Adelaide,Walkerville (M),138
31DEC2024,SA,Eyre and Western,Ceduna (DC),99
31DEC2024,SA,Eyre and Western,Cleve (DC),46
31DEC2024,SA,Eyre and Western,Elliston (DC),27
31DEC2024,SA,Eyre and Western,Franklin Harbour (DC),20
31DEC2024,SA,Eyre and Western,Kimba (DC),21
31DEC2024,SA,Eyre and Western,Lower Eyre Peninsula (DC),145
31DEC2024,SA,Eyre and Western,Port Lincoln (C),556
31DEC2024,SA,Eyre and Western,Streaky Bay (DC),31
31DEC2024,SA,Eyre and Western,Tumby Bay (DC),81
31DEC2024,SA,Eyre and Western,Whyalla (C),737
31DEC2024,SA,Eyre and Western,Wudinna (DC),27
31DEC2024,SA,Far North (SA),Anangu Pitjantjatjara (AC),65
31DEC2024,SA,Far North (SA),Coober Pedy (DC),33
31DEC2024,SA,Far North (SA),Flinders Ranges (DC),37
31DEC2024,SA,Far North (SA),Port Augusta (C),432
31DEC2024,SA,Far North (SA),Roxby Downs (M),63
31DEC2024,SA,Fleurieu and Kangaroo Island,Alexandrina (DC),948
31DEC2024,SA,Fleurieu and Kangaroo Island,Kangaroo Island (DC),127
31DEC2024,SA,Fleurieu and Kangaroo Island,Victor Harbor (C),525
31DEC2024,SA,Fleurieu and Kangaroo Island,Yankalilla (DC),141
31DEC2024,SA,Limestone Coast,Grant (DC),216
31DEC2024,SA,Limestone Coast,Kingston (DC) (SA),39
31DEC2024,SA,Limestone Coast,Mount Gambier (C),1061
31DEC2024,SA,Limestone Coast,Naracoorte and Lucindale (DC),170
31DEC2024,SA,Limestone Coast,Robe (DC),15
31DEC2024,SA,Limestone Coast,Tatiara (DC),107
31DEC2024,SA,Limestone Coast,Wattle Range (DC),314
31DEC2024,SA,Murray and Mallee,Berri and Barmera (DC),412
31DEC2024,SA,Murray and Mallee,Karoonda East Murray (DC),28
31DEC2024,SA,Murray and Mallee,Loxton Waikerie (DC),368
31DEC2024,SA,Murray and Mallee,Mid Murray (DC),239
31DEC2024,SA,Murray and Mallee,Murray Bridge (RC),950
31DEC2024,SA,Murray and Mallee,Renmark Paringa (DC),252
31DEC2024,SA,Murray and Mallee,Southern Mallee (DC),48
31DEC2024,SA,Murray and Mallee,The Coorong (DC),130
31DEC2024,SA,Northern Adelaide,Playford (C),6245
31DEC2024,SA,Northern Adelaide,Port Adelaide Enfield (C),4838
