jurisdiction,category,financial_year,financial_year_start,emissions_gg_co2e,notation_key,notation_meaning
Australia,A. Fuel combustion (sectoral approach),2012-13,2012,372160.4808927396,,
Australia,A. Fuel combustion (sectoral approach),2013-14,2013,366690.3469942691,,
Australia,A. Fuel combustion (sectoral approach),2014-15,2014,372754.8815942662,,
Australia,A. Fuel combustion (sectoral approach),2015-16,2015,380399.51352720073,,
Australia,A. Fuel combustion (sectoral approach),2016-17,2016,381057.25634816923,,
Australia,A. Fuel combustion (sectoral approach),2017-18,2017,380278.3644592764,,
Australia,A. Fuel combustion (sectoral approach),2018-19,2018,377156.1854844519,,
Australia,A. Fuel combustion (sectoral approach),2019-20,2019,365211.14936647966,,
Australia,A. Fuel combustion (sectoral approach),2020-21,2020,356497.0225815522,,
Australia,A. Fuel combustion (sectoral approach),2021-22,2021,351444.21666454326,,
Australia,A. Fuel combustion (sectoral approach),2022-23,2022,350515.16646086145,,
Australia,A. Fuel combustion (sectoral approach),2023-24,2023,350874.7274119733,,
Australia,1.  Energy industries,1989-90,1989,143172.75603980524,,
Australia,1.  Energy industries,1990-91,1990,146396.54844884243,,
Australia,1.  Energy industries,1991-92,1991,149719.7957047709,,
Australia,1.  Energy industries,1992-93,1992,151492.71924897435,,
Australia,1.  Energy industries,1993-94,1993,152307.6436458899,,
Australia,1.  Energy industries,1994-95,1994,158140.19787730495,,
Australia,1.  Energy industries,1995-96,1995,162742.63785059124,,
Australia,1.  Energy industries,1996-97,1996,169413.36662108076,,
Australia,1.  Energy industries,1997-98,1997,182065.81816517632,,
Australia,1.  Energy industries,1998-99,1998,189654.79996283128,,
Australia,1.  Energy industries,1999-00,1999,192519.66293892197,,
Australia,1.  Energy industries,2000-01,2000,200056.9444464755,,
Australia,1.  Energy industries,2001-02,2001,202550.84464463167,,
Australia,1.  Energy industries,2002-03,2002,205464.41011499634,,
Australia,1.  Energy industries,2003-04,2003,213120.43731788182,,
Australia,1.  Energy industries,2004-05,2004,215385.66910564763,,
Australia,1.  Energy industries,2005-06,2005,220092.88840189346,,
Australia,1.  Energy industries,2006-07,2006,224087.9552099027,,
Australia,1.  Energy industries,2007-08,2007,225886.85021541017,,
Australia,1.  Energy industries,2008-09,2008,232240.7051880104,,
Australia,1.  Energy industries,2009-10,2009,226431.0999765585,,
Australia,1.  Energy industries,2010-11,2010,220628.37552733687,,
Australia,1.  Energy industries,2011-12,2011,222400.78573856532,,
Australia,1.  Energy industries,2012-13,2012,211400.0920314199,,
Australia,1.  Energy industries,2013-14,2013,205423.3471808851,,
Australia,1.  Energy industries,2014-15,2014,212201.66293030107,,
Australia,1.  Energy industries,2015-16,2015,219584.78653946545,,
Australia,1.  Energy industries,2016-17,2016,218445.5062145152,,
Australia,1.  Energy industries,2017-18,2017,214500.5020230629,,
Australia,1.  Energy industries,2018-19,2018,213893.09731035045,,
Australia,1.  Energy industries,2019-20,2019,208266.4183064898,,
Australia,1.  Energy industries,2020-21,2020,198467.63815619188,,
Australia,1.  Energy industries,2021-22,2021,191471.9107284841,,
Australia,1.  Energy industries,2022-23,2022,187029.66408446626,,
Australia,1.  Energy industries,2023-24,2023,186707.37739339747,,
Australia,2.  Manufacturing industries and construction,1989-90,1989,36224.92193319269,,
Australia,2.  Manufacturing industries and construction,1990-91,1990,35760.89673863959,,
Australia,2.  Manufacturing industries and construction,1991-92,1991,35315.91891354656,,
Australia,2.  Manufacturing industries and construction,1992-93,1992,35896.35911181246,,
Australia,2.  Manufacturing industries and construction,1993-94,1993,36686.26748288006,,
Australia,2.  Manufacturing industries and construction,1994-95,1994,37628.85359631926,,
Australia,2.  Manufacturing industries and construction,1995-96,1995,37660.477479184934,,
Australia,2.  Manufacturing industries and construction,1996-97,1996,37754.04800030616,,
Australia,2.  Manufacturing industries and construction,1997-98,1997,37856.69195841308,,
Australia,2.  Manufacturing industries and construction,1998-99,1998,38108.659069451154,,
Australia,2.  Manufacturing industries and construction,1999-00,1999,38916.0092698194,,
Australia,2.  Manufacturing industries and construction,2000-01,2000,38416.04283189424,,
Australia,2.  Manufacturing industries and construction,2001-02,2001,39094.10337794414,,
Australia,2.  Manufacturing industries and construction,2002-03,2002,40846.62887759709,,
Australia,2.  Manufacturing industries and construction,2003-04,2003,40775.8767990825,,
Australia,2.  Manufacturing industries and construction,2004-05,2004,41665.34097049154,,
Australia,2.  Manufacturing industries and construction,2005-06,2005,40619.064524429145,,
Australia,2.  Manufacturing industries and construction,2006-07,2006,40382.74167328053,,
Australia,2.  Manufacturing industries and construction,2007-08,2007,42510.55979893119,,
Australia,2.  Manufacturing industries and construction,2008-09,2008,40366.48856984287,,
Australia,2.  Manufacturing industries and construction,2009-10,2009,39624.060715956555,,
Australia,2.  Manufacturing industries and construction,2010-11,2010,40880.41211179216,,
Australia,2.  Manufacturing industries and construction,2011-12,2011,41632.67047373524,,
Australia,2.  Manufacturing industries and construction,2012-13,2012,44722.2783066579,,
Australia,2.  Manufacturing industries and construction,2013-14,2013,46083.937463621805,,
Australia,2.  Manufacturing industries and construction,2014-15,2014,42174.61088168041,,
Australia,2.  Manufacturing industries and construction,2015-16,2015,41045.609261088706,,
Australia,2.  Manufacturing industries and construction,2016-17,2016,40652.79531184546,,
Australia,2.  Manufacturing industries and construction,2017-18,2017,41648.74453909621,,
Australia,2.  Manufacturing industries and construction,2018-19,2018,41368.06222178838,,
Australia,2.  Manufacturing industries and construction,2019-20,2019,41361.054837417745,,
Australia,2.  Manufacturing industries and construction,2020-21,2020,42927.88256977263,,
Australia,2.  Manufacturing industries and construction,2021-22,2021,43208.591973782604,,
Australia,2.  Manufacturing industries and construction,2022-23,2022,41665.84050961836,,
Australia,2.  Manufacturing industries and construction,2023-24,2023,40342.10691536934,,
Australia,3.  Transport,1989-90,1989,61175.79907956477,,
Australia,3.  Transport,1990-91,1990,60607.84273978858,,
Australia,3.  Transport,1991-92,1991,61622.67102570667,,
Australia,3.  Transport,1992-93,1992,63198.20176747162,,
Australia,3.  Transport,1993-94,1993,64695.2368220694,,
Australia,3.  Transport,1994-95,1994,68042.56210391578,,
Australia,3.  Transport,1995-96,1995,69917.06321768413,,
Australia,3.  Transport,1996-97,1996,71213.42828732495,,
Australia,3.  Transport,1997-98,1997,71422.50847311573,,
Australia,3.  Transport,1998-99,1998,72255.35793260648,,
Australia,3.  Transport,1999-00,1999,73851.49977271086,,
Australia,3.  Transport,2000-01,2000,73807.92427841651,,
Australia,3.  Transport,2001-02,2001,75311.33966459405,,
Australia,3.  Transport,2002-03,2002,77685.6529006045,,
Australia,3.  Transport,2003-04,2003,80773.94898811787,,
Australia,3.  Transport,2004-05,2004,81803.88888583358,,
Australia,3.  Transport,2005-06,2005,83054.3384837693,,
Australia,3.  Transport,2006-07,2006,84913.7596509437,,
Australia,3.  Transport,2007-08,2007,86757.8781920932,,
Australia,3.  Transport,2008-09,2008,86942.35322787943,,
Australia,3.  Transport,2009-10,2009,88420.80205293457,,
Australia,3.  Transport,2010-11,2010,90975.00974046004,,
Australia,3.  Transport,2011-12,2011,91488.31177103172,,
Australia,3.  Transport,2012-13,2012,92807.74482370984,,
Australia,3.  Transport,2013-14,2013,92753.79637110651,,
Australia,3.  Transport,2014-15,2014,94855.89229443533,,
Australia,3.  Transport,2015-16,2015,95836.97087593879,,
Australia,3.  Transport,2016-17,2016,97439.75273856938,,
Australia,3.  Transport,2017-18,2017,99739.74690816696,,
Australia,3.  Transport,2018-19,2018,99138.66200037044,,
Australia,3.  Transport,2019-20,2019,93247.65066558907,,
Australia,3.  Transport,2020-21,2020,90527.72978838618,,
Australia,3.  Transport,2021-22,2021,92241.43962858488,,
Australia,3.  Transport,2022-23,2022,98232.47397921393,,
Australia,3.  Transport,2023-24,2023,100370.1485289153,,
Australia,4.  Other sectors,1989-90,1989,15883.986978463945,,
Australia,4.  Other sectors,1990-91,1990,16056.940101780663,,
Australia,4.  Other sectors,1991-92,1991,16510.46000296278,,
Australia,4.  Other sectors,1992-93,1992,16965.230426885057,,
Australia,4.  Other sectors,1993-94,1993,16824.985442095243,,
Australia,4.  Other sectors,1994-95,1994,17428.624161232234,,
Australia,4.  Other sectors,1995-96,1995,17748.17456940564,,
Australia,4.  Other sectors,1996-97,1996,17930.398795254026,,
Australia,4.  Other sectors,1997-98,1997,18086.02504014618,,
Australia,4.  Other sectors,1998-99,1998,18049.403632119087,,
Australia,4.  Other sectors,1999-00,1999,18416.718304104947,,
Australia,4.  Other sectors,2000-01,2000,19243.639169276346,,
Australia,4.  Other sectors,2001-02,2001,19282.89392977066,,
Australia,4.  Other sectors,2002-03,2002,19882.85429957832,,
Australia,4.  Other sectors,2003-04,2003,19805.53819278341,,
Australia,4.  Other sectors,2004-05,2004,20211.994828453364,,
Australia,4.  Other sectors,2005-06,2005,20364.101943648566,,
Australia,4.  Other sectors,2006-07,2006,20197.932211309493,,
Australia,4.  Other sectors,2007-08,2007,20537.077409382855,,
Australia,4.  Other sectors,2008-09,2008,20709.093977829987,,
Australia,4.  Other sectors,2009-10,2009,21039.271632280812,,
Australia,4.  Other sectors,2010-11,2010,21447.16981308377,,
Australia,4.  Other sectors,2011-12,2011,21890.29634621422,,
Australia,4.  Other sectors,2012-13,2012,22313.951353120017,,
Australia,4.  Other sectors,2013-14,2013,21398.34762908234,,
Australia,4.  Other sectors,2014-15,2014,22559.2488509836,,
Australia,4.  Other sectors,2015-16,2015,22797.698016023252,,
Australia,4.  Other sectors,2016-17,2016,23572.7933157892,,
Australia,4.  Other sectors,2017-18,2017,23452.849230386037,,
Australia,4.  Other sectors,2018-19,2018,21957.539557144275,,
Australia,4.  Other sectors,2019-20,2019,21380.92301440259,,
Australia,4.  Other sectors,2020-21,2020,23752.026559417096,,
Australia,4.  Other sectors,2021-22,2021,23791.624906073015,,
Australia,4.  Other sectors,2022-23,2022,22524.13068658621,,
Australia,4.  Other sectors,2023-24,2023,22449.856632473675,,
Australia,5.  Other,1989-90,1989,422.69572672467257,,
Australia,5.  Other,1990-91,1990,414.6212150534788,,
Australia,5.  Other,1991-92,1991,463.3159639199451,,
Australia,5.  Other,1992-93,1992,470.6435522470145,,
Australia,5.  Other,1993-94,1993,563.4073701707594,,
Australia,5.  Other,1994-95,1994,695.989932362496,,
Australia,5.  Other,1995-96,1995,781.3123398614945,,
Australia,5.  Other,1996-97,1996,820.6438293370225,,
Australia,5.  Other,1997-98,1997,684.1863429423918,,
Australia,5.  Other,1998-99,1998,632.1264626857516,,
Australia,5.  Other,1999-00,1999,627.290659419854,,
Australia,5.  Other,2000-01,2000,638.4153833240943,,
Australia,5.  Other,2001-02,2001,597.0488506652727,,
Australia,5.  Other,2002-03,2002,560.4589504304406,,
Australia,5.  Other,2003-04,2003,582.1450357101863,,
Australia,5.  Other,2004-05,2004,624.3634163212757,,
Australia,5.  Other,2005-06,2005,651.175626381979,,
Australia,5.  Other,2006-07,2006,782.7503512388118,,
Australia,5.  Other,2007-08,2007,742.7645776646092,,
Australia,5.  Other,2008-09,2008,784.0059542345916,,
Australia,5.  Other,2009-10,2009,827.6363515928599,,
Australia,5.  Other,2010-11,2010,902.0927629851587,,
Australia,5.  Other,2011-12,2011,872.0966787069424,,
Australia,5.  Other,2012-13,2012,916.4143778320926,,
Australia,5.  Other,2013-14,2013,1030.9183495731813,,
Australia,5.  Other,2014-15,2014,963.4666368658364,,
Australia,5.  Other,2015-16,2015,1134.4488346844776,,
Australia,5.  Other,2016-17,2016,946.4087674497597,,
Australia,5.  Other,2017-18,2017,936.5217585641917,,
Australia,5.  Other,2018-19,2018,798.8243947983433,,
Australia,5.  Other,2019-20,2019,955.1025425804755,,
Australia,5.  Other,2020-21,2020,821.7455077843346,,
Australia,5.  Other,2021-22,2021,730.6494276187258,,
Australia,5.  Other,2022-23,2022,1063.0572009765094,,
Australia,5.  Other,2023-24,2023,1005.2379418175459,,
Australia,B. Fugitive emissions from fuels,1989-90,1989,40411.846752633355,,
Australia,B. Fugitive emissions from fuels,1990-91,1990,39736.20456388007,,
Australia,B. Fugitive emissions from fuels,1991-92,1991,41691.74550127323,,
Australia,B. Fugitive emissions from fuels,1992-93,1992,40523.54557131514,,
Australia,B. Fugitive emissions from fuels,1993-94,1993,38320.80415408285,,
Australia,B. Fugitive emissions from fuels,1994-95,1994,39987.16203477285,,
Australia,B. Fugitive emissions from fuels,1995-96,1995,39476.93483350843,,
Australia,B. Fugitive emissions from fuels,1996-97,1996,42421.68657484244,,
Australia,B. Fugitive emissions from fuels,1997-98,1997,43617.80465366259,,
Australia,B. Fugitive emissions from fuels,1998-99,1998,40528.364835937085,,
Australia,B. Fugitive emissions from fuels,1999-00,1999,43924.30667020018,,
Australia,B. Fugitive emissions from fuels,2000-01,2000,43969.77789557659,,
Australia,B. Fugitive emissions from fuels,2001-02,2001,42416.94354810001,,
Australia,B. Fugitive emissions from fuels,2002-03,2002,40888.44872042973,,
Australia,B. Fugitive emissions from fuels,2003-04,2003,40708.825253973875,,
Australia,B. Fugitive emissions from fuels,2004-05,2004,42590.36537622789,,
Australia,B. Fugitive emissions from fuels,2005-06,2005,43576.77695196401,,
Australia,B. Fugitive emissions from fuels,2006-07,2006,46905.47131298794,,
Australia,B. Fugitive emissions from fuels,2007-08,2007,46178.80343367292,,
Australia,B. Fugitive emissions from fuels,2008-09,2008,45893.91469190208,,
Australia,B. Fugitive emissions from fuels,2009-10,2009,45495.33570718207,,
Australia,B. Fugitive emissions from fuels,2010-11,2010,44015.469928301616,,
Australia,B. Fugitive emissions from fuels,2011-12,2011,45003.619802158835,,
Australia,B. Fugitive emissions from fuels,2012-13,2012,45911.17479796562,,
Australia,B. Fugitive emissions from fuels,2013-14,2013,43724.24025757803,,
Australia,B. Fugitive emissions from fuels,2014-15,2014,49053.39680197983,,
Australia,B. Fugitive emissions from fuels,2015-16,2015,50632.94195032558,,
Australia,B. Fugitive emissions from fuels,2016-17,2016,54017.1846265595,,
Australia,B. Fugitive emissions from fuels,2017-18,2017,57321.03501786643,,
Australia,B. Fugitive emissions from fuels,2018-19,2018,58904.47704535387,,
Australia,B. Fugitive emissions from fuels,2019-20,2019,56068.540773070104,,
Australia,B. Fugitive emissions from fuels,2020-21,2020,50642.477555321304,,
Australia,B. Fugitive emissions from fuels,2021-22,2021,49933.65737575585,,
Australia,B. Fugitive emissions from fuels,2022-23,2022,49496.225284206186,,
Australia,B. Fugitive emissions from fuels,2023-24,2023,47247.513619488454,,
Australia,1.  Solid fuels,1989-90,1989,25577.861460533186,,
Australia,1.  Solid fuels,1990-91,1990,25970.574800007682,,
Australia,1.  Solid fuels,1991-92,1991,27156.60228926689,,
Australia,1.  Solid fuels,1992-93,1992,27272.29237591746,,
Australia,1.  Solid fuels,1993-94,1993,25118.33479798371,,
Australia,1.  Solid fuels,1994-95,1994,25129.86618140057,,
Australia,1.  Solid fuels,1995-96,1995,25778.928326641464,,
Australia,1.  Solid fuels,1996-97,1996,28606.9791089501,,
Australia,1.  Solid fuels,1997-98,1997,29721.190924440984,,
Australia,1.  Solid fuels,1998-99,1998,27568.454496860282,,
Australia,1.  Solid fuels,1999-00,1999,29637.83257673827,,
Australia,1.  Solid fuels,2000-01,2000,29502.70016081268,,
Australia,1.  Solid fuels,2001-02,2001,28628.510864520103,,
Australia,1.  Solid fuels,2002-03,2002,28368.884316497166,,
Australia,1.  Solid fuels,2003-04,2003,28781.412137534215,,
Australia,1.  Solid fuels,2004-05,2004,31078.73560931519,,
Australia,1.  Solid fuels,2005-06,2005,31960.523124713043,,
Australia,1.  Solid fuels,2006-07,2006,34817.56161683095,,
Australia,1.  Solid fuels,2007-08,2007,33844.30008038147,,
Australia,1.  Solid fuels,2008-09,2008,33292.49156618981,,
Australia,1.  Solid fuels,2009-10,2009,32218.9347995314,,
Australia,1.  Solid fuels,2010-11,2010,31577.994216909374,,
Australia,1.  Solid fuels,2011-12,2011,31632.974738999455,,
Australia,1.  Solid fuels,2012-13,2012,31901.237279544494,,
Australia,1.  Solid fuels,2013-14,2013,29811.558292497513,,
Australia,1.  Solid fuels,2014-15,2014,32890.59013529879,,
Australia,1.  Solid fuels,2015-16,2015,32795.97725597015,,
Australia,1.  Solid fuels,2016-17,2016,32635.926384537604,,
Australia,1.  Solid fuels,2017-18,2017,33208.46289402505,,
Australia,1.  Solid fuels,2018-19,2018,30379.276746416836,,
Australia,1.  Solid fuels,2019-20,2019,31574.760265138797,,
Australia,1.  Solid fuels,2020-21,2020,28566.577884806313,,
Australia,1.  Solid fuels,2021-22,2021,26311.67333767048,,
Australia,1.  Solid fuels,2022-23,2022,27204.406238607156,,
Australia,1.  Solid fuels,2023-24,2023,25005.824233190022,,
Australia,2.  Oil and natural gas and other emissions from energy production,1989-90,1989,14833.985292100167,,
Australia,2.  Oil and natural gas and other emissions from energy production,1990-91,1990,13765.629763872383,,
Australia,2.  Oil and natural gas and other emissions from energy production,1991-92,1991,14535.143212006344,,
Australia,2.  Oil and natural gas and other emissions from energy production,1992-93,1992,13251.253195397674,,
Australia,2.  Oil and natural gas and other emissions from energy production,1993-94,1993,13202.46935609914,,
Australia,2.  Oil and natural gas and other emissions from energy production,1994-95,1994,14857.295853372272,,
Australia,2.  Oil and natural gas and other emissions from energy production,1995-96,1995,13698.006506866966,,
Australia,2.  Oil and natural gas and other emissions from energy production,1996-97,1996,13814.70746589234,,
Australia,2.  Oil and natural gas and other emissions from energy production,1997-98,1997,13896.613729221615,,
Australia,2.  Oil and natural gas and other emissions from energy production,1998-99,1998,12959.910339076805,,
Australia,2.  Oil and natural gas and other emissions from energy production,1999-00,1999,14286.474093461911,,
Australia,2.  Oil and natural gas and other emissions from energy production,2000-01,2000,14467.077734763912,,
Australia,2.  Oil and natural gas and other emissions from energy production,2001-02,2001,13788.432683579906,,
Australia,2.  Oil and natural gas and other emissions from energy production,2002-03,2002,12519.564403932556,,
Australia,2.  Oil and natural gas and other emissions from energy production,2003-04,2003,11927.413116439659,,
Australia,2.  Oil and natural gas and other emissions from energy production,2004-05,2004,11511.629766912709,,
Australia,2.  Oil and natural gas and other emissions from energy production,2005-06,2005,11616.25382725097,,
Australia,2.  Oil and natural gas and other emissions from energy production,2006-07,2006,12087.909696156985,,
Australia,2.  Oil and natural gas and other emissions from energy production,2007-08,2007,12334.503353291439,,
Australia,2.  Oil and natural gas and other emissions from energy production,2008-09,2008,12601.423125712261,,
Australia,2.  Oil and natural gas and other emissions from energy production,2009-10,2009,13276.400907650675,,
Australia,2.  Oil and natural gas and other emissions from energy production,2010-11,2010,12437.475711392248,,
Australia,2.  Oil and natural gas and other emissions from energy production,2011-12,2011,13370.645063159383,,
Australia,2.  Oil and natural gas and other emissions from energy production,2012-13,2012,14009.937518421126,,
Australia,2.  Oil and natural gas and other emissions from energy production,2013-14,2013,13912.681965080523,,
Australia,2.  Oil and natural gas and other emissions from energy production,2014-15,2014,16162.80666668103,,
Australia,2.  Oil and natural gas and other emissions from energy production,2015-16,2015,17836.96469435543,,
Australia,2.  Oil and natural gas and other emissions from energy production,2016-17,2016,21381.258242021886,,
Australia,2.  Oil and natural gas and other emissions from energy production,2017-18,2017,24112.572123841383,,
Australia,2.  Oil and natural gas and other emissions from energy production,2018-19,2018,28525.200298937038,,
Australia,2.  Oil and natural gas and other emissions from energy production,2019-20,2019,24493.780507931304,,
Australia,2.  Oil and natural gas and other emissions from energy production,2020-21,2020,22075.899670514995,,
Australia,2.  Oil and natural gas and other emissions from energy production,2021-22,2021,23621.98403808537,,
Australia,2.  Oil and natural gas and other emissions from energy production,2022-23,2022,22291.819045599037,,
Australia,2.  Oil and natural gas and other emissions from energy production,2023-24,2023,22241.689386298436,,
Australia,C. CO₂ transport and storage,1989-90,1989,,NO,Not occurring
Australia,C. CO₂ transport and storage,1990-91,1990,,NO,Not occurring
Australia,C. CO₂ transport and storage,1991-92,1991,,NO,Not occurring
Australia,C. CO₂ transport and storage,1992-93,1992,,NO,Not occurring
Australia,C. CO₂ transport and storage,1993-94,1993,,NO,Not occurring
Australia,C. CO₂ transport and storage,1994-95,1994,,NO,Not occurring
Australia,C. CO₂ transport and storage,1995-96,1995,,NO,Not occurring
Australia,C. CO₂ transport and storage,1996-97,1996,,NO,Not occurring
Australia,C. CO₂ transport and storage,1997-98,1997,,NO,Not occurring
Australia,C. CO₂ transport and storage,1998-99,1998,,NO,Not occurring
Australia,C. CO₂ transport and storage,1999-00,1999,,NO,Not occurring
Australia,C. CO₂ transport and storage,2000-01,2000,,NO,Not occurring
Australia,C. CO₂ transport and storage,2001-02,2001,,NO,Not occurring
Australia,C. CO₂ transport and storage,2002-03,2002,,NO,Not occurring
Australia,C. CO₂ transport and storage,2003-04,2003,,NO,Not occurring
Australia,C. CO₂ transport and storage,2004-05,2004,,NO,Not occurring
Australia,C. CO₂ transport and storage,2005-06,2005,,NO,Not occurring
Australia,C. CO₂ transport and storage,2006-07,2006,,NO,Not occurring
Australia,C. CO₂ transport and storage,2007-08,2007,,NO,Not occurring
Australia,C. CO₂ transport and storage,2008-09,2008,,NO,Not occurring
Australia,C. CO₂ transport and storage,2009-10,2009,,NO,Not occurring
Australia,C. CO₂ transport and storage,2010-11,2010,,NO,Not occurring
Australia,C. CO₂ transport and storage,2011-12,2011,,NO,Not occurring
Australia,C. CO₂ transport and storage,2012-13,2012,,NO,Not occurring
Australia,C. CO₂ transport and storage,2013-14,2013,,NO,Not occurring
Australia,C. CO₂ transport and storage,2014-15,2014,,NO,Not occurring
Australia,C. CO₂ transport and storage,2015-16,2015,,NO,Not occurring
Australia,C. CO₂ transport and storage,2016-17,2016,,NO,Not occurring
Australia,C. CO₂ transport and storage,2017-18,2017,,NO,Not occurring
Australia,C. CO₂ transport and storage,2018-19,2018,,NO,Not occurring
Australia,C. CO₂ transport and storage,2019-20,2019,12.417,,
Australia,C. CO₂ transport and storage,2020-21,2020,2.245,,
Australia,C. CO₂ transport and storage,2021-22,2021,0.343,,
