jurisdiction,category,change_2004_05_to_2023_24_pct,notation_key,notation_meaning
Qld,A.  Enteric fermentation,0.02517926279127515,,
Qld,B.  Manure management,0.15584740592174262,,
Qld,C.  Rice cultivation,,NA,Not applicable
Qld,D.  Agricultural soils,-0.21170893549803227,,
Qld,E.  Prescribed burning of savannas,,NA,Not applicable
Qld,F.  Field burning of agricultural residues,,NA,Not applicable
Qld,G. Liming,-0.11987403783024783,,
Qld,H. Urea application,-0.4844749036818468,,
Qld,I.  Other carbon-containing fertilizers,,NA,Not applicable
Qld,J.  Other,,NA,Not applicable
Qld,"4. Land Use, Land-Use Change and Forestry",,NA,Not applicable
Qld,A. Forest Land,-6.453672276635931,,
Qld,1.  Forest land remaining forest land,-0.9349429554200207,,
Qld,2.  Land converted to forest land,-1.6942370020227895,,
Qld,B. Cropland,0.009585230464504274,,
Qld,1.  Cropland remaining cropland,-0.5816583587987975,,
Qld,2.  Land converted to cropland,20.20790589989925,,
Qld,C. Grassland,-0.9863994834120597,,
Qld,1.  Grassland remaining grassland,-1.2250599215427165,,
Qld,2.  Land converted to grassland,-0.9388865121211128,,
Qld,D. Wetland,-0.4227653034735241,,
Qld,1.  Wetland remaining wetland,-0.6446680826296164,,
Qld,2.  Land converted to wetland,-0.04621454376913527,,
Qld,E. Settlements,-0.9320621077081215,,
Qld,1.  Settlements remaining settlements,-1.8887129596682262,,
Qld,2.  Land converted to settlements,-0.9275700642738739,,
Qld,G. Harvested Wood Products,0.1612472161646675,,
Qld,Memo items:,,NA,Not applicable
Qld,Forest converted to other land uses,,NA,Not applicable
Qld,Direct emissions from forest clearing,,NA,Not applicable
Qld,Emissions from post-clearing land uses,,NA,Not applicable
Qld,5.  Waste,-0.020638317206511273,,
Qld,A.  Solid waste disposal,-0.10234429397757942,,
Qld,B.  Biological treatment of solid waste,1.1222746006656747,,
Qld,C.  Incineration and open burning of waste,0.4174598750055182,,
Qld,D.  Waste water treatment and discharge,0.1791928102349648,,
Qld,E.  Other,,NA,Not applicable
SA,Total (net emissions),-0.39957019242539454,,
SA,1. Energy,-0.34922513673139,,
SA,A. Fuel combustion (sectoral approach),-0.3363417351343795,,
SA,1.  Energy industries,-0.7132533821092459,,
SA,2.  Manufacturing industries and construction,-0.011565439495808117,,
SA,3.  Transport,0.09802384043340949,,
SA,4.  Other sectors,-0.1159073918271793,,
SA,5.  Other,,NA,Not applicable
SA,B. Fugitive emissions from fuels,-0.4189320349935164,,
SA,1.  Solid fuels,,NA,Not applicable
SA,2.  Oil and natural gas and other emissions from energy production,,NA,Not applicable
SA,C. CO₂ transport and storage,,NA,Not applicable
SA,2.  Industrial Processes,-0.07364196434091617,,
SA,A.  Mineral industry,-0.212197442442669,,
SA,B.  Chemical industry,-0.5765176344490536,,
SA,C.  Metal industry,,NA,Not applicable
SA,D.  Non-energy products from fuels and solvent use,0.039166666666666926,,
SA,E.  Electronic industry,,NA,Not applicable
SA,F.  Product uses as ODS substitutes,1.7281432077479164,,
SA,G.  Other product manufacture and use,-0.5674010388467698,,
SA,H.  Other,,NA,Not applicable
SA,3.  Agriculture,-0.09007287703596308,,
SA,A.  Enteric fermentation,-0.17278355163840534,,
SA,B.  Manure management,0.25846471600609283,,
SA,C.  Rice cultivation,,NA,Not applicable
SA,D.  Agricultural soils,0.14780234762243086,,
SA,E.  Prescribed burning of savannas,,NA,Not applicable
SA,F.  Field burning of agricultural residues,0.012850844776909485,,
SA,G. Liming,-0.14842519413460298,,
SA,H. Urea application,0.9080435100774278,,
