year,state,sex,measure,value,unit,obs_status_flag
1975,Australia,Males,Infant deaths,1952,NUM,
1976,Australia,Males,Infant deaths,1770,NUM,
1977,Australia,Males,Infant deaths,1629,NUM,
1978,Australia,Males,Infant deaths,1575,NUM,
1979,Australia,Males,Infant deaths,1441,NUM,
1980,Australia,Males,Infant deaths,1383,NUM,
1981,Australia,Males,Infant deaths,1354,NUM,
1982,Australia,Males,Infant deaths,1425,NUM,
1983,Australia,Males,Infant deaths,1302,NUM,
1984,Australia,Males,Infant deaths,1258,NUM,
1985,Australia,Males,Infant deaths,1398,NUM,
1986,Australia,Males,Infant deaths,1244,NUM,
1987,Australia,Males,Infant deaths,1235,NUM,
1988,Australia,Males,Infant deaths,1227,NUM,
1989,Australia,Males,Infant deaths,1136,NUM,
1990,Australia,Males,Infant deaths,1224,NUM,
1991,Australia,Males,Infant deaths,1049,NUM,
1992,Australia,Males,Infant deaths,1073,NUM,
1993,Australia,Males,Infant deaths,918,NUM,
1994,Australia,Males,Infant deaths,866,NUM,
1995,Australia,Males,Infant deaths,807,NUM,
1996,Australia,Males,Infant deaths,843,NUM,
1997,Australia,Males,Infant deaths,744,NUM,
1998,Australia,Males,Infant deaths,706,NUM,
1999,Australia,Males,Infant deaths,812,NUM,
2000,Australia,Males,Infant deaths,725,NUM,
2001,Australia,Males,Infant deaths,751,NUM,
2002,Australia,Males,Infant deaths,699,NUM,
2003,Australia,Males,Infant deaths,677,NUM,
2004,Australia,Males,Infant deaths,678,NUM,
2005,Australia,Males,Infant deaths,714,NUM,
2006,Australia,Males,Infant deaths,727,NUM,
2007,Australia,Males,Infant deaths,655,NUM,
2008,Australia,Males,Infant deaths,702,NUM,
2009,Australia,Males,Infant deaths,728,NUM,
2010,Australia,Males,Infant deaths,738,NUM,
2011,Australia,Males,Infant deaths,638,NUM,
2012,Australia,Males,Infant deaths,565,NUM,
2013,Australia,Males,Infant deaths,589,NUM,
2014,Australia,Males,Infant deaths,533,NUM,
2015,Australia,Males,Infant deaths,542,NUM,
2016,Australia,Males,Infant deaths,543,NUM,
2017,Australia,Males,Infant deaths,562,NUM,
2018,Australia,Males,Infant deaths,571,NUM,
2019,Australia,Males,Infant deaths,576,NUM,
2020,Australia,Males,Infant deaths,518,NUM,
2021,Australia,Males,Infant deaths,559,NUM,
2022,Australia,Males,Infant deaths,504,NUM,
2023,Australia,Males,Infant deaths,517,NUM,
2024,Australia,Males,Infant deaths,542,NUM,
1971,Australian Capital Territory,Persons,Infant mortality rates,19.5,NUM,
1972,Australian Capital Territory,Persons,Infant mortality rates,16.5,NUM,
1973,Australian Capital Territory,Persons,Infant mortality rates,16.1,NUM,
1974,Australian Capital Territory,Persons,Infant mortality rates,14.5,NUM,
1975,Australian Capital Territory,Persons,Infant mortality rates,12.9,NUM,
1976,Australian Capital Territory,Persons,Infant mortality rates,15.9,NUM,
1977,Australian Capital Territory,Persons,Infant mortality rates,11.6,NUM,
1978,Australian Capital Territory,Persons,Infant mortality rates,13.8,NUM,
1979,Australian Capital Territory,Persons,Infant mortality rates,11.3,NUM,
1980,Australian Capital Territory,Persons,Infant mortality rates,8,NUM,
1981,Australian Capital Territory,Persons,Infant mortality rates,8.9,NUM,
1982,Australian Capital Territory,Persons,Infant mortality rates,10.2,NUM,
1983,Australian Capital Territory,Persons,Infant mortality rates,9.9,NUM,
1984,Australian Capital Territory,Persons,Infant mortality rates,10,NUM,
1985,Australian Capital Territory,Persons,Infant mortality rates,7.8,NUM,
1986,Australian Capital Territory,Persons,Infant mortality rates,8.5,NUM,
1987,Australian Capital Territory,Persons,Infant mortality rates,9,NUM,
1988,Australian Capital Territory,Persons,Infant mortality rates,8.1,NUM,
1989,Australian Capital Territory,Persons,Infant mortality rates,6.5,NUM,
1990,Australian Capital Territory,Persons,Infant mortality rates,9.4,NUM,
1991,Australian Capital Territory,Persons,Infant mortality rates,7.6,NUM,
1992,Australian Capital Territory,Persons,Infant mortality rates,6.3,NUM,
1993,Australian Capital Territory,Persons,Infant mortality rates,4.3,NUM,
1994,Australian Capital Territory,Persons,Infant mortality rates,4.7,NUM,
1995,Australian Capital Territory,Persons,Infant mortality rates,4.8,NUM,
1996,Australian Capital Territory,Persons,Infant mortality rates,5.7,NUM,
1997,Australian Capital Territory,Persons,Infant mortality rates,3.8,NUM,
1998,Australian Capital Territory,Persons,Infant mortality rates,6,NUM,
1999,Australian Capital Territory,Persons,Infant mortality rates,5.6,NUM,
2000,Australian Capital Territory,Persons,Infant mortality rates,4.2,NUM,
2001,Australian Capital Territory,Persons,Infant mortality rates,3,NUM,
2002,Australian Capital Territory,Persons,Infant mortality rates,3.4,NUM,
2003,Australian Capital Territory,Persons,Infant mortality rates,5.8,NUM,
2004,Australian Capital Territory,Persons,Infant mortality rates,6.9,NUM,
2005,Australian Capital Territory,Persons,Infant mortality rates,5.7,NUM,
2006,Australian Capital Territory,Persons,Infant mortality rates,5.1,NUM,
2007,Australian Capital Territory,Persons,Infant mortality rates,3.8,NUM,
2008,Australian Capital Territory,Persons,Infant mortality rates,5,NUM,
2009,Australian Capital Territory,Persons,Infant mortality rates,3.5,NUM,
2010,Australian Capital Territory,Persons,Infant mortality rates,3.7,NUM,
2011,Australian Capital Territory,Persons,Infant mortality rates,2.9,NUM,
2012,Australian Capital Territory,Persons,Infant mortality rates,2.9,NUM,
2013,Australian Capital Territory,Persons,Infant mortality rates,2.9,NUM,
2014,Australian Capital Territory,Persons,Infant mortality rates,2.34,NUM,
2015,Australian Capital Territory,Persons,Infant mortality rates,3.79,NUM,
2016,Australian Capital Territory,Persons,Infant mortality rates,3.11,NUM,
2017,Australian Capital Territory,Persons,Infant mortality rates,2.74,NUM,
2018,Australian Capital Territory,Persons,Infant mortality rates,3.72,NUM,
2019,Australian Capital Territory,Persons,Infant mortality rates,0.91,NUM,
2020,Australian Capital Territory,Persons,Infant mortality rates,3.54,NUM,
2021,Australian Capital Territory,Persons,Infant mortality rates,3.25,NUM,
2022,Australian Capital Territory,Persons,Infant mortality rates,3.48,NUM,
2023,Australian Capital Territory,Persons,Infant mortality rates,5.36,NUM,
2024,Australian Capital Territory,Persons,Infant mortality rates,3.45,NUM,
1974,Western Australia,Males,Infant mortality rates,16.9,NUM,
1975,Western Australia,Males,Infant mortality rates,14.7,NUM,
1976,Western Australia,Males,Infant mortality rates,14.2,NUM,
1977,Western Australia,Males,Infant mortality rates,13.8,NUM,
1978,Western Australia,Males,Infant mortality rates,11.7,NUM,
1979,Western Australia,Males,Infant mortality rates,14.8,NUM,
1980,Western Australia,Males,Infant mortality rates,13.7,NUM,
1981,Western Australia,Males,Infant mortality rates,10,NUM,
1982,Western Australia,Males,Infant mortality rates,11.1,NUM,
1983,Western Australia,Males,Infant mortality rates,8.8,NUM,
1984,Western Australia,Males,Infant mortality rates,10.7,NUM,
1985,Western Australia,Males,Infant mortality rates,9.9,NUM,
1986,Western Australia,Males,Infant mortality rates,9.8,NUM,
1987,Western Australia,Males,Infant mortality rates,10,NUM,
1988,Western Australia,Males,Infant mortality rates,9.7,NUM,
1989,Western Australia,Males,Infant mortality rates,8.6,NUM,
1990,Western Australia,Males,Infant mortality rates,9,NUM,
1991,Western Australia,Males,Infant mortality rates,7.9,NUM,
1992,Western Australia,Males,Infant mortality rates,7.6,NUM,
1993,Western Australia,Males,Infant mortality rates,7.2,NUM,
1994,Western Australia,Males,Infant mortality rates,5.4,NUM,
1995,Western Australia,Males,Infant mortality rates,6.1,NUM,
1996,Western Australia,Males,Infant mortality rates,8,NUM,
1997,Western Australia,Males,Infant mortality rates,5.5,NUM,
1998,Western Australia,Males,Infant mortality rates,5.9,NUM,
1999,Western Australia,Males,Infant mortality rates,5.5,NUM,
2000,Western Australia,Males,Infant mortality rates,5.3,NUM,
2001,Western Australia,Males,Infant mortality rates,5.9,NUM,
2002,Western Australia,Males,Infant mortality rates,3.8,NUM,
2003,Western Australia,Males,Infant mortality rates,4.3,NUM,
2004,Western Australia,Males,Infant mortality rates,5,NUM,
2005,Western Australia,Males,Infant mortality rates,4.1,NUM,
2006,Western Australia,Males,Infant mortality rates,4.7,NUM,
2007,Western Australia,Males,Infant mortality rates,2.4,NUM,
2008,Western Australia,Males,Infant mortality rates,3.6,NUM,
2009,Western Australia,Males,Infant mortality rates,3.8,NUM,
2010,Western Australia,Males,Infant mortality rates,4.5,NUM,
2011,Western Australia,Males,Infant mortality rates,3.2,NUM,
2012,Western Australia,Males,Infant mortality rates,2.4,NUM,
2013,Western Australia,Males,Infant mortality rates,2.5,NUM,
2014,Western Australia,Males,Infant mortality rates,2.8,NUM,
2015,Western Australia,Males,Infant mortality rates,2.6,NUM,
2016,Western Australia,Males,Infant mortality rates,3.75,NUM,
2017,Western Australia,Males,Infant mortality rates,3.1,NUM,
2018,Western Australia,Males,Infant mortality rates,3.51,NUM,
2019,Western Australia,Males,Infant mortality rates,2.43,NUM,
2020,Western Australia,Males,Infant mortality rates,2.76,NUM,
2021,Western Australia,Males,Infant mortality rates,2.23,NUM,
2022,Western Australia,Males,Infant mortality rates,2.68,NUM,
2023,Western Australia,Males,Infant mortality rates,3.05,NUM,
2024,Western Australia,Males,Infant mortality rates,3.04,NUM,
1974,Northern Territory,Males,Infant mortality rates,44.5,NUM,
1975,Northern Territory,Males,Infant mortality rates,25.1,NUM,
1976,Northern Territory,Males,Infant mortality rates,21.6,NUM,
1977,Northern Territory,Males,Infant mortality rates,51.3,NUM,
1978,Northern Territory,Males,Infant mortality rates,20.5,NUM,
1979,Northern Territory,Males,Infant mortality rates,19.2,NUM,
1980,Northern Territory,Males,Infant mortality rates,14.9,NUM,
1981,Northern Territory,Males,Infant mortality rates,21.8,NUM,
1982,Northern Territory,Males,Infant mortality rates,22,NUM,
1983,Northern Territory,Males,Infant mortality rates,19.9,NUM,
1984,Northern Territory,Males,Infant mortality rates,16.6,NUM,
1985,Northern Territory,Males,Infant mortality rates,17.2,NUM,
1986,Northern Territory,Males,Infant mortality rates,16.4,NUM,
1987,Northern Territory,Males,Infant mortality rates,17.6,NUM,
1988,Northern Territory,Males,Infant mortality rates,17.2,NUM,
1989,Northern Territory,Males,Infant mortality rates,17.2,NUM,
1990,Northern Territory,Males,Infant mortality rates,17.8,NUM,
1991,Northern Territory,Males,Infant mortality rates,15,NUM,
1992,Northern Territory,Males,Infant mortality rates,14.1,NUM,
1993,Northern Territory,Males,Infant mortality rates,15.9,NUM,
1994,Northern Territory,Males,Infant mortality rates,8.3,NUM,
1995,Northern Territory,Males,Infant mortality rates,12.8,NUM,
1996,Northern Territory,Males,Infant mortality rates,11.8,NUM,
1997,Northern Territory,Males,Infant mortality rates,11.6,NUM,
1998,Northern Territory,Males,Infant mortality rates,12,NUM,
1999,Northern Territory,Males,Infant mortality rates,13.2,NUM,
2000,Northern Territory,Males,Infant mortality rates,12.4,NUM,
2001,Northern Territory,Males,Infant mortality rates,15,NUM,
2002,Northern Territory,Males,Infant mortality rates,12,NUM,
2003,Northern Territory,Males,Infant mortality rates,11.1,NUM,
2004,Northern Territory,Males,Infant mortality rates,13.3,NUM,
2005,Northern Territory,Males,Infant mortality rates,11.6,NUM,
2006,Northern Territory,Males,Infant mortality rates,8.1,NUM,
2007,Northern Territory,Males,Infant mortality rates,10.4,NUM,
2008,Northern Territory,Males,Infant mortality rates,8,NUM,
2009,Northern Territory,Males,Infant mortality rates,6.5,NUM,
2010,Northern Territory,Males,Infant mortality rates,7.9,NUM,
2011,Northern Territory,Males,Infant mortality rates,7.8,NUM,
2012,Northern Territory,Males,Infant mortality rates,8.7,NUM,
2013,Northern Territory,Males,Infant mortality rates,5.9,NUM,
2014,Northern Territory,Males,Infant mortality rates,5.31,NUM,
2015,Northern Territory,Males,Infant mortality rates,8.53,NUM,
2016,Northern Territory,Males,Infant mortality rates,5.41,NUM,
2017,Northern Territory,Males,Infant mortality rates,7.57,NUM,
2018,Northern Territory,Males,Infant mortality rates,9.11,NUM,
2019,Northern Territory,Males,Infant mortality rates,6.9,NUM,
2020,Northern Territory,Males,Infant mortality rates,12.76,NUM,
2021,Northern Territory,Males,Infant mortality rates,11.44,NUM,
2022,Northern Territory,Males,Infant mortality rates,9.26,NUM,
2023,Northern Territory,Males,Infant mortality rates,5.83,NUM,
2024,Northern Territory,Males,Infant mortality rates,7.1,NUM,
1974,Victoria,Females,Infant mortality rates,12.7,NUM,
1975,Victoria,Females,Infant mortality rates,11.1,NUM,
1976,Victoria,Females,Infant mortality rates,10.9,NUM,
1977,Victoria,Females,Infant mortality rates,8.9,NUM,
1978,Victoria,Females,Infant mortality rates,9.5,NUM,
1979,Victoria,Females,Infant mortality rates,9.6,NUM,
1980,Victoria,Females,Infant mortality rates,9.3,NUM,
1981,Victoria,Females,Infant mortality rates,8.5,NUM,
1982,Victoria,Females,Infant mortality rates,9.1,NUM,
1983,Victoria,Females,Infant mortality rates,9.1,NUM,
1984,Victoria,Females,Infant mortality rates,7.8,NUM,
1985,Victoria,Females,Infant mortality rates,8.8,NUM,
1986,Victoria,Females,Infant mortality rates,7.5,NUM,
1987,Victoria,Females,Infant mortality rates,6.4,NUM,
1988,Victoria,Females,Infant mortality rates,6.4,NUM,
1989,Victoria,Females,Infant mortality rates,5.3,NUM,
1990,Victoria,Females,Infant mortality rates,6.7,NUM,
1991,Victoria,Females,Infant mortality rates,5.6,NUM,
1992,Victoria,Females,Infant mortality rates,4.6,NUM,
1993,Victoria,Females,Infant mortality rates,4.7,NUM,
1994,Victoria,Females,Infant mortality rates,4.4,NUM,
1995,Victoria,Females,Infant mortality rates,4.8,NUM,
1996,Victoria,Females,Infant mortality rates,4.4,NUM,
1997,Victoria,Females,Infant mortality rates,4.8,NUM,
1998,Victoria,Females,Infant mortality rates,4.5,NUM,
1999,Victoria,Females,Infant mortality rates,5,NUM,
2000,Victoria,Females,Infant mortality rates,4.1,NUM,
2001,Victoria,Females,Infant mortality rates,4.1,NUM,
2002,Victoria,Females,Infant mortality rates,4.2,NUM,
2003,Victoria,Females,Infant mortality rates,4.1,NUM,
2004,Victoria,Females,Infant mortality rates,4.1,NUM,
2005,Victoria,Females,Infant mortality rates,4.8,NUM,
2006,Victoria,Females,Infant mortality rates,3.9,NUM,
2007,Victoria,Females,Infant mortality rates,3.7,NUM,
2008,Victoria,Females,Infant mortality rates,3.3,NUM,
2009,Victoria,Females,Infant mortality rates,3.5,NUM,
2010,Victoria,Females,Infant mortality rates,2.8,NUM,
2011,Victoria,Females,Infant mortality rates,2.9,NUM,
2012,Victoria,Females,Infant mortality rates,2.6,NUM,
2013,Victoria,Females,Infant mortality rates,2.9,NUM,
2014,Victoria,Females,Infant mortality rates,2.93,NUM,
2015,Victoria,Females,Infant mortality rates,2.38,NUM,
2016,Victoria,Females,Infant mortality rates,2.42,NUM,
2017,Victoria,Females,Infant mortality rates,2.99,NUM,
2018,Victoria,Females,Infant mortality rates,2.78,NUM,
2019,Victoria,Females,Infant mortality rates,2.43,NUM,
2020,Victoria,Females,Infant mortality rates,2.71,NUM,
2021,Victoria,Females,Infant mortality rates,3.09,NUM,
2022,Victoria,Females,Infant mortality rates,2.66,NUM,
2023,Victoria,Females,Infant mortality rates,2.33,NUM,
2024,Victoria,Females,Infant mortality rates,2.58,NUM,
1971,South Australia,Males,Population,597572,PSNS,
1972,South Australia,Males,Population,605054,PSNS,
1973,South Australia,Males,Population,612069,PSNS,
1974,South Australia,Males,Population,618862,PSNS,
1975,South Australia,Males,Population,630495,PSNS,
1976,South Australia,Males,Population,635152,PSNS,
1977,South Australia,Males,Population,640546,PSNS,
1978,South Australia,Males,Population,644711,PSNS,
1979,South Australia,Males,Population,646249,PSNS,
1980,South Australia,Males,Population,650221,PSNS,
1981,South Australia,Males,Population,653940,PSNS,
1982,South Australia,Males,Population,660066,PSNS,
1983,South Australia,Males,Population,667942,PSNS,
1984,South Australia,Males,Population,675233,PSNS,
1985,South Australia,Males,Population,681229,PSNS,
1986,South Australia,Males,Population,687764,PSNS,
1987,South Australia,Males,Population,692398,PSNS,
1988,South Australia,Males,Population,697670,PSNS,
1989,South Australia,Males,Population,704437,PSNS,
1990,South Australia,Males,Population,710687,PSNS,
1991,South Australia,Males,Population,717622,PSNS,
1992,South Australia,Males,Population,721797,PSNS,
1993,South Australia,Males,Population,722836,PSNS,
1994,South Australia,Males,Population,724513,PSNS,
1995,South Australia,Males,Population,725060,PSNS,
1996,South Australia,Males,Population,726586,PSNS,
1997,South Australia,Males,Population,729706,PSNS,
1998,South Australia,Males,Population,733200,PSNS,
1999,South Australia,Males,Population,736713,PSNS,
2000,South Australia,Males,Population,740009,PSNS,
2001,South Australia,Males,Population,743153,PSNS,
2002,South Australia,Males,Population,747076,PSNS,
2003,South Australia,Males,Population,751160,PSNS,
2004,South Australia,Males,Population,754895,PSNS,
2005,South Australia,Males,Population,759872,PSNS,
2006,South Australia,Males,Population,766432,PSNS,
2007,South Australia,Males,Population,775561,PSNS,
2008,South Australia,Males,Population,784833,PSNS,
2009,South Australia,Males,Population,795656,PSNS,
2010,South Australia,Males,Population,805365,PSNS,
2011,South Australia,Males,Population,811845,PSNS,
2012,South Australia,Males,Population,820600,PSNS,
2013,South Australia,Males,Population,827964,PSNS,
2014,South Australia,Males,Population,835164,PSNS,
2015,South Australia,Males,Population,841522,PSNS,
2016,South Australia,Males,Population,846877,PSNS,
2017,South Australia,Males,Population,854336,PSNS,
2018,South Australia,Males,Population,863034,PSNS,
2019,South Australia,Males,Population,873494,PSNS,
2020,South Australia,Males,Population,884465,PSNS,
2021,South Australia,Males,Population,891067,PSNS,
2022,South Australia,Males,Population,899972,PSNS,
2023,South Australia,Males,Population,915748,PSNS,
2024,South Australia,Males,Population,928314,PSNS,
1971,Australian Capital Territory,Males,Population,77121,PSNS,
1972,Australian Capital Territory,Males,Population,81509,PSNS,
1973,Australian Capital Territory,Males,Population,88488,PSNS,
1974,Australian Capital Territory,Males,Population,95028,PSNS,
1975,Australian Capital Territory,Males,Population,101331,PSNS,
1976,Australian Capital Territory,Males,Population,105633,PSNS,
1977,Australian Capital Territory,Males,Population,108345,PSNS,
1978,Australian Capital Territory,Males,Population,110160,PSNS,
1979,Australian Capital Territory,Males,Population,111196,PSNS,
1980,Australian Capital Territory,Males,Population,112371,PSNS,
1981,Australian Capital Territory,Males,Population,113605,PSNS,
1982,Australian Capital Territory,Males,Population,116374,PSNS,
1983,Australian Capital Territory,Males,Population,119442,PSNS,
1984,Australian Capital Territory,Males,Population,122458,PSNS,
1985,Australian Capital Territory,Males,Population,125549,PSNS,
1986,Australian Capital Territory,Males,Population,129616,PSNS,
1987,Australian Capital Territory,Males,Population,132727,PSNS,
1988,Australian Capital Territory,Males,Population,135894,PSNS,
1989,Australian Capital Territory,Males,Population,138021,PSNS,
1990,Australian Capital Territory,Males,Population,141058,PSNS,
1991,Australian Capital Territory,Males,Population,144636,PSNS,
1992,Australian Capital Territory,Males,Population,147218,PSNS,
1993,Australian Capital Territory,Males,Population,149428,PSNS,
1994,Australian Capital Territory,Males,Population,150330,PSNS,
1995,Australian Capital Territory,Males,Population,151968,PSNS,
1996,Australian Capital Territory,Males,Population,153635,PSNS,
1997,Australian Capital Territory,Males,Population,153940,PSNS,
1998,Australian Capital Territory,Males,Population,154547,PSNS,
1999,Australian Capital Territory,Males,Population,155599,PSNS,
2000,Australian Capital Territory,Males,Population,156815,PSNS,
2001,Australian Capital Territory,Males,Population,158666,PSNS,
2002,Australian Capital Territory,Males,Population,160138,PSNS,
2003,Australian Capital Territory,Males,Population,161568,PSNS,
2004,Australian Capital Territory,Males,Population,162487,PSNS,
2005,Australian Capital Territory,Males,Population,163832,PSNS,
2006,Australian Capital Territory,Males,Population,165814,PSNS,
2007,Australian Capital Territory,Males,Population,169640,PSNS,
2008,Australian Capital Territory,Males,Population,172707,PSNS,
2009,Australian Capital Territory,Males,Population,176325,PSNS,
2010,Australian Capital Territory,Males,Population,179860,PSNS,
2011,Australian Capital Territory,Males,Population,182996,PSNS,
2012,Australian Capital Territory,Males,Population,187156,PSNS,
2013,Australian Capital Territory,Males,Population,190367,PSNS,
2014,Australian Capital Territory,Males,Population,192913,PSNS,
2015,Australian Capital Territory,Males,Population,196237,PSNS,
2016,Australian Capital Territory,Males,Population,199780,PSNS,
2017,Australian Capital Territory,Males,Population,205448,PSNS,
2018,Australian Capital Territory,Males,Population,210616,PSNS,
2019,Australian Capital Territory,Males,Population,215222,PSNS,
2020,Australian Capital Territory,Males,Population,219576,PSNS,
2021,Australian Capital Territory,Males,Population,223361,PSNS,
2022,Australian Capital Territory,Males,Population,225637,PSNS,
2023,Australian Capital Territory,Males,Population,230457,PSNS,
2024,Australian Capital Territory,Males,Population,233604,PSNS,
1971,New South Wales,Females,Population,2351719,PSNS,
1972,New South Wales,Females,Population,2387394,PSNS,
1973,New South Wales,Females,Population,2413371,PSNS,
1974,New South Wales,Females,Population,2441635,PSNS,
1975,New South Wales,Females,Population,2464232,PSNS,
1976,New South Wales,Females,Population,2482610,PSNS,
1977,New South Wales,Females,Population,2505790,PSNS,
1978,New South Wales,Females,Population,2534006,PSNS,
1979,New South Wales,Females,Population,2564256,PSNS,
1980,New South Wales,Females,Population,2594910,PSNS,
1981,New South Wales,Females,Population,2626538,PSNS,
1982,New South Wales,Females,Population,2660053,PSNS,
1983,New South Wales,Females,Population,2684910,PSNS,
1984,New South Wales,Females,Population,2710646,PSNS,
1985,New South Wales,Females,Population,2741259,PSNS,
1986,New South Wales,Females,Population,2774536,PSNS,
1987,New South Wales,Females,Population,2818670,PSNS,
1988,New South Wales,Females,Population,2864457,PSNS,
1989,New South Wales,Females,Population,2899476,PSNS,
1990,New South Wales,Females,Population,2928129,PSNS,
1991,New South Wales,Females,Population,2962469,PSNS,
1992,New South Wales,Females,Population,2993658,PSNS,
1993,New South Wales,Females,Population,3014041,PSNS,
1994,New South Wales,Females,Population,3040333,PSNS,
1995,New South Wales,Females,Population,3071770,PSNS,
1996,New South Wales,Females,Population,3109468,PSNS,
1997,New South Wales,Females,Population,3146532,PSNS,
1998,New South Wales,Females,Population,3176880,PSNS,
1999,New South Wales,Females,Population,3211865,PSNS,
2000,New South Wales,Females,Population,3247166,PSNS,
2001,New South Wales,Females,Population,3288514,PSNS,
2002,New South Wales,Females,Population,3315023,PSNS,
2003,New South Wales,Females,Population,3337006,PSNS,
2004,New South Wales,Females,Population,3353338,PSNS,
2005,New South Wales,Females,Population,3376712,PSNS,
2006,New South Wales,Females,Population,3403655,PSNS,
2007,New South Wales,Females,Population,3447018,PSNS,
2008,New South Wales,Females,Population,3498364,PSNS,
2009,New South Wales,Females,Population,3550819,PSNS,
2010,New South Wales,Females,Population,3596185,PSNS,
2011,New South Wales,Females,Population,3633420,PSNS,
2012,New South Wales,Females,Population,3677844,PSNS,
2013,New South Wales,Females,Population,3729622,PSNS,
2014,New South Wales,Females,Population,3784138,PSNS,
2015,New South Wales,Females,Population,3839594,PSNS,
2016,New South Wales,Females,Population,3899051,PSNS,
2017,New South Wales,Females,Population,3958486,PSNS,
2018,New South Wales,Females,Population,4003713,PSNS,
2019,New South Wales,Females,Population,4047296,PSNS,
2020,New South Wales,Females,Population,4079900,PSNS,
2021,New South Wales,Females,Population,4071669,PSNS,
2022,New South Wales,Females,Population,4105778,PSNS,
2023,New South Wales,Females,Population,4191258,PSNS,
2024,New South Wales,Females,Population,4264009,PSNS,
1971,New South Wales,Persons,Median age - population,28.4,NUM,
1972,New South Wales,Persons,Median age - population,28.4,NUM,
1973,New South Wales,Persons,Median age - population,28.5,NUM,
1974,New South Wales,Persons,Median age - population,28.7,NUM,
1975,New South Wales,Persons,Median age - population,28.9,NUM,
1976,New South Wales,Persons,Median age - population,29.3,NUM,
1977,New South Wales,Persons,Median age - population,29.5,NUM,
1978,New South Wales,Persons,Median age - population,29.7,NUM,
1979,New South Wales,Persons,Median age - population,29.9,NUM,
1980,New South Wales,Persons,Median age - population,30.1,NUM,
1981,New South Wales,Persons,Median age - population,30.3,NUM,
1982,New South Wales,Persons,Median age - population,30.6,NUM,
1983,New South Wales,Persons,Median age - population,30.9,NUM,
1984,New South Wales,Persons,Median age - population,31.2,NUM,
1985,New South Wales,Persons,Median age - population,31.5,NUM,
1986,New South Wales,Persons,Median age - population,31.7,NUM,
1987,New South Wales,Persons,Median age - population,31.9,NUM,
1988,New South Wales,Persons,Median age - population,32.1,NUM,
1989,New South Wales,Persons,Median age - population,32.4,NUM,
1990,New South Wales,Persons,Median age - population,32.6,NUM,
1991,New South Wales,Persons,Median age - population,32.9,NUM,
1992,New South Wales,Persons,Median age - population,33.2,NUM,
1993,New South Wales,Persons,Median age - population,33.5,NUM,
1994,New South Wales,Persons,Median age - population,33.8,NUM,
1995,New South Wales,Persons,Median age - population,34.1,NUM,
1996,New South Wales,Persons,Median age - population,34.4,NUM,
1997,New South Wales,Persons,Median age - population,34.8,NUM,
1998,New South Wales,Persons,Median age - population,35.2,NUM,
1999,New South Wales,Persons,Median age - population,35.5,NUM,
2000,New South Wales,Persons,Median age - population,35.7,NUM,
2001,New South Wales,Persons,Median age - population,36,NUM,
2002,New South Wales,Persons,Median age - population,36.2,NUM,
2003,New South Wales,Persons,Median age - population,36.3,NUM,
2004,New South Wales,Persons,Median age - population,36.5,NUM,
2005,New South Wales,Persons,Median age - population,36.7,NUM,
2006,New South Wales,Persons,Median age - population,36.8,NUM,
2007,New South Wales,Persons,Median age - population,36.9,NUM,
2008,New South Wales,Persons,Median age - population,37.1,NUM,
2009,New South Wales,Persons,Median age - population,37.2,NUM,
2010,New South Wales,Persons,Median age - population,37.4,NUM,
2011,New South Wales,Persons,Median age - population,37.6,NUM,
2012,New South Wales,Persons,Median age - population,37.7,NUM,
2013,New South Wales,Persons,Median age - population,37.8,NUM,
2014,New South Wales,Persons,Median age - population,37.7,NUM,
2015,New South Wales,Persons,Median age - population,37.7,NUM,
2016,New South Wales,Persons,Median age - population,37.6,NUM,
2017,New South Wales,Persons,Median age - population,37.5,NUM,
2018,New South Wales,Persons,Median age - population,37.6,NUM,
2019,New South Wales,Persons,Median age - population,37.7,NUM,
2020,New South Wales,Persons,Median age - population,38.1,NUM,
2021,New South Wales,Persons,Median age - population,38.6,NUM,
2022,New South Wales,Persons,Median age - population,38.7,NUM,
2023,New South Wales,Persons,Median age - population,38.4,NUM,
2024,New South Wales,Persons,Median age - population,38.4,NUM,
1971,New South Wales,Males,Median age - population,27.7,NUM,
1972,New South Wales,Males,Median age - population,27.7,NUM,
1973,New South Wales,Males,Median age - population,27.9,NUM,
1974,New South Wales,Males,Median age - population,28,NUM,
1975,New South Wales,Males,Median age - population,28.4,NUM,
1976,New South Wales,Males,Median age - population,28.7,NUM,
1977,New South Wales,Males,Median age - population,28.9,NUM,
1978,New South Wales,Males,Median age - population,29.1,NUM,
1979,New South Wales,Males,Median age - population,29.2,NUM,
1980,New South Wales,Males,Median age - population,29.5,NUM,
1981,New South Wales,Males,Median age - population,29.6,NUM,
1982,New South Wales,Males,Median age - population,29.9,NUM,
1983,New South Wales,Males,Median age - population,30.2,NUM,
1984,New South Wales,Males,Median age - population,30.5,NUM,
1985,New South Wales,Males,Median age - population,30.7,NUM,
1986,New South Wales,Males,Median age - population,31,NUM,
1987,New South Wales,Males,Median age - population,31.2,NUM,
1988,New South Wales,Males,Median age - population,31.4,NUM,
1989,New South Wales,Males,Median age - population,31.7,NUM,
1990,New South Wales,Males,Median age - population,31.9,NUM,
1991,New South Wales,Males,Median age - population,32.2,NUM,
1992,New South Wales,Males,Median age - population,32.5,NUM,
1993,New South Wales,Males,Median age - population,32.8,NUM,
1994,New South Wales,Males,Median age - population,33.1,NUM,
1995,New South Wales,Males,Median age - population,33.4,NUM,
1996,New South Wales,Males,Median age - population,33.7,NUM,
