section,indicator,unit,year,value
Male age-specific marriage rates,75 and over,rate,2020,0.6
Male age-specific marriage rates,75 and over,rate,2021,0.5
Male age-specific marriage rates,75 and over,rate,2022,0.7
Male age-specific marriage rates,75 and over,rate,2023,0.7
Male age-specific marriage rates,75 and over,rate,2024,0.8
Male age-specific marriage rates,Median age at marriage,years,2020,32.2
Male age-specific marriage rates,Median age at marriage,years,2021,32.1
Male age-specific marriage rates,Median age at marriage,years,2022,32.5
Male age-specific marriage rates,Median age at marriage,years,2023,32.9
Male age-specific marriage rates,Median age at marriage,years,2024,32.8
Female marriages registered by age,16–19,no.,2020,746
Female marriages registered by age,16–19,no.,2021,601
Female marriages registered by age,16–19,no.,2022,675
Female marriages registered by age,16–19,no.,2023,686
Female marriages registered by age,16–19,no.,2024,777
Female marriages registered by age,20–24,no.,2020,10708
Female marriages registered by age,20–24,no.,2021,10518
Female marriages registered by age,20–24,no.,2022,12749
Female marriages registered by age,20–24,no.,2023,11410
Female marriages registered by age,20–24,no.,2024,12012
Female marriages registered by age,25–29,no.,2020,25619
Female marriages registered by age,25–29,no.,2021,30747
Female marriages registered by age,25–29,no.,2022,42410
Female marriages registered by age,25–29,no.,2023,37420
Female marriages registered by age,25–29,no.,2024,38274
Female marriages registered by age,30–34,no.,2020,18942
Female marriages registered by age,30–34,no.,2021,23073
Female marriages registered by age,30–34,no.,2022,34718
Female marriages registered by age,30–34,no.,2023,32571
Female marriages registered by age,30–34,no.,2024,32323
Female marriages registered by age,35–39,no.,2020,8809
Female marriages registered by age,35–39,no.,2021,9516
Female marriages registered by age,35–39,no.,2022,14501
Female marriages registered by age,35–39,no.,2023,14186
Female marriages registered by age,35–39,no.,2024,14743
Female marriages registered by age,40–44,no.,2020,4595
Female marriages registered by age,40–44,no.,2021,4741
Female marriages registered by age,40–44,no.,2022,7324
Female marriages registered by age,40–44,no.,2023,7528
Female marriages registered by age,40–44,no.,2024,7661
Female marriages registered by age,45–49,no.,2020,3764
Female marriages registered by age,45–49,no.,2021,3752
Female marriages registered by age,45–49,no.,2022,5412
Female marriages registered by age,45–49,no.,2023,5262
Female marriages registered by age,45–49,no.,2024,5160
Female marriages registered by age,50–54,no.,2020,2663
Female marriages registered by age,50–54,no.,2021,2948
Female marriages registered by age,50–54,no.,2022,4464
Female marriages registered by age,50–54,no.,2023,4354
Female marriages registered by age,50–54,no.,2024,4277
Female marriages registered by age,55–59,no.,2020,1775
Female marriages registered by age,55–59,no.,2021,1852
Female marriages registered by age,55–59,no.,2022,2620
Female marriages registered by age,55–59,no.,2023,2640
Female marriages registered by age,55–59,no.,2024,2686
Female marriages registered by age,60–64,no.,2020,964
Female marriages registered by age,60–64,no.,2021,1024
Female marriages registered by age,60–64,no.,2022,1538
Female marriages registered by age,60–64,no.,2023,1529
Female marriages registered by age,60–64,no.,2024,1552
Female marriages registered by age,65–69,no.,2020,545
Female marriages registered by age,65–69,no.,2021,533
Female marriages registered by age,65–69,no.,2022,738
Female marriages registered by age,65–69,no.,2023,775
Female marriages registered by age,65–69,no.,2024,772
Female marriages registered by age,70–74,no.,2020,293
Female marriages registered by age,70–74,no.,2021,277
Female marriages registered by age,70–74,no.,2022,361
Female marriages registered by age,70–74,no.,2023,372
Female marriages registered by age,70–74,no.,2024,383
Female marriages registered by age,75 and over,no.,2020,191
Female marriages registered by age,75 and over,no.,2021,205
Female marriages registered by age,75 and over,no.,2022,248
Female marriages registered by age,75 and over,no.,2023,257
Female marriages registered by age,75 and over,no.,2024,294
Female marriages registered by age,Total,no.,2020,79614
Female marriages registered by age,Total,no.,2021,89787
Female marriages registered by age,Total,no.,2022,127758
Female marriages registered by age,Total,no.,2023,118990
Female marriages registered by age,Total,no.,2024,120915
Female age-specific marriage rates,16–19,rate,2020,1.3
Female age-specific marriage rates,16–19,rate,2021,1.1
Female age-specific marriage rates,16–19,rate,2022,1.2
Female age-specific marriage rates,16–19,rate,2023,1.1
Female age-specific marriage rates,16–19,rate,2024,1.2
Female age-specific marriage rates,20–24,rate,2020,12.9
Female age-specific marriage rates,20–24,rate,2021,13.4
Female age-specific marriage rates,20–24,rate,2022,16.1
Female age-specific marriage rates,20–24,rate,2023,13.7
Female age-specific marriage rates,20–24,rate,2024,14
Female age-specific marriage rates,25–29,rate,2020,27.3
Female age-specific marriage rates,25–29,rate,2021,34.1
Female age-specific marriage rates,25–29,rate,2022,47
Female age-specific marriage rates,25–29,rate,2023,39.4
Female age-specific marriage rates,25–29,rate,2024,39
Female age-specific marriage rates,30–34,rate,2020,19.7
Female age-specific marriage rates,30–34,rate,2021,24.1
Female age-specific marriage rates,30–34,rate,2022,35.9
Female age-specific marriage rates,30–34,rate,2023,32.5
Female age-specific marriage rates,30–34,rate,2024,31.5
Female age-specific marriage rates,35–39,rate,2020,9.5
Female age-specific marriage rates,35–39,rate,2021,10.1
Female age-specific marriage rates,35–39,rate,2022,15.2
Female age-specific marriage rates,35–39,rate,2023,14.5
Female age-specific marriage rates,35–39,rate,2024,14.7
Female age-specific marriage rates,40–44,rate,2020,5.6
Female age-specific marriage rates,40–44,rate,2021,5.7
Female age-specific marriage rates,40–44,rate,2022,8.5
Female age-specific marriage rates,40–44,rate,2023,8.4
Female age-specific marriage rates,40–44,rate,2024,8.2
Female age-specific marriage rates,45–49,rate,2020,4.4
Female age-specific marriage rates,45–49,rate,2021,4.5
Female age-specific marriage rates,45–49,rate,2022,6.6
Female age-specific marriage rates,45–49,rate,2023,6.4
Female age-specific marriage rates,45–49,rate,2024,6.3
Female age-specific marriage rates,50–54,rate,2020,3.3
Female age-specific marriage rates,50–54,rate,2021,3.6
Female age-specific marriage rates,50–54,rate,2022,5.3
Female age-specific marriage rates,50–54,rate,2023,5.1
Female age-specific marriage rates,50–54,rate,2024,5
Female age-specific marriage rates,55–59,rate,2020,2.2
Female age-specific marriage rates,55–59,rate,2021,2.3
Female age-specific marriage rates,55–59,rate,2022,3.4
Female age-specific marriage rates,55–59,rate,2023,3.4
Female age-specific marriage rates,55–59,rate,2024,3.4
Female age-specific marriage rates,60–64,rate,2020,1.3
Female age-specific marriage rates,60–64,rate,2021,1.4
Female age-specific marriage rates,60–64,rate,2022,2
Female age-specific marriage rates,60–64,rate,2023,2
Female age-specific marriage rates,60–64,rate,2024,2
Female age-specific marriage rates,65–69,rate,2020,0.8
Female age-specific marriage rates,65–69,rate,2021,0.8
Female age-specific marriage rates,65–69,rate,2022,1.1
Female age-specific marriage rates,65–69,rate,2023,1.1
Female age-specific marriage rates,65–69,rate,2024,1.1
Female age-specific marriage rates,70–74,rate,2020,0.5
Female age-specific marriage rates,70–74,rate,2021,0.5
Female age-specific marriage rates,70–74,rate,2022,0.6
Female age-specific marriage rates,70–74,rate,2023,0.6
Female age-specific marriage rates,70–74,rate,2024,0.6
Female age-specific marriage rates,75 and over,rate,2020,0.2
Female age-specific marriage rates,75 and over,rate,2021,0.2
Female age-specific marriage rates,75 and over,rate,2022,0.2
Female age-specific marriage rates,75 and over,rate,2023,0.2
Female age-specific marriage rates,75 and over,rate,2024,0.2
Female age-specific marriage rates,Median age at marriage,years,2020,30.6
Female age-specific marriage rates,Median age at marriage,years,2021,30.5
Female age-specific marriage rates,Median age at marriage,years,2022,30.9
Female age-specific marriage rates,Median age at marriage,years,2023,31.2
Female age-specific marriage rates,Median age at marriage,years,2024,31.2
