year,state,measure,value,unit,obs_status_flag
1979,South Australia,Male births,9474,NUM,
1980,South Australia,Male births,9420,NUM,
1981,South Australia,Male births,9769,NUM,
1982,South Australia,Male births,9916,NUM,
1983,South Australia,Male births,10211,NUM,
1984,South Australia,Male births,10276,NUM,
1985,South Australia,Male births,10147,NUM,
1986,South Australia,Male births,9930,NUM,
1987,South Australia,Male births,9896,NUM,
1988,South Australia,Male births,9917,NUM,
1989,South Australia,Male births,10152,NUM,
1990,South Australia,Male births,10170,NUM,
1991,South Australia,Male births,10175,NUM,
1992,South Australia,Male births,9957,NUM,
1993,South Australia,Male births,10232,NUM,
1994,South Australia,Male births,9951,NUM,
1995,South Australia,Male births,9977,NUM,
1996,South Australia,Male births,9710,NUM,
1997,South Australia,Male births,9383,NUM,
1998,South Australia,Male births,9266,NUM,
1999,South Australia,Male births,9184,NUM,
2000,South Australia,Male births,9164,NUM,
2001,South Australia,Male births,8730,NUM,
2002,South Australia,Male births,9051,NUM,
2003,South Australia,Male births,9001,NUM,
2004,South Australia,Male births,8793,NUM,
2005,South Australia,Male births,9092,NUM,
2006,South Australia,Male births,9369,NUM,
2007,South Australia,Male births,9899,NUM,
2008,South Australia,Male births,10333,NUM,
2009,South Australia,Male births,10233,NUM,
2010,South Australia,Male births,10397,NUM,
2011,South Australia,Male births,10146,NUM,
2012,South Australia,Male births,10517,NUM,
2013,South Australia,Male births,10435,NUM,
2014,South Australia,Male births,10370,NUM,
2015,South Australia,Male births,10018,NUM,
2016,South Australia,Male births,10240,NUM,
2017,South Australia,Male births,9867,NUM,
2018,South Australia,Male births,9828,NUM,
2019,South Australia,Male births,9992,NUM,
2020,South Australia,Male births,9495,NUM,
2021,South Australia,Male births,10114,NUM,
2022,South Australia,Male births,10102,NUM,
2023,South Australia,Male births,9391,NUM,
2024,South Australia,Male births,9590,NUM,
1975,Australia,Nuptial births,209307,NUM,
1976,Australia,Nuptial births,204746,NUM,
1977,Australia,Nuptial births,202977,NUM,
1978,Australia,Nuptial births,199437,NUM,
1979,Australia,Nuptial births,197019,NUM,
1980,Australia,Nuptial births,197451,NUM,
1981,Australia,Nuptial births,204642,NUM,
1982,Australia,Nuptial births,206945,NUM,
1983,Australia,Nuptial births,206924,NUM,
1984,Australia,Nuptial births,199405,NUM,
1985,Australia,Nuptial births,209073,NUM,
1986,Australia,Nuptial births,202458,NUM,
1987,Australia,Nuptial births,200153,NUM,
1988,Australia,Nuptial births,199425,NUM,
1989,Australia,Nuptial births,200065,NUM,
1990,Australia,Nuptial births,205241,NUM,
1991,Australia,Nuptial births,198024,NUM,
1992,Australia,Nuptial births,200783,NUM,
1993,Australia,Nuptial births,195355,NUM,
1994,Australia,Nuptial births,191959,NUM,
1995,Australia,Nuptial births,188140,NUM,
1996,Australia,Nuptial births,184266,NUM,
1997,Australia,Nuptial births,181104,NUM,
1998,Australia,Nuptial births,178046,NUM,
1999,Australia,Nuptial births,176179,NUM,
2000,Australia,Nuptial births,176625,NUM,
2001,Australia,Nuptial births,170675,NUM,
2002,Australia,Nuptial births,172550,NUM,
2003,Australia,Nuptial births,171853,NUM,
2004,Australia,Nuptial births,172481,NUM,
2005,Australia,Nuptial births,178210,NUM,
2006,Australia,Nuptial births,181155,NUM,
2007,Australia,Nuptial births,192718,NUM,
2008,Australia,Nuptial births,196735,NUM,
2009,Australia,Nuptial births,195467,NUM,
2010,Australia,Nuptial births,198679,NUM,
2011,Australia,Nuptial births,198342,NUM,
2012,Australia,Nuptial births,202560,NUM,
2013,Australia,Nuptial births,202046,NUM,
2014,Australia,Nuptial births,196698,NUM,
2015,Australia,Nuptial births,200102,NUM,
2016,Australia,Nuptial births,205476,NUM,
2017,Australia,Nuptial births,201482,NUM,
2018,Australia,Nuptial births,203845,NUM,
2019,Australia,Nuptial births,197046,NUM,
2020,Australia,Nuptial births,186799,NUM,
2021,Australia,Nuptial births,191208,NUM,
2022,Australia,Nuptial births,180554,NUM,
2023,Australia,Nuptial births,172574,NUM,
2024,Australia,Nuptial births,177669,NUM,
1975,Australia,Births,233012,NUM,
1976,Australia,Births,227810,NUM,
1977,Australia,Births,226291,NUM,
1978,Australia,Births,224181,NUM,
1979,Australia,Births,223129,NUM,
1980,Australia,Births,225527,NUM,
1981,Australia,Births,235842,NUM,
1982,Australia,Births,239903,NUM,
1983,Australia,Births,242570,NUM,
1984,Australia,Births,234034,NUM,
1985,Australia,Births,247348,NUM,
1986,Australia,Births,243408,NUM,
1987,Australia,Births,243959,NUM,
1988,Australia,Births,246193,NUM,
1989,Australia,Births,250853,NUM,
1990,Australia,Births,262648,NUM,
1991,Australia,Births,257247,NUM,
1992,Australia,Births,264151,NUM,
1993,Australia,Births,260229,NUM,
1994,Australia,Births,258051,NUM,
1995,Australia,Births,256190,NUM,
1996,Australia,Births,253834,NUM,
1997,Australia,Births,251842,NUM,
1998,Australia,Births,249616,NUM,
1999,Australia,Births,248870,NUM,
2000,Australia,Births,249636,NUM,
2001,Australia,Births,246394,NUM,
2002,Australia,Births,250988,NUM,
2003,Australia,Births,251161,NUM,
2004,Australia,Births,254246,NUM,
2005,Australia,Births,264493,NUM,
2006,Australia,Births,270849,NUM,
2007,Australia,Births,292152,NUM,
2008,Australia,Births,302272,NUM,
2009,Australia,Births,301253,NUM,
2010,Australia,Births,303318,NUM,
2011,Australia,Births,301617,NUM,
2012,Australia,Births,309582,NUM,
2013,Australia,Births,308065,NUM,
2014,Australia,Births,299697,NUM,
2015,Australia,Births,305377,NUM,
2016,Australia,Births,311104,NUM,
2017,Australia,Births,309142,NUM,
2018,Australia,Births,315147,NUM,
2019,Australia,Births,305832,NUM,
2020,Australia,Births,294369,NUM,
2021,Australia,Births,309996,NUM,
2022,Australia,Births,300684,NUM,
2023,Australia,Births,286998,NUM,
2024,Australia,Births,292318,NUM,
1975,South Australia,Births,19883,NUM,
1976,South Australia,Births,18866,NUM,
1977,South Australia,Births,19170,NUM,
1978,South Australia,Births,18523,NUM,
1979,South Australia,Births,18413,NUM,
1980,South Australia,Births,18430,NUM,
1981,South Australia,Births,19271,NUM,
1982,South Australia,Births,19199,NUM,
1983,South Australia,Births,19830,NUM,
1984,South Australia,Births,20052,NUM,
1985,South Australia,Births,19790,NUM,
1986,South Australia,Births,19741,NUM,
1987,South Australia,Births,19235,NUM,
1988,South Australia,Births,19155,NUM,
1989,South Australia,Births,19610,NUM,
1990,South Australia,Births,19863,NUM,
1991,South Australia,Births,19640,NUM,
1992,South Australia,Births,19311,NUM,
1993,South Australia,Births,20078,NUM,
1994,South Australia,Births,19409,NUM,
1995,South Australia,Births,19336,NUM,
1996,South Australia,Births,19056,NUM,
1997,South Australia,Births,18362,NUM,
1998,South Australia,Births,18226,NUM,
1999,South Australia,Births,17958,NUM,
2000,South Australia,Births,17859,NUM,
2001,South Australia,Births,17281,NUM,
2002,South Australia,Births,17665,NUM,
2003,South Australia,Births,17443,NUM,
2004,South Australia,Births,17140,NUM,
2005,South Australia,Births,17801,NUM,
2006,South Australia,Births,18260,NUM,
2007,South Australia,Births,19666,NUM,
2008,South Australia,Births,20229,NUM,
2009,South Australia,Births,19735,NUM,
2010,South Australia,Births,20078,NUM,
2011,South Australia,Births,19892,NUM,
2012,South Australia,Births,20433,NUM,
2013,South Australia,Births,20090,NUM,
2014,South Australia,Births,20384,NUM,
2015,South Australia,Births,19587,NUM,
2016,South Australia,Births,19772,NUM,
2017,South Australia,Births,19072,NUM,
2018,South Australia,Births,19113,NUM,
2019,South Australia,Births,19490,NUM,
2020,South Australia,Births,18526,NUM,
2021,South Australia,Births,19757,NUM,
2022,South Australia,Births,19449,NUM,
2023,South Australia,Births,18504,NUM,
2024,South Australia,Births,18444,NUM,
1975,Northern Territory,"Ex-nuptial, paternity acknowledged births",214,NUM,
1976,Northern Territory,"Ex-nuptial, paternity acknowledged births",371,NUM,
1977,Northern Territory,"Ex-nuptial, paternity acknowledged births",352,NUM,
1978,Northern Territory,"Ex-nuptial, paternity acknowledged births",428,NUM,
1979,Northern Territory,"Ex-nuptial, paternity acknowledged births",479,NUM,
1980,Northern Territory,"Ex-nuptial, paternity acknowledged births",535,NUM,
1981,Northern Territory,"Ex-nuptial, paternity acknowledged births",774,NUM,
1982,Northern Territory,"Ex-nuptial, paternity acknowledged births",684,NUM,
1983,Northern Territory,"Ex-nuptial, paternity acknowledged births",858,NUM,
1984,Northern Territory,"Ex-nuptial, paternity acknowledged births",1051,NUM,
1985,Northern Territory,"Ex-nuptial, paternity acknowledged births",1056,NUM,
1986,Northern Territory,"Ex-nuptial, paternity acknowledged births",1154,NUM,
1987,Northern Territory,"Ex-nuptial, paternity acknowledged births",1236,NUM,
1988,Northern Territory,"Ex-nuptial, paternity acknowledged births",1125,NUM,
1989,Northern Territory,"Ex-nuptial, paternity acknowledged births",1173,NUM,
1990,Northern Territory,"Ex-nuptial, paternity acknowledged births",1237,NUM,
1991,Northern Territory,"Ex-nuptial, paternity acknowledged births",1264,NUM,
1992,Northern Territory,"Ex-nuptial, paternity acknowledged births",1365,NUM,
1993,Northern Territory,"Ex-nuptial, paternity acknowledged births",1279,NUM,
1994,Northern Territory,"Ex-nuptial, paternity acknowledged births",1347,NUM,
1995,Northern Territory,"Ex-nuptial, paternity acknowledged births",1384,NUM,
1996,Northern Territory,"Ex-nuptial, paternity acknowledged births",1292,NUM,
1997,Northern Territory,"Ex-nuptial, paternity acknowledged births",1423,NUM,
1998,Northern Territory,"Ex-nuptial, paternity acknowledged births",1435,NUM,
1999,Northern Territory,"Ex-nuptial, paternity acknowledged births",1439,NUM,
2000,Northern Territory,"Ex-nuptial, paternity acknowledged births",1397,NUM,
2001,Northern Territory,"Ex-nuptial, paternity acknowledged births",1530,NUM,
2002,Northern Territory,"Ex-nuptial, paternity acknowledged births",1490,NUM,
2003,Northern Territory,"Ex-nuptial, paternity acknowledged births",1543,NUM,
2004,Northern Territory,"Ex-nuptial, paternity acknowledged births",1484,NUM,
2005,Northern Territory,"Ex-nuptial, paternity acknowledged births",1552,NUM,
2006,Northern Territory,"Ex-nuptial, paternity acknowledged births",1595,NUM,
2007,Northern Territory,"Ex-nuptial, paternity acknowledged births",1732,NUM,
2008,Northern Territory,"Ex-nuptial, paternity acknowledged births",1884,NUM,
2009,Northern Territory,"Ex-nuptial, paternity acknowledged births",1753,NUM,
2010,Northern Territory,"Ex-nuptial, paternity acknowledged births",1733,NUM,
2011,Northern Territory,"Ex-nuptial, paternity acknowledged births",1768,NUM,
2012,Northern Territory,"Ex-nuptial, paternity acknowledged births",1872,NUM,
2013,Northern Territory,"Ex-nuptial, paternity acknowledged births",1781,NUM,
2014,Northern Territory,"Ex-nuptial, paternity acknowledged births",1689,NUM,
2015,Northern Territory,"Ex-nuptial, paternity acknowledged births",1611,NUM,
2016,Northern Territory,"Ex-nuptial, paternity acknowledged births",1640,NUM,
2017,Northern Territory,"Ex-nuptial, paternity acknowledged births",1671,NUM,
2018,Northern Territory,"Ex-nuptial, paternity acknowledged births",1630,NUM,
2019,Northern Territory,"Ex-nuptial, paternity acknowledged births",1598,NUM,
2020,Northern Territory,"Ex-nuptial, paternity acknowledged births",1589,NUM,
2021,Northern Territory,"Ex-nuptial, paternity acknowledged births",1639,NUM,
2022,Northern Territory,"Ex-nuptial, paternity acknowledged births",1494,NUM,
2023,Northern Territory,"Ex-nuptial, paternity acknowledged births",1441,NUM,
2024,Northern Territory,"Ex-nuptial, paternity acknowledged births",1631,NUM,
1975,Australia,"Ex-nuptial, paternity not acknowledged births",17579,NUM,
1976,Australia,"Ex-nuptial, paternity not acknowledged births",12216,NUM,
1977,Australia,"Ex-nuptial, paternity not acknowledged births",12195,NUM,
1978,Australia,"Ex-nuptial, paternity not acknowledged births",12654,NUM,
1979,Australia,"Ex-nuptial, paternity not acknowledged births",11292,NUM,
1980,Australia,"Ex-nuptial, paternity not acknowledged births",11911,NUM,
1981,Australia,"Ex-nuptial, paternity not acknowledged births",12315,NUM,
1982,Australia,"Ex-nuptial, paternity not acknowledged births",12523,NUM,
1983,Australia,"Ex-nuptial, paternity not acknowledged births",12663,NUM,
1984,Australia,"Ex-nuptial, paternity not acknowledged births",11429,NUM,
1985,Australia,"Ex-nuptial, paternity not acknowledged births",12154,NUM,
1986,Australia,"Ex-nuptial, paternity not acknowledged births",12057,NUM,
1987,Australia,"Ex-nuptial, paternity not acknowledged births",11834,NUM,
1988,Australia,"Ex-nuptial, paternity not acknowledged births",11995,NUM,
1989,Australia,"Ex-nuptial, paternity not acknowledged births",12216,NUM,
1990,Australia,"Ex-nuptial, paternity not acknowledged births",13150,NUM,
1991,Australia,"Ex-nuptial, paternity not acknowledged births",12159,NUM,
1992,Australia,"Ex-nuptial, paternity not acknowledged births",12019,NUM,
1993,Australia,"Ex-nuptial, paternity not acknowledged births",11858,NUM,
1994,Australia,"Ex-nuptial, paternity not acknowledged births",11759,NUM,
1995,Australia,"Ex-nuptial, paternity not acknowledged births",11362,NUM,
1996,Australia,"Ex-nuptial, paternity not acknowledged births",11019,NUM,
1997,Australia,"Ex-nuptial, paternity not acknowledged births",10286,NUM,
1998,Australia,"Ex-nuptial, paternity not acknowledged births",9225,NUM,
1999,Australia,"Ex-nuptial, paternity not acknowledged births",8547,NUM,
2000,Australia,"Ex-nuptial, paternity not acknowledged births",8615,NUM,
2001,Australia,"Ex-nuptial, paternity not acknowledged births",9180,NUM,
2002,Australia,"Ex-nuptial, paternity not acknowledged births",9390,NUM,
2003,Australia,"Ex-nuptial, paternity not acknowledged births",9356,NUM,
2004,Australia,"Ex-nuptial, paternity not acknowledged births",8850,NUM,
2005,Australia,"Ex-nuptial, paternity not acknowledged births",9135,NUM,
2006,Australia,"Ex-nuptial, paternity not acknowledged births",9178,NUM,
2007,Australia,"Ex-nuptial, paternity not acknowledged births",9502,NUM,
2008,Australia,"Ex-nuptial, paternity not acknowledged births",10155,NUM,
2009,Australia,"Ex-nuptial, paternity not acknowledged births",11002,NUM,
2010,Australia,"Ex-nuptial, paternity not acknowledged births",10419,NUM,
2011,Australia,"Ex-nuptial, paternity not acknowledged births",10054,NUM,
2012,Australia,"Ex-nuptial, paternity not acknowledged births",10181,NUM,
2013,Australia,"Ex-nuptial, paternity not acknowledged births",9944,NUM,
2014,Australia,"Ex-nuptial, paternity not acknowledged births",9789,NUM,
2015,Australia,"Ex-nuptial, paternity not acknowledged births",10270,NUM,
2016,Australia,"Ex-nuptial, paternity not acknowledged births",10210,NUM,
2017,Australia,"Ex-nuptial, paternity not acknowledged births",11015,NUM,
2018,Australia,"Ex-nuptial, paternity not acknowledged births",12539,NUM,
2019,Australia,"Ex-nuptial, paternity not acknowledged births",12081,NUM,
2020,Australia,"Ex-nuptial, paternity not acknowledged births",11467,NUM,
2021,Australia,"Ex-nuptial, paternity not acknowledged births",11593,NUM,
2022,Australia,"Ex-nuptial, paternity not acknowledged births",11523,NUM,
2023,Australia,"Ex-nuptial, paternity not acknowledged births",11862,NUM,
2024,Australia,"Ex-nuptial, paternity not acknowledged births",11945,NUM,
1975,South Australia,"Ex-nuptial, paternity not acknowledged births",918,NUM,
1976,South Australia,"Ex-nuptial, paternity not acknowledged births",768,NUM,
1977,South Australia,"Ex-nuptial, paternity not acknowledged births",828,NUM,
1978,South Australia,"Ex-nuptial, paternity not acknowledged births",866,NUM,
1979,South Australia,"Ex-nuptial, paternity not acknowledged births",854,NUM,
1980,South Australia,"Ex-nuptial, paternity not acknowledged births",922,NUM,
1981,South Australia,"Ex-nuptial, paternity not acknowledged births",960,NUM,
1982,South Australia,"Ex-nuptial, paternity not acknowledged births",894,NUM,
1983,South Australia,"Ex-nuptial, paternity not acknowledged births",916,NUM,
1984,South Australia,"Ex-nuptial, paternity not acknowledged births",862,NUM,
1985,South Australia,"Ex-nuptial, paternity not acknowledged births",850,NUM,
1986,South Australia,"Ex-nuptial, paternity not acknowledged births",942,NUM,
1987,South Australia,"Ex-nuptial, paternity not acknowledged births",881,NUM,
1988,South Australia,"Ex-nuptial, paternity not acknowledged births",905,NUM,
1989,South Australia,"Ex-nuptial, paternity not acknowledged births",943,NUM,
1990,South Australia,"Ex-nuptial, paternity not acknowledged births",946,NUM,
1991,South Australia,"Ex-nuptial, paternity not acknowledged births",918,NUM,
1992,South Australia,"Ex-nuptial, paternity not acknowledged births",854,NUM,
1993,South Australia,"Ex-nuptial, paternity not acknowledged births",869,NUM,
1994,South Australia,"Ex-nuptial, paternity not acknowledged births",820,NUM,
1995,South Australia,"Ex-nuptial, paternity not acknowledged births",779,NUM,
1996,South Australia,"Ex-nuptial, paternity not acknowledged births",768,NUM,
1997,South Australia,"Ex-nuptial, paternity not acknowledged births",647,NUM,
1998,South Australia,"Ex-nuptial, paternity not acknowledged births",578,NUM,
1999,South Australia,"Ex-nuptial, paternity not acknowledged births",570,NUM,
2000,South Australia,"Ex-nuptial, paternity not acknowledged births",587,NUM,
2001,South Australia,"Ex-nuptial, paternity not acknowledged births",557,NUM,
2002,South Australia,"Ex-nuptial, paternity not acknowledged births",613,NUM,
2003,South Australia,"Ex-nuptial, paternity not acknowledged births",556,NUM,
2004,South Australia,"Ex-nuptial, paternity not acknowledged births",555,NUM,
2005,South Australia,"Ex-nuptial, paternity not acknowledged births",598,NUM,
2006,South Australia,"Ex-nuptial, paternity not acknowledged births",644,NUM,
2007,South Australia,"Ex-nuptial, paternity not acknowledged births",626,NUM,
2008,South Australia,"Ex-nuptial, paternity not acknowledged births",665,NUM,
2009,South Australia,"Ex-nuptial, paternity not acknowledged births",665,NUM,
2010,South Australia,"Ex-nuptial, paternity not acknowledged births",632,NUM,
2011,South Australia,"Ex-nuptial, paternity not acknowledged births",616,NUM,
2012,South Australia,"Ex-nuptial, paternity not acknowledged births",587,NUM,
2013,South Australia,"Ex-nuptial, paternity not acknowledged births",623,NUM,
2014,South Australia,"Ex-nuptial, paternity not acknowledged births",614,NUM,
2015,South Australia,"Ex-nuptial, paternity not acknowledged births",541,NUM,
2016,South Australia,"Ex-nuptial, paternity not acknowledged births",556,NUM,
2017,South Australia,"Ex-nuptial, paternity not acknowledged births",540,NUM,
2018,South Australia,"Ex-nuptial, paternity not acknowledged births",574,NUM,
2019,South Australia,"Ex-nuptial, paternity not acknowledged births",626,NUM,
2020,South Australia,"Ex-nuptial, paternity not acknowledged births",481,NUM,
2021,South Australia,"Ex-nuptial, paternity not acknowledged births",516,NUM,
2022,South Australia,"Ex-nuptial, paternity not acknowledged births",507,NUM,
2023,South Australia,"Ex-nuptial, paternity not acknowledged births",528,NUM,
2024,South Australia,"Ex-nuptial, paternity not acknowledged births",534,NUM,
1975,Australia,Population,13892995,PSNS,
1976,Australia,Population,14033083,PSNS,
1977,Australia,Population,14192234,PSNS,
1978,Australia,Population,14359255,PSNS,
1979,Australia,Population,14515729,PSNS,
1980,Australia,Population,14695356,PSNS,
1981,Australia,Population,14923260,PSNS,
1982,Australia,Population,15184247,PSNS,
1983,Australia,Population,15393472,PSNS,
1984,Australia,Population,15579391,PSNS,
1985,Australia,Population,15788312,PSNS,
1986,Australia,Population,16018350,PSNS,
1987,Australia,Population,16263874,PSNS,
1988,Australia,Population,16532164,PSNS,
1989,Australia,Population,16814416,PSNS,
1990,Australia,Population,17065128,PSNS,
1991,Australia,Population,17284036,PSNS,
1992,Australia,Population,17478635,PSNS,
1993,Australia,Population,17634808,PSNS,
1994,Australia,Population,17805468,PSNS,
1995,Australia,Population,18004882,PSNS,
1996,Australia,Population,18224767,PSNS,
1997,Australia,Population,18423037,PSNS,
1998,Australia,Population,18607584,PSNS,
1999,Australia,Population,18812264,PSNS,
2000,Australia,Population,19028802,PSNS,
2001,Australia,Population,19274701,PSNS,
2002,Australia,Population,19495210,PSNS,
2003,Australia,Population,19720737,PSNS,
2004,Australia,Population,19932722,PSNS,
2005,Australia,Population,20176844,PSNS,
2006,Australia,Population,20450966,PSNS,
2007,Australia,Population,20827622,PSNS,
2008,Australia,Population,21249199,PSNS,
2009,Australia,Population,21691653,PSNS,
2010,Australia,Population,22031750,PSNS,
2011,Australia,Population,22340024,PSNS,
2012,Australia,Population,22733465,PSNS,
2013,Australia,Population,23128129,PSNS,
2014,Australia,Population,23475686,PSNS,
2015,Australia,Population,23815995,PSNS,
2016,Australia,Population,24190907,PSNS,
2017,Australia,Population,24592588,PSNS,
2018,Australia,Population,24963258,PSNS,
2019,Australia,Population,25334826,PSNS,
2020,Australia,Population,25649248,PSNS,
2021,Australia,Population,25685412,PSNS,
2022,Australia,Population,26005540,PSNS,
2023,Australia,Population,26638544,PSNS,
2024,Australia,Population,27204809,PSNS,
1975,Australian Capital Territory,Male births,2147,NUM,
1976,Australian Capital Territory,Male births,2242,NUM,
1977,Australian Capital Territory,Male births,2258,NUM,
1978,Australian Capital Territory,Male births,2166,NUM,
1979,Australian Capital Territory,Male births,2171,NUM,
1980,Australian Capital Territory,Male births,2144,NUM,
1981,Australian Capital Territory,Male births,2082,NUM,
1982,Australian Capital Territory,Male births,2110,NUM,
1983,Australian Capital Territory,Male births,2095,NUM,
1984,Australian Capital Territory,Male births,2048,NUM,
1985,Australian Capital Territory,Male births,2144,NUM,
1986,Australian Capital Territory,Male births,2115,NUM,
1987,Australian Capital Territory,Male births,2090,NUM,
1988,Australian Capital Territory,Male births,2193,NUM,
1989,Australian Capital Territory,Male births,2112,NUM,
1990,Australian Capital Territory,Male births,2333,NUM,
1991,Australian Capital Territory,Male births,2436,NUM,
1992,Australian Capital Territory,Male births,2256,NUM,
1993,Australian Capital Territory,Male births,2235,NUM,
1994,Australian Capital Territory,Male births,2232,NUM,
1995,Australian Capital Territory,Male births,2291,NUM,
1996,Australian Capital Territory,Male births,2241,NUM,
1997,Australian Capital Territory,Male births,2132,NUM,
1998,Australian Capital Territory,Male births,2006,NUM,
1999,Australian Capital Territory,Male births,2129,NUM,
2000,Australian Capital Territory,Male births,2074,NUM,
2001,Australian Capital Territory,Male births,1995,NUM,
2002,Australian Capital Territory,Male births,2082,NUM,
2003,Australian Capital Territory,Male births,2128,NUM,
2004,Australian Capital Territory,Male births,2156,NUM,
2005,Australian Capital Territory,Male births,2128,NUM,
2006,Australian Capital Territory,Male births,2303,NUM,
2007,Australian Capital Territory,Male births,2429,NUM,
2008,Australian Capital Territory,Male births,2471,NUM,
2009,Australian Capital Territory,Male births,2574,NUM,
2010,Australian Capital Territory,Male births,2662,NUM,
2011,Australian Capital Territory,Male births,2708,NUM,
2012,Australian Capital Territory,Male births,2803,NUM,
2013,Australian Capital Territory,Male births,2831,NUM,
2014,Australian Capital Territory,Male births,2883,NUM,
2015,Australian Capital Territory,Male births,2910,NUM,
2016,Australian Capital Territory,Male births,2647,NUM,
2017,Australian Capital Territory,Male births,3208,NUM,
2018,Australian Capital Territory,Male births,2732,NUM,
2019,Australian Capital Territory,Male births,2866,NUM,
2020,Australian Capital Territory,Male births,2752,NUM,
2021,Australian Capital Territory,Male births,2894,NUM,
2022,Australian Capital Territory,Male births,2817,NUM,
2023,Australian Capital Territory,Male births,2629,NUM,
2024,Australian Capital Territory,Male births,2661,NUM,
1975,Queensland,Female births,17713,NUM,
1976,Queensland,Female births,17264,NUM,
1977,Queensland,Female births,16942,NUM,
1978,Queensland,Female births,16726,NUM,
1979,Queensland,Female births,17070,NUM,
1980,Queensland,Female births,16924,NUM,
1981,Queensland,Female births,18799,NUM,
1982,Queensland,Female births,19642,NUM,
1983,Queensland,Female births,20352,NUM,
1984,Queensland,Female births,19606,NUM,
1985,Queensland,Female births,19594,NUM,
1986,Queensland,Female births,19589,NUM,
1987,Queensland,Female births,19072,NUM,
1988,Queensland,Female births,19741,NUM,
1989,Queensland,Female births,20643,NUM,
1990,Queensland,Female births,21786,NUM,
1991,Queensland,Female births,21596,NUM,
1992,Queensland,Female births,22640,NUM,
1993,Queensland,Female births,22723,NUM,
1994,Queensland,Female births,22430,NUM,
1995,Queensland,Female births,22621,NUM,
1996,Queensland,Female births,23236,NUM,
1997,Queensland,Female births,22941,NUM,
1998,Queensland,Female births,23004,NUM,
1999,Queensland,Female births,22584,NUM,
2000,Queensland,Female births,22987,NUM,
2001,Queensland,Female births,23301,NUM,
2002,Queensland,Female births,23317,NUM,
2003,Queensland,Female births,23495,NUM,
2004,Queensland,Female births,24354,NUM,
2005,Queensland,Female births,24979,NUM,
2006,Queensland,Female births,25553,NUM,
2007,Queensland,Female births,29614,NUM,
2008,Queensland,Female births,30559,NUM,
2009,Queensland,Female births,32063,NUM,
2010,Queensland,Female births,31492,NUM,
2011,Queensland,Female births,31016,NUM,
2012,Queensland,Female births,30961,NUM,
2013,Queensland,Female births,30595,NUM,
2014,Queensland,Female births,30774,NUM,
2015,Queensland,Female births,29895,NUM,
2016,Queensland,Female births,30346,NUM,
2017,Queensland,Female births,29438,NUM,
2018,Queensland,Female births,30046,NUM,
2019,Queensland,Female births,29942,NUM,
2020,Queensland,Female births,28970,NUM,
2021,Queensland,Female births,31276,NUM,
2022,Queensland,Female births,30103,NUM,
2023,Queensland,Female births,28592,NUM,
2024,Queensland,Female births,28578,NUM,
1975,South Australia,Female births,9735,NUM,
1976,South Australia,Female births,9079,NUM,
1977,South Australia,Female births,9314,NUM,
1978,South Australia,Female births,9051,NUM,
1979,South Australia,Female births,8939,NUM,
1980,South Australia,Female births,9010,NUM,
1981,South Australia,Female births,9502,NUM,
1982,South Australia,Female births,9283,NUM,
1983,South Australia,Female births,9619,NUM,
1984,South Australia,Female births,9776,NUM,
1985,South Australia,Female births,9643,NUM,
1986,South Australia,Female births,9811,NUM,
1987,South Australia,Female births,9339,NUM,
1988,South Australia,Female births,9238,NUM,
1989,South Australia,Female births,9458,NUM,
1990,South Australia,Female births,9693,NUM,
1991,South Australia,Female births,9465,NUM,
1992,South Australia,Female births,9354,NUM,
1993,South Australia,Female births,9846,NUM,
1994,South Australia,Female births,9458,NUM,
1995,South Australia,Female births,9359,NUM,
1996,South Australia,Female births,9346,NUM,
1997,South Australia,Female births,8979,NUM,
1998,South Australia,Female births,8960,NUM,
1999,South Australia,Female births,8774,NUM,
2000,South Australia,Female births,8695,NUM,
2001,South Australia,Female births,8551,NUM,
2002,South Australia,Female births,8614,NUM,
2003,South Australia,Female births,8442,NUM,
2004,South Australia,Female births,8347,NUM,
2005,South Australia,Female births,8709,NUM,
2006,South Australia,Female births,8891,NUM,
2007,South Australia,Female births,9767,NUM,
2008,South Australia,Female births,9896,NUM,
2009,South Australia,Female births,9502,NUM,
2010,South Australia,Female births,9681,NUM,
2011,South Australia,Female births,9746,NUM,
2012,South Australia,Female births,9916,NUM,
2013,South Australia,Female births,9655,NUM,
2014,South Australia,Female births,10014,NUM,
2015,South Australia,Female births,9569,NUM,
2016,South Australia,Female births,9532,NUM,
2017,South Australia,Female births,9205,NUM,
2018,South Australia,Female births,9285,NUM,
2019,South Australia,Female births,9498,NUM,
2020,South Australia,Female births,9031,NUM,
2021,South Australia,Female births,9643,NUM,
2022,South Australia,Female births,9347,NUM,
2023,South Australia,Female births,9113,NUM,
2024,South Australia,Female births,8854,NUM,
1975,Western Australia,Female births,9888,NUM,
1976,Western Australia,Female births,10027,NUM,
1977,Western Australia,Female births,9956,NUM,
1978,Western Australia,Female births,9966,NUM,
1979,Western Australia,Female births,10092,NUM,
1980,Western Australia,Female births,10110,NUM,
1981,Western Australia,Female births,10545,NUM,
1982,Western Australia,Female births,10860,NUM,
1983,Western Australia,Female births,11177,NUM,
1984,Western Australia,Female births,10473,NUM,
1985,Western Australia,Female births,11334,NUM,
1986,Western Australia,Female births,11788,NUM,
1987,Western Australia,Female births,11288,NUM,
1988,Western Australia,Female births,12269,NUM,
1989,Western Australia,Female births,12268,NUM,
1990,Western Australia,Female births,12274,NUM,
1991,Western Australia,Female births,12458,NUM,
