section,indicator,unit,year,value
Female divorces granted by age,60–64,no.,2021,2598
Female divorces granted by age,60–64,no.,2022,2468
Female divorces granted by age,60–64,no.,2023,2554
Female divorces granted by age,60–64,no.,2024,2625
Female divorces granted by age,65 and over,no.,2020,1913
Female divorces granted by age,65 and over,no.,2021,2230
Female divorces granted by age,65 and over,no.,2022,2142
Female divorces granted by age,65 and over,no.,2023,2394
Female divorces granted by age,65 and over,no.,2024,2479
Female divorces granted by age,Total,no.,2020,49510
Female divorces granted by age,Total,no.,2021,56364
Female divorces granted by age,Total,no.,2022,49437
Female divorces granted by age,Total,no.,2023,48829
Female divorces granted by age,Total,no.,2024,47424
Female age-specific divorce rates,16–24,rate,2020,0.5
Female age-specific divorce rates,16–24,rate,2021,0.6
Female age-specific divorce rates,16–24,rate,2022,0.5
Female age-specific divorce rates,16–24,rate,2023,0.4
Female age-specific divorce rates,16–24,rate,2024,0.3
Female age-specific divorce rates,25–29,rate,2020,4.3
Female age-specific divorce rates,25–29,rate,2021,5
Female age-specific divorce rates,25–29,rate,2022,3.9
Female age-specific divorce rates,25–29,rate,2023,3.6
Female age-specific divorce rates,25–29,rate,2024,3.1
Female age-specific divorce rates,30–34,rate,2020,7.6
Female age-specific divorce rates,30–34,rate,2021,8.5
Female age-specific divorce rates,30–34,rate,2022,6.9
Female age-specific divorce rates,30–34,rate,2023,6.2
Female age-specific divorce rates,30–34,rate,2024,6
Female age-specific divorce rates,35–39,rate,2020,8.7
Female age-specific divorce rates,35–39,rate,2021,9.9
Female age-specific divorce rates,35–39,rate,2022,8.3
Female age-specific divorce rates,35–39,rate,2023,7.9
Female age-specific divorce rates,35–39,rate,2024,7.6
Female age-specific divorce rates,40–44,rate,2020,9.3
Female age-specific divorce rates,40–44,rate,2021,10.4
Female age-specific divorce rates,40–44,rate,2022,9.1
Female age-specific divorce rates,40–44,rate,2023,8.6
Female age-specific divorce rates,40–44,rate,2024,8.2
Female age-specific divorce rates,45–49,rate,2020,8.9
Female age-specific divorce rates,45–49,rate,2021,10.1
Female age-specific divorce rates,45–49,rate,2022,9.1
Female age-specific divorce rates,45–49,rate,2023,8.9
Female age-specific divorce rates,45–49,rate,2024,8.3
Female age-specific divorce rates,50–54,rate,2020,7.4
Female age-specific divorce rates,50–54,rate,2021,8.5
Female age-specific divorce rates,50–54,rate,2022,7.7
Female age-specific divorce rates,50–54,rate,2023,7.7
Female age-specific divorce rates,50–54,rate,2024,7.4
Female age-specific divorce rates,55–59,rate,2020,4.7
Female age-specific divorce rates,55–59,rate,2021,5.6
Female age-specific divorce rates,55–59,rate,2022,5.3
Female age-specific divorce rates,55–59,rate,2023,5.4
Female age-specific divorce rates,55–59,rate,2024,5.1
Female age-specific divorce rates,60–64,rate,2020,3
Female age-specific divorce rates,60–64,rate,2021,3.4
Female age-specific divorce rates,60–64,rate,2022,3.2
Female age-specific divorce rates,60–64,rate,2023,3.3
Female age-specific divorce rates,60–64,rate,2024,3.3
Female age-specific divorce rates,65 and over,rate,2020,0.9
Female age-specific divorce rates,65 and over,rate,2021,1
Female age-specific divorce rates,65 and over,rate,2022,0.9
Female age-specific divorce rates,65 and over,rate,2023,1
Female age-specific divorce rates,65 and over,rate,2024,1
Female age-specific divorce rates,At marriage,years,2020,27.2
Female age-specific divorce rates,At marriage,years,2021,27.3
Female age-specific divorce rates,At marriage,years,2022,27.5
Female age-specific divorce rates,At marriage,years,2023,27.6
Female age-specific divorce rates,At marriage,years,2024,27.7
Female age-specific divorce rates,At separation,years,2020,39.1
Female age-specific divorce rates,At separation,years,2021,39.1
Female age-specific divorce rates,At separation,years,2022,39.8
Female age-specific divorce rates,At separation,years,2023,40.1
Female age-specific divorce rates,At separation,years,2024,40.2
Female age-specific divorce rates,At divorce,years,2020,42.8
Female age-specific divorce rates,At divorce,years,2021,43
Female age-specific divorce rates,At divorce,years,2022,43.7
Female age-specific divorce rates,At divorce,years,2023,44.1
Female age-specific divorce rates,At divorce,years,2024,44.1
